,Concept_ID,mn,mn
0,Auge::N,нүд,нүд
1,Ohr::N,чих,чих
2,Nase::N,хамар,хамар
3,Mund::N,ам,ам
4,Zahn::N,шүд,шүд
5,Zunge::N,хэл,хэл
6,Lippe::N,уруул,уруул
7,Wange::N,хацар,хацар
8,Gesicht::N,царай,царай
9,Gesicht::N,царай,нүүр
10,Gesicht::N,нүүр,царай
11,Gesicht::N,нүүр,нүүр
12,Stirn::N,дух,дух
13,Haar::N,үс,үс
14,Schnurrbart::N,дээд сахал,дээд сахал
15,Schnurrbart::N,дээд сахал,живэр сахал
16,Schnurrbart::N,живэр сахал,дээд сахал
17,Schnurrbart::N,живэр сахал,живэр сахал
18,Bart::N,сахал,сахал
19,Kinn::N,эрүү,эрүү
20,Kiefer[Anatomie]::N,эрүү,эрүү
21,Kehle::N,хоолой,хоолой
22,Hals::N,хүзүү,хүзүү
23,Genick::N,шил,шил
24,Genick::N,шил,хүзүү
25,Genick::N,хүзүү,шил
26,Genick::N,хүзүү,хүзүү
27,Kopf::N,толгой,толгой
28,Rücken::N,ар,ар
29,Rücken::N,ар,нуруу
30,Rücken::N,нуруу,ар
31,Rücken::N,нуруу,нуруу
32,Bauch::N,хэвлий,хэвлий
33,Bauch::N,хэвлий,гэдэс
34,Bauch::N,гэдэс,хэвлий
35,Bauch::N,гэдэс,гэдэс
36,Nabel::N,хүйс,хүйс
37,Busen::N,хөх,хөх
38,Brust::N,цээж,цээж
39,Schulter::N,мөр,мөр
40,Schulter::N,мөр,бугалга
41,Schulter::N,бугалга,мөр
42,Schulter::N,бугалга,бугалга
43,Arm::N,гар,гар
44,Ellenbogen::N,тохой,тохой
45,Hand::N,гар,гар
46,Hand::N,гар,алга
47,Hand::N,алга,гар
48,Hand::N,алга,алга
49,Handfläche::N,алга,алга
50,Finger::N,хуруу,хуруу
51,Fingernagel::N,хурууны хумс,хурууны хумс
52,Nagel[Anatomie]::N,хумс,хумс
53,Zeh::N,хуруу,хуруу
54,Fuß::N,хөл,хөл
55,Ferse::N,өсгий,өсгий
56,Knie::N,өвдөг,өвдөг
57,Oberschenkel::N,гуя,гуя
58,Bein::N,хөл,хөл
59,Körper::N,бие,бие
60,Haut::N,арьс,арьс
61,Blut::N,цус,цус
62,Ader::N,судас,судас
63,Sehne::N,бүлх,бүлх
64,Sehne::N,бүлх,шандас
65,Sehne::N,шандас,бүлх
66,Sehne::N,шандас,шандас
67,Knochen::N,яс,яс
68,Gehirn::N,тархи,тархи
69,Herz::N,зүрх,зүрх
70,Magen::N,ходоод,ходоод
71,Leber::N,элэг,элэг
72,Atem::N,амьсгаа,амьсгаа
73,Hunger::N,өлсгөлөн,өлсгөлөн
74,Träne::N,нулимс,нулимс
75,Geschmack::N,амт,амт
76,Geruch::N,үнэр,үнэр
77,Schlaf::N,нойр,нойр
78,Traum::N,зүүд,зүүд
79,Himmel::N,тэнгэр,тэнгэр
80,Himmel::N,тэнгэр,огторгуй
81,Himmel::N,огторгуй,тэнгэр
82,Himmel::N,огторгуй,огторгуй
83,Sonne::N,нар,нар
84,Mond::N,сар,сар
85,Stern::N,од,од
86,Luft::N,агаар,агаар
87,Wind::N,салхи,салхи
88,Welle::N,долгио,долгио
89,Welle::N,долгио,давалгаа
90,Welle::N,давалгаа,долгио
91,Welle::N,давалгаа,давалгаа
92,Wasser::N,ус,ус
93,Stein::N,чулуу,чулуу
94,Boden::N,хөрс,хөрс
95,Erde::N,газар,газар
96,Erde::N,газар,шороо
97,Erde::N,шороо,газар
98,Erde::N,шороо,шороо
99,Staub::N,тоос,тоос
100,Rauch::N,утаа,утаа
101,Funke::N,оч,оч
102,Feuer::N,гал,гал
103,Licht::N,гэрэл,гэрэл
104,Licht::N,гэрэл,гэгээ
105,Licht::N,гэгээ,гэрэл
106,Licht::N,гэгээ,гэгээ
107,Schatten::N,сүүдэр,сүүдэр
108,Wetter::N,тэнгэр,тэнгэр
109,Wetter::N,тэнгэр,цаг уур
110,Wetter::N,цаг уур,тэнгэр
111,Wetter::N,цаг уур,цаг уур
112,Nebel::N,будан,будан
113,Wolke::N,үүл,үүл
114,Regen::N,бороо,бороо
115,Schnee::N,цас,цас
116,Eis::N,мөс,мөс
117,Frost::N,хүйт,хүйт
118,Kälte::N,хүйт,хүйт
119,Hitze::N,халуун,халуун
120,Raureif::N,цан,цан
121,Raureif::N,цан,хяруу
122,Raureif::N,хяруу,цан
123,Raureif::N,хяруу,хяруу
124,Regenbogen::N,солонго,солонго
125,Donner::N,тэнгэрийн дуу,тэнгэрийн дуу
126,Strömung::N,урсгал,урсгал
127,Tropfen::N,дусал,дусал
128,Schaum::N,хөөс,хөөс
129,Schmutz::N,хир,хир
130,Schmutz::N,хир,шавхай
131,Schmutz::N,шавхай,хир
132,Schmutz::N,шавхай,шавхай
133,See::N,нуур,нуур
134,Sumpf::N,намаг,намаг
135,Sumpf::N,намаг,балчиг
136,Sumpf::N,балчиг,намаг
137,Sumpf::N,балчиг,балчиг
138,Moor::N,хүлрийн намаг,хүлрийн намаг
139,Wiese::N,нуга,нуга
140,Wald::N,ой,ой
141,Hügel::N,болдог,болдог
142,Anhöhe::N,гүвээ,гүвээ
143,Berg::N,уул,уул
144,Gipfel::N,орой,орой
145,Gipfel::N,орой,оргил
146,Gipfel::N,оргил,орой
147,Gipfel::N,оргил,оргил
148,Höhle::N,агуй,агуй
149,Abhang::N,хүр,хүр
150,Quelle::N,булаг,булаг
151,Bach::N,горхи,горхи
152,Fluss::N,гол,гол
153,Fluss::N,гол,мөрөн
154,Fluss::N,мөрөн,гол
155,Fluss::N,мөрөн,мөрөн
156,Ufer::N,эрэг,эрэг
157,Küste::N,эрэг,эрэг
158,Festland::N,хуурай газар,хуурай газар
159,Meer::N,далай,далай
160,Meer::N,далай,тэнгис
161,Meer::N,тэнгис,далай
162,Meer::N,тэнгис,тэнгис
163,Bucht::N,булан,булан
164,Bucht::N,булан,далайн тохой
165,Bucht::N,далайн тохой,булан
166,Bucht::N,далайн тохой,далайн тохой
167,Insel::N,арал,арал
168,Blume::N,цэцэг,цэцэг
169,Gras::N,өвс,өвс
170,Gras::N,өвс,ногоо
171,Gras::N,ногоо,өвс
172,Gras::N,ногоо,ногоо
173,Wurzel::N,үндэс,үндэс
174,Baum::N,мод,мод
175,Stamm::N,иш,иш
176,Stamm::N,иш,гуалин
177,Stamm::N,гуалин,иш
178,Stamm::N,гуалин,гуалин
179,Rinde::N,холтос,холтос
180,Ast::N,гишүү,гишүү
181,Zweig::N,салаа,салаа
182,Blatt::N,навч,навч
183,Birke::N,хус,хус
184,Kiefer[Baum]::N,нарс,нарс
185,Weide[Baum]::N,уд,уд
186,Weide[Baum]::N,уд,бургас
187,Weide[Baum]::N,бургас,уд
188,Weide[Baum]::N,бургас,бургас
189,Tanne::N,гачуур,гачуур
190,Horn::N,эвэр,эвэр
191,Feder::N,өд,өд
192,Fell::N,арьс,арьс
193,Flügel::N,жигүүр,жигүүр
