,Concept_ID,ba,sah
0,Auge::N,күҙ,харах
1,Ohr::N,ҡолаҡ,кулгаах
2,Nase::N,танау,мурун
3,Mund::N,ауыҙ,айах
4,Zahn::N,теш,тиис
5,Zunge::N,тел,тыл
6,Lippe::N,ирен,уос
7,Wange::N,яцаҡтар,иэдэс
8,Gesicht::N,бит,сирэй
9,Stirn::N,маңлай,сүүс
10,Haar::N,сәс,баттах
11,Schnurrbart::N,мылтыҡ,уос бытыга
12,Bart::N,һаҡал,сэҥийэ бытыга
13,Kinn::N,эйэк,сэҥийэ
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,сыҥаах
15,Kehle::N,тамаҡ,тамах
16,Kehle::N,тамаҡ,күөмэй
17,Hals::N,муйын,моой
18,Genick::N,соңҡа,кэтэх
19,Kopf::N,баш,бас
20,Rücken::N,арҡа,көҕүс
21,Bauch::N,ҡорһаҡ,ис
22,Nabel::N,кендек,киин
23,Busen::N,күкрәк,эмиий
24,Brust::N,түш,түөс
25,Schulter::N,яурын,сарын
26,Arm::N,ҡул,илии
27,Ellenbogen::N,терһәк,тоҕонох
28,Hand::N,ҡул,илии
29,Hand::N,ҡул суғы,илии
30,Handfläche::N,ус төбө,ытыс
31,Finger::N,бармаҡ,тарбах
32,Fingernagel::N,тырнаҡ,тыҥырах
33,Nagel[Anatomie]::N,тырнаҡ,тыҥырах
34,Zeh::N,бармаҡ,тарбах
35,Fuß::N,табан,уллуҥах
36,Ferse::N,үксә,тилэх
37,Knie::N,тубыҡ,тобук
38,Knie::N,тубыҡ,дьилбэк
39,Oberschenkel::N,сандыр,уллук
40,Oberschenkel::N,сандыр,өттүк
41,Bein::N,аяҡ,атах
42,Körper::N,тән,бэйэ
43,Haut::N,тире,тирии
44,Blut::N,ҡан,хаан
45,Ader::N,тамыр,вена
46,Ader::N,тамыр,күөх_тымыр
47,Sehne::N,һеңер,иҥиир
48,Sehne::N,тарамыш,иҥиир
49,Knochen::N,һойәк,уҥуох
50,Knochen::N,һойәк,уҥгуох
51,Gehirn::N,мейе,мэйии
52,Herz::N,йорәк,сүрэх
53,Magen::N,ашҡаҙан,куртах
54,Leber::N,бауыр,быар
55,Atem::N,һулыш,тыын
56,Hunger::N,аслыҡ,аас
57,Träne::N,күҙ иәше,харах уута
58,Geschmack::N,тәм,амтан
