,Concept_ID,mdf,en
0,Auge::N,сельме,eye
1,Ohr::N,пиле,ear
2,Nase::N,шалхка,nose
3,Mund::N,курга,mouth
4,Zahn::N,пей,tooth
5,Zunge::N,кяль,tongue
6,Lippe::N,търва́,lip
7,Wange::N,щёка,cheek
8,Gesicht::N,шама,face
9,Stirn::N,коня,forehead
10,Haar::N,шя́ярь,hair
11,Schnurrbart::N,уса́,moustache
12,Bart::N,сакал,beard
13,Kinn::N,ула,chin
14,Kiefer[Anatomie]::N,саласка,jaw
15,Kehle::N,кълдома,throat
16,Kehle::N,кърга́парь,throat
17,Hals::N,сялдаз,neck
18,Genick::N,шовонь,nape
19,Kopf::N,пря,head
20,Rücken::N,копорь,back
21,Rücken::N,копорь,spine
22,Bauch::N,пеке,belly
23,Nabel::N,по́кон,navel
24,Busen::N,потя,bosom
25,Brust::N,мяште,chest
26,Brust::N,мяште,breast
27,Schulter::N,лафту,shoulder
28,Arm::N,кядь,arm
29,Ellenbogen::N,кенерьба́карь,elbow
30,Hand::N,кядь,hand
31,Handfläche::N,кядьлапш,palm
32,Finger::N,сур,finger
33,Fingernagel::N,кенже,fingernail
34,Nagel[Anatomie]::N,кенже,nail
35,Zeh::N,пильгосу́р,toe
36,Fuß::N,пильге,foot
37,Fuß::N,пильгелапа,foot
38,Ferse::N,кочкяря,heel
39,Knie::N,эль,knee
40,Knie::N,пълма́нжа,knee
41,Oberschenkel::N,пильгепукша,thigh
42,Bein::N,пильге,leg
43,Körper::N,ро́нга,body
44,Körper::N,по́нда,body
45,Haut::N,киське,skin
46,Blut::N,вер,blood
47,Ader::N,сан,vein
48,Ader::N,верза́н,vein
49,Sehne::N,коське сан,sinew
50,Knochen::N,пакарь,bone
51,Gehirn::N,уй,brain
52,Herz::N,седи,heart
53,Magen::N,коткърдазь,stomach
54,Leber::N,макса,liver
55,Atem::N,лекома,breath
56,Atem::N,ваймонь тарксема,breath
57,Hunger::N,вачеши,hunger
58,Träne::N,сельмове́дь,tear
59,Geschmack::N,таньф,flavour
60,Geschmack::N,таньф,flavor
61,Geruch::N,шине,odour
62,Geruch::N,шине,odor
63,Schlaf::N,удома́,sleep
64,Traum::N,он,dream
65,Himmel::N,менель,sky
66,Sonne::N,ши,sun
67,Mond::N,ков,moon
68,Stern::N,тяште,star
69,Luft::N,кожф,air
70,Wind::N,варма,wind
71,Welle::N,тавла,wave
72,Wasser::N,ведь,water
73,Stein::N,кев,stone
74,Boden::N,мода,soil
75,Boden::N,мода,ground
76,Boden::N,потмакс,soil
77,Boden::N,потмакс,ground
78,Erde::N,мода,earth
79,Erde::N,мастор,earth
80,Staub::N,пуль,dust
81,Rauch::N,качам,smoke
82,Funke::N,ця́тка,spark
83,Feuer::N,тол,fire
84,Licht::N,ва́лда,light
85,Schatten::N,цильф,shadow
86,Wetter::N,уша,weather
87,Nebel::N,тума́н,fog
88,Wolke::N,ковол,cloud
89,Regen::N,пизем,rain
90,Schnee::N,лов,snow
91,Eis::N,эй,ice
92,Frost::N,ке́льме,frost
93,Kälte::N,якшама,chill
94,Hitze::N,пси,heat
95,Raureif::N,леш,hoarfrost
96,Regenbogen::N,а́тямъёнга,rainbow
97,Donner::N,атям,thunder
98,Strömung::N,шудема́,current
99,Tropfen::N,путькс,drop
100,Tropfen::N,пътняфкс,drop
101,Schaum::N,шов,foam
102,Schmutz::N,ърда́з,dirt
103,See::N,эрьхке,lake
104,Sumpf::N,шяй,swamp
105,Moor::N,шяй,moor
