,Concept_ID,bn,mrj
0,Auge::N,চক্ষু,сӹнзӓ
1,Ohr::N,কর্ণ,пӹлӹш
2,Nase::N,নাক,нер
3,Mund::N,মুখ,ышма
4,Zahn::N,দাঁত,пӱ
5,Zunge::N,জিহবা,йӹлмӹ
6,Lippe::N,অধর,тӹрвӹ
7,Wange::N,গণ্ড,шӹргӹ
8,Gesicht::N,মুখমণ্ডল,лицӓ
9,Stirn::N,কপাল,лепкӓ
10,Haar::N,চুল,ӱп
11,Schnurrbart::N,গোঁফ,öрш
12,Bart::N,শ্মশ্রু,пандаш
13,Kinn::N,চিবুক,онгылаш
14,Kiefer[Anatomie]::N,চোয়াল,пӱ арата
15,Kehle::N,কণ্ঠ,логер
16,Hals::N,গল,шӱ
17,Genick::N,ঘাড়,ланга
18,Kopf::N,মাথা,вуй
19,Rücken::N,পৃষ্ঠ,туп
20,Bauch::N,উদর,мӹшкӹр
21,Nabel::N,নাভি,кӹлӹмдӹ
22,Busen::N,স্তন,цӹзӹ
23,Brust::N,বুক,мел
24,Schulter::N,স্কন্ধ,ӹнгӹжӓ
25,Arm::N,বাহু,кид
26,Ellenbogen::N,কনুই,кӹнервуй
27,Hand::N,হাত,лапа
28,Handfläche::N,করতল,кид лапа
29,Finger::N,আঙ্গুল,парня
30,Fingernagel::N,হাতের নখ,кӹч
31,Nagel[Anatomie]::N,নখ,кӹч
32,Zeh::N,আঙ্গুল,парня
33,Fuß::N,পা,ял лапа
34,Ferse::N,গোড়ালি,ялгавал
35,Ferse::N,গোড়ালি,ял кавал
36,Knie::N,হাঁটু,пылвуй
37,Oberschenkel::N,ঊরু,ӓрдӹ
38,Bein::N,পা,ял
39,Körper::N,দেহ,монгыр
40,Haut::N,ত্বক,кавашты
41,Blut::N,রক্ত,вӹр
42,Ader::N,শিরা,вӹршӓр
43,Sehne::N,কণ্ডরা,кукшышӱн
44,Knochen::N,অস্থি,лу
45,Gehirn::N,মস্তিষ্ক,вим
46,Herz::N,হৃৎপিণ্ড,шӱм
47,Magen::N,পাকস্থলী,шӱм
48,Leber::N,যকৃৎ,мокш
49,Atem::N,শ্বাস,шӱлӹш
50,Hunger::N,ক্ষুধা,шужымаш
51,Träne::N,অশ্রু,сӹнзӓвӹд
52,Geschmack::N,স্বাদ,тот
53,Geruch::N,গন্ধ,пыш
54,Schlaf::N,ঘুম,ом
55,Traum::N,স্বপ্ন,ом
56,Himmel::N,আকাশ,пӹлгом
57,Sonne::N,সূর্য,кечӹ
58,Mond::N,চন্দ্র,тӹлзӹ
59,Stern::N,নক্ষত্র,шӹдӹр
60,Luft::N,বায়ু,юж
61,Luft::N,বায়ু,воздух
62,Wind::N,বাতাস,мардеж
63,Welle::N,ঢেউ,ко
64,Welle::N,ঢেউ,коэ
65,Welle::N,তরঙ্গ,ко
66,Welle::N,তরঙ্গ,коэ
67,Wasser::N,জল,вӹд
68,Stein::N,ঢিল,кӱ
69,Stein::N,প্রস্তর,кӱ
70,Boden::N,ভূতল,рок
71,Erde::N,ভূমি,свет
72,Staub::N,ধুলা,пырак
73,Rauch::N,ধোঁয়া,шӹкш
74,Funke::N,স্ফুলিঙ্গ,ип
75,Funke::N,স্ফুলিঙ্গ,тылип
76,Feuer::N,অগ্নি,тыл
77,Licht::N,আলো,соты
78,Licht::N,আলো,валгыды
79,Schatten::N,ছায়া,ӹмӹл
80,Wetter::N,আবহাওয়া,игечӹ
81,Nebel::N,কুহেলিকা,тӹтӹрӓ
82,Wolke::N,মেঘ,пӹл
83,Regen::N,বৃষ্টি,юр
84,Schnee::N,তুষার,лым
85,Eis::N,বরফ,и
86,Frost::N,তুষার,ӱштӹ
87,Kälte::N,শৈত্য,ӱштӹ
88,Hitze::N,তাপ,шокшы
