,Concept_ID,el,lez
0,Auge::N,μάτι,вил
1,Auge::N,οφθαλμός,вил
2,Ohr::N,αυτί,яб
3,Nase::N,μύτη,нер
4,Mund::N,στόμα,сив
5,Zahn::N,δόντι,сас
6,Zahn::N,δόντι,свах
7,Zunge::N,γλώσσα,мез
8,Lippe::N,χείλος,пӏуз
9,Wange::N,παρειά,хъвехъ
10,Wange::N,μάγουλο,хъвехъ
11,Gesicht::N,πρόσωπο,ччин
12,Stirn::N,μέτωπο,пел
13,Haar::N,μαλλιά,чӏар
14,Schnurrbart::N,μουστάκι,спел
15,Schnurrbart::N,μουστάκι,спелар
16,Bart::N,γένια,ччуру
17,Kinn::N,πιγούνι,чене
18,Kiefer[Anatomie]::N,σαγόνι,чене
19,Kehle::N,λαρύγγι,туьд
20,Hals::N,λαιμός,гардан
21,Genick::N,σβέρκος,кьам
22,Kopf::N,κεφάλι,кьил
23,Rücken::N,ράχη,далу
24,Bauch::N,κοιλιά,руфун
25,Nabel::N,αφαλός,пицӏ
26,Busen::N,στήθος,мам
27,Brust::N,στήθος,хур
28,Schulter::N,ώμος,къуьн
29,Arm::N,χέρι,гъил
30,Arm::N,μπράτςο,гъил
31,Ellenbogen::N,αγκώνας,кьуьнт
32,Hand::N,χέρι,капаш
33,Handfläche::N,παλάμη,капан юкь
34,Finger::N,δάχτυλο,тӏуб
35,Fingernagel::N,νύχι,кек
36,Nagel[Anatomie]::N,νύχι,кек
37,Zeh::N,δάχτυλο του ποδιού,кул
38,Fuß::N,πόδι,кӏвач
39,Ferse::N,φτέρνα,дабан
40,Knie::N,γόνατο,мет
41,Oberschenkel::N,μηρός,
42,Bein::N,πόδι,кӏвач
43,Körper::N,σώμα,беден
44,Körper::N,κορμί,беден
45,Haut::N,πετσί,хам
46,Blut::N,αίμα,иви
47,Ader::N,φλέβα,дамар
48,Sehne::N,νεύρο,кьуру дамар
49,Sehne::N,τένοντας,кьуру дамар
50,Knochen::N,οστό,кӏараб
51,Knochen::N,κόκκαλο,кӏараб
52,Gehirn::N,μυαλό,мефт
53,Gehirn::N,εγκέφαλος,мефт
54,Herz::N,καρδιά,рикӏ
55,Magen::N,στομάχι,хук
56,Leber::N,ήπαρ,лекь
