,Concept_ID,ba,fi
0,Auge::N,күҙ,silmä
1,Ohr::N,ҡолаҡ,korva
2,Nase::N,танау,nenä
3,Mund::N,ауыҙ,suu
4,Zahn::N,теш,hammas
5,Zunge::N,тел,kieli
6,Lippe::N,ирен,huuli
7,Wange::N,яцаҡтар,poski
8,Gesicht::N,бит,naama
9,Gesicht::N,бит,kasvot
10,Stirn::N,маңлай,otsa
11,Haar::N,сәс,hius
12,Haar::N,сәс,tukka
13,Schnurrbart::N,мылтыҡ,viikset
14,Bart::N,һаҡал,parta
15,Kinn::N,эйэк,leuka
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,leukaluu
17,Kehle::N,тамаҡ,kurkku
18,Hals::N,муйын,kaula
19,Genick::N,соңҡа,niska
20,Kopf::N,баш,pää
21,Rücken::N,арҡа,selkä
22,Bauch::N,ҡорһаҡ,maha
23,Bauch::N,ҡорһаҡ,vatsa
24,Nabel::N,кендек,napa
25,Busen::N,күкрәк,rinta
26,Brust::N,түш,rinta
27,Schulter::N,яурын,olka
28,Schulter::N,яурын,hartia
29,Schulter::N,яурын,olkapää
30,Arm::N,ҡул,käsivarsi
31,Ellenbogen::N,терһәк,kyynärpää
32,Hand::N,ҡул,käsi
33,Hand::N,ҡул суғы,käsi
34,Handfläche::N,ус төбө,kämmen
35,Finger::N,бармаҡ,sormi
36,Fingernagel::N,тырнаҡ,kynsi
37,Nagel[Anatomie]::N,тырнаҡ,kynsi
38,Zeh::N,бармаҡ,varvas
39,Fuß::N,табан,jalka
40,Ferse::N,үксә,kantapää
41,Knie::N,тубыҡ,polvi
42,Oberschenkel::N,сандыр,reisi
43,Bein::N,аяҡ,jalka
44,Körper::N,тән,keho
45,Körper::N,тән,ruumis
46,Haut::N,тире,iho
47,Blut::N,ҡан,veri
48,Ader::N,тамыр,suoni
49,Sehne::N,һеңер,jänne
50,Sehne::N,тарамыш,jänne
51,Knochen::N,һойәк,luu
52,Gehirn::N,мейе,aivot
53,Herz::N,йорәк,sydän
54,Magen::N,ашҡаҙан,maha
55,Magen::N,ашҡаҙан,vatsa
56,Leber::N,бауыр,maksa
57,Atem::N,һулыш,henki
58,Atem::N,һулыш,hengitys
59,Hunger::N,аслыҡ,nälkä
60,Träne::N,күҙ иәше,kyynel
61,Geschmack::N,тәм,maku
62,Geruch::N,еҫ,haju
63,Schlaf::N,йоҡлау,uni
64,Traum::N,төш,uni
65,Himmel::N,күк,taivas
66,Sonne::N,ҡояш,aurinko
67,Mond::N,ай,kuu
68,Stern::N,йондоҙ,tähti
69,Luft::N,һауа,ilma
70,Wind::N,ел,tuuli
71,Welle::N,тулҡын,aalto
72,Wasser::N,һыу,vesi
73,Stein::N,таш,kivi
74,Boden::N,тупраҡ,maa
75,Boden::N,тупраҡ,maaperä
76,Erde::N,балсҡ,maa
77,Staub::N,туҙан,pöly
78,Rauch::N,төтөн,savu
79,Funke::N,осҡон,kipinä
80,Feuer::N,ут,tuli
81,Licht::N,яҡтылыҡ,valo
82,Schatten::N,күләгә,varjo
83,Wetter::N,һауа торошо,sää
84,Nebel::N,төман,sumu
85,Wolke::N,болот,pilvi
86,Regen::N,ямғыр,sade
87,Schnee::N,ҡар,lumi
88,Eis::N,боҙ,jää
89,Frost::N,һалҡын,halla
90,Frost::N,һалҡын,pakkanen
91,Kälte::N,һыуыҡ,vilu
92,Kälte::N,һыуыҡ,kylmyys
93,Hitze::N,томра,helle
94,Hitze::N,томра,kuumuus
95,Hitze::N,эҫелек,helle
96,Hitze::N,эҫелек,kuumuus
97,Raureif::N,ҡырау,huurre
98,Regenbogen::N,йәйғор,sateenkaari
99,Donner::N,күк күкрәү,jyrinä
100,Strömung::N,ағым,virtaus
101,Tropfen::N,тамсы,tippa
102,Tropfen::N,тамсы,pisara
103,Schaum::N,күбек,vaahto
104,Schmutz::N,батҡаҡ,loka
105,See::N,күл,järvi
106,Sumpf::N,һаҙлык,suo
107,Moor::N,һаҙ,räme
108,Wiese::N,болон,niitty
109,Wald::N,урман,metsä
110,Hügel::N,түбә,mäki
111,Hügel::N,түбә,kumpu
112,Hügel::N,түбә,kukkula
113,Anhöhe::N,түбә,mäki
114,Anhöhe::N,түбә,kumpare
115,Anhöhe::N,ҡалҡыулыҡ,mäki
116,Anhöhe::N,ҡалҡыулыҡ,kumpare
117,Berg::N,тау,mäki
118,Berg::N,тау,vuori
119,Gipfel::N,түбә,laki
120,Gipfel::N,түбә,huippu
121,Höhle::N,мәмерйә,luola
122,Abhang::N,ипкен,rinne
123,Quelle::N,шишмә,lähde
124,Bach::N,шишмә,puro
125,Fluss::N,йылға,joki
126,Ufer::N,яр,ranta
127,Küste::N,яр буйы,rannikko
128,Festland::N,ҡоро ер,manner
129,Meer::N,диңгез,meri
130,Bucht::N,бухта,lahti
131,Insel::N,үтрау,saari
132,Blume::N,сәскә,kukka
133,Gras::N,үлән,ruoho
134,Wurzel::N,тамыр,juuri
135,Baum::N,ағас,puu
136,Stamm::N,олон,runko
137,Stamm::N,көбәк,runko
138,Rinde::N,ҡабыҡ,kuori
139,Rinde::N,ҡабыҡ,parkki
140,Ast::N,ботаҡ,oksa
141,Zweig::N,ботаҡ,haara
142,Zweig::N,тармаҡ,haara
143,Blatt::N,япраҡ,lehti
144,Birke::N,ҡайын,koivu
145,Kiefer[Baum]::N,ҡарғай,mänty
146,Kiefer[Baum]::N,ҡарғай,petäjä
147,Weide[Baum]::N,тал,paju
148,Tanne::N,шыршы,kuusi
149,Horn::N,мөғөҙ,sarvi
150,Feder::N,ҡауырһын,sulka
151,Feder::N,ҡауырһын,höyhen
152,Fell::N,тире,talja
153,Flügel::N,ҡанат,siipi
154,Klaue::N,тырнаҡ,kynsi
155,Kralle::N,аяҡ,kynsi
156,Schwanz::N,ҡойроҡ,häntä
157,Schwanz::N,ҡойроҡ,pyrstö
158,Ei::N,йомортҡа,muna
159,Nest::N,оя,pesä
160,Bau::N,оң,pesä
161,Tier::N,жайуан,eläin
162,Tier::N,йыртҡыс,eläin
163,Herde::N,көтөү,lauma
164,Kuh::N,һыйыр,lehmä
165,Bulle::N,үгеҙ,sonni
166,Pferd::N,ат,hevonen
167,Schaf::N,һарыҡ,lammas
168,Schwein::N,сусҡа,sika
169,Hund::N,эт,koira
170,Katze::N,бесәй,kissa
171,Bär::N,айыу,karhu
172,Eichhörnchen::N,тейен,orava
173,Elch::N,мышы,hirvi
174,Fuchs::N,төлкө,kettu
175,Hase::N,ҡуян,jänis
176,Maus::N,сысҡан,hiiri
177,Wolf::N,бүре,susi
178,Vogel::N,ҡош,lintu
179,Schwarm::N,көтөү,parvi
180,Huhn::N,тауыҡ,kana
181,Hahn::N,әтәс,kukko
182,Gans::N,ҡаҙ,hanhi
183,Adler::N,бөркөт,kotka
184,Ente::N,өйрәк,ankka
185,Eule::N,өкө,pöllö
186,Eule::N,ябалаҡ,pöllö
187,Kranich::N,торна,kurki
188,Krähe::N,ҡарға,varis
189,Kuckuck::N,кәкүк,käki
190,Schwan::N,аҡҡош,joutsen
191,Fisch::N,балыҡ,kala
192,Barsch::N,алабуға,ahven
193,Hecht::N,суртан,hauki
194,Schlange[Tier]::N,йылан,käärme
195,Wurm::N,селяүсен,mato
196,Spinne::N,үрмәксе,hämähäkki
