,Concept_ID,hr,eu
0,Auge::N,oko,begi
1,Ohr::N,uho,belarri
2,Nase::N,nos,sudur
3,Mund::N,usta,aho
4,Zahn::N,zub,hortz
5,Zunge::N,jezik,mihi
6,Lippe::N,usna,ezpain
7,Wange::N,obraz,masail
8,Gesicht::N,lice,aurpegi
9,Stirn::N,čelo,bekoki
10,Haar::N,kosa,ile
11,Haar::N,kosa,bilo
12,Schnurrbart::N,brkovi,bibote
13,Schnurrbart::N,brkovi,sudurpeko
14,Bart::N,brada,bizar
15,Kinn::N,brada,kokots
16,Kinn::N,podbradak,kokots
17,Kiefer[Anatomie]::N,čeljust,masailezur
18,Kehle::N,grlo,eztarri
19,Hals::N,vrat,sama
20,Genick::N,zatiljak,garondo
21,Kopf::N,glava,buru
22,Rücken::N,leđa,bizkar
23,Rücken::N,hrbat,bizkar
24,Bauch::N,trbuh,sabel
25,Nabel::N,pupak,zilbor
26,Busen::N,sisa,titi
27,Busen::N,sisa,ugatz
28,Busen::N,njedra,titi
29,Busen::N,njedra,ugatz
30,Brust::N,prsa,bular
31,Schulter::N,rame,besaburu
32,Schulter::N,pleći,besaburu
33,Arm::N,ruka,beso
34,Ellenbogen::N,lakat,ukondo
35,Hand::N,ruka,esku
36,Handfläche::N,dlan,ahur
37,Finger::N,prst,hatz
38,Fingernagel::N,nokat,azazkal
39,Nagel[Anatomie]::N,nokat,azazkal
40,Zeh::N,nozni prst,behatz
41,Fuß::N,noga,oin
42,Fuß::N,stopalo,oin
43,Ferse::N,peta,orpo
44,Ferse::N,peta,oinburu
45,Knie::N,koljeno,belaun
46,Oberschenkel::N,bedro,izter
47,Bein::N,noga,zango
48,Körper::N,tijelo,soin
49,Haut::N,put,azal
50,Haut::N,koža,azal
51,Blut::N,krv,odol
52,Ader::N,žila,zain
53,Sehne::N,tetiva,gihar-zain
54,Knochen::N,kost,hezur
55,Herz::N,srce,bihotz
56,Magen::N,stomak,urdail
57,Magen::N,želudac,urdail
58,Leber::N,jetra,gibel
59,Atem::N,dah,hats
60,Atem::N,dah,arnasa
61,Hunger::N,glad,gose
62,Träne::N,suza,malko
63,Geschmack::N,ukus,dasta
64,Geruch::N,njuh,usain
65,Geruch::N,miris,usain
66,Schlaf::N,san,lo
67,Traum::N,san,amets
68,Himmel::N,nebo,zeru
69,Sonne::N,sunce,eguzki
70,Mond::N,mjesec,ilargi
71,Stern::N,zvijezda,izar
72,Luft::N,zrak,aire
73,Wind::N,vjetar,haize
74,Welle::N,val,uhin
75,Welle::N,val,olatu
76,Welle::N,talas,uhin
77,Welle::N,talas,olatu
78,Wasser::N,voda,ur
79,Stein::N,kamen,harri
80,Boden::N,tlo,lur
81,Boden::N,tlo,zoru
82,Boden::N,zemlja,lur
83,Boden::N,zemlja,zoru
84,Erde::N,zemlja,lur
85,Staub::N,prah,hauts
86,Staub::N,prašina,hauts
87,Rauch::N,dim,ke
88,Funke::N,iskra,zirta
89,Funke::N,iskra,txinparta
90,Funke::N,varnica,zirta
91,Funke::N,varnica,txinparta
92,Feuer::N,vatra,su
93,Licht::N,svjetlo,argi
94,Schatten::N,hlad,itzal
95,Schatten::N,hlad,geriza
96,Schatten::N,sjena,itzal
97,Schatten::N,sjena,geriza
98,Wetter::N,vrijeme,eguraldi
99,Nebel::N,magla,laino
100,Wolke::N,oblak,hodei
101,Regen::N,kiša,euri
102,Schnee::N,snijeg,elur
103,Eis::N,led,horma
104,Frost::N,mraz,izotzaldi
105,Kälte::N,studen,hotz
106,Kälte::N,hladnoća,hotz
107,Hitze::N,vrućina,bero
108,Raureif::N,inje,antzigar
109,Regenbogen::N,duga,ostadar
110,Regenbogen::N,duga,ortzadar
111,Donner::N,grom,ostots
112,Donner::N,grom,ihurtzuri
113,Donner::N,grmljavina,ostots
114,Donner::N,grmljavina,ihurtzuri
115,Strömung::N,struja,laster
116,Strömung::N,strujanje,laster
117,Tropfen::N,kap,xorta
118,Tropfen::N,kaplja,xorta
119,Schaum::N,pjena,bits
120,Schmutz::N,nečistoća,lohi
121,Schmutz::N,nečistoća,zikin
122,Schmutz::N,prljavština,lohi
123,Schmutz::N,prljavština,zikin
124,See::N,jezero,laku
125,See::N,jezero,aintzira
126,Sumpf::N,bara,zingira
127,Moor::N,močvara,zohikaztegi
128,Wiese::N,livada,larre
129,Wiese::N,livada,belardi
130,Wald::N,šuma,baso
131,Wald::N,šuma,oihan
132,Hügel::N,brijeg,muino
133,Hügel::N,brijeg,pentoka
134,Hügel::N,brežuljak,muino
135,Hügel::N,brežuljak,pentoka
136,Anhöhe::N,uzvišica,garai
137,Anhöhe::N,uzvišica,goragune
138,Berg::N,brdo,mendi
139,Gipfel::N,vrh,gain
140,Gipfel::N,vrh,tontor
141,Höhle::N,pećina,kobazulo
142,Höhle::N,spilja,kobazulo
143,Abhang::N,obronak,aldapa
144,Abhang::N,nizbrdica,aldapa
145,Quelle::N,izvor,iturri
146,Quelle::N,izvor,iturbegi
147,Quelle::N,vrelo,iturri
148,Quelle::N,vrelo,iturbegi
149,Bach::N,potok,lats
150,Bach::N,potok,erreka
151,Fluss::N,rijeka,ibai
152,Fluss::N,rijeka,uhaitz
153,Ufer::N,obala,bazter
154,Küste::N,obala,itsasalde
155,Küste::N,morska obala,itsasalde
156,Festland::N,kopno,lehor
157,Meer::N,more,itsaso
158,Bucht::N,zaliv,golko
159,Insel::N,ada,irla
160,Insel::N,ada,uharte
161,Insel::N,otok,irla
162,Insel::N,otok,uharte
163,Blume::N,cvijet,lili
164,Gras::N,trava,belar
165,Wurzel::N,korijen,zuztar
166,Wurzel::N,korijen,sustrai
167,Baum::N,drvo,zuhaitz
168,Baum::N,stablo,zuhaitz
169,Stamm::N,deblo,enbor
170,Stamm::N,stablo,enbor
171,Rinde::N,kora,azal
172,Ast::N,grana,adar
173,Zweig::N,grana,abar
174,Blatt::N,list,hosto
175,Birke::N,breza,urki
176,Kiefer[Baum]::N,bor,ler
177,Weide[Baum]::N,iva,zume
178,Weide[Baum]::N,iva,sahats
179,Weide[Baum]::N,vŕba,zume
180,Weide[Baum]::N,vŕba,sahats
181,Tanne::N,jela,izei
182,Horn::N,rog,adar
183,Feder::N,pero,luma
184,Feder::N,pero,hegaki
185,Fell::N,koža,ile
186,Fell::N,koža,larru
187,Flügel::N,krilo,hego
188,Klaue::N,papak,atzapar
189,Kralle::N,pandža,erpe
190,Kralle::N,pandža,atzapar
191,Schwanz::N,rep,isats
192,Schwanz::N,rep,buztan
193,Ei::N,jaje,arrautza
194,Nest::N,gnijezdo,habia
195,Bau::N,jazbina,ohantze
196,Tier::N,životinja,abere
197,Tier::N,životinja,piztia
198,Herde::N,krdo,saldo
199,Herde::N,krdo,abere talde
200,Herde::N,stado,saldo
201,Herde::N,stado,abere talde
202,Kuh::N,krava,behi
203,Bulle::N,bik,zezen
204,Pferd::N,konj,zaldi
205,Schaf::N,ovca,ardi
206,Schwein::N,svinja,urde
207,Schwein::N,svinja,txerri
208,Hund::N,pas,txakur
