,Concept_ID,kv,fa
0,Auge::N,син,چشم
1,Ohr::N,пель,گوش
2,Nase::N,ныр,بینی
3,Mund::N,ӧм,دهان
4,Zahn::N,пинь,دندان
5,Zunge::N,кыв,زبان
6,Lippe::N,тырп,لب
7,Wange::N,рожабан,لپ
8,Gesicht::N,бан,رو
9,Gesicht::N,бан,چهره
10,Stirn::N,кымӧс,پیشانی
11,Haar::N,юрси,مو
12,Schnurrbart::N,уссэз,سبیل
13,Bart::N,тош,ریش
14,Kinn::N,тшӧка,چانه
15,Kiefer[Anatomie]::N,ан,فک
16,Kiefer[Anatomie]::N,ан,آرواره
17,Kehle::N,юан,حلق
18,Hals::N,юан,گردن
19,Genick::N,юр бӧр,پشت گردن
20,Kopf::N,юр,سر
21,Kopf::N,юр,کله
22,Rücken::N,мышк,پشت
23,Bauch::N,кынӧм,شکم
24,Nabel::N,гӧг,ناف
25,Busen::N,морос,پستان
26,Brust::N,морос,سینه
27,Schulter::N,пельпон,دوش
28,Schulter::N,пельпон,شانه
29,Arm::N,ки,بازو
30,Ellenbogen::N,гырдзза,آرنج
31,Hand::N,кикар,دست
32,Handfläche::N,ки пыдӧс,کف دست
33,Finger::N,чунь,انگشت
34,Fingernagel::N,гыж,ناخن دست
35,Nagel[Anatomie]::N,гыж,ناخن
36,Zeh::N,чунь,انگشت پا
37,Fuß::N,кокпыдӧс,پا
38,Ferse::N,кокдзир,پاشنه
39,Knie::N,пидзӧс,زانو
40,Oberschenkel::N,лядьбей,ران
41,Bein::N,кок,پا
42,Bein::N,кок,لنگ
43,Körper::N,вывтыр,تن
44,Körper::N,вывтыр,بدن
45,Haut::N,кучик,پوست
46,Blut::N,вир,خون
47,Ader::N,сӧн,رگ
48,Sehne::N,жила,زردپی
49,Knochen::N,коска,استخوان
50,Gehirn::N,вем,مخ
51,Gehirn::N,вем,مغز
52,Herz::N,сьӧлӧм,دل
53,Herz::N,сьӧлӧм,قلب
54,Magen::N,жӧвдӧк,معده
55,Leber::N,мус,کبد
56,Atem::N,лолалӧм,نفس
57,Hunger::N,тшыг,گرسنگی
58,Träne::N,синва,اشک
59,Geschmack::N,кӧр,مزه
60,Geruch::N,дук,بو
61,Schlaf::N,он,خواب
62,Traum::N,вӧт,رؤیا
63,Himmel::N,небо,فلک
64,Himmel::N,небо,آسمان
65,Sonne::N,шондi,آفتاب
66,Sonne::N,шондi,خورشید
67,Mond::N,тӧлiсь,ماه
68,Stern::N,кӧдзыв,ستاره
69,Luft::N,ру,هوا
70,Wind::N,тӧв,باد
71,Welle::N,гы,موج
72,Wasser::N,ва,آب
73,Stein::N,из,سنگ
74,Boden::N,му,زمین
75,Erde::N,му,خاک
76,Erde::N,му,زمین
77,Staub::N,бус,گرد
78,Staub::N,бус,غبار
79,Rauch::N,тшын,دود
80,Funke::N,бичир,جرقه
81,Feuer::N,би,آتش
82,Licht::N,би,نور
83,Licht::N,би,روشنی
84,Schatten::N,вуджӧр,سایه
85,Wetter::N,погоддя,هوا
86,Nebel::N,туман,مه
87,Wolke::N,кымӧр,ابر
88,Regen::N,зэр,باران
89,Schnee::N,лым,برف
90,Eis::N,йы,یخ
91,Frost::N,мороз,یخبندان
92,Kälte::N,кӧдзыт,سرما
93,Hitze::N,ӧд,گرما
94,Hitze::N,ӧд,حرارت
95,Raureif::N,кижа,برف ریزه
96,Regenbogen::N,енӧшка,رنگین‌کمان
97,Donner::N,гым,رعد
98,Strömung::N,визывтӧм,جریان
99,Tropfen::N,тёп,قطره
100,Schaum::N,быг,کف
101,Schmutz::N,нять,گل
102,Schmutz::N,нять,کثافت
