,Concept_ID,fr,hr
0,Auge::N,œil,oko
1,Ohr::N,oreille,uho
2,Nase::N,nez,nos
3,Mund::N,bouche,usta
4,Zahn::N,dent,zub
5,Zunge::N,langue,jezik
6,Lippe::N,lèvre,usna
7,Wange::N,joue,obraz
8,Gesicht::N,face,lice
9,Gesicht::N,visage,lice
10,Stirn::N,front,čelo
11,Haar::N,cheveu,kosa
12,Schnurrbart::N,moustache,brkovi
13,Bart::N,barbe,brada
14,Kinn::N,menton,brada
15,Kinn::N,menton,podbradak
16,Kiefer[Anatomie]::N,mâchoire,čeljust
17,Kehle::N,gorge,grlo
18,Hals::N,cou,vrat
19,Genick::N,nuque,zatiljak
20,Kopf::N,tête,glava
21,Rücken::N,dos,leđa
22,Rücken::N,dos,hrbat
23,Bauch::N,ventre,trbuh
24,Nabel::N,nombril,pupak
25,Busen::N,sein,sisa
26,Busen::N,sein,njedra
27,Brust::N,poitrine,prsa
28,Schulter::N,épaule,rame
29,Schulter::N,épaule,pleći
30,Arm::N,bras,ruka
31,Ellenbogen::N,coude,lakat
32,Hand::N,main,ruka
33,Handfläche::N,paume,dlan
34,Finger::N,doigt,prst
35,Fingernagel::N,ongle,nokat
36,Nagel[Anatomie]::N,ongle,nokat
37,Zeh::N,orteil,nozni prst
38,Zeh::N,doigt de pied,nozni prst
39,Fuß::N,pied,noga
40,Fuß::N,pied,stopalo
41,Ferse::N,talon,peta
42,Knie::N,genou,koljeno
43,Oberschenkel::N,cuisse,bedro
44,Bein::N,jambe,noga
45,Körper::N,corps,tijelo
46,Haut::N,peau,put
47,Haut::N,peau,koža
48,Blut::N,sang,krv
49,Ader::N,veine,žila
50,Sehne::N,tendon,tetiva
51,Knochen::N,os,kost
52,Gehirn::N,cerveau,
53,Herz::N,cœur,srce
54,Magen::N,estomac,stomak
55,Magen::N,estomac,želudac
56,Leber::N,foie,jetra
57,Atem::N,haleine,dah
58,Hunger::N,faim,glad
59,Träne::N,larme,suza
60,Geschmack::N,goût,ukus
61,Geschmack::N,saveur,ukus
62,Geruch::N,odeur,njuh
63,Geruch::N,odeur,miris
64,Schlaf::N,sommeil,san
65,Traum::N,songe,san
66,Himmel::N,ciel,nebo
67,Sonne::N,soleil,sunce
68,Mond::N,lune,mjesec
69,Stern::N,étoile,zvijezda
70,Luft::N,air,zrak
71,Wind::N,vent,vjetar
72,Welle::N,vague,val
73,Welle::N,vague,talas
74,Wasser::N,eau,voda
75,Stein::N,pierre,kamen
76,Boden::N,sol,tlo
77,Boden::N,sol,zemlja
78,Boden::N,terrain,tlo
79,Boden::N,terrain,zemlja
80,Erde::N,terre,zemlja
81,Staub::N,poussière,prah
82,Staub::N,poussière,prašina
83,Rauch::N,fumée,dim
84,Funke::N,étincelle,iskra
85,Funke::N,étincelle,varnica
86,Feuer::N,feu,vatra
87,Licht::N,lumière,svjetlo
88,Schatten::N,ombre,hlad
89,Schatten::N,ombre,sjena
90,Wetter::N,temps,vrijeme
91,Nebel::N,brume,magla
92,Nebel::N,brouillard,magla
93,Wolke::N,nuage,oblak
94,Regen::N,pluie,kiša
95,Schnee::N,neige,snijeg
96,Eis::N,glace,led
97,Frost::N,gel,mraz
98,Frost::N,gelée,mraz
99,Kälte::N,froid,studen
100,Kälte::N,froid,hladnoća
101,Hitze::N,chaleur,vrućina
102,Raureif::N,givre,inje
103,Regenbogen::N,arc-en-ciel,duga
104,Donner::N,tonnerre,grom
105,Donner::N,tonnerre,grmljavina
106,Strömung::N,courant,struja
107,Strömung::N,courant,strujanje
108,Tropfen::N,goutte,kap
109,Tropfen::N,goutte,kaplja
110,Schaum::N,écume,pjena
111,Schaum::N,mousse,pjena
112,Schmutz::N,boue,nečistoća
113,Schmutz::N,boue,prljavština
114,Schmutz::N,saleté,nečistoća
115,Schmutz::N,saleté,prljavština
116,See::N,lac,jezero
117,Sumpf::N,marais,bara
118,Sumpf::N,marécage,bara
119,Moor::N,tourbière,močvara
120,Wiese::N,pré,livada
121,Wald::N,bois,šuma
122,Wald::N,forêt,šuma
123,Hügel::N,coteau,brijeg
124,Hügel::N,coteau,brežuljak
125,Hügel::N,colline,brijeg
126,Hügel::N,colline,brežuljak
127,Anhöhe::N,éminence,uzvišica
128,Anhöhe::N,élévation,uzvišica
129,Berg::N,mont,brdo
130,Berg::N,montagne,brdo
131,Gipfel::N,cime,vrh
132,Gipfel::N,sommet,vrh
133,Höhle::N,caverne,pećina
134,Höhle::N,caverne,spilja
135,Abhang::N,pente,obronak
136,Abhang::N,pente,nizbrdica
137,Abhang::N,versant,obronak
138,Abhang::N,versant,nizbrdica
139,Quelle::N,source,izvor
140,Quelle::N,source,vrelo
141,Quelle::N,fontaine,izvor
142,Quelle::N,fontaine,vrelo
143,Bach::N,ruisseau,potok
144,Fluss::N,fleuve,rijeka
145,Fluss::N,rivière,rijeka
146,Ufer::N,bord,obala
147,Ufer::N,rivage,obala
148,Küste::N,côte,obala
149,Küste::N,côte,morska obala
150,Festland::N,terre ferme,kopno
151,Meer::N,mer,more
