,Concept_ID,hu,mrj
0,Auge::N,szem,сӹнзӓ
1,Ohr::N,fül,пӹлӹш
2,Nase::N,orr,нер
3,Mund::N,száj,ышма
4,Zahn::N,fog,пӱ
5,Zunge::N,nyelv,йӹлмӹ
6,Lippe::N,ajak,тӹрвӹ
7,Wange::N,orca,шӹргӹ
8,Gesicht::N,arc,лицӓ
9,Stirn::N,homlok,лепкӓ
10,Haar::N,haj,ӱп
11,Schnurrbart::N,bajusz,öрш
12,Bart::N,szakáll,пандаш
13,Kinn::N,áll,онгылаш
14,Kiefer[Anatomie]::N,állkapocs,пӱ арата
15,Kehle::N,gége,логер
16,Kehle::N,torok,логер
17,Hals::N,nyak,шӱ
18,Genick::N,tarkó,ланга
19,Kopf::N,fő,вуй
20,Kopf::N,fej,вуй
21,Rücken::N,hát,туп
22,Bauch::N,has,мӹшкӹр
23,Nabel::N,köldök,кӹлӹмдӹ
24,Busen::N,mell,цӹзӹ
25,Busen::N,kebel,цӹзӹ
26,Brust::N,mell,мел
27,Schulter::N,váll,ӹнгӹжӓ
28,Arm::N,kar,кид
29,Ellenbogen::N,könyök,кӹнервуй
30,Hand::N,kéz,лапа
31,Handfläche::N,tenyér,кид лапа
32,Finger::N,ujj,парня
33,Fingernagel::N,köröm,кӹч
34,Nagel[Anatomie]::N,köröm,кӹч
35,Zeh::N,lábujj,парня
36,Fuß::N,láb,ял лапа
37,Ferse::N,sarok,ялгавал
38,Ferse::N,sarok,ял кавал
39,Knie::N,térd,пылвуй
40,Oberschenkel::N,comb,ӓрдӹ
41,Bein::N,láb,ял
42,Bein::N,lábszár,ял
43,Körper::N,test,монгыр
44,Haut::N,bőr,кавашты
45,Blut::N,vér,вӹр
46,Ader::N,ér,вӹршӓр
47,Sehne::N,ín,кукшышӱн
48,Knochen::N,csont,лу
49,Gehirn::N,agy,вим
50,Gehirn::N,agyvelő,вим
51,Herz::N,szív,шӱм
52,Magen::N,gyomor,шӱм
53,Leber::N,máj,мокш
54,Atem::N,lehelet,шӱлӹш
55,Atem::N,lélegzet,шӱлӹш
56,Hunger::N,éhség,шужымаш
57,Träne::N,könny,сӹнзӓвӹд
58,Geschmack::N,íz,тот
59,Geruch::N,szag,пыш
60,Schlaf::N,álom,ом
61,Schlaf::N,alvás,ом
62,Traum::N,álom,ом
63,Himmel::N,ég,пӹлгом
64,Himmel::N,menny,пӹлгом
65,Sonne::N,nap,кечӹ
66,Mond::N,hold,тӹлзӹ
67,Stern::N,csillag,шӹдӹр
68,Luft::N,levegő,юж
69,Luft::N,levegő,воздух
70,Wind::N,szél,мардеж
71,Welle::N,hullám,ко
72,Welle::N,hullám,коэ
73,Wasser::N,víz,вӹд
74,Stein::N,kő,кӱ
75,Boden::N,föld,рок
76,Boden::N,talaj,рок
77,Erde::N,föld,свет
78,Staub::N,por,пырак
79,Rauch::N,füst,шӹкш
80,Funke::N,szikra,ип
81,Funke::N,szikra,тылип
82,Feuer::N,tűz,тыл
83,Licht::N,fény,соты
84,Licht::N,fény,валгыды
85,Schatten::N,árnyék,ӹмӹл
86,Wetter::N,idő,игечӹ
87,Wetter::N,időjárás,игечӹ
88,Nebel::N,köd,тӹтӹрӓ
89,Wolke::N,felhő,пӹл
90,Regen::N,eső,юр
91,Schnee::N,hó,лым
92,Eis::N,jég,и
93,Frost::N,fagy,ӱштӹ
94,Kälte::N,hideg,ӱштӹ
95,Hitze::N,hő,шокшы
96,Hitze::N,hőség,шокшы
97,Raureif::N,zúzmara,пöрш
98,Regenbogen::N,szivárvány,шанавӹл
99,Donner::N,dörgés,хӹдӹртӹш
100,Donner::N,mennydörgés,хӹдӹртӹш
101,Strömung::N,áramlat,йогы
102,Tropfen::N,csepp,капльы
103,Tropfen::N,csepp,капльык
104,Schaum::N,hab,шонг
105,Schaum::N,tajték,шонг
106,Schmutz::N,piszok,лявӹрӓ
107,See::N,tó,йӓр
108,Sumpf::N,mocsár,лӱкӹ
109,Moor::N,láp,куп
110,Wiese::N,rét,алык
111,Wiese::N,mező,алык
112,Wald::N,erdő,шӹргӹ
113,Hügel::N,domb,пӱгӹрикӓ
114,Anhöhe::N,magaslat,кӱкшикӓ
115,Berg::N,hegy,кырык
116,Gipfel::N,csúcs,неркӓ
117,Höhle::N,barlang,ы́раж
118,Abhang::N,lejtő,полом
119,Quelle::N,forrás,вӹдсӹнзӓ
120,Bach::N,patak,ӓнгӹр
121,Fluss::N,folyó,вӹд
122,Ufer::N,part,сир
123,Küste::N,tengerpart,сир
124,Festland::N,szárazföld,мӱлӓндӹ
125,Meer::N,tenger,тангыж
126,Bucht::N,öböl,вӹдъял
127,Insel::N,sziget,острок
128,Blume::N,virág,пеледӹш
129,Gras::N,fű,шуды
130,Wurzel::N,gyökér,важ
131,Baum::N,fa,пушӓнгӹ
132,Stamm::N,tő,пушӓнгӹ тӹнг
133,Stamm::N,törzs,пушӓнгӹ тӹнг
134,Rinde::N,kéreg,каргыж
135,Ast::N,ág,укш
136,Zweig::N,gally,укш
137,Blatt::N,levél,листӹ
138,Birke::N,nyír,куги
139,Kiefer[Baum]::N,fenyő,йӓктӹ
140,Weide[Baum]::N,fűz,уа
141,Tanne::N,fenyő,кож
142,Horn::N,szarv,шур
143,Feder::N,toll,пын
144,Fell::N,szőr,кавашты
145,Fell::N,bunda,кавашты
146,Flügel::N,szárny,шылдыр
