,Concept_ID,be,lbe
0,Auge::N,вока,я
1,Ohr::N,вуха,вичӏи
2,Nase::N,нос,май
3,Mund::N,рот,кьацӏ
4,Zahn::N,зуб,ккарччи
5,Zunge::N,язык,маз
6,Lippe::N,губа,мурччи
7,Wange::N,шчака,чӏав
8,Gesicht::N,твар,лажин
9,Stirn::N,лоб,ненттабакӏ
10,Haar::N,волас,чӏара
11,Haar::N,валасы,чӏара
12,Schnurrbart::N,вус,ссирссилтту
13,Schnurrbart::N,вусы,ссирссилтту
14,Bart::N,барада,чӏири
15,Kinn::N,падбародак,лунттубакӏ
16,Kiefer[Anatomie]::N,сківіца,ххинчулул
17,Kehle::N,горла,кьакьари
18,Hals::N,шыя,ссурссу
19,Genick::N,патыліца,махъабакӏ
20,Kopf::N,галава,бакӏ
21,Rücken::N,спіна,ттиликӏ
22,Bauch::N,жывот,лякьа
23,Nabel::N,пупок,цӏумуккутӏ
24,Busen::N,грудзі,ккукку
25,Brust::N,грудзі,хъазам
26,Schulter::N,плячо,хъачӏ
27,Arm::N,рука,ка
28,Ellenbogen::N,локаць,ссюрхъ
29,Hand::N,кісць,бартка
30,Handfläche::N,далонь,хъат
31,Handfläche::N,далонь,битӏянхъ
32,Finger::N,палец,кӏисса
33,Fingernagel::N,ногаць,михь
34,Nagel[Anatomie]::N,ногаць,михь
35,Zeh::N,палец,кӏисса
36,Fuß::N,нага,чӏанччан
37,Ferse::N,пята,никъа
38,Ferse::N,пятка,никъа
39,Knie::N,калена,ник
40,Oberschenkel::N,бядро,жира
41,Oberschenkel::N,сцягно,жира
42,Bein::N,нага,ччан
43,Körper::N,цела,чурх
44,Haut::N,скура,бурчу
45,Blut::N,кроў,оь
46,Ader::N,вена,тунну
47,Ader::N,сасуд,тунну
48,Sehne::N,жыла,хьхьа
49,Sehne::N,цеціва,хьхьа
50,Sehne::N,сухажылле,хьхьа
51,Knochen::N,косць,ттаркӏ
52,Gehirn::N,мозг,ня
53,Herz::N,сэрца,дакӏ
54,Herz::N,сэрца,къюкӏ
55,Magen::N,страўнік,лякьа
56,Leber::N,печань,
57,Atem::N,дыханне,ссихӏ ласаву
58,Atem::N,дыханне,ссихӏ бигьаву
59,Hunger::N,голад,ккаши
60,Träne::N,сляза,макь
61,Geschmack::N,смак,тӏин
62,Geschmack::N,смак,тӏааьн
63,Geruch::N,пах,кьанкь
64,Schlaf::N,сон,шану
65,Traum::N,сон,макӏру
66,Himmel::N,неба,ссав
67,Sonne::N,сонца,баргъ
68,Mond::N,месяц,барз
69,Stern::N,зорка,цӏуку
70,Luft::N,паветра,гьава
71,Wind::N,вецер,марч
72,Welle::N,хваля,щатӏи
73,Wasser::N,вада,щин
74,Stein::N,камень,чару
75,Boden::N,глеба,аьрщи
76,Erde::N,зямля,аьрщи
77,Staub::N,пыл,ххит
78,Rauch::N,дым,пуркӏу
79,Funke::N,іскра,пиягь
80,Feuer::N,агонь,цӏу
81,Licht::N,святло,чани
82,Schatten::N,цень,ххют
83,Wetter::N,пагода,гьава
84,Wetter::N,надворʼе,гьава
85,Nebel::N,туман,шархь ттурлу
86,Wolke::N,воблака,ттурлу
87,Regen::N,дождж,гъарал
88,Schnee::N,снег,марххала
89,Eis::N,лёд,микӏ
90,Frost::N,мароз,дяркъу
91,Frost::N,мароз,замгьар
92,Kälte::N,холад,дяркъу
93,Hitze::N,спёка,кӏиришиву
94,Raureif::N,іней,сил
95,Raureif::N,іней,бурса
96,Regenbogen::N,вясёлка,ссурул ккуртта
97,Donner::N,гром,къув
98,Strömung::N,цячэнне,экьинанаву
99,Tropfen::N,кропля,кӏунтӏ
100,Schaum::N,пена,хьама
101,Schmutz::N,гразь,кьяркьи
102,See::N,возера,бяр
103,Sumpf::N,багна,кунцӏа
104,Moor::N,балота,
105,Wiese::N,луг,кьан
106,Wald::N,лес,вацӏа
107,Hügel::N,узгорак,бакӏу
108,Anhöhe::N,узвышша,
109,Berg::N,гара,зунтту
110,Gipfel::N,вяршыня,мицӏ
111,Höhle::N,пячора,нух
112,Abhang::N,схіл,сун
113,Quelle::N,крыніца,дайдихьу
114,Quelle::N,крыніца,бакӏ
115,Bach::N,ручай,чӏрир нех
116,Fluss::N,рака,нех
117,Ufer::N,бераг,зума
118,Küste::N,узбярэжжа,зумаинхалу
119,Küste::N,узбярэжжа,зуманицӏалу
120,Festland::N,суша,кьири
121,Meer::N,мора,хьхьири
122,Bucht::N,бухта,
123,Insel::N,востраў,жазира
124,Blume::N,кветка,тӏутӏи
125,Gras::N,трава,уртту
126,Wurzel::N,корань,мархха
127,Baum::N,дрэва,мурхь
128,Stamm::N,ствол,ттарцӏ
129,Rinde::N,кара,ккамара
130,Ast::N,сук,матӏи
131,Zweig::N,галіна,къяртта
132,Blatt::N,ліст,чӏапӏи
133,Birke::N,бяроза,кӏялахӏи
134,Birke::N,бяроза,кӏялахӏилул мурхь
135,Kiefer[Baum]::N,хвоя,ттар
136,Kiefer[Baum]::N,хвоя,ттарлил мурхь
137,Kiefer[Baum]::N,сасна,ттар
138,Kiefer[Baum]::N,сасна,ттарлил мурхь
139,Weide[Baum]::N,вярба,щавщи
140,Tanne::N,яліна,ттарлил мурхь
141,Horn::N,рог,хъи
142,Feder::N,пяро,лелуххул тӏиму
143,Fell::N,шкура,бурчу
144,Flügel::N,крыло,хъа
145,Flügel::N,крыло,ххурупӏайрал тӏиму
146,Klaue::N,кіпцюр,михь
147,Kralle::N,лапа,ххяппа
148,Schwanz::N,хвост,магъ
149,Ei::N,яйка,ккунук
150,Nest::N,гняздо,кюру
151,Bau::N,нара,цукъуккутӏ
152,Tier::N,жывёла,хӏайван
153,Herde::N,статак,газу
154,Kuh::N,карова,оьл
155,Bulle::N,бык,ниц
156,Pferd::N,конь,чу
157,Schaf::N,авечка,тта
158,Schwein::N,свіння,дунгъуз
159,Hund::N,сабака,ккаччи
160,Katze::N,кошка,ччиту
161,Bär::N,мядзведзь,цуша
162,Eichhörnchen::N,вавёрка,бюрхттукку
163,Elch::N,лось,ниц-бюрин
164,Fuchs::N,ліса,цулчӏа
165,Fuchs::N,ліса,куча цулчӏа
166,Hase::N,заяц,бюрх
167,Maus::N,мыш,кӏулу
168,Wolf::N,воўк,барцӏ
169,Vogel::N,птах,лелуххи
170,Vogel::N,птушка,лелуххи
171,Schwarm::N,чарада,гьухъала
172,Huhn::N,курыца,аьнакӏи
173,Hahn::N,певень,ажари
174,Gans::N,гусь,къаз
175,Adler::N,арол,барзу
176,Ente::N,качка,урдак
177,Eule::N,сава,ису
178,Eule::N,сава,ччиккумяв
179,Kranich::N,жораў,кьурукь
180,Kranich::N,журавель,кьурукь
