,Concept_ID,hi,uz
0,Auge::N,आँख,ko'z
1,Auge::N,चक्षु,ko'z
2,Ohr::N,कान,quloq
3,Ohr::N,कर्ण,quloq
4,Nase::N,नाक,burun
5,Nase::N,नासा,burun
6,Mund::N,मुख,og'iz
7,Mund::N,मुँह,og'iz
8,Zahn::N,दंत,tish
9,Zahn::N,दाँत,tish
10,Zunge::N,जीभ,til
11,Zunge::N,ज़बान,til
12,Zunge::N,जिह्वा,til
13,Lippe::N,ओंठ,dudoq
14,Lippe::N,होंठ,dudoq
15,Wange::N,गाल,bet
16,Wange::N,कपोल,bet
17,Gesicht::N,मुँह,yuz
18,Gesicht::N,चेहरा,yuz
19,Stirn::N,माथा,manglay
20,Stirn::N,मस्तक,manglay
21,Haar::N,बाल,soch
22,Schnurrbart::N,मूँछें,mo'ylov
23,Bart::N,दाढ़ी,soqol
24,Kinn::N,चिबुक,ängak
25,Kiefer[Anatomie]::N,जबड़ा,iyak
26,Kehle::N,गला,bo'g'iz
27,Hals::N,गला,bo'yin
28,Hals::N,गरदन,bo'yin
29,Genick::N,गरदन,gardan
30,Genick::N,ग्रीवा,gardan
31,Kopf::N,सिर,bosh
32,Kopf::N,शीर्ष,bosh
33,Rücken::N,पीठ,orqa
34,Bauch::N,उदर,qorin
35,Nabel::N,नाभि,kindik
36,Nabel::N,ढोंढी,kindik
37,Busen::N,कुच,ämchak
38,Busen::N,स्तन,ämchak
39,Brust::N,वक्ष,ko'krak
40,Schulter::N,कंधा,elka
41,Schulter::N,स्कंध,elka
42,Arm::N,बाँह,bilak
43,Arm::N,बाज़ू,bilak
44,Ellenbogen::N,कुहनी,tirsak
45,Hand::N,हाथ,qo'l
46,Hand::N,हस्त,qo'l
47,Handfläche::N,हथेली,kaft
48,Finger::N,उँगली,barmoq
49,Finger::N,अँगुली,barmoq
50,Fingernagel::N,नख,tirnoq
51,Fingernagel::N,नाख़ून,tirnoq
52,Nagel[Anatomie]::N,नख,tirnoq
53,Nagel[Anatomie]::N,नाख़ून,tirnoq
54,Zeh::N,उँगली,oyoq barmog'i
55,Zeh::N,पाँव की उँगली,oyoq barmog'i
56,Fuß::N,चरण,oyoq
57,Fuß::N,पाँव,oyoq
58,Ferse::N,एड़ी,tovon
59,Knie::N,जानु,tiz
60,Knie::N,घुटना,tiz
61,Oberschenkel::N,उरु,son
62,Bein::N,टाँग,oyoq
63,Körper::N,तन,badna
64,Körper::N,देह,badna
65,Körper::N,शरीर,badna
66,Haut::N,चर्म,teri
67,Haut::N,त्वचा,teri
68,Blut::N,लहू,qon
69,Blut::N,ख़ून,qon
70,Ader::N,रग,qon tomir
71,Ader::N,शिरा,qon tomir
72,Sehne::N,कंडरा,tomir
73,Sehne::N,स्नायु,tomir
74,Knochen::N,अस्थि,suyak
75,Gehirn::N,दिमाग़,miya
76,Gehirn::N,मस्तिष्क,miya
77,Herz::N,दिल,qalb
78,Herz::N,हृदय,qalb
79,Magen::N,मेदा,oshqozon
80,Magen::N,अमाशय,oshqozon
81,Leber::N,जिगर,bag'ir
82,Leber::N,यकृत्,bag'ir
83,Atem::N,दम,dam
84,Atem::N,साँस,dam
85,Atem::N,श्वास,dam
86,Hunger::N,भूख,ochlik
87,Hunger::N,क्षुधा,ochlik
88,Träne::N,आँसू,yosh
89,Träne::N,अश्रु,yosh
90,Geschmack::N,स्वाद,tam
91,Geschmack::N,ज़ायक़ा,tam
92,Geruch::N,बू,jid
93,Geruch::N,गंध,jid
94,Schlaf::N,नींद,uyqu
95,Schlaf::N,निद्रा,uyqu
96,Traum::N,सपना,tush
97,Traum::N,स्वप्न,tush
98,Himmel::N,आकाश,osmon
99,Himmel::N,आसमान,osmon
100,Sonne::N,रवि,quyosh
101,Sonne::N,सूरज,quyosh
102,Sonne::N,सूर्य,quyosh
103,Mond::N,चाँद,oy
104,Mond::N,चंद्र,oy
105,Stern::N,तारा,yulduz
106,Stern::N,सितारा,yulduz
107,Luft::N,हवा,havo
108,Luft::N,वायु,havo
109,Wind::N,पाद,el
110,Welle::N,लहर,to'lqin
111,Welle::N,तरंग,to'lqin
112,Wasser::N,जल,suv
113,Wasser::N,पानी,suv
114,Stein::N,पत्थर,tosh
115,Boden::N,मिट्टी,tuproq
116,Erde::N,भूमि,er
117,Erde::N,ज़मीन,er
118,Staub::N,धूल,chang
119,Rauch::N,धूआँ,tutun
120,Rauch::N,धुम्र,tutun
121,Funke::N,चिनगारी,yalt
122,Funke::N,स्फुलिंग,yalt
123,Feuer::N,आग,o't
124,Feuer::N,आतिश,o't
125,Feuer::N,अग्नि,o't
126,Licht::N,रोशनी,yorug'
127,Licht::N,प्रकाश,yorug'
128,Schatten::N,छाया,soya
129,Schatten::N,परछाई,soya
130,Wetter::N,ऋतु,havo
131,Wetter::N,मौसम,havo
132,Nebel::N,धुँध,tuman
133,Nebel::N,कुहरा,tuman
134,Wolke::N,मेघ,bulut
135,Wolke::N,अभ्र,bulut
136,Regen::N,मेंह,yomg'ir
137,Regen::N,बारिश,yomg'ir
138,Schnee::N,हिम,qor
139,Schnee::N,बर्फ़,qor
140,Eis::N,हिम,muz
141,Eis::N,बर्फ़,muz
142,Frost::N,ठंड,ajoz
143,Kälte::N,सर्दी,ajoz
144,Kälte::N,शीतलता,ajoz
145,Hitze::N,ताप,issiq
146,Hitze::N,गरमी,issiq
147,Raureif::N,पाला,qirov
148,Regenbogen::N,इंद्र-धनुष,kamalak
149,Donner::N,गरज,guldur
150,Donner::N,मेघ-गर्जन,guldur
151,Strömung::N,बहाव,oqim
152,Strömung::N,प्रवाह,oqim
153,Tropfen::N,बूँद,tomchi
154,Schaum::N,झाग,ko'pik
155,Schmutz::N,गंद,gard
156,Schmutz::N,कीचड़,gard
157,See::N,झील,ko'l
158,See::N,सरोवर,ko'l
159,Sumpf::N,दलदल,botqoq
160,Sumpf::N,धँसान,botqoq
161,Moor::N,झाबर,qir-adir
162,Moor::N,धँसान,qir-adir
163,Wiese::N,घास-स्थल,o'tzor
164,Wald::N,जंगल,o'rmon
165,Hügel::N,टीला,tepa
166,Hügel::N,पहाड़,tepa
167,Anhöhe::N,टीला,adir
168,Anhöhe::N,पहाड़ी,adir
169,Berg::N,पहाड़,tog'
170,Gipfel::N,शिखर,cho'qqi
171,Höhle::N,गुहा,kavak
172,Höhle::N,गुफ़ा,kavak
173,Abhang::N,ढाल,to'sh
174,Abhang::N,ढलान,to'sh
175,Quelle::N,चश्मा,buloq
176,Bach::N,सोता,o'zan
177,Bach::N,नदिका,o'zan
178,Fluss::N,नदी,daryo
179,Fluss::N,सरिता,daryo
180,Ufer::N,तट,sohil
181,Ufer::N,किनारा,sohil
182,Küste::N,समुद्र-तट,qirg'oq
183,Festland::N,महाद्वीप,materik
184,Meer::N,सागर,dengiz
185,Meer::N,समुद्र,dengiz
186,Bucht::N,खाड़ी,qo'ltiq
187,Insel::N,टापू,orol
188,Insel::N,द्वीप,orol
189,Blume::N,फूल,gul
190,Blume::N,पुष्प,gul
191,Gras::N,घास,sabza
192,Wurzel::N,मूल,tub
193,Wurzel::N,मूल,tomir
194,Baum::N,पेड़,daraxt
195,Baum::N,वृक्ष,daraxt
196,Stamm::N,धड़,o'simta
197,Rinde::N,छाल,qobiq
198,Rinde::N,वल्कल,qobiq
199,Ast::N,डाल,shox
200,Ast::N,शाखा,shox
201,Zweig::N,टहनी,butoq
202,Blatt::N,पत्र,barg
203,Blatt::N,पत्ता,barg
204,Birke::N,भूर्ज,qayin
205,Kiefer[Baum]::N,पाइन-वृक्ष,qarag'ay
206,Weide[Baum]::N,बेंत,shum
207,Tanne::N,फ़र,archa
208,Horn::N,सींग,mugiz
209,Horn::N,विषाण,mugiz
210,Feder::N,पर,par
211,Feder::N,पंख,par
212,Fell::N,खाल,mo'yna
213,Fell::N,पशु-चर्म,mo'yna
214,Flügel::N,पंख,qanot
215,Flügel::N,डैना,qanot
216,Klaue::N,पंजा,tirnoq
217,Kralle::N,पंजा,tirnoq
218,Kralle::N,नाख़ून,tirnoq
219,Schwanz::N,पूँछ,quyruq
220,Ei::N,अंडा,tuxum
221,Nest::N,नीड़,oshyon
222,Nest::N,घोंसला,oshyon
223,Bau::N,बिल,o'pqon
224,Bau::N,माँद,o'pqon
225,Tier::N,पशु,hayvon
226,Tier::N,जानवर,hayvon
227,Herde::N,गल्ला,gala
228,Kuh::N,गौ,inak
229,Kuh::N,गाय,inak
230,Bulle::N,साँड़,ho'kiz
231,Pferd::N,अश्व,ot
232,Pferd::N,घोड़ा,ot
233,Schaf::N,भेड़,qo'y
234,Schwein::N,शूकर,cho'chqa
235,Hund::N,श्वान,it
236,Hund::N,कुत्ता,it
237,Katze::N,बिल्ली,mushuk
238,Bär::N,रीछ,ayiq
239,Bär::N,भालू,ayiq
240,Eichhörnchen::N,गिलहरी,tiyin
241,Elch::N,एल्क,los
242,Fuchs::N,लोमड़ी,tulki
243,Hase::N,खरहा,kuyon
244,Hase::N,ख़रगोश,kuyon
245,Maus::N,मूष,sichqon
246,Maus::N,चूहा,sichqon
247,Wolf::N,वृक,bo'ri
248,Wolf::N,भेड़िया,bo'ri
249,Vogel::N,पक्षी,qush
250,Vogel::N,चिड़िया,qush
251,Schwarm::N,झुंड,to'da
252,Huhn::N,मुर्ग़ी,tovuq
253,Hahn::N,मुर्ग़ा,xo'roz
254,Gans::N,हंस,g'oz
255,Gans::N,हंसिनी,g'oz
256,Adler::N,उक़ाब,burgut
257,Ente::N,बतख़,o'rdak
258,Ente::N,बत्तक,o'rdak
259,Eule::N,उल्लू,boyo'g'li
260,Kranich::N,सारस,turna
261,Kranich::N,क्रौंंच,turna
262,Krähe::N,काक,qarg'a
