,Concept_ID,sv,ps
0,Auge::N,öga,سترګه
1,Ohr::N,öra,غوږ
2,Nase::N,näsa,پوزه
3,Mund::N,mun,خوله
4,Zahn::N,tand,غاښ
5,Zunge::N,tunga,جبه
6,Lippe::N,läpp,شونډه
7,Wange::N,kind,باړخو
8,Gesicht::N,syn,مخ
9,Gesicht::N,ansikte,مخ
10,Stirn::N,panna,تندی
11,Stirn::N,panna,وچولی
12,Haar::N,hår,وېښته
13,Schnurrbart::N,mustasch,برېت
14,Bart::N,skägg,ږیره
15,Kinn::N,haka,زنه
16,Kiefer[Anatomie]::N,käke,جامه
17,Kehle::N,strupe,غاړه
18,Hals::N,hals,غاړه
19,Genick::N,nacke,ورمېږ
20,Kopf::N,huvud,سر
21,Rücken::N,rygg,شا
22,Bauch::N,buk,نس
23,Bauch::N,buk,ګېډه
24,Bauch::N,mage,نس
25,Bauch::N,mage,ګېډه
26,Nabel::N,navel,نوم
27,Busen::N,barm,تی
28,Brust::N,bröst,سینه
29,Schulter::N,skuldra,اوږه
30,Arm::N,arm,لاس
31,Ellenbogen::N,armbåge,څنګل
32,Hand::N,hand,لاس
33,Handfläche::N,handflata,ورغوی
34,Finger::N,finger,ګوته
35,Fingernagel::N,fingernagel,نوک
36,Nagel[Anatomie]::N,nagel,نوک
37,Zeh::N,tå,ګوته
38,Fuß::N,fot,پښه
39,Ferse::N,häl,پونده
40,Knie::N,knä,زنګون
41,Oberschenkel::N,lår,پتون
42,Bein::N,ben,پښه
43,Körper::N,kropp,ځان
44,Haut::N,hud,پوټکی
45,Haut::N,skinn,پوټکی
46,Blut::N,blod,وینه
47,Ader::N,åder,رګ
48,Sehne::N,sena,پله
49,Knochen::N,ben,هډوکی
50,Gehirn::N,hjärna,ماغزه
51,Herz::N,hjärta,زړه
52,Magen::N,mage,معده
53,Leber::N,lever,ينه
54,Leber::N,lever,ځیګر
55,Atem::N,anda,نفس
56,Atem::N,andedräkt,نفس
57,Hunger::N,svält,ولږه
58,Hunger::N,hunger,ولږه
