,Concept_ID,mhr,udm
0,Auge::N,шинча́,син
1,Ohr::N,пы́лыш,пель
2,Nase::N,нер,ныр
3,Mund::N,умша́,ым
4,Zahn::N,пӱй,пинь
5,Zunge::N,йы́лме,кыл
6,Lippe::N,тӱ́рвӧ,ымдур
7,Wange::N,шӱ́ргӧ,бам
8,Gesicht::N,чури́й,ымныр
9,Stirn::N,саҥга́,кымес
10,Haar::N,ӱп,йырси
11,Schnurrbart::N,ӧ́рыш,мыйык
12,Bart::N,понда́ш,туш
13,Kinn::N,оҥыла́ш,ангес
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ан
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,анлы
16,Kiefer[Anatomie]::N,пӱйората́,ан
17,Kiefer[Anatomie]::N,пӱйората́,анлы
18,Kehle::N,лога́р,гульым
19,Hals::N,шӱй,чырты
20,Genick::N,шӱйло́дыш,йырбер
21,Kopf::N,вуй,йыр
22,Rücken::N,туп,мыш
23,Bauch::N,мӱ́шкыр,кӧт
24,Nabel::N,кы́лымде,гогы
25,Busen::N,чы́зе,ноны
26,Brust::N,оҥ,мӧля
27,Schulter::N,ва́че,пельпум
28,Arm::N,кид,суй
29,Ellenbogen::N,кынерву́й,гырпум
30,Hand::N,кид,ки
31,Hand::N,копа́,ки
32,Handfläche::N,со́во,ки пыдэс
33,Handfläche::N,со́во,кырым пыдэс
34,Finger::N,парня́,чиньы
35,Fingernagel::N,кидкӱ́ч,гижы
36,Fingernagel::N,кидкӱ́ч,гиждӥнь
37,Fingernagel::N,парнягӱ́ч,гижы
38,Fingernagel::N,парнягӱ́ч,гиждӥнь
39,Nagel[Anatomie]::N,кӱч,гижы
40,Zeh::N,йолварня́,пыдчиньы
41,Fuß::N,йол,пыд
42,Fuß::N,йолкопа́,пыд
43,Ferse::N,тага́н,пыдбер
44,Knie::N,пулву́й,пыдес
45,Oberschenkel::N,э́рде,макес
46,Bein::N,йол,пыд
47,Körper::N,кап,мугор
48,Körper::N,кап,вылтыр
49,Haut::N,кова́ште,ку
50,Blut::N,вӱр,вир
51,Ader::N,шӧн,вирсэр
52,Sehne::N,шӧн,вуж
53,Sehne::N,кӱсе́н,вуж
54,Knochen::N,лу,лы
55,Gehirn::N,вем,вим
56,Gehirn::N,вуйве́м,вим
57,Herz::N,шӱм,сюлэм
58,Magen::N,пага́р,ӝуш
59,Leber::N,мокш,мус
60,Atem::N,шӱ́лыш,лул
61,Atem::N,шӱ́лыш,шокан
62,Hunger::N,шужыма́ш,кӧтсюман
63,Träne::N,шинчавӱ́д,синкыли
64,Geschmack::N,там,шӧм
65,Geruch::N,пуш,зын
66,Schlaf::N,о́мо,вӧт
67,Traum::N,йӱдо́мо,уйвӧт
68,Himmel::N,кава́,ин
69,Sonne::N,ке́че,шунды
70,Mond::N,ты́лзе,толэзь
71,Stern::N,шӱ́дыр,кизили
72,Luft::N,юж,омыр
73,Wind::N,марде́ж,тӧл
74,Welle::N,то́лкын,тулкым
75,Wasser::N,вӱд,ву
76,Stein::N,кӱ,из
77,Boden::N,рок,музъем
78,Erde::N,мла́нде,му
79,Staub::N,пура́к,пыль
80,Rauch::N,шикш,ӵын
81,Funke::N,сеске́м,гизьы
82,Funke::N,тулйы́п,гизьы
83,Feuer::N,тул,тыл
84,Licht::N,со́то,тыл
85,Schatten::N,ӱ́мыл,вужер
86,Wetter::N,иге́че,куазь
87,Nebel::N,тӱтыра́,бус
88,Wolke::N,пыл,пилем
89,Regen::N,йӱр,зор
90,Schnee::N,лум,лымы
91,Eis::N,ий,йӧ
92,Frost::N,чатлама́,кезьыт
93,Kälte::N,йӱ́штӧ,кезьыт
94,Hitze::N,шо́кшо,пӧсь
95,Raureif::N,пӧрш,гӧр
96,Raureif::N,по́кшым,гӧр
97,Regenbogen::N,шонанпы́л,вуюись
98,Donner::N,кӱ́дырчӧ,гудыри
99,Strömung::N,йо́гын,бызён
100,Tropfen::N,чӱча́лтыш,шапык
101,Schaum::N,шоҥ,шукы
102,Schmutz::N,лавыра́,нӧд
103,Schmutz::N,лавыра́,дэри
104,See::N,ер,ты
105,Sumpf::N,лӱ́кӧ,нюр
106,Moor::N,куп,нюр
107,Wiese::N,о́лык,возь
108,Wiese::N,о́лык,возьвыл
109,Wald::N,чодыра́,сик
110,Wald::N,чодыра́,нюлэс
111,Hügel::N,арка́,выр
112,Hügel::N,арка́,вырйыл
113,Anhöhe::N,тӧва́,выр
114,Anhöhe::N,тӧва́,вырйыл
115,Anhöhe::N,кӱкшака́,выр
116,Anhöhe::N,кӱкшака́,вырйыл
117,Berg::N,ку́рык,гурезь
118,Gipfel::N,чаҥга́,йыл
119,Gipfel::N,курыкву́й,йыл
120,Höhle::N,пеще́р,гу
121,Höhle::N,курыкпо́мыш,гу
122,Abhang::N,та́йыл,бам
123,Quelle::N,важ,ошмес
124,Quelle::N,вӱдшинча́,ошмес
125,Bach::N,изэҥе́р,пичи шур
126,Fluss::N,эҥе́р,шур
127,Ufer::N,сер,ярдур
128,Küste::N,вӱдтӱ́р,вудур
129,Festland::N,мла́нде,мувыр
130,Meer::N,те́ҥыз,зарезь
131,Bucht::N,икса́,вукож
132,Insel::N,отро́,вумуӵ
133,Insel::N,отро́,шормуӵ
134,Blume::N,пеле́дыш,сяська
135,Gras::N,шу́до,турын
136,Wurzel::N,вож,выжы
137,Baum::N,пуше́ҥге,пу
138,Stamm::N,йы́тыр,модос
139,Rinde::N,шӱм,сул
140,Ast::N,укш,ул
141,Zweig::N,торма́к,вай
142,Blatt::N,лышта́ш,куар
143,Birke::N,куэ́,кызьпу
144,Kiefer[Baum]::N,пӱ́нчӧ,пужым
145,Weide[Baum]::N,уа́,бадьпу
146,Tanne::N,кож,кыз
