,Concept_ID,bg,ka
0,Auge::N,око,თვალი
1,Ohr::N,ухо,ყური
2,Nase::N,нос,ცხვირი
3,Mund::N,уста,პირი
4,Zahn::N,зъб,კბილი
5,Zunge::N,език,ენა
6,Lippe::N,устна,ბაგე
7,Wange::N,буза,ლოყა
8,Gesicht::N,лице,სახე
9,Gesicht::N,образ,სახე
10,Stirn::N,чело,შუბლი
11,Haar::N,коса,თმა
12,Haar::N,косъм,თმა
13,Schnurrbart::N,мустаци,ულვაში
14,Bart::N,брада,წვერი
15,Kinn::N,брада,ნიკაპი
16,Kinn::N,брадичка,ნიკაპი
17,Kiefer[Anatomie]::N,челюст,ყბა
18,Kehle::N,гърло,ყელი
19,Hals::N,врат,ყელი
20,Hals::N,врат,კისერი
21,Genick::N,тил,კეფა
22,Kopf::N,глава,თავი
23,Rücken::N,гръб,ზურგი
24,Bauch::N,корем,მუცელი
25,Nabel::N,пъп,ჭიპი
26,Busen::N,бозка,ძუძუ
27,Brust::N,гръд,მკერდი
28,Schulter::N,рамо,მხარი
29,Schulter::N,рамо,მკლავი
30,Schulter::N,плещи,მხარი
31,Schulter::N,плещи,მკლავი
32,Arm::N,ръка,ხელი
33,Ellenbogen::N,лакът,იდაყვი
34,Hand::N,ръка,ხელი
35,Hand::N,китка,ხელი
36,Handfläche::N,длан,ნები
37,Handfläche::N,длан,ხელისგული
38,Finger::N,пръст,თითი
39,Fingernagel::N,нокът,ფრჩხილი
40,Nagel[Anatomie]::N,нокът,ფრჩხილი
41,Zeh::N,пръст на крак,ფეხის თითი
42,Fuß::N,крак,ტერფი
43,Fuß::N,крак,ფეხისგული
44,Fuß::N,нога,ტერფი
45,Fuß::N,нога,ფეხისგული
46,Ferse::N,пета,ქუსლი
47,Knie::N,коляно,მუხლი
48,Oberschenkel::N,бедро,ბარძაყი
49,Bein::N,крак,ფეხი
50,Bein::N,нога,ფეხი
51,Körper::N,тяло,ტანი
52,Körper::N,тяло,სხეული
53,Haut::N,кожа,კანი
54,Blut::N,кръв,სისხლი
55,Ader::N,вена,ძარღვი
56,Ader::N,артерия,ძარღვი
57,Sehne::N,жила,მყესი
58,Sehne::N,сухожилие,მყესი
59,Knochen::N,кост,ძვალი
60,Gehirn::N,мозък,ტვინი
61,Herz::N,сърце,გული
62,Magen::N,стомах,კუჭი
63,Leber::N,черен дроб,ღვიძლი
64,Atem::N,дишане,სუნთქვა
65,Hunger::N,глад,შიმშილი
66,Träne::N,сълза,ცრემლი
67,Geschmack::N,вкус,გემო
68,Geruch::N,миризма,სუნი
69,Schlaf::N,сън,ძილი
70,Traum::N,сън,სიზმარი
71,Himmel::N,небе,ცა
72,Sonne::N,слънце,მზე
73,Mond::N,луна,მთვარე
74,Mond::N,месец,მთვარე
75,Stern::N,звезда,ვარსკვლავი
76,Luft::N,въздух,ჰაერი
77,Wind::N,вятър,ქარი
78,Welle::N,вълна,ტალღა
79,Wasser::N,вода,წყალი
80,Stein::N,камък,ქვა
81,Boden::N,земя,მიწა
82,Boden::N,почва,მიწა
83,Erde::N,земя,ნიადაგი
84,Erde::N,почва,ნიადაგი
85,Staub::N,прах,მტვერი
86,Rauch::N,дим,ბოლი
87,Rauch::N,дим,კვამლი
88,Rauch::N,пушек,ბოლი
89,Rauch::N,пушек,კვამლი
90,Funke::N,искра,ნაკვესი
91,Feuer::N,огън,ცეცხლი
92,Licht::N,светлина,შუქი
93,Licht::N,светлина,სინათლე
94,Schatten::N,сянка,ლანდი
95,Schatten::N,сянка,ჩრდილი
96,Wetter::N,време,ამინდი
97,Nebel::N,мъгла,ნისლი
98,Wolke::N,облак,ღრუბელი
99,Regen::N,дъжд,წვიმა
100,Schnee::N,сняг,თოვლი
101,Eis::N,лед,თოში
102,Eis::N,лед,ყინული
103,Frost::N,мраз,ყინვა
104,Kälte::N,студ,სიცივე
105,Hitze::N,жега,სიცხე
106,Hitze::N,горещина,სიცხე
107,Raureif::N,скреж,ჭირხლი
108,Raureif::N,скреж,თრთვილი
109,Raureif::N,слана,ჭირხლი
110,Raureif::N,слана,თრთვილი
111,Regenbogen::N,дъга,ცისარტყელა
112,Donner::N,гръм,ქუხილი
113,Strömung::N,течение,დინება
114,Tropfen::N,капка,წვეთი
115,Schaum::N,пяна,ქაფი
116,Schaum::N,пяна,დორბლი
117,Schmutz::N,кал,ჭუჭყი
118,Schmutz::N,кал,ტალახი
119,Schmutz::N,мръсотия,ჭუჭყი
120,Schmutz::N,мръсотия,ტალახი
121,See::N,езеро,ტბა
122,Sumpf::N,блато,ჭაობი
123,Moor::N,мочурище,ტორფნარი
124,Wiese::N,ливада,ველი
125,Wiese::N,ливада,მდელო
126,Wald::N,гора,ტყე
127,Hügel::N,рид,ბორცვი
128,Hügel::N,хълм,ბორცვი
129,Anhöhe::N,могила,მაღლობი
130,Anhöhe::N,възвишение,მაღლობი
131,Berg::N,планина,მთა
132,Gipfel::N,връх,მწვერვალი
133,Höhle::N,пещера,მღვიმე
134,Höhle::N,пещера,გამოქვებული
135,Abhang::N,склон,ფერდობი
136,Abhang::N,стръмнина,ფერდობი
137,Quelle::N,извор,წყარო
138,Quelle::N,извор,სათავე
139,Bach::N,поток,რუ
140,Bach::N,поток,ნაკადული
141,Fluss::N,река,მდინარე
142,Ufer::N,бряг,კიდე
143,Ufer::N,бряг,ნაპირი
144,Küste::N,бряг,ნაპირი
145,Küste::N,крайбрежие,ნაპირი
146,Festland::N,суша,ხმელეთი
147,Meer::N,море,ზღვა
148,Bucht::N,залив,ყურე
149,Insel::N,остров,კუნძული
150,Blume::N,цвете,ყვავილი
151,Gras::N,трева,ბალახი
152,Wurzel::N,корен,ძირი
153,Wurzel::N,корен,ფესვი
154,Baum::N,дърво,ხე
155,Stamm::N,стъбло,ტანი
156,Rinde::N,кора,ქერქი
157,Ast::N,клон,ტოტი
158,Zweig::N,клон,შტო
159,Blatt::N,лист,ფოთოლი
160,Birke::N,бреза,არყი
161,Kiefer[Baum]::N,бор,ფიჭვი
162,Weide[Baum]::N,върба,ტირიფი
163,Tanne::N,ела,ნაძვი
164,Horn::N,рог,რქა
165,Feder::N,перо,ფრთა
166,Fell::N,кожа,ტყავი
167,Flügel::N,крило,ფრთა
168,Klaue::N,нокът,კლანჭი
169,Kralle::N,нокът,ტორი
170,Schwanz::N,опашка,კუდი
171,Ei::N,яйце,კვერცხი
172,Nest::N,гнездо,ბუდე
173,Bau::N,дупка,სორო
174,Tier::N,животно,ნადირი
175,Tier::N,животно,ცხოველი
176,Herde::N,стадо,ფარა
177,Kuh::N,крава,ფური
178,Kuh::N,крава,ძროხა
179,Bulle::N,бик,ხარი
180,Pferd::N,кон,რაში
181,Pferd::N,кон,ცხენი
182,Schaf::N,овца,ცხვარი
183,Schwein::N,свиня,ღორი
184,Hund::N,куче,ძაღლი
185,Katze::N,котка,კატა
186,Bär::N,мечка,დათვი
187,Eichhörnchen::N,катерица,ციყვი
188,Elch::N,лос,ცხენ-ირემი
189,Fuchs::N,лисица,მელა
190,Hase::N,заек,კურდღელი
191,Maus::N,мишка,თაგვი
192,Wolf::N,вълк,მგელი
193,Vogel::N,птица,ჩიტი
194,Vogel::N,птица,ფრინველი
195,Schwarm::N,рой,გუნდი
196,Schwarm::N,рояк,გუნდი
197,Huhn::N,кокошка,დედალი
198,Hahn::N,петел,მამალი
199,Gans::N,гъска,ბატი
200,Adler::N,орел,არწივი
201,Ente::N,патица,იხვი
202,Eule::N,сова,ბუ
203,Kranich::N,жерав,წერო
204,Krähe::N,врана,ყვავი
205,Kuckuck::N,кукувица,გუგული
206,Schwan::N,лебед,გედი
207,Fisch::N,риба,თევზი
208,Barsch::N,костур,ქორჭილა
209,Hecht::N,щука,ქარიყლაპია
210,Schlange[Tier]::N,змия,გველი
211,Wurm::N,червей,ჭია
212,Spinne::N,паяк,ობობა
213,Ameise::N,мравка,ჭიანჭველა
214,Laus::N,въшка,ტილი
215,Laus::N,въшка,მკბენარი
216,Mücke::N,комар,კოღო
217,Fliege::N,муха,ბუზი
218,Schmetterling::N,пеперуда,პეპელა
219,Beere::N,плод,კენკრა
220,Apfel::N,ябълка,ვაშლი
221,Pilz::N,гъба,სოკო
222,Zwiebel::N,лук,ხახვი
223,Zwiebel::N,кромид,ხახვი
224,Saat::N,семе,თესლი
225,Korn::N,зърно,მარცვალი
226,Heu::N,сено,თივა
227,Schale::N,кора,ჩენჩო
228,Grube::N,яма,ორმო
229,Grube::N,дупка,ორმო
230,Falle::N,примка,ხაფანგი
231,Schlinge::N,клуп,მახე
232,Spur::N,диря,კვალი
233,Spur::N,следа,კვალი
234,Asche::N,пепел,ფერფლი
235,Dreck::N,кал,ტალახი
236,Dreck::N,кал,სიბინძურე
237,Eisen::N,желязо,რკინა
238,Gold::N,злато,ოქრო
239,Silber::N,сребро,ვერცხლი
240,Kohle::N,въглища,ნახშირი
241,Glas::N,стъкло,მინა
242,Lehm::N,глина,თიხა
243,Sand::N,пясък,ქვიშა
244,Mensch::N,човек,ადამიანი
245,Mann::N,мъж,კაცი
246,Frau::N,жена,ქალი
247,Kind::N,дете,ბავშვი
