,Concept_ID,ta,sk
0,Auge::N,கண்,oko
1,Ohr::N,காது,ucho
2,Nase::N,மூக்கு,nos
3,Mund::N,வாய்,ústa
4,Zahn::N,பல்,zub
5,Zunge::N,நாக்கு,jazyk
6,Lippe::N,உதடு,pera
7,Wange::N,கன்னம்,líce
8,Gesicht::N,முகம்,tvár
9,Gesicht::N,முகம்,obličaj
10,Stirn::N,முன்னெற்றி,čelo
11,Haar::N,முடி,vlas
12,Schnurrbart::N,மீசை,fúzy
13,Bart::N,தாடி,brada
14,Kinn::N,கீழதாடை,brada
15,Kiefer[Anatomie]::N,தாடை,čeľusť
16,Kehle::N,தொண்டை,hrdlo
17,Hals::N,கழுத்து,krk
18,Genick::N,கழுத்து,väzy
19,Kopf::N,தலை,hlava
20,Rücken::N,முதுகு,chrbát
21,Bauch::N,வயிறு,brucho
22,Nabel::N,தொப்புள்,pupok
23,Busen::N,மார்பகம்,prsia
24,Brust::N, மார்பு,hruď
25,Schulter::N,தோள்பட்டை,plece
26,Arm::N,கரம்,rameno
27,Ellenbogen::N,முழங்கை,lakeť
28,Hand::N,கை,ruka
29,Handfläche::N,உள்ளங்கை,dlaň
30,Finger::N,விரல்,prst
31,Fingernagel::N,விரல் நகம்,necht
32,Nagel[Anatomie]::N,நகம்,necht
33,Zeh::N,கால்விரல்,prst na nohe
34,Fuß::N,கால்,noha
35,Ferse::N,குதிகால்,päta
36,Knie::N,முழங்கால்,koleno
37,Oberschenkel::N,தொடை,stehno
38,Bein::N,கால்,noha
39,Körper::N,உடல்,telo
40,Haut::N,சருமம்,koža
41,Blut::N,இரத்தம்,krv
42,Ader::N,நாளம்,žila
43,Sehne::N,தசைநார்,šľacha
44,Knochen::N,எலுமபு,kosť
45,Gehirn::N,மூனை,mozog
46,Herz::N,இதயம,srdce
47,Magen::N,வயிறு,žalúdok
48,Leber::N,கல்லீரல்,pečeň
49,Atem::N,மூச்சு,dych
50,Hunger::N,பசி,hlad
51,Träne::N,கண்ணீர்,slza
52,Geschmack::N,நறுமணம்,chuť
53,Geruch::N,துர்நாற்றம்,pach
54,Schlaf::N,தூக்கம்,spánok
55,Traum::N,கனவு,sen
56,Himmel::N,வானம்,nebo
57,Sonne::N,சூரியன்,slnko
58,Mond::N,சந்திரன்,mesiac
