,Concept_ID,be,vep
0,Auge::N,вока,sil'm
1,Ohr::N,вуха,korv
2,Nase::N,нос,nena
3,Mund::N,рот,su
4,Zahn::N,зуб,pi
5,Zahn::N,зуб,hambaz
6,Zunge::N,язык,kel'
7,Lippe::N,губа,hul'
8,Wange::N,шчака,modpolišk
9,Gesicht::N,твар,mod
10,Stirn::N,лоб,oc
11,Haar::N,волас,tuk
12,Haar::N,волас,hibuz
13,Haar::N,валасы,tuk
14,Haar::N,валасы,hibuz
15,Schnurrbart::N,вус,habinod
16,Schnurrbart::N,вусы,habinod
17,Bart::N,барада,bard
18,Kinn::N,падбародак,löug
19,Kiefer[Anatomie]::N,сківіца,hambazlu
20,Kehle::N,горла,kurk
21,Hals::N,шыя,kagl
22,Genick::N,патыліца,tagarai
23,Kopf::N,галава,pä
24,Rücken::N,спіна,sel'g
25,Bauch::N,жывот,vac
26,Bauch::N,жывот,koht
27,Nabel::N,пупок,naba
28,Busen::N,грудзі,niža
29,Brust::N,грудзі,rind
30,Schulter::N,плячо,oug
31,Arm::N,рука,käzi
32,Ellenbogen::N,локаць,künambruz
33,Hand::N,кісць,käzi
34,Hand::N,кісць,käzitera
35,Handfläche::N,далонь,kämen
36,Finger::N,палец,sor'm
37,Fingernagel::N,ногаць,künz'
38,Nagel[Anatomie]::N,ногаць,künz'
39,Zeh::N,палец,barbaz
40,Fuß::N,нага,jaug
41,Ferse::N,пята,kand
42,Ferse::N,пятка,kand
43,Knie::N,калена,komb
44,Knie::N,калена,pol'v
45,Oberschenkel::N,бядро,riiže
46,Oberschenkel::N,сцягно,riiže
47,Bein::N,нага,jaug
48,Körper::N,цела,hibj
49,Haut::N,скура,nahk
50,Blut::N,кроў,čak
51,Blut::N,кроў,veri
52,Ader::N,вена,son'
53,Ader::N,сасуд,son'
54,Sehne::N,жыла,jände
55,Sehne::N,цеціва,jände
56,Sehne::N,сухажылле,jände
57,Knochen::N,косць,lu
58,Gehirn::N,мозг,aivod
59,Herz::N,сэрца,südäin
60,Magen::N,страўнік,südäikoht
61,Leber::N,печань,maks
62,Atem::N,дыханне,hengaiduz
63,Hunger::N,голад,näl'g
64,Träne::N,сляза,kündal'
65,Geschmack::N,смак,magu
66,Geruch::N,пах,haju
67,Schlaf::N,сон,uni
68,Traum::N,сон,unikuva
69,Himmel::N,неба,taivaz
70,Sonne::N,сонца,päiväine
71,Mond::N,месяц,kudmaine
72,Stern::N,зорка,tähtaz
73,Luft::N,паветра,il'm
74,Wind::N,вецер,döl
75,Wind::N,вецер,tullei
76,Welle::N,хваля,ald
77,Welle::N,хваля,laineh
78,Wasser::N,вада,vezi
79,Stein::N,камень,kivi
80,Boden::N,глеба,ma
81,Boden::N,глеба,pohj
82,Erde::N,зямля,ma
83,Staub::N,пыл,pölü
84,Rauch::N,дым,savu
85,Funke::N,іскра,kibin
86,Feuer::N,агонь,lämoi
87,Licht::N,святло,vauktuz
88,Schatten::N,цень,pil'vez
89,Schatten::N,цень,kuvahaine
90,Wetter::N,пагода,sä
91,Wetter::N,надворʼе,sä
92,Nebel::N,туман,sumeg
93,Wolke::N,воблака,pil'v
94,Regen::N,дождж,vihm
95,Schnee::N,снег,lumi
96,Eis::N,лёд,jä
97,Frost::N,мароз,hala
98,Frost::N,мароз,pakaine
99,Kälte::N,холад,vilu
100,Hitze::N,спёка,räk
101,Raureif::N,іней,hüde
102,Regenbogen::N,вясёлка,jumalanbembel'
103,Donner::N,гром,juru
104,Donner::N,гром,jumalanjuru
105,Strömung::N,цячэнне,joksmuz
106,Tropfen::N,кропля,tilkuine
107,Schaum::N,пена,vaht
108,Schmutz::N,гразь,redu
109,Schmutz::N,гразь,pačak
110,See::N,возера,järv
111,Sumpf::N,багна,so
112,Moor::N,балота,so
113,Wiese::N,луг,nit
114,Wald::N,лес,mec
115,Hügel::N,узгорак,kukaz
116,Anhöhe::N,узвышша,kukaz
117,Berg::N,гара,mägi
118,Gipfel::N,вяршыня,ladv
119,Höhle::N,пячора,mägionduz
120,Abhang::N,схіл,paute
121,Quelle::N,крыніца,lähte
122,Bach::N,ручай,oja
123,Fluss::N,рака,jogi
124,Ufer::N,бераг,rand
125,Küste::N,узбярэжжа,randišt
126,Festland::N,суша,kuivma
127,Meer::N,мора,meri
128,Bucht::N,бухта,laht
129,Insel::N,востраў,sar'
130,Blume::N,кветка,änik
131,Gras::N,трава,hein
132,Wurzel::N,корань,jur'
133,Baum::N,дрэва,pu
134,Stamm::N,ствол,tüvi
135,Rinde::N,кара,kor'
136,Ast::N,сук,oks
137,Zweig::N,галіна,oks
138,Zweig::N,галіна,barb
139,Blatt::N,ліст,lehtez
140,Birke::N,бяроза,koiv
141,Kiefer[Baum]::N,хвоя,pedai
142,Kiefer[Baum]::N,сасна,pedai
143,Weide[Baum]::N,вярба,raid
144,Tanne::N,яліна,kuz'
145,Horn::N,рог,sar'v
146,Feder::N,пяро,höuneh
147,Fell::N,шкура,nahk
148,Flügel::N,крыло,suug
149,Klaue::N,кіпцюр,künz'
150,Kralle::N,лапа,künz'
151,Schwanz::N,хвост,händ
152,Ei::N,яйка,muna
153,Nest::N,гняздо,peza
154,Bau::N,нара,uru
155,Tier::N,жывёла,živat
156,Herde::N,статак,kogo
157,Kuh::N,карова,lehm
158,Bulle::N,бык,härg
159,Pferd::N,конь,hebo
160,Schaf::N,авечка,lambaz
161,Schwein::N,свіння,siga
162,Hund::N,сабака,koir
163,Katze::N,кошка,kaži
164,Bär::N,мядзведзь,kondi
165,Eichhörnchen::N,вавёрка,orav
166,Elch::N,лось,hirb'
167,Fuchs::N,ліса,reboi
168,Hase::N,заяц,jäniš
169,Maus::N,мыш,hir'
170,Wolf::N,воўк,händikaz
171,Vogel::N,птах,lind
172,Vogel::N,птушка,lind
173,Schwarm::N,чарада,parveh
174,Huhn::N,курыца,kana
175,Hahn::N,певень,kukoi
176,Gans::N,гусь,hanh'
177,Adler::N,арол,orl
178,Ente::N,качка,sorz
179,Eule::N,сава,hir'pulo
180,Kranich::N,жораў,kurg
181,Kranich::N,журавель,kurg
182,Krähe::N,варона,variš
183,Kuckuck::N,зязюля,kägi
184,Schwan::N,лебедзь,joucen
185,Fisch::N,рыба,kala
186,Barsch::N,акунь,ahven
187,Hecht::N,шчупак,haug'
188,Schlange[Tier]::N,змяя,kü
189,Schlange[Tier]::N,змяя,mado
190,Wurm::N,чарвяк,mado
191,Spinne::N,павук,hämähouk
192,Ameise::N,мурашка,murahaine
193,Laus::N,вош,täi
194,Mücke::N,камар,säs'k
195,Fliege::N,муха,kärbhaine
196,Schmetterling::N,матыль,lipkaine
197,Beere::N,ягада,marj
198,Apfel::N,яблык,jablok
199,Pilz::N,грыб,sen'
200,Pilz::N,грыб,babuk
201,Zwiebel::N,цыбуля,lauk
202,Saat::N,семя,semned
203,Korn::N,зерне,jüvä
204,Korn::N,зерне,vill'
205,Heu::N,сена,hein
206,Schale::N,шалупінне,kor'
207,Grube::N,яма,kop
208,Falle::N,пастка,rida
209,Schlinge::N,сіло,rihm
210,Spur::N,след,jäl'g
211,Asche::N,попел,tuhk
212,Dreck::N,бруд,redu
213,Dreck::N,бруд,pačak
214,Eisen::N,жалеза,raud
215,Gold::N,золата,kuld
216,Silber::N,сребра,hobed
217,Kohle::N,вугаль,hil'
218,Glas::N,шкло,stökol
219,Lehm::N,гліна,savi
220,Sand::N,пясок,lete
221,Mensch::N,чалавек,mez'
222,Mensch::N,чалавек,ristit
223,Mann::N,мужчына,mez'
224,Frau::N,жанчына,naine
225,Kind::N,дзіця,laps'
226,Junge::N,хлопчык,poig
227,Junge::N,хлопчык,prihaine
228,Mädchen::N,дзяўчынка,neičukaine
229,Familie::N,сямʼя,kanz
230,Familie::N,сямʼя,pereh
231,Großvater::N,дзядуля,ded
232,Großmutter::N,бабуля,bab
233,Eltern::N,бацькі,vanhembad
234,Eltern::N,бацькі,kazvatajad
235,Vater::N,бацька,tat
236,Mutter::N,маці,mam
237,Sohn::N,сын,poig
238,Tochter::N,дачка,tütär
239,Bruder::N,брат,veik
240,Bruder::N,брат,vell'
241,Schwester::N,сястра,čiža
242,Schwester::N,сястра,sizar
243,Onkel::N,дзядзька,däd'
244,Tante::N,цётка,tädi
245,Ehemann::N,муж,mužik
246,Ehefrau::N,жонка,ak
247,Freude::N,радасць,ilo
248,Freude::N,радасць,ihastuz
249,Gelächter::N,смех,nagr
250,Glück::N,шчасце,oza
251,Kummer::N,гора,gor'a
252,Wunsch::N,жаданне,taht
253,Lust::N,цяга,himo
254,Geist::N,дух,heng
255,Gedanke::N,думка,meletuz
256,Gedächtnis::N,памяць,mušt
257,Verstand::N,розум,mel'
258,Sinn::N,сэнс,jüvä
259,Grund::N,зачэпка,sü
260,Wahrheit::N,праўда,tozi
261,Gespräch::N,размова,lodu
262,Gespräch::N,размова,pagin
263,Märchen::N,казка,sarn
264,Erzählung::N,расказ,sanutez
265,Erzählung::N,апавяданне,sanutez
266,Nachricht::N,вестка,tedotuz
267,Nachricht::N,паведамленне,tedotuz
268,Neuigkeit::N,навіна,uzištuz
269,Name::N,імя,nimi
270,Rätsel::N,загадка,ozoitez
271,Rede::N,прамова,pagin
272,Rede::N,прамова,sanad
273,Sprache::N,мова,kel'
274,Stimme::N,голас,än'
275,Wort::N,слова,sana
276,Zeichen::N,знак,znam
277,Ruf::N,кліч,kida
278,Ruf::N,кліч,kucund
279,Lärm::N,шум,judu
280,Laut::N,гук,kulund
281,Ton::N,гучанне,kulund
282,Lied::N,песня,pajo
283,Ruhe::N,спакой,lebu
284,Leute::N,людзі,rahvaz
285,Volk::N,народ,rahvaz
286,Arbeit::N,праца,tö
287,Arbeit::N,праца,rad
288,Arbeit::N,работа,tö
289,Arbeit::N,работа,rad
290,Gast::N,госць,adiv
291,Geschenk::N,падарунак,lahj
292,Spiel::N,гульня,vänd
293,Gesellschaft::N,таварыства,sebr
294,Hilfe::N,дапамога,abu
295,Freund::N,друг,sebranik
296,Freund::N,сябар,sebranik
297,Kamerad::N,прыяцель,sebranik
298,Angelegenheit::N,справа,azj
299,Anzahl::N,колькасць,lugu
300,Art::N,від,rod
301,Art::N,від,rodsugu
302,Stück::N,кусок,pala
303,Stück::N,кусок,supal
304,Stück::N,кавалак,pala
305,Stück::N,кавалак,supal
306,Teil::N,частка,pala
307,Hälfte::N,палова,pol'
308,Hälfte::N,палавіна,pol'
309,Kreis::N,круг,ümbruz
310,Kreis::N,круг,kehkruz
311,Kreuz::N,крыж,rist
312,Linie::N,лінія,pird
313,Strich::N,рыса,pird
314,Abstand::N,прамежак,keskust
315,Entfernung::N,адлегласць,matk
316,Gegend::N,мясцовасць,taho
317,Platz::N,месца,avaruz'
318,Ort::N,месца,koht
319,Seite::N,бок,pol'
320,Seite::N,бок,kül'g
321,Mitte::N,сярэдзіна,kesk
322,Gegenstand::N,прадмет,kalu
323,Sache::N,рэч,azj
324,Rand::N,край,röun
325,Kante::N,руб,röun
326,Kante::N,кант,röun
327,Ecke::N,вугал,saum
328,Spitze::N,кончык,agjaine
329,Ende::N,канец,agj
330,Loch::N,дзірка,reig
331,Winkel::N,вугал,čoga
332,Winkel::N,вугал,saum
333,Muster::N,узор,kirjam
334,Größe::N,памер,suruz'
335,Länge::N,даўжыня,piduz
336,Höhe::N,вышыня,korktuz'
337,Gewicht::N,вага,jügu
338,Gewicht::N,вага,vedäduz
339,Menge::N,колькасць,äjüz'
340,Haufen::N,куча,kogo
341,Reihe::N,рад,rivi
342,Boot::N,лодка,veneh
343,Ruder::N,вясло,air
344,Schlitten::N,сані,regi
345,Schlitten::N,сані,regut
346,Ski::N,лыжа,suks'
347,Lagerfeuer::N,вогнішча,nodj
348,Lagerfeuer::N,вогнішча,pažag
349,Last::N,цяжар,jüguz
350,Gang::N,ход,astund
351,Schritt::N,шаг,hašk
352,Schritt::N,крок,hašk
353,Norden::N,поўнач,pohjoine
354,Süden::N,поўдзень,suvi
355,Westen::N,захад,päivlaskm
356,Osten::N,усход,päivnouzm
357,Holz::N,дрэва,pu
358,Holz::N,драўніна,pu
359,Brett::N,дошка,laud
360,Platte::N,пліта,keitim
361,Stütze::N,падпорка,tugi
362,Stange::N,жэрдка,arz'
363,Stock::N,палка,kalu
364,Stab::N,шост,seibaz
365,Rohr::N,труба,torv
366,Haus::N,дом,pert'
367,Heim::N,дом,kodi
368,Heim::N,хата,kodi
369,Ofen::N,печ,päč
370,Fußboden::N,падлога,lava
371,Tisch::N,стол,laud
372,Tisch::N,стол,stal'c
373,Stuhl::N,стул,ištim
374,Stuhl::N,крэсла,ištim
375,Wiege::N,калыска,kätte
376,Bett::N,ложак,sija
377,Bett::N,ложак,magaduzsija
378,Bett::N,пасцель,sija
379,Bett::N,пасцель,magaduzsija
380,Regal::N,паліца,palič
381,Kiste::N,скрынка,mülütim
382,Fenster::N,акно,ikun
383,Tür::N,дзверы,uks'
384,Tor::N,вароты,verai
385,Zaun::N,агароджа,aid
386,Dach::N,дах,katuz
387,Leiter::N,лесвіца,pordhad
388,Besen::N,мятла,lud
389,Besen::N,мятла,vast
390,Spaten::N,лапата,labid
391,Spaten::N,жалязняк,labid
392,Schaufel::N,шуфлік,labid
393,Schaufel::N,лапатка,labid
394,Gabel::N,відэлец,hangoine
395,Löffel::N,лыжка,luzik
396,Messer::N,нож,veič
397,Nagel::N,цвік,nagl
398,Netz::N,сетка,verk
399,Haken::N,крук,kouk
400,Griff::N,ручка,kägä
401,Griff::N,ручка,varz'
402,Schloss::N,замок,lukkol
403,Bild::N,карціна,kuva
404,Figur::N,фігура,figur
405,Puppe::N,лялька,tätüine
406,Beutel::N,мяшок,havad
407,Bündel::N,вязка,toppaz
408,Bündel::N,вязка,käč
409,Tasche::N,торба,sumk
410,Eimer::N,вядро,vädr
411,Deckel::N,накрыўка,katuz
412,Geschirr::N,пасуда,astii
413,Sack::N,мех,havad
414,Tasse::N,кубак,čašk
415,Topf::N,каструля,pada
416,Kessel::N,кацёл,katil
417,Essen::N,ежа,sönd
418,Nahrung::N,харч,söm
419,Speise::N,страва,sömine
420,Fleisch::N,мяса,liha
421,Getreide::N,збожжа,vill'
422,Brei::N,каша,pudr
423,Brot::N,хлеб,leib
424,Scheibe::N,луста,bibaleh
425,Scheibe::N,луста,šlik
426,Scheibe::N,скібка,bibaleh
427,Scheibe::N,скібка,šlik
428,Fett::N,тлушч,razv
429,Butter::N,масла,voi
430,Öl::N,алей,voi
431,Salz::N,соль,sol
432,Suppe::N,суп,lem'
433,Suppe::N,суп,keitoz
434,Honig::N,мёд,mezi
435,Milch::N,малако,maid
436,Tee::N,чай,čai
437,Tee::N,гарбата,čai
438,Leder::N,скура,nahk
439,Wolle::N,воўна,vill
440,Stoff::N,тканіна,kangaz
441,Nadel::N,іголка,negl
442,Faden::N,нітка,nit'
443,Knopf::N,гузік,nübl'
444,Knoten::N,вузел,sol'm
445,Farbe::N,фарба,muju
446,Kleidung::N,адзенне,sobad
447,Hemd::N,кашуля,paid
448,Kragen::N,каўнер,kagluz
449,Ärmel::N,рукаў,hijam
450,Hose::N,штаны,štanad
451,Gürtel::N,пояс,vö
452,Mütze::N,шапка,šapuk
453,Schuh::N,чаравік,keng'
454,Stiefel::N,бот,sapug
455,Ring::N,кольца,rengaz
456,Band::N,стужка,lentaine
457,Kamm::N,расчоска,suga
458,Spiegel::N,люстра,zerkol
459,Riemen::N,рэмень,vö
460,Schnur::N,вяроўка,nor
461,Leine::N,павадок,talutimnor
462,Decke::N,коўдра,sijakatuz
463,Kissen::N,падушка,pöluz
464,Tuch::N,хустка,paik
465,Handtuch::N,ручнік,käzipaik
466,Kraft::N,сіла,vägi
467,Stärke::N,моц,vahvuz'
468,Gesundheit::N,здароўе,tervhuz
469,Krankheit::N,хвароба,läžund
470,Schmerz::N,боль,kibu
471,Wunde::N,рана,čapatez
472,Fieber::N,гарачка,säru
473,Fieber::N,ліхаманка,säru
474,Arznei::N,лекі,zel'l'
475,Brücke::N,мост,sild
476,Brunnen::N,калодзеж,kaiv
477,Weide::N,паша,omaluine
478,Pfad::N,сцежка,tehut
479,Weg::N,шлях,te
480,Weg::N,дарога,te
481,Straße::N,вуліца,te
482,Dorf::N,вёска,külä
483,Stadt::N,горад,lidn
484,Brief::N,ліст,kirjeine
485,Brief::N,пісьмо,kirjeine
486,Buch::N,кніга,kirj
487,Buchstabe::N,літара,kirjam
488,Zeitung::N,газета,lehtez
489,Leben::N,жыццё,elo
490,Tod::N,смерць,surm
491,Grab::N,магіла,kaum
492,Kirche::N,касцёл,jumalanpert'
493,Kirche::N,царква,jumalanpert'
494,Sünde::N,грэх,grähk
495,Gott::N,бог,jumal
496,Arbeiter::N,рабочы,radnik
497,Chef::N,начальнік,pämez'
498,Meister::N,майстар,mastar
499,Arzt::N,урач,lekar'
500,Lehrer::N,настаўнік,opendai
501,Geld::N,грошы,rahad
502,Geschäft::N,заняцце,biznes
503,Laden::N,крама,lauk
504,Laden::N,магазін,lauk
505,Preis::N,цана,arv
506,Ware::N,тавар,tavar
507,Nutzen::N,выгада,liža
508,Reichtum::N,багацце,kodielo
509,Reichtum::N,багацце,kal'huz'
510,Welt::N,свет,mail'm
511,Land::N,краіна,ma
512,Staat::N,дзяржава,valdkund
513,König::N,кароль,kunigaz
514,Macht::N,улада,vald
515,Grenze::N,граніца,röun
516,Krieg::N,вайна,soda
517,Feind::N,вораг,vihanik
518,Feind::N,вораг,vastustai
519,Gewalt::N,насілле,vägivald
520,Kampf::N,барацьба,tora
