,Concept_ID,br,ta
0,Auge::N,lagad,கண்
1,Ohr::N,skouarn,காது
2,Nase::N,fri,மூக்கு
3,Mund::N,genoù,வாய்
4,Zahn::N,dant,பல்
5,Zunge::N,teod,நாக்கு
6,Lippe::N,muzell,உதடு
7,Wange::N,chot,கன்னம்
8,Gesicht::N,dremm,முகம்
9,Stirn::N,tal,முன்னெற்றி
10,Haar::N,blev,முடி
11,Schnurrbart::N,mourenn,மீசை
12,Bart::N,barv,தாடி
13,Kinn::N,groñj,கீழதாடை
14,Kiefer[Anatomie]::N,javed,தாடை
15,Kehle::N,gouzoug,தொண்டை
16,Hals::N,gouzoug,கழுத்து
17,Genick::N,choug,கழுத்து
18,Kopf::N,penn,தலை
19,Rücken::N,kein,முதுகு
20,Bauch::N,kof,வயிறு
21,Nabel::N,begel,தொப்புள்
22,Busen::N,bronn,மார்பகம்
23,Brust::N,bruched, மார்பு
24,Schulter::N,skoaz,தோள்பட்டை
25,Arm::N,brec'h,கரம்
26,Ellenbogen::N,ilin,முழங்கை
27,Hand::N,dorn,கை
28,Handfläche::N,palv,உள்ளங்கை
29,Finger::N,biz,விரல்
30,Fingernagel::N,ivin,விரல் நகம்
31,Nagel[Anatomie]::N,ivin,நகம்
32,Zeh::N,biz-troad,கால்விரல்
33,Fuß::N,troad,கால்
34,Ferse::N,seul,குதிகால்
35,Knie::N,glin,முழங்கால்
36,Oberschenkel::N,morzhed,தொடை
37,Bein::N,gar,கால்
38,Körper::N,korf,உடல்
39,Haut::N,kroc'hen,சருமம்
40,Blut::N,gwad,இரத்தம்
41,Ader::N,gwazhi,நாளம்
42,Sehne::N,stir,தசைநார்
43,Knochen::N,askorn,எலுமபு
44,Gehirn::N,empenn,மூனை
45,Herz::N,kalon,இதயம
46,Magen::N,stomog,வயிறு
47,Leber::N,avu,கல்லீரல்
48,Atem::N,anal,மூச்சு
49,Hunger::N,naon,பசி
50,Träne::N,daer,கண்ணீர்
51,Geschmack::N,blaz,நறுமணம்
52,Geruch::N,c'hwezh,துர்நாற்றம்
53,Schlaf::N,kousked,தூக்கம்
54,Traum::N,hune,கனவு
55,Himmel::N,oabl,வானம்
56,Sonne::N,heol,சூரியன்
57,Mond::N,loar,சந்திரன்
58,Stern::N,steredenn,நட்சத்திரம்
59,Luft::N,aer,காறறு
60,Wind::N,avel,காற்று
61,Welle::N,houlenn,அலை
62,Wasser::N,dour,நீர்
63,Stein::N,maen,கல்
64,Boden::N,tachenn,தரை
65,Erde::N,douar,மண்
66,Staub::N,poultr,தூசி
67,Rauch::N,moged,புகை
68,Funke::N,ful,தீப்பொறி
69,Feuer::N,tan,தீ
70,Licht::N,gouloù,வெளிச்சம்
71,Schatten::N,disheol,நிழல்
72,Wetter::N,amzer,வானிலை
73,Nebel::N,brumenn,பனிமூட்டம்
74,Wolke::N,koumoulenn,மேகம்
75,Regen::N,glav,மழை
76,Schnee::N,erc'h,உறைபனி
77,Eis::N,skorn,பனிக்கட்டி
78,Frost::N,rev,உறைபனி
79,Kälte::N,yen,குளிர்ந்த
80,Hitze::N,tommder,சூடு
81,Raureif::N,frim,உறைபனி வெண்திரை
