,Concept_ID,,hi
0,Auge::N,,आँख
1,Auge::N,,चक्षु
2,Ohr::N,,कान
3,Ohr::N,,कर्ण
4,Nase::N,,नाक
5,Nase::N,,नासा
6,Mund::N,,मुख
7,Mund::N,,मुँह
8,Zahn::N,,दंत
9,Zahn::N,,दाँत
10,Zunge::N,,जीभ
11,Zunge::N,,ज़बान
12,Zunge::N,,जिह्वा
13,Lippe::N,,ओंठ
14,Lippe::N,,होंठ
15,Wange::N,,गाल
16,Wange::N,,कपोल
17,Gesicht::N,,मुँह
18,Gesicht::N,,चेहरा
19,Stirn::N,,माथा
20,Stirn::N,,मस्तक
21,Haar::N,,बाल
22,Schnurrbart::N,,मूँछें
23,Bart::N,,दाढ़ी
24,Kinn::N,,चिबुक
25,Kiefer[Anatomie]::N,,जबड़ा
26,Kehle::N,,गला
27,Hals::N,,गला
28,Hals::N,,गरदन
29,Genick::N,,गरदन
30,Genick::N,,ग्रीवा
31,Kopf::N,,सिर
32,Kopf::N,,शीर्ष
33,Rücken::N,,पीठ
34,Bauch::N,,उदर
35,Nabel::N,,नाभि
36,Nabel::N,,ढोंढी
37,Busen::N,,कुच
38,Busen::N,,स्तन
39,Brust::N,,वक्ष
40,Schulter::N,,कंधा
41,Schulter::N,,स्कंध
42,Arm::N,,बाँह
43,Arm::N,,बाज़ू
44,Ellenbogen::N,,कुहनी
45,Hand::N,,हाथ
46,Hand::N,,हस्त
47,Handfläche::N,,हथेली
48,Finger::N,,उँगली
49,Finger::N,,अँगुली
50,Fingernagel::N,,नख
51,Fingernagel::N,,नाख़ून
52,Nagel[Anatomie]::N,,नख
53,Nagel[Anatomie]::N,,नाख़ून
54,Zeh::N,,उँगली
55,Zeh::N,,पाँव की उँगली
56,Fuß::N,,चरण
57,Fuß::N,,पाँव
58,Ferse::N,,एड़ी
59,Knie::N,,जानु
60,Knie::N,,घुटना
61,Oberschenkel::N,,उरु
62,Bein::N,,टाँग
63,Körper::N,,तन
64,Körper::N,,देह
65,Körper::N,,शरीर
66,Haut::N,,चर्म
67,Haut::N,,त्वचा
68,Blut::N,,लहू
69,Blut::N,,ख़ून
70,Ader::N,,रग
71,Ader::N,,शिरा
72,Sehne::N,,कंडरा
73,Sehne::N,,स्नायु
74,Knochen::N,,अस्थि
75,Gehirn::N,,दिमाग़
76,Gehirn::N,,मस्तिष्क
77,Herz::N,,दिल
78,Herz::N,,हृदय
79,Magen::N,,मेदा
80,Magen::N,,अमाशय
81,Leber::N,,जिगर
82,Leber::N,,यकृत्
83,Atem::N,,दम
84,Atem::N,,साँस
85,Atem::N,,श्वास
86,Hunger::N,,भूख
87,Hunger::N,,क्षुधा
88,Träne::N,,आँसू
89,Träne::N,,अश्रु
90,Geschmack::N,,स्वाद
91,Geschmack::N,,ज़ायक़ा
92,Geruch::N,,बू
93,Geruch::N,,गंध
94,Schlaf::N,,नींद
95,Schlaf::N,,निद्रा
96,Traum::N,,सपना
97,Traum::N,,स्वप्न
98,Himmel::N,,आकाश
99,Himmel::N,,आसमान
100,Sonne::N,,रवि
101,Sonne::N,,सूरज
102,Sonne::N,,सूर्य
103,Mond::N,,चाँद
104,Mond::N,,चंद्र
105,Stern::N,,तारा
106,Stern::N,,सितारा
107,Luft::N,,हवा
108,Luft::N,,वायु
109,Wind::N,,पाद
110,Welle::N,,लहर
111,Welle::N,,तरंग
112,Wasser::N,,जल
113,Wasser::N,,पानी
114,Stein::N,,पत्थर
115,Boden::N,,मिट्टी
116,Erde::N,,भूमि
117,Erde::N,,ज़मीन
118,Staub::N,,धूल
119,Rauch::N,,धूआँ
120,Rauch::N,,धुम्र
121,Funke::N,,चिनगारी
122,Funke::N,,स्फुलिंग
123,Feuer::N,,आग
124,Feuer::N,,आतिश
125,Feuer::N,,अग्नि
126,Licht::N,,रोशनी
127,Licht::N,,प्रकाश
128,Schatten::N,,छाया
129,Schatten::N,,परछाई
130,Wetter::N,,ऋतु
131,Wetter::N,,मौसम
132,Nebel::N,,धुँध
