,Concept_ID,kk,eu
0,Auge::N,көз,begi
1,Ohr::N,құлақ,belarri
2,Nase::N,мұрын,sudur
3,Mund::N,ауыз,aho
4,Zahn::N,тіс,hortz
5,Zunge::N,тіл,mihi
6,Lippe::N,ерін,ezpain
7,Wange::N,ұрт,masail
8,Gesicht::N,бет-аузы,aurpegi
9,Stirn::N,маңдай,bekoki
10,Haar::N,қыл,ile
11,Haar::N,қыл,bilo
12,Schnurrbart::N,мұрт,bibote
13,Schnurrbart::N,мұрт,sudurpeko
14,Bart::N,сақал,bizar
15,Kinn::N,иек,kokots
16,Kiefer[Anatomie]::N,жақ,masailezur
17,Kehle::N,алқым,eztarri
18,Hals::N,мойын,sama
19,Genick::N,желке,garondo
20,Kopf::N,кәллә,buru
21,Rücken::N,арқа,bizkar
22,Bauch::N,қарын,sabel
23,Nabel::N,кіндік,zilbor
24,Busen::N,омырау,titi
25,Busen::N,омырау,ugatz
26,Brust::N,кеуде,bular
27,Schulter::N,иық,besaburu
28,Arm::N,қол,beso
29,Ellenbogen::N,шынтақ,ukondo
30,Hand::N,қол,esku
31,Handfläche::N,алақан,ahur
32,Finger::N,саусақ,hatz
33,Fingernagel::N,тырнақ,azazkal
34,Nagel[Anatomie]::N,тырнақ,azazkal
35,Zeh::N,тырнақ,behatz
36,Zeh::N,тұяқ,behatz
37,Fuß::N,аяқ-басы,oin
38,Ferse::N,өкше,orpo
39,Ferse::N,өкше,oinburu
40,Ferse::N,өкшелік,orpo
41,Ferse::N,өкшелік,oinburu
42,Knie::N,тізе,belaun
43,Oberschenkel::N,жамбас,izter
44,Bein::N,аяқ,zango
45,Körper::N,дене,soin
46,Haut::N,тері,azal
47,Blut::N,қан,odol
48,Ader::N,көктамыр,zain
49,Ader::N,күретамыр,zain
50,Sehne::N,сіңір,gihar-zain
51,Knochen::N,жілік,hezur
52,Gehirn::N,ми,garun
53,Gehirn::N,ми,burmuin
54,Herz::N,жүрек,bihotz
55,Magen::N,асқазан,urdail
56,Leber::N,бауыр,gibel
57,Atem::N,леп,hats
58,Atem::N,леп,arnasa
59,Hunger::N,ашаршылық,gose
60,Träne::N,жас,malko
61,Geschmack::N,дәм,dasta
62,Geschmack::N,татым,dasta
63,Geschmack::N,талғам,dasta
64,Geruch::N,иіс,usain
65,Schlaf::N,ұйқы,lo
66,Schlaf::N,ұйықтау,lo
67,Traum::N,түс,amets
68,Himmel::N,аспан,zeru
69,Himmel::N,көқ,zeru
70,Himmel::N,таңдай,zeru
71,Sonne::N,күн,eguzki
72,Mond::N,ай,ilargi
73,Stern::N,жұлдыз,izar
74,Luft::N,әуе,aire
75,Wind::N,жел,haize
76,Welle::N,толқын,uhin
77,Welle::N,толқын,olatu
78,Wasser::N,су,ur
79,Stein::N,тас,harri
80,Boden::N,қыртыс,lur
81,Boden::N,қыртыс,zoru
82,Erde::N,топырақ,lur
83,Staub::N,шаң,hauts
84,Rauch::N,түтін,ke
85,Funke::N,ұшқын,zirta
86,Funke::N,ұшқын,txinparta
87,Feuer::N,алау,su
88,Licht::N,шұғыла,argi
89,Schatten::N,көлеңке,itzal
90,Schatten::N,көлеңке,geriza
91,Wetter::N,ауа райы,eguraldi
92,Nebel::N,тұман,laino
93,Wolke::N,бұлт,hodei
94,Regen::N,жаңбыр,euri
95,Schnee::N,қар,elur
96,Eis::N,мұз,horma
97,Frost::N,суық,izotzaldi
98,Kälte::N,ызғар,hotz
99,Kälte::N,суықтық,hotz
100,Hitze::N,аптап,bero
101,Raureif::N,қырау,antzigar
102,Regenbogen::N,кемпірқосақ,ostadar
103,Regenbogen::N,кемпірқосақ,ortzadar
104,Donner::N,күн күркіреу,ostots
105,Donner::N,күн күркіреу,ihurtzuri
106,Strömung::N,ағын,laster
107,Tropfen::N,тамшы,xorta
108,Schaum::N,көбік,bits
109,Schmutz::N,кір,lohi
110,Schmutz::N,кір,zikin
111,See::N,көл,laku
112,See::N,көл,aintzira
113,Sumpf::N,саз,zingira
114,Moor::N,саз,zohikaztegi
115,Wiese::N,шалғын,larre
116,Wiese::N,шалғын,belardi
117,Wald::N,орман,baso
118,Wald::N,орман,oihan
119,Hügel::N,төбе,muino
120,Hügel::N,төбе,pentoka
121,Hügel::N,белес,muino
122,Hügel::N,белес,pentoka
123,Hügel::N,белес-белес,muino
124,Hügel::N,белес-белес,pentoka
125,Anhöhe::N,дөң,garai
126,Anhöhe::N,дөң,goragune
127,Anhöhe::N,адыр,garai
128,Anhöhe::N,адыр,goragune
129,Anhöhe::N,қырат,garai
130,Anhöhe::N,қырат,goragune
131,Berg::N,тау,mendi
132,Gipfel::N,төбе,gain
133,Gipfel::N,төбе,tontor
134,Höhle::N,үңгір,kobazulo
135,Abhang::N,бауыр,aldapa
136,Quelle::N,қайнар,iturri
137,Quelle::N,қайнар,iturbegi
138,Bach::N,жылға,lats
139,Bach::N,жылға,erreka
140,Fluss::N,өзен,ibai
141,Fluss::N,өзен,uhaitz
142,Ufer::N,жиек,bazter
143,Küste::N,жиегі,itsasalde
144,Küste::N,жағалау,itsasalde
145,Festland::N,құрылық,lehor
146,Meer::N,теңіз,itsaso
147,Bucht::N,шығанақ,golko
148,Insel::N,арал,irla
149,Insel::N,арал,uharte
150,Blume::N,гүл,lili
151,Gras::N,от,belar
152,Wurzel::N,түбір,zuztar
153,Wurzel::N,түбір,sustrai
154,Baum::N,ағаш,zuhaitz
155,Baum::N,дарақ,zuhaitz
156,Stamm::N,сояу,enbor
157,Stamm::N,оқпан,enbor
158,Rinde::N,қабық,azal
159,Ast::N,бұтақ,adar
160,Zweig::N,шыбық,abar
161,Blatt::N,жапырақ,hosto
162,Birke::N,қайың,urki
163,Kiefer[Baum]::N,қарағай,ler
164,Weide[Baum]::N,тал,zume
165,Weide[Baum]::N,тал,sahats
166,Tanne::N,шырша,izei
167,Horn::N,мүйіз,adar
168,Feder::N,қаламұш,luma
169,Feder::N,қаламұш,hegaki
170,Fell::N,тері,ile
171,Fell::N,тері,larru
172,Flügel::N,қанат,hego
173,Klaue::N,тырнақ,atzapar
174,Kralle::N,аяқ,erpe
175,Kralle::N,аяқ,atzapar
176,Schwanz::N,құйрық,isats
177,Schwanz::N,құйрық,buztan
178,Ei::N,жұмыртқа,arrautza
179,Nest::N,ұя,habia
180,Bau::N,жатақ,ohantze
181,Tier::N,айуан,abere
182,Tier::N,айуан,piztia
183,Tier::N,жануар,abere
