,Concept_ID,la,vep
0,Auge::N,oculus,sil'm
1,Ohr::N,auris,korv
2,Nase::N,nasus,nena
3,Mund::N,os,su
4,Zahn::N,dens,pi
5,Zahn::N,dens,hambaz
6,Zunge::N,lingua,kel'
7,Lippe::N,labrum,hul'
8,Wange::N,gena,modpolišk
9,Gesicht::N,vultus,mod
10,Stirn::N,frons,oc
11,Haar::N,capillus,tuk
12,Haar::N,capillus,hibuz
13,Schnurrbart::N,barba labri superioris,habinod
14,Bart::N,barba,bard
15,Kinn::N,mentum,löug
16,Kiefer[Anatomie]::N,mala,hambazlu
17,Kehle::N,iugulums,kurk
18,Hals::N,collum,kagl
19,Genick::N,cervices,tagarai
20,Kopf::N,caput,pä
21,Rücken::N,tergum,sel'g
22,Bauch::N,venter,vac
23,Bauch::N,venter,koht
24,Nabel::N,umbilicus,naba
25,Busen::N,sinus,niža
26,Brust::N,pectus,rind
27,Schulter::N,umerus,oug
28,Arm::N,bracchium,käzi
29,Ellenbogen::N,cubitum,künambruz
30,Hand::N,manus,käzi
31,Hand::N,manus,käzitera
32,Handfläche::N,palma,kämen
33,Finger::N,digitus,sor'm
34,Fingernagel::N,unguiculus,künz'
35,Nagel[Anatomie]::N,unguis,künz'
36,Zeh::N,digitus,barbaz
37,Fuß::N,pes,jaug
38,Ferse::N,calx,kand
39,Knie::N,genu,komb
40,Knie::N,genu,pol'v
41,Oberschenkel::N,femur,riiže
42,Bein::N,crus,jaug
43,Körper::N,corpus,hibj
44,Haut::N,cutis,nahk
45,Haut::N,pellis,nahk
46,Blut::N,sanguis,čak
47,Blut::N,sanguis,veri
48,Ader::N,vena,son'
49,Sehne::N,nervus,jände
50,Knochen::N,os,lu
51,Gehirn::N,cerebrum,aivod
52,Herz::N,cor,südäin
53,Herz::N,animus,südäin
54,Magen::N,stomachus,südäikoht
55,Leber::N,iecur,maks
56,Atem::N,spiritus,hengaiduz
57,Hunger::N,fames,näl'g
58,Träne::N,lacrima,kündal'
59,Geschmack::N,sapor,magu
60,Geschmack::N,gustus,magu
61,Geruch::N,odor,haju
62,Schlaf::N,somnus,uni
63,Traum::N,somnium,unikuva
64,Himmel::N,caelum,taivaz
65,Sonne::N,sol,päiväine
66,Mond::N,luna,kudmaine
67,Stern::N,sidus,tähtaz
68,Stern::N,stella,tähtaz
69,Luft::N,aer,il'm
70,Wind::N,ventus,döl
71,Wind::N,ventus,tullei
72,Welle::N,unda,ald
73,Welle::N,unda,laineh
74,Wasser::N,aqua,vezi
75,Stein::N,lapis,kivi
76,Boden::N,solum,ma
77,Boden::N,solum,pohj
78,Erde::N,terra,ma
79,Staub::N,pulvis,pölü
80,Rauch::N,fumus,savu
81,Funke::N,scintilla,kibin
82,Feuer::N,ignis,lämoi
83,Licht::N,lux,vauktuz
84,Licht::N,lumen,vauktuz
85,Schatten::N,umbra,pil'vez
86,Schatten::N,umbra,kuvahaine
87,Wetter::N,caelum,sä
88,Wetter::N,tempestas,sä
89,Nebel::N,nebula,sumeg
90,Wolke::N,nubes,pil'v
91,Regen::N,imber,vihm
92,Regen::N,pluvia,vihm
93,Schnee::N,nix,lumi
94,Eis::N,glacies,jä
95,Frost::N,gelu,hala
96,Frost::N,gelu,pakaine
97,Kälte::N,frigus,vilu
98,Hitze::N,calor,räk
99,Hitze::N,aestus,räk
100,Raureif::N,pruina,hüde
101,Regenbogen::N,arcus,jumalanbembel'
102,Donner::N,tonitrus,juru
103,Donner::N,tonitrus,jumalanjuru
104,Strömung::N,fluctus,joksmuz
105,Tropfen::N,gutta,tilkuine
106,Schaum::N,spuma,vaht
107,Schmutz::N,sordes,redu
108,Schmutz::N,sordes,pačak
109,Schmutz::N,squalor,redu
110,Schmutz::N,squalor,pačak
111,See::N,lacus,järv
112,Sumpf::N,palus,so
113,Moor::N,palus,so
114,Wiese::N,pratum,nit
115,Wald::N,silva,mec
116,Hügel::N,collis,kukaz
117,Anhöhe::N,specula,kukaz
118,Berg::N,mons,mägi
119,Gipfel::N,vertex,ladv
120,Höhle::N,caverna,mägionduz
121,Höhle::N,spelunca,mägionduz
122,Abhang::N,declivum,paute
123,Quelle::N,fons,lähte
124,Bach::N,rivus,oja
125,Fluss::N,flumen,jogi
126,Ufer::N,ripa,rand
127,Küste::N,litus,randišt
128,Festland::N,continens,kuivma
129,Meer::N,mare,meri
130,Bucht::N,sinus,laht
131,Insel::N,insula,sar'
132,Blume::N,flos,änik
133,Gras::N,herba,hein
134,Gras::N,gramen,hein
135,Wurzel::N,radix,jur'
136,Baum::N,arbor,pu
137,Stamm::N,truncus,tüvi
138,Rinde::N,cortex,kor'
139,Ast::N,ramus,oks
140,Zweig::N,ramus,oks
141,Zweig::N,ramus,barb
142,Blatt::N,folium,lehtez
143,Birke::N,betulla,koiv
144,Kiefer[Baum]::N,pinus,pedai
145,Weide[Baum]::N,salix,raid
146,Tanne::N,abies,kuz'
147,Horn::N,cornu,sar'v
148,Feder::N,penna,höuneh
149,Fell::N,pellis,nahk
150,Flügel::N,ala,suug
151,Klaue::N,unguis,künz'
152,Kralle::N,unguis,künz'
153,Schwanz::N,cauda,händ
154,Ei::N,ovum,muna
155,Nest::N,nidus,peza
156,Bau::N,cavum,uru
157,Bau::N,latibulum,uru
158,Tier::N,bestia,živat
159,Herde::N,grex,kogo
160,Kuh::N,vacca,lehm
161,Bulle::N,taurus,härg
162,Pferd::N,equus,hebo
163,Schaf::N,ovis,lambaz
164,Schwein::N,sus,siga
165,Schwein::N,porcus,siga
166,Hund::N,canis,koir
167,Katze::N,felis,kaži
168,Bär::N,ursus,kondi
169,Eichhörnchen::N,sciurus,orav
170,Elch::N,alces,hirb'
171,Fuchs::N,vulpes,reboi
172,Hase::N,lepus,jäniš
173,Maus::N,mus,hir'
174,Wolf::N,lupus,händikaz
175,Vogel::N,avis,lind
176,Schwarm::N,examen,parveh
177,Huhn::N,gallina,kana
178,Hahn::N,gallus,kukoi
179,Gans::N,anser,hanh'
180,Adler::N,aquila,orl
181,Ente::N,anas,sorz
182,Eule::N,ulula,hir'pulo
183,Eule::N,noctua,hir'pulo
184,Kranich::N,grus,kurg
185,Krähe::N,cornix,variš
186,Kuckuck::N,cuculus,kägi
187,Schwan::N,olor,joucen
188,Schwan::N,cycnus,joucen
189,Fisch::N,piscis,kala
190,Barsch::N,perca,ahven
191,Hecht::N,esox,haug'
192,Schlange[Tier]::N,serpens,kü
193,Schlange[Tier]::N,serpens,mado
194,Wurm::N,vermis,mado
195,Spinne::N,aranea,hämähouk
196,Ameise::N,formica,murahaine
197,Laus::N,pediculus,täi
198,Mücke::N,culex,säs'k
199,Fliege::N,musca,kärbhaine
200,Schmetterling::N,papilio,lipkaine
201,Beere::N,baca,marj
202,Apfel::N,malum,jablok
203,Pilz::N,fungus,sen'
204,Pilz::N,fungus,babuk
205,Zwiebel::N,cepa,lauk
206,Saat::N,seges,semned
207,Korn::N,granum,jüvä
208,Korn::N,granum,vill'
209,Heu::N,faenum,hein
210,Schale::N,putamen,kor'
211,Grube::N,fovea,kop
212,Falle::N,pedica,rida
213,Schlinge::N,laqueus,rihm
214,Spur::N,vestigium,jäl'g
215,Asche::N,cinis,tuhk
216,Dreck::N,lutum,redu
217,Dreck::N,lutum,pačak
218,Eisen::N,ferrum,raud
219,Gold::N,aurum,kuld
220,Silber::N,argentum,hobed
221,Kohle::N,carbo,hil'
222,Glas::N,vitrum,stökol
223,Lehm::N,lutum,savi
224,Sand::N,arena,lete
225,Mensch::N,homo,mez'
226,Mensch::N,homo,ristit
227,Mann::N,vir,mez'
228,Frau::N,mulier,naine
229,Kind::N,puer,laps'
230,Kind::N,infans,laps'
231,Junge::N,puer,poig
232,Junge::N,puer,prihaine
233,Mädchen::N,puella,neičukaine
234,Familie::N,familia,kanz
235,Familie::N,familia,pereh
236,Großvater::N,avus,ded
237,Großmutter::N,avia,bab
238,Eltern::N,parentes,vanhembad
239,Eltern::N,parentes,kazvatajad
240,Vater::N,pater,tat
241,Mutter::N,mater,mam
242,Sohn::N,filius,poig
243,Tochter::N,filia,tütär
244,Bruder::N,frater,veik
245,Bruder::N,frater,vell'
246,Schwester::N,soror,čiža
247,Schwester::N,soror,sizar
248,Onkel::N,patruus,däd'
249,Onkel::N,avunculus,däd'
250,Tante::N,amita,tädi
251,Ehemann::N,maritus,mužik
252,Ehefrau::N,uxor,ak
253,Freude::N,gaudium,ilo
254,Freude::N,gaudium,ihastuz
255,Freude::N,laetitia,ilo
256,Freude::N,laetitia,ihastuz
257,Gelächter::N,risus,nagr
258,Glück::N,felicitas,oza
259,Kummer::N,aegritudo,gor'a
260,Wunsch::N,voluntas,taht
261,Wunsch::N,desiderium,taht
262,Lust::N,libido,himo
263,Lust::N,voluptas,himo
264,Geist::N,mens,heng
265,Geist::N,animus,heng
266,Gedanke::N,sententia,meletuz
267,Gedächtnis::N,memoria,mušt
268,Verstand::N,ratio,mel'
269,Verstand::N,ingenium,mel'
270,Sinn::N,sensus,jüvä
271,Grund::N,causa,sü
272,Wahrheit::N,veritas,tozi
273,Gespräch::N,sermo,lodu
274,Gespräch::N,sermo,pagin
275,Märchen::N,fabula,sarn
276,Erzählung::N,fabula,sanutez
277,Erzählung::N,narratio,sanutez
278,Nachricht::N,nuntius,tedotuz
279,Neuigkeit::N,novitas,uzištuz
280,Name::N,nomen,nimi
281,Rätsel::N,aenigma,ozoitez
282,Rede::N,oratio,pagin
283,Rede::N,oratio,sanad
284,Sprache::N,lingua,kel'
285,Stimme::N,vox,än'
286,Wort::N,verbum,sana
287,Wort::N,vocabulum,sana
288,Zeichen::N,signum,znam
