,Concept_ID,sv,ga
0,Auge::N,öga,súil
1,Ohr::N,öra,cluas
2,Nase::N,näsa,soc
3,Mund::N,mun,béal
4,Zahn::N,tand,fiacail
5,Zunge::N,tunga,teanga
6,Lippe::N,läpp,liopa
7,Wange::N,kind,grua
8,Wange::N,kind,leiceann
9,Gesicht::N,syn,éadan
10,Gesicht::N,syn,aghaidh
11,Gesicht::N,ansikte,éadan
12,Gesicht::N,ansikte,aghaidh
13,Stirn::N,panna,baithis
14,Stirn::N,panna,clár éadain
15,Haar::N,hår,gruaig
16,Schnurrbart::N,mustasch,croiméal
17,Bart::N,skägg,féasóg
18,Kinn::N,haka,smig
19,Kiefer[Anatomie]::N,käke,giall
20,Kehle::N,strupe,scornach
21,Hals::N,hals,muinéal
22,Genick::N,nacke,baic
23,Kopf::N,huvud,ceann
24,Rücken::N,rygg,droim
25,Bauch::N,buk,bolg
26,Bauch::N,mage,bolg
27,Nabel::N,navel,imleacán
28,Busen::N,barm,cíoch
29,Brust::N,bröst,brollach
30,Schulter::N,skuldra,gualainn
31,Arm::N,arm,lámh
32,Ellenbogen::N,armbåge,uillinn
33,Hand::N,hand,lámh
34,Handfläche::N,handflata,bos
35,Finger::N,finger,méar
36,Fingernagel::N,fingernagel,ionga
37,Nagel[Anatomie]::N,nagel,ionga
38,Zeh::N,tå,ladhar
39,Fuß::N,fot,cos
40,Fuß::N,fot,troigh
41,Ferse::N,häl,sáil
42,Knie::N,knä,glúin
43,Oberschenkel::N,lår,ceathrú
44,Bein::N,ben,cos
45,Körper::N,kropp,corp
46,Körper::N,kropp,colainn
47,Haut::N,hud,cneas
48,Haut::N,hud,craiceann
49,Haut::N,skinn,cneas
50,Haut::N,skinn,craiceann
51,Blut::N,blod,fuil
52,Ader::N,åder,
53,Sehne::N,sena,teannán
54,Sehne::N,sena,féitheog
55,Knochen::N,ben,cnámh
56,Gehirn::N,hjärna,inchinn
57,Herz::N,hjärta,croí
58,Magen::N,mage,bolg
59,Magen::N,mage,goile
60,Leber::N,lever,ae
61,Atem::N,anda,anáil
62,Atem::N,andedräkt,anáil
63,Hunger::N,svält,ocras
