,Concept_ID,myv,udm
0,Auge::N,сельме,син
1,Ohr::N,пиле,пель
2,Nase::N,судо,ныр
3,Mund::N,курго,ым
4,Zahn::N,пей,пинь
5,Zunge::N,кель,кыл
6,Lippe::N,турва,ымдур
7,Wange::N,чамабока,бам
8,Wange::N,чамаумарь,бам
9,Gesicht::N,чама,ымныр
10,Stirn::N,коня,кымес
11,Haar::N,черь,йырси
12,Schnurrbart::N,ус,мыйык
13,Schnurrbart::N,муюк,мыйык
14,Bart::N,сакал,туш
15,Kinn::N,уло,ангес
16,Kiefer[Anatomie]::N,пейпакар,ан
17,Kiefer[Anatomie]::N,пейпакар,анлы
18,Kiefer[Anatomie]::N,пейловажа,ан
19,Kiefer[Anatomie]::N,пейловажа,анлы
20,Kehle::N,кирьгапарь,гульым
21,Hals::N,кирьга,чырты
22,Genick::N,човонь,йырбер
23,Kopf::N,пря,йыр
24,Rücken::N,копорь,мыш
25,Bauch::N,пеке,кӧт
26,Nabel::N,почо,гогы
27,Busen::N,поте,ноны
28,Brust::N,меште,мӧля
29,Schulter::N,лавтов,пельпум
30,Arm::N,кедь,суй
31,Ellenbogen::N,кенерепакарь,гырпум
32,Hand::N,кедь,ки
33,Handfläche::N,кедькуншка,ки пыдэс
34,Handfläche::N,кедькуншка,кырым пыдэс
35,Handfläche::N,кедьлапушка,ки пыдэс
36,Handfläche::N,кедьлапушка,кырым пыдэс
37,Finger::N,сур,чиньы
38,Fingernagel::N,кенже,гижы
39,Fingernagel::N,кенже,гиждӥнь
40,Nagel[Anatomie]::N,кенже,гижы
41,Zeh::N,пильге сур,пыдчиньы
42,Fuß::N,пильге,пыд
43,Ferse::N,кочкаря,пыдбер
44,Knie::N,эле,пыдес
45,Knie::N,эзне,пыдес
46,Knie::N,кумажа,пыдес
47,Oberschenkel::N,качо,макес
48,Bein::N,пильге,пыд
49,Körper::N,рунго,мугор
50,Körper::N,рунго,вылтыр
51,Haut::N,киське,ку
52,Blut::N,верь,вир
53,Ader::N,сан,вирсэр
54,Sehne::N,коське сан,вуж
55,Knochen::N,пакарь,лы
56,Gehirn::N,удем,вим
