,Concept_ID,ka,ko
0,Auge::N,თვალი,눈
1,Ohr::N,ყური,귀
2,Nase::N,ცხვირი,코
3,Mund::N,პირი,입
4,Zahn::N,კბილი,이
5,Zunge::N,ენა,혀
6,Lippe::N,ბაგე,입술
7,Wange::N,ლოყა,뺨
8,Gesicht::N,სახე,얼굴
9,Stirn::N,შუბლი,이마
10,Haar::N,თმა,털
11,Schnurrbart::N,ულვაში,윗수몀
12,Schnurrbart::N,ულვაში,코밑수염
13,Bart::N,წვერი,수엄
14,Kinn::N,ნიკაპი,아래턱
15,Kiefer[Anatomie]::N,ყბა,턱
16,Kehle::N,ყელი,인후
17,Hals::N,ყელი,목
18,Hals::N,კისერი,목
19,Genick::N,კეფა,먹덜이
20,Kopf::N,თავი,머리
21,Rücken::N,ზურგი,든
22,Bauch::N,მუცელი,배
23,Nabel::N,ჭიპი,배꼽
24,Busen::N,ძუძუ,가슴속
25,Brust::N,მკერდი,가슴
26,Schulter::N,მხარი,어깨
27,Schulter::N,მკლავი,어깨
28,Arm::N,ხელი,팔
29,Ellenbogen::N,იდაყვი,팔쿰치
30,Hand::N,ხელი,손
31,Handfläche::N,ნები,손바닥
32,Handfläche::N,ხელისგული,손바닥
33,Finger::N,თითი,속가락
34,Fingernagel::N,ფრჩხილი,손톱
35,Nagel[Anatomie]::N,ფრჩხილი,손톱
36,Zeh::N,ფეხის თითი,발가락
37,Fuß::N,ტერფი,발
38,Fuß::N,ფეხისგული,발
39,Ferse::N,ქუსლი,발꿈치
40,Knie::N,მუხლი,무릎
41,Oberschenkel::N,ბარძაყი,허벅다리
42,Bein::N,ფეხი,다리
43,Körper::N,ტანი,구간
44,Körper::N,სხეული,구간
45,Haut::N,კანი,살갗
46,Blut::N,სისხლი,피
47,Ader::N,ძარღვი,정맥
48,Sehne::N,მყესი,현
49,Knochen::N,ძვალი,뼈
50,Gehirn::N,ტვინი,뇌
51,Gehirn::N,ტვინი,뇌수
52,Herz::N,გული,염통
53,Magen::N,კუჭი,위
54,Leber::N,ღვიძლი,간
55,Atem::N,სუნთქვა,기식
56,Hunger::N,შიმშილი,공복
57,Träne::N,ცრემლი,눈물
58,Geschmack::N,გემო,기호
59,Geruch::N,სუნი,냄새
60,Schlaf::N,ძილი,수면
61,Traum::N,სიზმარი,쿰
62,Himmel::N,ცა,하늘
63,Sonne::N,მზე,해
64,Mond::N,მთვარე,달
65,Stern::N,ვარსკვლავი,별
66,Luft::N,ჰაერი,동준
67,Luft::N,ჰაერი,가스채
68,Wind::N,ქარი,바람
69,Welle::N,ტალღა,물결
70,Wasser::N,წყალი,물
71,Stein::N,ქვა,돌
72,Boden::N,მიწა,바닥
73,Erde::N,ნიადაგი,흙
74,Staub::N,მტვერი,먼지
75,Rauch::N,ბოლი,연기
76,Rauch::N,კვამლი,연기
77,Funke::N,ნაკვესი,불티
78,Feuer::N,ცეცხლი,불
79,Licht::N,შუქი,불
80,Licht::N,სინათლე,불
81,Schatten::N,ლანდი,어스레함
82,Schatten::N,ჩრდილი,어스레함
83,Wetter::N,ამინდი,기상
84,Nebel::N,ნისლი,안개
85,Wolke::N,ღრუბელი,구름
86,Regen::N,წვიმა,비
87,Schnee::N,თოვლი,눈
88,Eis::N,თოში,얼음
89,Eis::N,ყინული,얼음
90,Frost::N,ყინვა,혹한
91,Kälte::N,სიცივე,추위
92,Kälte::N,სიცივე,차가움
93,Hitze::N,სიცხე,고온
94,Hitze::N,სიცხე,더위
95,Raureif::N,ჭირხლი,
96,Raureif::N,თრთვილი,
97,Regenbogen::N,ცისარტყელა,무지개
98,Donner::N,ქუხილი,뇌명
99,Strömung::N,დინება,유동
100,Tropfen::N,წვეთი,물방울
101,Schaum::N,ქაფი,포말
102,Schaum::N,დორბლი,포말
103,Schmutz::N,ჭუჭყი,때
104,Schmutz::N,ტალახი,때
105,See::N,ტბა,호수
106,Sumpf::N,ჭაობი,습지
107,Moor::N,ტორფნარი,저습지
108,Wiese::N,ველი,목초지
109,Wiese::N,მდელო,목초지
110,Wald::N,ტყე,숲
111,Hügel::N,ბორცვი,언덕
112,Anhöhe::N,მაღლობი,언덕
113,Berg::N,მთა,산
114,Gipfel::N,მწვერვალი,졀졍
115,Höhle::N,მღვიმე,공동
116,Höhle::N,გამოქვებული,공동
117,Abhang::N,ფერდობი,몰매
118,Quelle::N,წყარო,근원
119,Quelle::N,სათავე,근원
120,Bach::N,რუ,내
121,Bach::N,ნაკადული,내
122,Fluss::N,მდინარე,강
123,Ufer::N,კიდე,강변
124,Ufer::N,კიდე,바닷가
125,Ufer::N,ნაპირი,강변
126,Ufer::N,ნაპირი,바닷가
127,Küste::N,ნაპირი,해변
128,Küste::N,ნაპირი,해변가
129,Festland::N,ხმელეთი,본토
130,Meer::N,ზღვა,바다
131,Bucht::N,ყურე,협만
132,Insel::N,კუნძული,섬
133,Blume::N,ყვავილი,꽃
134,Gras::N,ბალახი,풀
135,Wurzel::N,ძირი,뿌리
136,Wurzel::N,ფესვი,뿌리
137,Baum::N,ხე,나무
138,Stamm::N,ტანი,대
139,Rinde::N,ქერქი,나무껍질
140,Ast::N,ტოტი,가지
141,Zweig::N,შტო,가지
142,Blatt::N,ფოთოლი,잎
143,Birke::N,არყი,자작나무
144,Kiefer[Baum]::N,ფიჭვი,소나무
145,Weide[Baum]::N,ტირიფი,쉬양버들
146,Tanne::N,ნაძვი,전나무
147,Horn::N,რქა,뿔
148,Feder::N,ფრთა,깃털
149,Fell::N,ტყავი,피혁모피
150,Flügel::N,ფრთა,날개
151,Klaue::N,კლანჭი,갈고리 발톺
152,Kralle::N,ტორი,발툭
153,Schwanz::N,კუდი,꼬리
154,Ei::N,კვერცხი,알
155,Nest::N,ბუდე,보금자리
156,Bau::N,სორო,굴
157,Tier::N,ნადირი,짐승
158,Tier::N,ცხოველი,짐승
159,Herde::N,ფარა,가축의떼
160,Kuh::N,ფური,암소
161,Kuh::N,ძროხა,암소
162,Bulle::N,ხარი,황소
163,Pferd::N,რაში,말
164,Pferd::N,ცხენი,말
165,Schaf::N,ცხვარი,양
166,Schwein::N,ღორი,돼지
167,Hund::N,ძაღლი,개
168,Katze::N,კატა,고양이
169,Bär::N,დათვი,콤
170,Eichhörnchen::N,ციყვი,다람쥐
171,Elch::N,ცხენ-ირემი,고라니
172,Fuchs::N,მელა,여우
173,Hase::N,კურდღელი,토끼
174,Maus::N,თაგვი,쥐
175,Wolf::N,მგელი,늑대
176,Vogel::N,ჩიტი,새
177,Vogel::N,ფრინველი,새
178,Schwarm::N,გუნდი,뗴
179,Huhn::N,დედალი,암탉
180,Hahn::N,მამალი,수탉
181,Gans::N,ბატი,거위
182,Adler::N,არწივი,수리
183,Ente::N,იხვი,오리
184,Eule::N,ბუ,부엉이
185,Kranich::N,წერო,두루미
186,Krähe::N,ყვავი,까마귀
187,Kuckuck::N,გუგული,뻐꾸기
188,Schwan::N,გედი,배조
189,Fisch::N,თევზი,물고기
190,Barsch::N,ქორჭილა,농어
191,Hecht::N,ქარიყლაპია,에속스
192,Schlange[Tier]::N,გველი,뱀
193,Wurm::N,ჭია,벌레
194,Spinne::N,ობობა,거미
195,Ameise::N,ჭიანჭველა,개미
196,Laus::N,ტილი,이
197,Laus::N,მკბენარი,이
198,Mücke::N,კოღო,모기
199,Fliege::N,ბუზი,날기
200,Schmetterling::N,პეპელა,나비
201,Beere::N,კენკრა,장과
202,Apfel::N,ვაშლი,사과
203,Pilz::N,სოკო,고방이
204,Zwiebel::N,ხახვი,양파
205,Saat::N,თესლი,씨
206,Korn::N,მარცვალი,알맹이
207,Heu::N,თივა,건초
208,Schale::N,ჩენჩო,피상
209,Grube::N,ორმო,
210,Falle::N,ხაფანგი,함정
211,Schlinge::N,მახე,올가미
212,Schlinge::N,მახე,멜빵붕대
213,Spur::N,კვალი,발지국
214,Asche::N,ფერფლი,재
215,Dreck::N,ტალახი,똥
216,Dreck::N,ტალახი,오물
217,Dreck::N,სიბინძურე,똥
218,Dreck::N,სიბინძურე,오물
219,Eisen::N,რკინა,쇠
220,Eisen::N,რკინა,철
221,Gold::N,ოქრო,항금
222,Silber::N,ვერცხლი,은
223,Kohle::N,ნახშირი,슻
224,Glas::N,მინა,유리
225,Lehm::N,თიხა,찰흙
226,Sand::N,ქვიშა,모래
227,Mensch::N,ადამიანი,사람
228,Mann::N,კაცი,남자
229,Frau::N,ქალი,여자
230,Kind::N,ბავშვი,아이
231,Junge::N,ვაჟი,소녁
232,Mädchen::N,გოგო,소녀
233,Familie::N,ოჯახი,가족
234,Großvater::N,პაპა,할아버지
235,Großvater::N,ბაბუა,할아버지
236,Großmutter::N,ბებია,할머니
237,Großmutter::N,დიდედა,할머니
238,Eltern::N,მშობლები,어버오
239,Vater::N,მამა,아버지
240,Mutter::N,დედა,어머니
241,Sohn::N,ვაჟიშვილი,아들
242,Tochter::N,ქალიშვილი,딸기
243,Bruder::N,ძმა,형제
244,Schwester::N,და,누이
245,Onkel::N,ბიძა,백부
246,Tante::N,დეიდა,아주머니
247,Tante::N,მამიდა,아주머니
248,Ehemann::N,ქმარი,남편
249,Ehefrau::N,ცოლი,아내
250,Freude::N,სიხარული,기쁨
251,Gelächter::N,სიცილი,웃음
252,Glück::N,ბედნიერება,즐거움
253,Kummer::N,მწუხარება,슬픔
254,Wunsch::N,წადილი,소망
255,Wunsch::N,სურვილი,소망
256,Lust::N,წადილი,
257,Geist::N,სული,할기
258,Gedanke::N,ფიქრი,상념
259,Gedächtnis::N,მეხსიერება,기억
260,Verstand::N,ჭკუა,분별
261,Verstand::N,ჭკუა,지능
262,Verstand::N,გონება,분별
263,Verstand::N,გონება,지능
264,Sinn::N,მნიშვნელობა,센스
