,Concept_ID,hi,te
0,Auge::N,आँख,కన్ను
1,Auge::N,चक्षु,కన్ను
2,Ohr::N,कान,చెవి
3,Ohr::N,कर्ण,చెవి
4,Nase::N,नाक,ముక్కు
5,Nase::N,नासा,ముక్కు
6,Mund::N,मुख,నోరు
7,Mund::N,मुँह,నోరు
8,Zahn::N,दंत,పల్లు
9,Zahn::N,दाँत,పల్లు
10,Zunge::N,जीभ,నాలుక
11,Zunge::N,ज़बान,నాలుక
12,Zunge::N,जिह्वा,నాలుక
13,Lippe::N,ओंठ,పెదవి
14,Lippe::N,होंठ,పెదవి
15,Wange::N,गाल,చెంప
16,Wange::N,कपोल,చెంప
17,Gesicht::N,मुँह,ముఖము
18,Gesicht::N,चेहरा,ముఖము
19,Stirn::N,माथा,నుదురు
20,Stirn::N,मस्तक,నుదురు
21,Haar::N,बाल,వెండ్రుక
22,Schnurrbart::N,मूँछें,మీసము
23,Bart::N,दाढ़ी,గడ్డము
24,Kinn::N,चिबुक,గడ్డము
25,Kiefer[Anatomie]::N,जबड़ा,దౌడ
26,Kehle::N,गला,గొంతు
27,Hals::N,गला,మెడ
28,Hals::N,गरदन,మెడ
29,Genick::N,गरदन,మూపు
30,Genick::N,ग्रीवा,మూపు
31,Kopf::N,सिर,తల
32,Kopf::N,शीर्ष,తల
33,Rücken::N,पीठ,వెన్ను
34,Bauch::N,उदर,కడుపు
35,Nabel::N,नाभि,బొడ్డు
36,Nabel::N,ढोंढी,బొడ్డు
37,Busen::N,कुच,స్తనము
38,Busen::N,स्तन,స్తనము
39,Brust::N,वक्ष,ఱొమ్ము
40,Schulter::N,कंधा,భుజము
41,Schulter::N,स्कंध,భుజము
42,Arm::N,बाँह,చేయి
43,Arm::N,बाज़ू,చేయి
44,Ellenbogen::N,कुहनी,మోచేయి
45,Hand::N,हाथ,చేయి
46,Hand::N,हस्त,చేయి
47,Handfläche::N,हथेली,అరచేయు
48,Finger::N,उँगली,చేతిప్రేలు
49,Finger::N,अँगुली,చేతిప్రేలు
50,Fingernagel::N,नख,గోరు
51,Fingernagel::N,नाख़ून,గోరు
52,Nagel[Anatomie]::N,नख,గోరు
53,Nagel[Anatomie]::N,नाख़ून,గోరు
54,Zeh::N,उँगली,కాలిప్రేలు
55,Zeh::N,पाँव की उँगली,కాలిప్రేలు
56,Fuß::N,चरण,అడుగు
57,Fuß::N,पाँव,అడుగు
58,Ferse::N,एड़ी,మడమ
59,Knie::N,जानु,మోకాలు
60,Knie::N,घुटना,మోకాలు
61,Oberschenkel::N,उरु,తొడ
62,Bein::N,टाँग,కాలు
63,Körper::N,तन,కాయము
64,Körper::N,देह,కాయము
65,Körper::N,शरीर,కాయము
66,Haut::N,चर्म,చర్మము
