,Concept_ID,lez,ka
0,Auge::N,вил,თვალი
1,Ohr::N,яб,ყური
2,Nase::N,нер,ცხვირი
3,Mund::N,сив,პირი
4,Zahn::N,сас,კბილი
5,Zahn::N,свах,კბილი
6,Zunge::N,мез,ენა
7,Lippe::N,пӏуз,ბაგე
8,Wange::N,хъвехъ,ლოყა
9,Gesicht::N,ччин,სახე
10,Stirn::N,пел,შუბლი
11,Haar::N,чӏар,თმა
12,Schnurrbart::N,спел,ულვაში
13,Schnurrbart::N,спелар,ულვაში
14,Bart::N,ччуру,წვერი
15,Kinn::N,чене,ნიკაპი
16,Kiefer[Anatomie]::N,чене,ყბა
17,Kehle::N,туьд,ყელი
18,Hals::N,гардан,ყელი
19,Hals::N,гардан,კისერი
20,Genick::N,кьам,კეფა
21,Kopf::N,кьил,თავი
22,Rücken::N,далу,ზურგი
23,Bauch::N,руфун,მუცელი
24,Nabel::N,пицӏ,ჭიპი
25,Busen::N,мам,ძუძუ
26,Brust::N,хур,მკერდი
27,Schulter::N,къуьн,მხარი
28,Schulter::N,къуьн,მკლავი
29,Arm::N,гъил,ხელი
30,Ellenbogen::N,кьуьнт,იდაყვი
31,Hand::N,капаш,ხელი
32,Handfläche::N,капан юкь,ნები
33,Handfläche::N,капан юкь,ხელისგული
34,Finger::N,тӏуб,თითი
35,Fingernagel::N,кек,ფრჩხილი
36,Nagel[Anatomie]::N,кек,ფრჩხილი
37,Zeh::N,кул,ფეხის თითი
38,Fuß::N,кӏвач,ტერფი
39,Fuß::N,кӏвач,ფეხისგული
40,Ferse::N,дабан,ქუსლი
41,Knie::N,мет,მუხლი
42,Bein::N,кӏвач,ფეხი
43,Körper::N,беден,ტანი
44,Körper::N,беден,სხეული
45,Haut::N,хам,კანი
46,Blut::N,иви,სისხლი
47,Ader::N,дамар,ძარღვი
48,Sehne::N,кьуру дамар,მყესი
49,Knochen::N,кӏараб,ძვალი
50,Gehirn::N,мефт,ტვინი
51,Herz::N,рикӏ,გული
52,Magen::N,хук,კუჭი
53,Leber::N,лекь,ღვიძლი
54,Atem::N,ял,სუნთქვა
55,Atem::N,нефес,სუნთქვა
56,Hunger::N,каш,შიმშილი
57,Träne::N,вилин нагъв,ცრემლი
58,Geschmack::N,дад,გემო
59,Geschmack::N,тӏям,გემო
60,Geruch::N,ни,სუნი
61,Schlaf::N,ахвар,ძილი
62,Traum::N,ахвар,სიზმარი
63,Himmel::N,цав,ცა
64,Sonne::N,рагъ,მზე
65,Mond::N,варз,მთვარე
66,Stern::N,гъед,ვარსკვლავი
67,Luft::N,гьава,ჰაერი
68,Wind::N,гар,ქარი
69,Welle::N,лепе,ტალღა
70,Wasser::N,яд,წყალი
71,Stein::N,къван,ქვა
72,Boden::N,накьв,მიწა
73,Erde::N,ччил,ნიადაგი
74,Staub::N,руг,მტვერი
75,Rauch::N,гум,ბოლი
76,Rauch::N,гум,კვამლი
77,Funke::N,цӏелхем,ნაკვესი
78,Feuer::N,цӏай,ცეცხლი
79,Licht::N,экв,შუქი
80,Licht::N,экв,სინათლე
81,Schatten::N,серин,ლანდი
82,Schatten::N,серин,ჩრდილი
83,Wetter::N,гьава,ამინდი
84,Nebel::N,ччилин циф,ნისლი
85,Wolke::N,циф,ღრუბელი
86,Regen::N,марф,წვიმა
87,Schnee::N,жив,თოვლი
88,Eis::N,мурк,თოში
89,Eis::N,мурк,ყინული
90,Frost::N,аяз,ყინვა
91,Kälte::N,мекь,სიცივე
92,Kälte::N,мекьивал,სიცივე
93,Hitze::N,зегьем,სიცხე
94,Raureif::N,къирав,ჭირხლი
95,Raureif::N,къирав,თრთვილი
96,Regenbogen::N,яргъируш,ცისარტყელა
97,Donner::N,цавун ван,ქუხილი
98,Tropfen::N,стӏал,წვეთი
99,Schaum::N,каф,ქაფი
100,Schaum::N,каф,დორბლი
101,Schmutz::N,чирк,ჭუჭყი
102,Schmutz::N,чирк,ტალახი
103,Schmutz::N,кьуруш,ჭუჭყი
104,Schmutz::N,кьуруш,ტალახი
105,See::N,вир,ტბა
106,Sumpf::N,уьлен,ჭაობი
107,Wiese::N,векь,ველი
108,Wiese::N,векь,მდელო
109,Wald::N,там,ტყე
110,Hügel::N,кӏунтӏ,ბორცვი
111,Anhöhe::N,тепе,მაღლობი
112,Anhöhe::N,гьуьндуьрвал,მაღლობი
113,Berg::N,дагъ,მთა
114,Gipfel::N,кӏукӏ,მწვერვალი
115,Höhle::N,кьветӏ,მღვიმე
116,Höhle::N,кьветӏ,გამოქვებული
117,Abhang::N,гуьне,ფერდობი
118,Quelle::N,чешме,წყარო
119,Quelle::N,чешме,სათავე
120,Bach::N,булах,რუ
121,Bach::N,булах,ნაკადული
122,Fluss::N,вацӏ,მდინარე
123,Ufer::N,къерех,კიდე
124,Ufer::N,къерех,ნაპირი
125,Küste::N,къерех,ნაპირი
126,Festland::N,кьурамат,ხმელეთი
127,Meer::N,гьуьл,ზღვა
128,Bucht::N,бухта,ყურე
129,Insel::N,остров,კუნძული
130,Blume::N,цуьк,ყვავილი
131,Gras::N,хъач,ბალახი
