,Concept_ID,ca,os
0,Auge::N,ull,цӕст
1,Ohr::N,orella,хъус
2,Nase::N,nas,фындз
3,Mund::N,boca,дзых
4,Zahn::N,dent,дӕндаг
5,Zunge::N,llēngua,ӕвзаг
6,Lippe::N,llavi,был
7,Wange::N,galta,рус
8,Wange::N,galta,уадул
9,Wange::N,galta,ӕхсӕрфарс
10,Gesicht::N,cara,цӕсгом
11,Stirn::N,front,ных
12,Haar::N,cabēll,хил
13,Schnurrbart::N,bigoti,рихи
14,Bart::N,barba,зачъе
15,Kinn::N,mentó,роцъо
16,Kinn::N,barbeta,роцъо
17,Kiefer[Anatomie]::N,queix,ӕфсӕр
18,Kiefer[Anatomie]::N,mandíbula,ӕфсӕр
19,Kehle::N,gola,хъуыр
20,Kehle::N,gorja,хъуыр
21,Hals::N,coll,къубал
22,Genick::N,nuca,къӕбут
23,Kopf::N,cap,сӕр
24,Rücken::N,esquena,фӕсонтӕ
25,Bauch::N,panxa,гуыбын
26,Nabel::N,llombrígol,бикъ
27,Busen::N,pit,дзидзи
28,Busen::N,mama,дзидзи
29,Brust::N,pit,риу
30,Schulter::N,espatlla,уӕхск
31,Arm::N,braç,цонг
32,Ellenbogen::N,colze,рæмбын
33,Hand::N,mà,къух
34,Handfläche::N,palma,армытъӕпӕн
35,Finger::N,dit,ӕнруылдз
36,Fingernagel::N,ungla,ных
37,Nagel[Anatomie]::N,ungla,ных
38,Zeh::N,dit del peu,къух
39,Fuß::N,peu,фад
40,Ferse::N,taló,зӕвӕт
41,Knie::N,genoll,уӕраг
42,Oberschenkel::N,cuixa,агъд
43,Bein::N,cama,зӕнг
44,Körper::N,cos,буар
45,Haut::N,pell,царм
46,Blut::N,sang,туг
47,Ader::N,vena,дадзин
48,Ader::N,vena,тугдадзин
49,Sehne::N,tendó,хъиутæ
50,Sehne::N,tendó,нуар
51,Knochen::N,os,стӕг
52,Gehirn::N,cervell,магъз
53,Herz::N,cor,зӕрдӕ
54,Magen::N,estómac,ахсӕн
55,Leber::N,fetge,игæр
56,Atem::N,alè,улӕфт
57,Atem::N,hàlit,улӕфт
58,Hunger::N,fam,стонг
59,Hunger::N,gana,стонг
60,Träne::N,llàgrima,цæссыг
61,Geschmack::N,gust,ад
62,Geschmack::N,sabor,ад
63,Geruch::N,olor,смаг
64,Schlaf::N,son,хуыссӕг
65,Traum::N,somni,фын
66,Himmel::N,celm,арв
67,Himmel::N,celm,уӕларв
68,Sonne::N,sol,хур
69,Mond::N,lluna,мӕй
70,Stern::N,estel,стъалы
71,Stern::N,estrella,стъалы
72,Luft::N,aire,уӕлдӕф
73,Wind::N,vent,дымгӕ
74,Welle::N,ona,уылӕн
75,Wasser::N,āigua,дон
76,Stein::N,pedra,дур
77,Boden::N,sòl,зӕхх
78,Erde::N,terra,сыджыт
79,Staub::N,pols,рыг
80,Rauch::N,fum,фӕздӕг
81,Funke::N,guspira,цӕхӕр
82,Funke::N,centella,цӕхӕр
83,Feuer::N,foc,зынг
84,Licht::N,llum,рухс
85,Schatten::N,ombra,аууон
86,Wetter::N,temps,боныхъӕд
87,Nebel::N,boira,мигъ
88,Wolke::N,núvol,ӕврагъ
89,Regen::N,pluja,уарын
90,Schnee::N,neu,мит
91,Eis::N,gel,их
92,Eis::N,glaç,их
93,Frost::N,glaçada,ихæн
94,Kälte::N,fred,уазал
95,Hitze::N,calor,ӕнтӕф
96,Raureif::N,gebre,халас
97,Regenbogen::N,arc iris,арвырон
98,Regenbogen::N,arc iris,арвырдын
99,Donner::N,tro,æрвнæрын
100,Strömung::N,corrent,цыд
101,Tropfen::N,gota,æртах
102,Schaum::N,escuma,фынк
103,Schmutz::N,brutícia,цъыф
104,See::N,llac,цад
105,Sumpf::N,pantà,цъыфдзаст
106,Moor::N,pantà,цъыфдзаст
107,Wiese::N,prat,уыгӕрдӕн
108,Wiese::N,prada,уыгӕрдӕн
109,Wald::N,bosc,хъӕд
110,Hügel::N,puig,обау
111,Hügel::N,puig,къуыбыр
112,Hügel::N,pujol,обау
113,Hügel::N,pujol,къуыбыр
114,Anhöhe::N,turó,уæлвæз
115,Anhöhe::N,turó,уæлхох
116,Berg::N,muntanya,хох
117,Gipfel::N,cim,цъупп
118,Höhle::N,cova,лӕгӕт
119,Abhang::N,coster,къул
120,Quelle::N,font,суадон
121,Bach::N,riera,мӕсчъыдон
122,Fluss::N,riu,дон
123,Fluss::N,riu,цӕугӕдон
124,Ufer::N,riba,был
125,Küste::N,costa,донбыл
126,Festland::N,terra ferma,сурзæхх
127,Meer::N,mar,денджыз
128,Bucht::N,cala,донбакæлæн
129,Bucht::N,badia,донбакæлæн
130,Insel::N,illa,сакъадах
131,Blume::N,flor,дидинӕг
132,Gras::N,herba,кӕрдӕг
133,Wurzel::N,rel,уидаг
134,Wurzel::N,arrel,уидаг
135,Baum::N,arbre,бӕлас
136,Stamm::N,tronc,хӕтӕл
137,Rinde::N,escorça,цъар
138,Ast::N,branca,арх
139,Zweig::N,ram,къалиу
140,Blatt::N,fulla,сыф
141,Birke::N,bedoll,бæрз
142,Kiefer[Baum]::N,pi,нӕзы
143,Weide[Baum]::N,salze,хӕрис
144,Tanne::N,avet,наз
145,Horn::N,corn,сыкъа
146,Horn::N,banya,сыкъа
147,Feder::N,ploma,сис
148,Fell::N,pell,царм
149,Flügel::N,ala,базыр
150,Klaue::N,urpa,ных
151,Kralle::N,grapa,дзӕмбы
152,Schwanz::N,cua,къӕдзил
153,Ei::N,ou,айк
154,Nest::N,niu,ахстон
155,Bau::N,cau,хуынкъ
156,Tier::N,animāl,сырд
157,Tier::N,animāl,цӕрӕгой
158,Herde::N,ramat,дзуг
159,Herde::N,ramat,рӕгъау
160,Kuh::N,vaca,хъуг
161,Bulle::N,toro,гал
162,Pferd::N,cavāll,бӕх
163,Schaf::N,be,фыс
164,Schaf::N,ovella,фыс
165,Schwein::N,bacó,хуы
166,Hund::N,ca,куыдз
167,Hund::N,gos,куыдз
168,Katze::N,gat,гӕды
169,Bär::N,ós,арс
170,Eichhörnchen::N,esquirol,æхсæрæг
171,Elch::N,ant,цæгатаг саг
172,Fuchs::N,guilla,рувас
173,Hase::N,llebre,тæрхъус
174,Maus::N,ratolí,мыст
175,Wolf::N,llop,бирӕгъ
176,Vogel::N,au,цъиу
177,Vogel::N,au,маргъ
178,Vogel::N,ocēll,цъиу
179,Vogel::N,ocēll,маргъ
180,Schwarm::N,bandada,бал
181,Huhn::N,gallina,карк
182,Hahn::N,gall,уасӕг
183,Gans::N,oca,хъаз
184,Adler::N,àguila,цӕргӕс
185,Ente::N,ànec,ацц
186,Eule::N,òliba, уыг
187,Eule::N,òliba,сидахъ
188,Eule::N,mussol, уыг
189,Eule::N,mussol,сидахъ
190,Kranich::N,grua,зырнæг
191,Kranich::N,grua,хърихъупп
192,Krähe::N,cornella,халон
193,Kuckuck::N,cucut,гаккук
194,Schwan::N,cigne,доныхъаз
195,Fisch::N,peix,кӕсаг
196,Barsch::N,perca,окунь
197,Hecht::N,lluç,хихор кӕсаг
198,Schlange[Tier]::N,serp,калм
199,Wurm::N,cuc,зулкъ
200,Wurm::N,cuc,къуыдыргалм
201,Spinne::N,aranya,хӕлуарӕг
202,Ameise::N,formiga,мæлдзыг
203,Laus::N,poll,сыст
204,Mücke::N,mosquit,къогъо
205,Fliege::N,mosca,бындз
206,Schmetterling::N,papallona,гæлæбу
207,Beere::N,baia,гагадыргъ
208,Apfel::N,poma,фӕткъуы
209,Pilz::N,bolet,зокъо
210,Pilz::N,bolet,къозо
211,Zwiebel::N,ceba,хъӕдындз
212,Saat::N,sembra,тауинаг
213,Saat::N,sembra,мыггаг
214,Korn::N,gra,мыггаг
215,Korn::N,gra,тауинаг
216,Heu::N,fenc,хос
217,Schale::N,closca,цъар
218,Grube::N,sot,урм
219,Grube::N,sot,къахт
220,Grube::N,sot,дзыхъхъ
221,Grube::N,clot,урм
222,Grube::N,clot,къахт
223,Grube::N,clot,дзыхъхъ
224,Falle::N,trampa,цъысым
225,Falle::N,trampa,къӕппӕг
226,Schlinge::N,baga,цасм
227,Spur::N,traça,фæд
228,Asche::N,cendra,фӕнык
229,Asche::N,cendra,ӕртхутӕг
230,Dreck::N,llot,цъыф
231,Eisen::N,ferro,ӕфсӕйнаг
232,Gold::N,or,сыгъзӕрин
233,Silber::N,plata,ӕвзист
234,Kohle::N,carbó,ӕвзалы
235,Glas::N,vidre,авг
236,Lehm::N,fang,ӕлыг
237,Lehm::N,argila,ӕлыг
238,Sand::N,arena,змис
239,Mensch::N,humà,лӕг
240,Mensch::N,humà,адӕймаг
241,Mensch::N,humà,удгоймаг
242,Mensch::N,persona,лӕг
243,Mensch::N,persona,адӕймаг
244,Mensch::N,persona,удгоймаг
245,Mann::N,home,лӕг
246,Mann::N,home,нӕлгоймаг
247,Frau::N,dona,сылгоймаг
248,Kind::N,nen,сывӕллон
249,Junge::N,noi,лӕппу
250,Mädchen::N,noia,чызг
251,Familie::N,família,бинонтæ
252,Großvater::N,avi,фыдыфыд
253,Großvater::N,avi,мадыфыд
254,Großmutter::N,àvia,фыды мад
255,Großmutter::N,àvia,мады мад
256,Eltern::N,pares,ныййарджытæ
257,Vater::N,pare,фыд
258,Mutter::N,mare,мад
259,Sohn::N,fill,фырт
260,Tochter::N,filla,чызг
261,Bruder::N,germà,ӕфсымӕр
