,Concept_ID,lbe,is
0,Auge::N,я,auga
1,Ohr::N,вичӏи,eyra
2,Nase::N,май,nef
3,Mund::N,кьацӏ,munnur
4,Zahn::N,ккарччи,tönn
5,Zunge::N,маз,tunga
6,Lippe::N,мурччи,vör
7,Wange::N,чӏав,kinn
8,Wange::N,чӏав,vangi
9,Gesicht::N,лажин,andlit
10,Stirn::N,ненттабакӏ,enni
11,Haar::N,чӏара,hár
12,Schnurrbart::N,ссирссилтту,yfirskegg
13,Bart::N,чӏири,skegg
14,Kinn::N,лунттубакӏ,haka
15,Kiefer[Anatomie]::N,ххинчулул,kjálki
16,Kiefer[Anatomie]::N,ххинчулул,skoltur
17,Kehle::N,кьакьари,kverk
18,Hals::N,ссурссу,háls
19,Genick::N,махъабакӏ,hnakki
20,Kopf::N,бакӏ,höfuð
21,Rücken::N,ттиликӏ,hryggur
22,Bauch::N,лякьа,kviður
23,Nabel::N,цӏумуккутӏ,nafli
24,Busen::N,ккукку,barmur
25,Brust::N,хъазам,brjóst
26,Schulter::N,хъачӏ,öxl
27,Arm::N,ка,armur
28,Ellenbogen::N,ссюрхъ,olnbogi
29,Hand::N,бартка,hönd
30,Handfläche::N,хъат,lófi
31,Handfläche::N,битӏянхъ,lófi
32,Finger::N,кӏисса,fingur
33,Fingernagel::N,михь,fingurnögl
34,Nagel[Anatomie]::N,михь,nögl
35,Zeh::N,кӏисса,tá
36,Fuß::N,чӏанччан,fótur
37,Ferse::N,никъа,hæll
38,Knie::N,ник,kné
39,Oberschenkel::N,жира,læri
40,Bein::N,ччан,fótleggur
41,Körper::N,чурх,búkur
42,Körper::N,чурх,líkami
43,Haut::N,бурчу,húð
44,Haut::N,бурчу,skinn
45,Blut::N,оь,blóð
46,Ader::N,тунну,æð
47,Sehne::N,хьхьа,sin
48,Knochen::N,ттаркӏ,bein
49,Gehirn::N,ня,heili
50,Herz::N,дакӏ,hjarta
51,Herz::N,къюкӏ,hjarta
52,Magen::N,лякьа,magi
53,Atem::N,ссихӏ ласаву,andi
54,Atem::N,ссихӏ ласаву,andardráttur
55,Atem::N,ссихӏ бигьаву,andi
56,Atem::N,ссихӏ бигьаву,andardráttur
57,Hunger::N,ккаши,hungur
58,Träne::N,макь,tár
59,Geschmack::N,тӏин,smekkur
60,Geschmack::N,тӏааьн,smekkur
61,Geruch::N,кьанкь,lykt
62,Schlaf::N,шану,svefn
63,Traum::N,макӏру,draumur
64,Himmel::N,ссав,himinn
65,Sonne::N,баргъ,sól
66,Mond::N,барз,tungl
67,Stern::N,цӏуку,stjarna
68,Luft::N,гьава,loft
69,Wind::N,марч,vindur
70,Welle::N,щатӏи,alda
71,Welle::N,щатӏи,bylgja
72,Wasser::N,щин,vatn
73,Stein::N,чару,steinn
74,Boden::N,аьрщи,botn
75,Erde::N,аьрщи,jörð
76,Staub::N,ххит,ryk
77,Staub::N,ххит,duft
78,Rauch::N,пуркӏу,reykur
79,Funke::N,пиягь,neisti
80,Feuer::N,цӏу,eldur
81,Licht::N,чани,ljós
82,Schatten::N,ххют,skuggi
83,Wetter::N,гьава,veður
84,Nebel::N,шархь ттурлу,þoka
85,Wolke::N,ттурлу,ský
86,Regen::N,гъарал,regn
87,Schnee::N,марххала,snjór
88,Eis::N,микӏ,ís
89,Frost::N,дяркъу,frost
90,Frost::N,замгьар,frost
91,Kälte::N,дяркъу,kuldi
92,Hitze::N,кӏиришиву,hiti
93,Raureif::N,сил,hrím
94,Raureif::N,бурса,hrím
95,Regenbogen::N,ссурул ккуртта,regnbogi
96,Donner::N,къув,þruma
97,Strömung::N,экьинанаву,straumur
98,Tropfen::N,кӏунтӏ,dropi
99,Schaum::N,хьама,froða
100,Schmutz::N,кьяркьи,óhreinindi
101,See::N,бяр,stöðuvatn
102,Sumpf::N,кунцӏа,fen
103,Wiese::N,кьан,engi
104,Wald::N,вацӏа,skógur
105,Hügel::N,бакӏу,hæð
106,Hügel::N,бакӏу,hóll
107,Berg::N,зунтту,fell
108,Berg::N,зунтту,fjall
109,Gipfel::N,мицӏ,tindur
110,Höhle::N,нух,hellir
111,Abhang::N,сун,hlíð
112,Abhang::N,сун,brekka
113,Quelle::N,дайдихьу,lind
114,Quelle::N,дайдихьу,uppspretta
115,Quelle::N,бакӏ,lind
116,Quelle::N,бакӏ,uppspretta
117,Bach::N,чӏрир нех,lækur
118,Fluss::N,нех,á
119,Fluss::N,нех,fljót
120,Ufer::N,зума,árbakki
121,Ufer::N,зума,sjávarbakki
122,Küste::N,зумаинхалу,strönd
123,Küste::N,зуманицӏалу,strönd
124,Festland::N,кьири,meginland
125,Meer::N,хьхьири,haf
126,Meer::N,хьхьири,sjór
127,Insel::N,жазира,eyja
128,Blume::N,тӏутӏи,blóm
129,Gras::N,уртту,gras
130,Wurzel::N,мархха,rót
131,Baum::N,мурхь,tré
132,Stamm::N,ттарцӏ,stofn
133,Rinde::N,ккамара,börkur
134,Ast::N,матӏи,grein
135,Zweig::N,къяртта,angi
136,Zweig::N,къяртта,kvistur
137,Blatt::N,чӏапӏи,blað
138,Birke::N,кӏялахӏи,birki
139,Birke::N,кӏялахӏилул мурхь,birki
140,Kiefer[Baum]::N,ттар,fura
141,Kiefer[Baum]::N,ттарлил мурхь,fura
142,Weide[Baum]::N,щавщи,víðir
143,Tanne::N,ттарлил мурхь,greni
144,Horn::N,хъи,horn
145,Feder::N,лелуххул тӏиму,fjöður
146,Fell::N,бурчу,skinn
147,Flügel::N,хъа,vængur
148,Flügel::N,ххурупӏайрал тӏиму,vængur
149,Klaue::N,михь,kló
150,Kralle::N,ххяппа,kló
151,Schwanz::N,магъ,rófa
152,Schwanz::N,магъ,skott
153,Ei::N,ккунук,egg
154,Nest::N,кюру,hreiður
155,Bau::N,цукъуккутӏ,greni
156,Bau::N,цукъуккутӏ,bæli
157,Tier::N,хӏайван,dýr
158,Herde::N,газу,hjörð
159,Kuh::N,оьл,kýr
160,Bulle::N,ниц,boli
161,Pferd::N,чу,hestur
162,Schaf::N,тта,kind
163,Schwein::N,дунгъуз,svín
164,Hund::N,ккаччи,hundur
165,Katze::N,ччиту,köttur
166,Bär::N,цуша,björn
167,Eichhörnchen::N,бюрхттукку,íkorni
168,Elch::N,ниц-бюрин,elgur
169,Fuchs::N,цулчӏа,refur
170,Fuchs::N,куча цулчӏа,refur
171,Hase::N,бюрх,héri
172,Maus::N,кӏулу,mús
173,Wolf::N,барцӏ,úlfur
174,Vogel::N,лелуххи,fugl
175,Schwarm::N,гьухъала,sægur
176,Huhn::N,аьнакӏи,hæna
177,Hahn::N,ажари,hani
178,Gans::N,къаз,gæs
179,Adler::N,барзу,örn
180,Ente::N,урдак,önd
181,Eule::N,ису,uggla
182,Eule::N,ччиккумяв,uggla
183,Kranich::N,кьурукь,trana
184,Krähe::N,хъатӏу,kráka
185,Kuckuck::N,ччикку,gaukur
186,Schwan::N,урттил къаз,svanur
187,Fisch::N,чавахъ,fiskur
188,Schlange[Tier]::N,шатта,naðra
189,Wurm::N,кьюнукьай шатта,ormur
190,Spinne::N,ххялцу,kónguló
191,Ameise::N,митӏикьукьу,maur
192,Mücke::N,мичӏак,mý
193,Mücke::N,мичӏак,mýfluga
194,Fliege::N,зимиз,fluga
195,Schmetterling::N,чӏимучӏали,fiðrildi
196,Beere::N,хӏаллил ахъулсса,ber
197,Apfel::N,гьивч,epli
198,Pilz::N,ттуккул иис,sveppur
199,Zwiebel::N,лаччул чсмусул бакӏ,laukur
200,Saat::N,гьанна,fræ
201,Saat::N,гьанна,útsæði
202,Korn::N,къама,korn
203,Heu::N,ххулув,hey
204,Schale::N,ккиртту,hýði
205,Grube::N,кӏаланг,gryfja
206,Falle::N,къатӏа,gildra
207,Schlinge::N,хӏатӏ,snara
208,Spur::N,ша,spor
209,Asche::N,лах,aska
210,Dreck::N,кьяркьи,óþverri
211,Dreck::N,венп,óþverri
212,Eisen::N,мах,járn
