,Concept_ID,ta,cs
59,Himmel::N,வானம்,nebe
60,Sonne::N,சூரியன்,slunce
61,Mond::N,சந்திரன்,měsíc
62,Stern::N,நட்சத்திரம்,hvězda
63,Luft::N,காறறு,vzduch
64,Wind::N,காற்று,vítr
65,Welle::N,அலை,vlna
66,Wasser::N,நீர்,voda
67,Stein::N,கல்,kámen
68,Boden::N,தரை,půda
69,Erde::N,மண்,země
70,Staub::N,தூசி,prach
71,Rauch::N,புகை,dým
72,Rauch::N,புகை,kouř
73,Funke::N,தீப்பொறி,jiskra
74,Feuer::N,தீ,oheň
75,Licht::N,வெளிச்சம்,světlo
76,Schatten::N,நிழல்,stín
77,Wetter::N,வானிலை,počasí
78,Nebel::N,பனிமூட்டம்,mlha
79,Wolke::N,மேகம்,mrak
80,Wolke::N,மேகம்,oblak
81,Regen::N,மழை,déšť
82,Schnee::N,உறைபனி,sníh
83,Eis::N,பனிக்கட்டி,led
84,Frost::N,உறைபனி,mráz
85,Kälte::N,குளிர்ந்த,chlad
86,Hitze::N,சூடு,horko
87,Raureif::N,உறைபனி வெண்திரை,jinovatka
88,Regenbogen::N,வானவில்,duha
89,Donner::N,இடி,hrom
90,Strömung::N,நீரோட்டம்,proudění
91,Tropfen::N,துளி,kapka
92,Schaum::N,நுரை,pěna
93,Schmutz::N,அழுக்கு,špína
94,See::N,ஏரி,jezero
95,Sumpf::N,சதுப்பு நிலம்,močál
96,Sumpf::N,சதுப்பு நிலம்,bažina
97,Moor::N,முட்புதற்காடு,bažina
98,Moor::N,முட்புதற்காடு,slatina
99,Wiese::N,பசும் புல்தரை,louka
100,Wald::N,காடு,les
101,Hügel::N,குன்று,kopec
102,Anhöhe::N,பதுக்கை,pahorek
103,Berg::N,மலை,hora
104,Gipfel::N,உச்சி மாநாடு,vrchol
105,Höhle::N,குகை,jeskyně
106,Abhang::N,சரிவு,svah
107,Abhang::N,சரிவு,stráň
108,Quelle::N,மூலம்,pramen
109,Bach::N,ஓடை,potok
110,Fluss::N,ஆறு,řeka
111,Ufer::N,நீர்க்கரை,břeh
112,Küste::N,கடற்கரை,pobřeží
113,Festland::N,நிலம்,souš
114,Festland::N,நிலம்,pevnina
115,Meer::N,கடல்,moře
116,Bucht::N,சிறுகுடா,záliv
117,Bucht::N,சிறுகுடா,zátoka
118,Insel::N,தீவு,ostrov
119,Blume::N,பூ,květina
120,Gras::N,புல்தரை,tráva
121,Wurzel::N,வேர்,kořen
122,Baum::N,மரம்,strom
123,Stamm::N,அடிமரம்,kmen
124,Rinde::N,பட்டை,kůra
125,Rinde::N,மரப்பட்டை,kůra
126,Ast::N,கினை,větev
127,Zweig::N,குச்சி,větev
128,Blatt::N,இலை,lupen
129,Birke::N,பிர்ச் மரம்,bříza
130,Kiefer[Baum]::N,தேவதாரு மரம்,sosna
131,Kiefer[Baum]::N,தேவதாரு மரம்,borovice
132,Weide[Baum]::N,மர வகைகளுள் ஒன்று,vrba
133,Tanne::N,சாதிக்கய்,jedle
134,Horn::N,கொம்பு,roh
135,Feder::N,இறகு,pero
136,Fell::N,மென்முடி,srst
137,Flügel::N,இறக்கை,křídlo
138,Klaue::N,நகம்,dráp
139,Klaue::N,நகம்,pazneht
140,Kralle::N,நகம்,dráp
141,Schwanz::N,வால்,ocas
142,Ei::N,முட்டை,vejce
143,Nest::N,கூடு,hnízdo
144,Bau::N,குகை,nora
145,Tier::N,விலங்கு,zvíře
146,Herde::N,கூட்டம்,stádo
147,Kuh::N,பசு,kráva
148,Bulle::N,காளை,býk
149,Pferd::N,குதிரை,kůň
150,Schaf::N,செம்மறிஆடு,ovce
151,Schwein::N,பன்றி,vepř
152,Schwein::N,பன்றி,prase
153,Hund::N,நாய்,pes
154,Katze::N,பூனை,kočka
155,Bär::N,கரடி,medvěd
156,Eichhörnchen::N,அணில்,veverka
157,Elch::N,கடம்பை,los
158,Fuchs::N,நரி,liška
159,Hase::N,முயல்,zajíc
160,Maus::N,எலி,myš
161,Wolf::N,ஓநாய்,vlk
162,Vogel::N,பறவை,pták
163,Schwarm::N,தொகுதி,roj
164,Schwarm::N,தொகுதி,hejno
165,Huhn::N,கோழிக்குஞசு,kuře
166,Huhn::N,கோழிக்குஞசு,slepice
167,Hahn::N,சேவல்,kohout
168,Gans::N,பெண் வாத்து,husa
169,Adler::N,பருநது,orel
170,Ente::N,வாத்து,kachna
171,Eule::N,ஆந்தை,sova
172,Kranich::N,நாரை,jeřáb
173,Krähe::N,காகம்,vrána
174,Kuckuck::N,குயில்,kukačka
175,Schwan::N,அன்னம்,labuť
176,Fisch::N,மீன்,ryba
177,Barsch::N,பேர்ச்,okoun
178,Hecht::N,கோலாச்சி மீன்,štika
179,Schlange[Tier]::N,பாம்பு,had
180,Wurm::N,புழு,červ
181,Spinne::N,சிலந்தி,pavouk
182,Ameise::N,எறும்பு,mravenec
183,Laus::N,பேன்,veš
184,Mücke::N,கொசுவினப்பூச்சி,komár
185,Fliege::N,ஈ,moucha
186,Schmetterling::N,வண்ணத்துப்பூச்சி,motýl
187,Beere::N,சதைப்பழம்,bobule
188,Apfel::N,ஆப்பிள பழம்,jablko
189,Pilz::N,காளான்,houba
190,Zwiebel::N,வெங்காயம்,cibule
191,Saat::N,விதை,osivo
192,Korn::N,தானியம்,zrno
193,Heu::N,வைக்கோல்,seno
194,Schale::N,தோல்,slupka
195,Schale::N,தோல்,skořápka
196,Grube::N,குழி,jáma
197,Falle::N,பொறி,past
198,Falle::N,பொறி,léčka
199,Schlinge::N,கண்ணி,smyčka
200,Spur::N,சுவடு,stopa
201,Asche::N,சாம்பல்,popel
202,Dreck::N,அழுக்கு,špína
203,Eisen::N,இரும்பு,železo
204,Gold::N,தங்கம்,zlato
205,Silber::N,வெள்ளி,stříbro
206,Kohle::N,நிலக்கரி,uhlí
207,Glas::N,கண்ணாடி,sklo
208,Lehm::N,களிமண்,jíl
209,Lehm::N,களிமண்,hlína
210,Sand::N,மணல்,písek
211,Mensch::N,மனிதர்கள்,člověk
212,Mann::N,மனிதன்,muž
213,Frau::N,பெண்,žena
214,Kind::N,குழந்தை,dítě
215,Junge::N,பையன்,hoch
216,Junge::N,பையன்,chlapec
217,Mädchen::N,சிறுமி,děvče
218,Familie::N,குடும்பம்,rodina
219,Großvater::N,தாத்தா,děd
220,Großvater::N,தாத்தா,dědeček
221,Großmutter::N,பாட்டி,babička
222,Eltern::N,பெற்றோர்,rodiče
223,Vater::N,தந்தை,otec
224,Mutter::N,தாய்,matka
225,Sohn::N,மகன்,syn
226,Tochter::N,மகள்,dcera
227,Bruder::N,சகோதரன்,bratr
228,Schwester::N,அக்கா,sestra
229,Onkel::N,தாய் மாமன்,strýc
230,Tante::N,அத்தை,teta
231,Ehemann::N,கணவன்,choť
232,Ehemann::N,கணவன்,manžel
233,Ehefrau::N,மனைவி,choť
234,Ehefrau::N,மனைவி,manželka
235,Freude::N,கொண்டாட்டம்,radost
236,Gelächter::N,சிரிப்பு,smích
237,Glück::N,மகிழ்ச்சி,štěstí
238,Kummer::N,துயரம்,žal
239,Kummer::N,துயரம்,trápení
240,Wunsch::N,விருப்பம்,přání
241,Lust::N,விருப்பம்,chuť
242,Geist::N,ஆன்மா,duch
243,Gedanke::N,எண்ணம்,myšlenka
244,Gedächtnis::N,ஞாபகம்,paměť
245,Verstand::N,மனம்,rozum
246,Sinn::N,அர்த்தம்,smysl
247,Grund::N,காரணம்,důvod
248,Wahrheit::N,உண்நை,pravda
249,Gespräch::N,பெசு,rozhovor
250,Märchen::N,நம்பத்தகாத கதை,pohádka
251,Erzählung::N,கதை,povídka
252,Nachricht::N,செய்தி,zpráva
253,Neuigkeit::N,செய்தி,novina
254,Neuigkeit::N,செய்தி,novinka
255,Name::N,பெயர்,jméno
256,Rätsel::N,புதிர்,hádanka
257,Rede::N,பேச்சு,řeč
258,Rede::N,பேச்சு,proslov
259,Sprache::N,மொழி,řeč
260,Sprache::N,மொழி,jazyk
261,Stimme::N,குரல்,hlas
262,Wort::N,வார்த்தை,slovo
263,Zeichen::N,குறி,znamení
264,Ruf::N,அழைப்பு,zavolání
265,Lärm::N,சத்தம்,hluk
266,Laut::N,ஒலி,zvuk
267,Ton::N,குரல்,tón
268,Lied::N,பாட்டு,píseň
269,Ruhe::N,அமைதி,klid
270,Ruhe::N,அமைதி,pokoj
271,Leute::N,மக்கள்,lidé
272,Volk::N,மக்கள்,národ
273,Arbeit::N,வேலை,práce
274,Gast::N,விருந்தாளி,host
275,Geschenk::N,பரிசுப் பொருள்,dar
276,Spiel::N,விளையாட்டு,hra
277,Gesellschaft::N,சமுதாயம்,společnost
278,Hilfe::N,உதவி,pomoc
279,Freund::N,நண்பன்,přítel
280,Kamerad::N,உடனிருப்பவன்,kamarád
281,Angelegenheit::N,செய்தி,záležitost
282,Anzahl::N,எண்ணிக்கை,počet
283,Art::N,வகை,druh
284,Stück::N,துண்டம்,kus
285,Stück::N,துண்டம்,kousek
286,Teil::N,பகுதி,díl
287,Teil::N,பகுதி,část
288,Hälfte::N,பாதி,půl
289,Kreis::N,வட்டம்,kruh
290,Kreuz::N,சிலுவை,kříž
291,Linie::N,கோடு,linka
292,Strich::N,வாத நோய்,čára
293,Strich::N,வாத நோய்,čárka
294,Abstand::N,இடைவெளி,vzdálenost
295,Entfernung::N,தூரம்,vzdálenost
296,Gegend::N,வட்டாரம்,krajina
297,Platz::N,வெற்றிடம்,prostor
298,Ort::N,இடம்,místo
299,Seite::N,பக்கம்,strana
300,Mitte::N,இடைப்பகுதி,střed
301,Mitte::N,இடைப்பகுதி,prostředek
302,Gegenstand::N,உருப்படி,předmět
303,Sache::N,பொருள்,věc
304,Rand::N,தொங்கு,kraj
305,Rand::N,தொங்கு,okraj
306,Kante::N,விளிம்பு,hrana
307,Ecke::N,மூலை,roh
308,Spitze::N,முனை,hrot
309,Spitze::N,முனை,špička
310,Ende::N,முடிவு,konec
311,Loch::N,துளை,díra
312,Winkel::N,கோணம்,kout
313,Muster::N,பாங்கு,vzor
314,Größe::N,அளவு,velikost
315,Länge::N,நீளம்,délka
316,Höhe::N,உயரம்,výška
317,Gewicht::N,எடை,váha
318,Menge::N,தொகை,množství
319,Haufen::N,குவியல்,kupa
320,Haufen::N,குவியல்,hromada
321,Reihe::N,வரிசை,řada
322,Reihe::N,வரிசை,řádek
323,Boot::N,படகு,člun
324,Ruder::N,துடுப்பு,veslo
325,Schlitten::N,சகடையிலா வண்டி,sáně
326,Ski::N,பனிச் சறுக்கல்,lyže
327,Lagerfeuer::N,மூட்டம்,táborák
