,Concept_ID,zh,sv
0,Auge::N,眼睛,öga
1,Ohr::N,耳朵,öra
2,Nase::N,鼻子,näsa
3,Mund::N,嘴,mun
4,Zahn::N,牙齿,tand
5,Zunge::N,舌头,tunga
6,Lippe::N,嘴唇,läpp
7,Wange::N,面颊,kind
8,Gesicht::N,脸,syn
9,Gesicht::N,脸,ansikte
10,Stirn::N,额,panna
11,Haar::N,头发,hår
12,Schnurrbart::N,髭须,mustasch
13,Bart::N,胡子,skägg
14,Kinn::N,下巴,haka
15,Kiefer[Anatomie]::N,颌,käke
16,Kehle::N,嗓子,strupe
17,Hals::N,颈,hals
18,Genick::N,后颈,nacke
19,Kopf::N,头,huvud
20,Rücken::N,背,rygg
21,Bauch::N,肚子,buk
22,Bauch::N,肚子,mage
23,Nabel::N,肚脐,navel
24,Busen::N,胸脯,barm
25,Brust::N,胸,bröst
26,Schulter::N,肩膀,skuldra
27,Arm::N,臂膀,arm
28,Ellenbogen::N,肘,armbåge
29,Hand::N,手,hand
30,Handfläche::N,手掌,handflata
31,Finger::N,手指,finger
32,Fingernagel::N,指甲,fingernagel
33,Nagel[Anatomie]::N,指甲,nagel
34,Zeh::N,脚趾,tå
35,Fuß::N,脚,fot
36,Ferse::N,后跟,häl
37,Knie::N,膝,knä
38,Oberschenkel::N,大腿,lår
39,Bein::N,腿,ben
40,Körper::N,身体,kropp
41,Haut::N,皮肤,hud
42,Haut::N,皮肤,skinn
43,Blut::N,血,blod
44,Ader::N,血管,åder
45,Sehne::N,腱,sena
46,Knochen::N,骨,ben
47,Gehirn::N,脑,hjärna
48,Herz::N,心,hjärta
49,Magen::N,胃,mage
50,Leber::N,肝,lever
51,Atem::N,呼吸,anda
52,Atem::N,呼吸,andedräkt
53,Hunger::N,饿,svält
54,Hunger::N,饿,hunger
55,Träne::N,眼泪,tår
56,Geschmack::N,味道,smak
57,Geruch::N,气味,lukt
58,Schlaf::N,睡眠,sömn
59,Traum::N,梦,dröm
60,Himmel::N,天空,himmel
61,Sonne::N,太阳,sol
62,Mond::N,月亮,måne
63,Stern::N,星,stjärna
64,Luft::N,空气,luft
65,Wind::N,风,vind
66,Welle::N,波,våg
67,Welle::N,波,bölja
68,Wasser::N,水,vatten
69,Stein::N,石头,sten
70,Boden::N,地面,mark
71,Erde::N,地,jord
72,Staub::N,灰尘,damm
73,Rauch::N,烟,rök
74,Funke::N,火花,gnista
75,Feuer::N,火,eld
76,Licht::N,光,ljus
77,Schatten::N,影子,skugga
78,Wetter::N,天气,väder
79,Nebel::N,雾,dimma
80,Nebel::N,雾,töcken
81,Wolke::N,云,sky
82,Wolke::N,云,moln
83,Regen::N,雨,regn
84,Schnee::N,雪,snö
85,Eis::N,冰,is
86,Frost::N,霜冻,frost
87,Kälte::N,寒冷,köld
88,Hitze::N,炎热,hetta
89,Raureif::N,霜,rimfrost
90,Regenbogen::N,虹,regnbåge
91,Donner::N,雷,åska
92,Donner::N,雷,dunder
93,Strömung::N,水流,strömning
94,Tropfen::N,滴,dropper
95,Schaum::N,泡沫,skum
96,Schmutz::N,赃物,lort
97,Schmutz::N,赃物,smuts
98,See::N,湖,sjö
99,Sumpf::N,沼泽,träsk
100,Moor::N,沼泽,myr
101,Moor::N,沼泽,mosse
102,Wiese::N,草地,äng
103,Wald::N,森林,skog
104,Hügel::N,丘陵,höjd
105,Hügel::N,丘陵,kulle
106,Anhöhe::N,山丘,höjd
107,Anhöhe::N,山丘,backe
108,Berg::N,山,berg
109,Berg::N,山,fjäll
110,Gipfel::N,峰,topp
111,Höhle::N,洞穴,håla
112,Höhle::N,洞穴,grotta
113,Abhang::N,斜坡,slänt
114,Abhang::N,斜坡,sluttning
115,Quelle::N,泉,källa
116,Bach::N,溪,bäck
117,Fluss::N,河流,älv
118,Fluss::N,河流,flod
119,Ufer::N,岸,strand
120,Küste::N,海岸,kust
121,Festland::N,大陆,fastland
122,Meer::N,海,hav
123,Bucht::N,海湾,vik
124,Bucht::N,海湾,bukt
125,Insel::N,岛,ö
126,Blume::N,花,blomma
127,Blume::N,花,blomster
128,Gras::N,草,gräs
129,Wurzel::N,根,rot
130,Baum::N,树,träd
131,Stamm::N,树干,stam
132,Rinde::N,树皮,bark
133,Ast::N,树枝,gren
134,Zweig::N,树枝,kvist
135,Blatt::N,叶子,löv
136,Blatt::N,叶子,blad
137,Birke::N,桦木,björk
138,Kiefer[Baum]::N,松树,tall
139,Weide[Baum]::N,柳树,pil
140,Weide[Baum]::N,柳树,vide
141,Tanne::N,冷杉,gran
142,Horn::N,角,horn
143,Feder::N,羽毛,fjäder
144,Fell::N,皮毛,fäll
145,Fell::N,皮毛,skinn
146,Flügel::N,翅膀,vinge
147,Klaue::N,爪子,klöv
148,Kralle::N,爪子,klo
149,Schwanz::N,尾巴,svans
150,Schwanz::N,尾巴,stjärt
151,Ei::N,蛋,ägg
152,Nest::N,巢,rede
153,Nest::N,巢,näste
154,Bau::N,穴,bo
155,Tier::N,动物,djur
156,Herde::N,群,flock
157,Kuh::N,母牛,ko
158,Bulle::N,公牛,tjur
159,Pferd::N,马,häst
160,Schaf::N,羊,får
161,Schwein::N,猪,svin
162,Hund::N,狗,hund
163,Katze::N,猫,katt
164,Bär::N,熊,björn
165,Eichhörnchen::N,松鼠,ekorre
166,Elch::N,麋鹿,älg
167,Fuchs::N,狐狸,räv
168,Hase::N,兔子,hare
169,Maus::N,老鼠,mus
170,Wolf::N,狼,varg
171,Vogel::N,鸟,fågel
172,Schwarm::N,群,svärm
173,Huhn::N,鸡,höns
174,Hahn::N,公鸡,tupp
175,Gans::N,鹅,gås
176,Adler::N,鹰,örn
177,Ente::N,鸭,anka
178,Eule::N,猫头鹰,uggla
179,Kranich::N,鹤,trana
180,Krähe::N,乌鸦,kråka
181,Kuckuck::N,布谷鸟,gök
182,Schwan::N,天鹅,svan
183,Fisch::N,鱼,fisk
184,Barsch::N,鲈鱼,abborre
185,Hecht::N,狗鱼,gädda
186,Schlange[Tier]::N,蛇,orm
187,Wurm::N,蠕虫,mask
188,Spinne::N,蜘蛛,spindel
189,Ameise::N,蚂蚁,myra
190,Laus::N,虱子,lus
191,Mücke::N,蚊子,mygga
192,Fliege::N,苍蝇,fluga
193,Schmetterling::N,蝴蝶,fjäril
194,Beere::N,将果,bär
195,Apfel::N,苹果,äpple
196,Pilz::N,蘑菇,svamp
197,Zwiebel::N,洋葱,lök
198,Saat::N,种子,sådd
199,Korn::N,谷粒,korn
200,Heu::N,干草,hö
201,Schale::N,壳,skal
202,Grube::N,坑,grop
203,Falle::N,圈套,fälla
204,Schlinge::N,活扣,snara
205,Spur::N,踪迹,spår
