,Concept_ID,br,sv
0,Auge::N,lagad,öga
1,Ohr::N,skouarn,öra
2,Nase::N,fri,näsa
3,Mund::N,genoù,mun
4,Zahn::N,dant,tand
5,Zunge::N,teod,tunga
6,Lippe::N,muzell,läpp
7,Wange::N,chot,kind
8,Gesicht::N,dremm,syn
9,Gesicht::N,dremm,ansikte
10,Stirn::N,tal,panna
11,Haar::N,blev,hår
12,Schnurrbart::N,mourenn,mustasch
13,Bart::N,barv,skägg
14,Kinn::N,groñj,haka
15,Kiefer[Anatomie]::N,javed,käke
16,Kehle::N,gouzoug,strupe
17,Hals::N,gouzoug,hals
18,Genick::N,choug,nacke
19,Kopf::N,penn,huvud
20,Rücken::N,kein,rygg
21,Bauch::N,kof,buk
22,Bauch::N,kof,mage
23,Nabel::N,begel,navel
24,Busen::N,bronn,barm
25,Brust::N,bruched,bröst
26,Schulter::N,skoaz,skuldra
27,Arm::N,brec'h,arm
28,Ellenbogen::N,ilin,armbåge
29,Hand::N,dorn,hand
30,Handfläche::N,palv,handflata
31,Finger::N,biz,finger
32,Fingernagel::N,ivin,fingernagel
33,Nagel[Anatomie]::N,ivin,nagel
34,Zeh::N,biz-troad,tå
35,Fuß::N,troad,fot
36,Ferse::N,seul,häl
37,Knie::N,glin,knä
38,Oberschenkel::N,morzhed,lår
39,Bein::N,gar,ben
40,Körper::N,korf,kropp
41,Haut::N,kroc'hen,hud
42,Haut::N,kroc'hen,skinn
43,Blut::N,gwad,blod
44,Ader::N,gwazhi,åder
45,Sehne::N,stir,sena
46,Knochen::N,askorn,ben
47,Gehirn::N,empenn,hjärna
48,Herz::N,kalon,hjärta
49,Magen::N,stomog,mage
50,Leber::N,avu,lever
51,Atem::N,anal,anda
52,Atem::N,anal,andedräkt
53,Hunger::N,naon,svält
54,Hunger::N,naon,hunger
55,Träne::N,daer,tår
56,Geschmack::N,blaz,smak
57,Geruch::N,c'hwezh,lukt
58,Schlaf::N,kousked,sömn
59,Traum::N,hune,dröm
60,Himmel::N,oabl,himmel
61,Sonne::N,heol,sol
62,Mond::N,loar,måne
63,Stern::N,steredenn,stjärna
64,Luft::N,aer,luft
65,Wind::N,avel,vind
66,Welle::N,houlenn,våg
67,Welle::N,houlenn,bölja
68,Wasser::N,dour,vatten
69,Stein::N,maen,sten
70,Boden::N,tachenn,mark
71,Erde::N,douar,jord
72,Staub::N,poultr,damm
73,Rauch::N,moged,rök
74,Funke::N,ful,gnista
75,Feuer::N,tan,eld
76,Licht::N,gouloù,ljus
77,Schatten::N,disheol,skugga
78,Wetter::N,amzer,väder
79,Nebel::N,brumenn,dimma
80,Nebel::N,brumenn,töcken
81,Wolke::N,koumoulenn,sky
82,Wolke::N,koumoulenn,moln
83,Regen::N,glav,regn
84,Schnee::N,erc'h,snö
85,Eis::N,skorn,is
