,Concept_ID,ml,mhr
0,Auge::N,കണ്ണ്,шинча́
1,Ohr::N,ചെവി,пы́лыш
2,Nase::N,മൂക്ക്,нер
3,Mund::N,വായ,умша́
4,Zahn::N,പല്ല്,пӱй
5,Zunge::N,നാക്ക്,йы́лме
6,Lippe::N,ചുണ്ട്,тӱ́рвӧ
7,Wange::N,കവിൾത്തടം,шӱ́ргӧ
8,Gesicht::N,മുഖം,чури́й
9,Stirn::N,നെറ്റി,саҥга́
10,Haar::N,തലമുടി,ӱп
11,Schnurrbart::N,മീശ,ӧ́рыш
12,Bart::N,താടിരോമം,понда́ш
13,Kinn::N,താടി,оҥыла́ш
14,Kiefer[Anatomie]::N,താടിയെല്ല്,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,താടിയെല്ല്,пӱйората́
16,Kehle::N,കണ്ഠനാളം,лога́р
17,Hals::N,കഴുത്ത്,шӱй
18,Genick::N,പിടലി,шӱйло́дыш
19,Kopf::N,തല,вуй
20,Rücken::N,മുതുക്,туп
21,Bauch::N,നയറ്,мӱ́шкыр
22,Nabel::N,നാഭി,кы́лымде
23,Busen::N,സ്തനം,чы́зе
24,Brust::N,സ്തനം,оҥ
25,Schulter::N,തോൾ,ва́че
26,Arm::N,കൈ,кид
27,Ellenbogen::N,കൈമുട്ട്,кынерву́й
28,Hand::N,കൈ,кид
29,Hand::N,കൈ,копа́
30,Handfläche::N,ഉള്ളം കൈ,со́во
31,Finger::N,വിരൽ,парня́
32,Fingernagel::N,നഖം,кидкӱ́ч
33,Fingernagel::N,നഖം,парнягӱ́ч
34,Nagel[Anatomie]::N,നഖം,кӱч
35,Zeh::N,കാൽവിരൽ,йолварня́
36,Fuß::N,കാൽപ്പാദം,йол
37,Fuß::N,കാൽപ്പാദം,йолкопа́
38,Ferse::N,ഉപ്പൂറ്റി,тага́н
39,Knie::N,കാൽമുട്ട്,пулву́й
40,Oberschenkel::N,തുട,э́рде
41,Bein::N,കാൽ,йол
42,Körper::N,ശരീരം,кап
43,Haut::N,ചർമ്മം,кова́ште
44,Blut::N,രക്തം,вӱр
45,Ader::N,ഞരമ്പ്,шӧн
46,Sehne::N,സ്നായു,шӧн
47,Sehne::N,സ്നായു,кӱсе́н
48,Knochen::N,അസ്ഥി,лу
49,Gehirn::N,തലച്ചോറ്,вем
50,Gehirn::N,തലച്ചോറ്,вуйве́м
51,Herz::N,ഹൃദയം,шӱм
52,Magen::N,വയർ,пага́р
53,Leber::N,കരൾ,мокш
54,Atem::N,ശ്വാസം,шӱ́лыш
55,Hunger::N,വിശപ്പ്,шужыма́ш
56,Träne::N,കണ്ണീർ,шинчавӱ́д
57,Geschmack::N,രുചി,там
58,Geruch::N,ഗന്ധം,пуш
59,Schlaf::N,ഉറകും,о́мо
60,Traum::N,സ്വപ്നം,йӱдо́мо
61,Himmel::N,ആകാശം,кава́
62,Sonne::N,സൂര്യൻ,ке́че
63,Mond::N,ചന്ദ്രൻ,ты́лзе
64,Stern::N,നക്ഷത്രം,шӱ́дыр
65,Luft::N,കാറ്റ്,юж
66,Wind::N,കാറ്റ്,марде́ж
67,Welle::N,തിരമാല,то́лкын
68,Wasser::N,വെള്ളം,вӱд
69,Stein::N,ശില,кӱ
70,Stein::N,കല്ല്,кӱ
71,Boden::N,തറ,рок
72,Boden::N,നിലം,рок
73,Erde::N,മണ്ണ്,мла́нде
74,Staub::N,പൊടി,пура́к
75,Rauch::N,പുക,шикш
76,Funke::N,തീപ്പൊരി,сеске́м
77,Funke::N,തീപ്പൊരി,тулйы́п
78,Feuer::N,തീ,тул
79,Licht::N,വിളക്ക്,со́то
80,Licht::N,സൂര്യപ്രകാശം,со́то
81,Schatten::N,തണൽ,ӱ́мыл
82,Wetter::N,കാലാവസ്ഥ,иге́че
83,Nebel::N,മൂടൽമഞ്ഞ്,тӱтыра́
84,Wolke::N,മേഘം,пыл
85,Regen::N,മഴ,йӱр
86,Schnee::N,മഞ്ഞ്,лум
87,Eis::N,ഐസ്,ий
88,Frost::N,മൂടൽമഞ്ഞ്,чатлама́
89,Kälte::N,തണുപ്പ്,йӱ́штӧ
90,Hitze::N,ചൂട്,шо́кшо
91,Raureif::N,കോടമഞ്ഞ്,пӧрш
92,Raureif::N,കോടമഞ്ഞ്,по́кшым
93,Regenbogen::N,മഴവില്ല്,шонанпы́л
94,Donner::N,ഇടി,кӱ́дырчӧ
95,Strömung::N,പ്രവാഹം,йо́гын
96,Tropfen::N,തുള്ളി,чӱча́лтыш
97,Schaum::N,നുര,шоҥ
98,Schmutz::N,അഴുക്ക്,лавыра́
99,See::N,തടാകം,ер
100,Sumpf::N,ചതുപ്പുനിലം,лӱ́кӧ
101,Moor::N,പാഴ്നിലം,куп
102,Wiese::N,പുൽത്തകിടി,о́лык
103,Wald::N,വനം,чодыра́
104,Wald::N,കാട്,чодыра́
105,Hügel::N,കുന്ന്,арка́
106,Anhöhe::N,ഉയർന്ന ഭൂമി,тӧва́
107,Anhöhe::N,ഉയർന്ന ഭൂമി,кӱкшака́
108,Berg::N,പർവ്വതം,ку́рык
109,Gipfel::N,ഉച്ചകോടി,чаҥга́
110,Gipfel::N,ഉച്ചകോടി,курыкву́й
111,Höhle::N,ഗുഹ,пеще́р
112,Höhle::N,ഗുഹ,курыкпо́мыш
113,Abhang::N,ചരിവ്,та́йыл
114,Quelle::N,ഉറവിടം,важ
115,Quelle::N,ഉറവിടം,вӱдшинча́
116,Bach::N,അരുവി,изэҥе́р
117,Fluss::N,നദി,эҥе́р
118,Ufer::N,തീരം,сер
119,Küste::N,കടൽത്തീരം,вӱдтӱ́р
120,Festland::N,കര,мла́нде
121,Meer::N,കടൽ,те́ҥыз
122,Bucht::N,ഉൾക്കടല്,икса́
123,Insel::N,ദ്വീപ്,отро́
124,Blume::N,പൂവ്,пеле́дыш
125,Gras::N,പുല്ല്,шу́до
126,Wurzel::N,വേര്,вож
127,Baum::N,മരം,пуше́ҥге
128,Stamm::N,തായ്ത്തടി,йы́тыр
129,Rinde::N,പട്ട,шӱм
130,Ast::N,ശാഖ,укш
131,Zweig::N,ശാഖ,торма́к
132,Blatt::N,ഇല,лышта́ш
133,Birke::N,പൂവരശ്,куэ́
134,Kiefer[Baum]::N,പൈൻമരം,пӱ́нчӧ
135,Weide[Baum]::N,വില്ലോ,уа́
136,Tanne::N,ദേവദാരു,кож
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,шур
138,Feder::N,തൂവൽ,пы́стыл
139,Fell::N,മൃദുരോമം,кова́ште
140,Flügel::N,ചിറക്,шу́лдыр
141,Klaue::N,നഖം,кӱч
142,Kralle::N,നഖം,ла́па
143,Kralle::N,നഖം,копа́
144,Schwanz::N,വാൽ,поч
145,Ei::N,മുട്ട,му́но
146,Nest::N,കൂട്,пыжа́ш
147,Bau::N,മാളം,пыжа́ш
148,Tier::N,മൃഗം,я́нлык
149,Tier::N,മൃഗം,живо́тный
150,Herde::N,കൂട്ടം,кӱ́тӱ
151,Herde::N,കൂട്ടം,тӱшка́
152,Kuh::N,പശു,ушка́л
153,Bulle::N,കാള,ӱ́шкыж
154,Pferd::N,കുതിര,и́мне
155,Schaf::N,ആട്,шо́рык
156,Schwein::N,പന്നി,сӧсна́
157,Hund::N,നായ്,пий
158,Katze::N,പൂച്ച,пы́рыс
159,Bär::N,കരടി,маска́
160,Eichhörnchen::N,അണ്ണാൻ,ур
161,Elch::N,കടമാന്,шо́рдо
162,Fuchs::N,കുറുക്കൻ,ры́выж
163,Hase::N,മുയൽ,мера́ҥ
164,Maus::N,ചുണ്ടലി,коля́
165,Wolf::N,ചെന്നായ,пи́ре
166,Vogel::N,പക്ഷി,ка́йык
167,Schwarm::N,കൂട്ടം,каша́к
168,Huhn::N,കോഴി,чы́ве
169,Hahn::N,പൂവൻകോഴി,агыта́н
170,Gans::N,അരയന്നം,ко́мбо
171,Adler::N,കഴുകൻ,карагу́ш
172,Ente::N,താറാവ്,лу́до
173,Eule::N,മൂങ്ങ,тумна́
174,Kranich::N,കൊക്ക്,турня́
175,Krähe::N,കാക്ക,кора́к
176,Kuckuck::N,കുയിൽ,куку́
177,Schwan::N,അരയന്നം,йӱ́ксӧ
178,Fisch::N,മത്സ്യം,кол
179,Barsch::N,ഒരിനം മത്സ്യം,ола́ҥге
180,Hecht::N,ഒരു മത്സ്യം,нуж
181,Hecht::N,ഒരു മത്സ്യം,чорта́н
182,Schlange[Tier]::N,പാമ്പ്,ки́шке
183,Wurm::N,വിര,шукш
184,Spinne::N,ചിലന്തി,эҥыре́мыш
185,Ameise::N,ഉറുമ്പ്,ку́тко
186,Laus::N,പേന്,тий
187,Mücke::N,മശകം,шыҥа́
188,Fliege::N,ഈച്ച,ка́рме
189,Schmetterling::N,ചിത്രശലഭം,лы́ве
190,Beere::N,ബെറി,мӧр
191,Apfel::N,ആപ്പിൾ,олма́
192,Pilz::N,കൂൺ,по́ҥго
193,Zwiebel::N,സവാള,шога́н
194,Saat::N,വിത്ത്,нӧ́шмӧ
195,Saat::N,വിത്ത്,туш
196,Korn::N,ധാന്യം,шу́рно
197,Heu::N,വയ്ക്കോൽ,шу́до
198,Schale::N,തൊലി,шӱм
199,Grube::N,കുഴി,выне́м
200,Falle::N,കെണി,лӧ́дӧ
201,Schlinge::N,കുടുക്ക്,о́птыш
202,Schlinge::N,കുടുക്ക്,шӧрга́лтыш
203,Spur::N,ചുവട്,кыша́
204,Asche::N,ചാരം,ло́мыж
205,Dreck::N,അഴുക്ക്,лавыра́
206,Eisen::N,ഇരുമ്പ്,кӱ́ртньӧ
207,Gold::N,സ്വർണ്ണം,шӧ́ртньӧ
208,Silber::N,വെള്ളി,ший
209,Kohle::N,കൽക്കരി,мландышӱ́й
210,Glas::N,ഗ്ലാസ്,янда́
211,Lehm::N,കളിമണ്ണ്,шун
212,Sand::N,മണൽ,ошма́
213,Mensch::N,മനുഷ്യർ,еҥ
214,Mensch::N,മനുഷ്യർ,айде́ме
215,Mann::N,പുരുഷൻ,пӧръе́ҥ
216,Frau::N,സ്ത്രീ,ӱдырама́ш
217,Kind::N,കുഞ്ഞ്,аза́
218,Junge::N,ആൺകുട്ടി,рве́зе
219,Mädchen::N,പെൺകുട്ടി,ӱдыра́ш
220,Familie::N,കുടുംബം,еш
221,Großvater::N,അപ്പൂപ്പൻ,коча́
222,Großmutter::N,അമ്മുമ്മ,кова́
223,Eltern::N,മാതാപിതാക്കള്,ача́-ава́
224,Vater::N,അച്ഛൻ,ача́
225,Mutter::N,അമ്മ,ава́
226,Sohn::N,മകൻ,э́рге
227,Tochter::N,മകൾ,ӱ́дыр
228,Bruder::N,ചേട്ടൻ,иза́
229,Bruder::N,ചേട്ടൻ,шо́льо
230,Bruder::N,അനിയൻ,иза́
231,Bruder::N,അനിയൻ,шо́льо
232,Schwester::N,ചേച്ചി,ака́
233,Schwester::N,അനിയത്തി,ака́
234,Onkel::N,അമ്മാവൻ,иза́
235,Tante::N,മാമി,кока́
236,Ehemann::N,ഭർത്താവ്,мари́й
237,Ehefrau::N,ഭാര്യ,ва́те
238,Freude::N,ആഹ്ലാദം,куа́н
239,Freude::N,ആഹ്ലാദം,куаныма́ш
240,Gelächter::N,ചിരിയുടെ ശബ്ദം,во́штылтыш
241,Glück::N,സന്തോഷം,пиа́л
242,Glück::N,സന്തുഷ്ടി,пиа́л
243,Kummer::N,ശോകം,о́йго
244,Wunsch::N,ആഗ്രഹം,ку́мыл
245,Lust::N,ആഗ്രഹം,ку́мыл
246,Geist::N,ചുറുചുറുക്ക്,ӧрт
247,Geist::N,ചുറുചുറുക്ക്,чон
248,Gedanke::N,ചിന്ത,ой
249,Gedanke::N,ചിന്ത,шоныма́ш
250,Gedächtnis::N,ഓർമ്മശക്തി,шарныма́ш
251,Verstand::N,മനസ്സ്,уш
252,Sinn::N,അർത്ഥം,смысл
253,Grund::N,കാരണം,ама́л
254,Wahrheit::N,സത്യം,чын
255,Gespräch::N,സല്ലാപം,мутланыма́ш
256,Märchen::N,യക്ഷിക്കഥ,йома́к
257,Erzählung::N,കഥ,ойлыма́ш
258,Nachricht::N,സന്ദേശം,увертарыма́ш
259,Neuigkeit::N,വാർത്ത,уве́р
260,Name::N,പേര്,лӱм
261,Rätsel::N,പ്രഹേളിക,ту́што
262,Rede::N,സംസാരം,ойлыма́ш
263,Sprache::N,ഭാഷ,йы́лме
264,Stimme::N,സ്വരം,йӱк
265,Wort::N,വാക്ക്,ой
266,Wort::N,വാക്ക്,мут
267,Zeichen::N,സംജ്ഞ,ти́ште
268,Zeichen::N,സംജ്ഞ,знак
269,Ruf::N,വിളി,ӱжма́ш
270,Lärm::N,ആരവം,лӱшкыма́ш
271,Lärm::N,ആരവം,йӱк-йӱа́н
272,Laut::N,ശബ്ദം,йӱк
273,Ton::N,സ്വരഭേദം,йӱксе́м
274,Lied::N,പാട്ട്,му́ро
275,Ruhe::N,നിശ്ചലത,ты́мык
276,Leute::N,ജനങ്ങൾ,еҥ-влак
277,Volk::N,രാഷ്ടം,ка́лык
278,Arbeit::N,ജോലി,паша́
279,Gast::N,അതിലി,уна́
280,Geschenk::N,സമ്മാനം,пӧле́к
281,Spiel::N,കളി,мо́дыш
282,Spiel::N,കളി,модма́ш
283,Gesellschaft::N,കൂട്ടായ്മ,тӱшка́
284,Hilfe::N,സഹായം,по́лыш
285,Freund::N,സുഹൃത്ത്,таҥ
286,Freund::N,സുഹൃത്ത്,йолта́ш
287,Kamerad::N,കൂട്ടാളി,таҥ
288,Angelegenheit::N,കാര്യം,паша́
289,Anzahl::N,എണ്ണം,чот
290,Art::N,തരം,вид
291,Stück::N,കഷണം,ка́тыш
292,Stück::N,കഷണം,ла́стык
293,Teil::N,ഭാഗം,ужа́ш
294,Hälfte::N,പകുതി,пел
295,Hälfte::N,പകുതി,пе́ле
296,Kreis::N,വൃത്തം,ты́ртыш
297,Kreuz::N,കുരിശടയാളം,ыре́с
298,Linie::N,വര,ли́ний
299,Linie::N,രേഖ,ли́ний
300,Strich::N,പക്ഷാഘാതം,коре́ш
301,Abstand::N,വിടവ്,кокла́
302,Entfernung::N,അകലം,тора́
303,Entfernung::N,അകലം,ку́жыт
304,Gegend::N,പ്രദേശം,кунде́м
305,Platz::N,ഇടം,ку́мдык
306,Ort::N,സ്ഥലം,вер
307,Ort::N,സ്ഥലം,о́лмо
308,Seite::N,വശം,ӧ́рдыж
309,Mitte::N,മധ്യസ്ഥാനം,покше́л
310,Gegenstand::N,സാധനം,наста́
311,Sache::N,വസ്തു,наста́
312,Rand::N,തൊങ്ങൽ,тӱр
313,Kante::N,അറ്റം,тӱр
314,Ecke::N,മൂല,лук
315,Spitze::N,അഗ്രം,вуй
316,Ende::N,അവസാനം,муча́ш
317,Loch::N,ദ്വാരം,рож
318,Winkel::N,കോൺ,лук
319,Muster::N,ക്രമം,пеза́к
320,Muster::N,ക്രമം,узо́р
321,Muster::N,ക്രമം,ӱ́лгӧ
322,Größe::N,വലുപ്പം,кӱ́кшыт
323,Länge::N,നീളം,ку́тыш
324,Höhe::N,ഉയരം,кӱ́кшыт
325,Gewicht::N,കട്ടി,не́лыт
326,Menge::N,അളവ്,чот
327,Haufen::N,കൂമ്പാരം,кы́шыл
328,Reihe::N,വരി,рада́м
329,Boot::N,ബോട്ട്,пуш
330,Ruder::N,പങ്കായം,эшка́к
331,Schlitten::N,ഉരുളില്ലാവണ്ടി,тер
332,Schlitten::N,ഉരുളില്ലാവണ്ടി,изде́р
333,Ski::N,ഹിമപാദുകം,е́че
334,Lagerfeuer::N,തീ,туло́то
335,Last::N,ഭാരം,нӧ́лтыш
