,Concept_ID,fi,ca
0,Auge::N,silmä,ull
1,Ohr::N,korva,orella
2,Nase::N,nenä,nas
3,Mund::N,suu,boca
4,Zahn::N,hammas,dent
5,Zunge::N,kieli,llēngua
6,Lippe::N,huuli,llavi
7,Wange::N,poski,galta
8,Gesicht::N,naama,cara
9,Gesicht::N,kasvot,cara
10,Stirn::N,otsa,front
11,Haar::N,hius,cabēll
12,Haar::N,tukka,cabēll
13,Schnurrbart::N,viikset,bigoti
14,Bart::N,parta,barba
15,Kinn::N,leuka,mentó
16,Kinn::N,leuka,barbeta
17,Kiefer[Anatomie]::N,leukaluu,queix
18,Kiefer[Anatomie]::N,leukaluu,mandíbula
19,Kehle::N,kurkku,gola
20,Kehle::N,kurkku,gorja
21,Hals::N,kaula,coll
22,Genick::N,niska,nuca
23,Kopf::N,pää,cap
24,Rücken::N,selkä,esquena
25,Bauch::N,maha,panxa
26,Bauch::N,vatsa,panxa
27,Nabel::N,napa,llombrígol
28,Busen::N,rinta,pit
29,Busen::N,rinta,mama
30,Brust::N,rinta,pit
31,Schulter::N,olka,espatlla
32,Schulter::N,hartia,espatlla
33,Schulter::N,olkapää,espatlla
34,Arm::N,käsivarsi,braç
35,Ellenbogen::N,kyynärpää,colze
36,Hand::N,käsi,mà
37,Handfläche::N,kämmen,palma
38,Finger::N,sormi,dit
39,Fingernagel::N,kynsi,ungla
40,Nagel[Anatomie]::N,kynsi,ungla
41,Zeh::N,varvas,dit del peu
42,Fuß::N,jalka,peu
43,Ferse::N,kantapää,taló
44,Knie::N,polvi,genoll
45,Oberschenkel::N,reisi,cuixa
46,Bein::N,jalka,cama
47,Körper::N,keho,cos
48,Körper::N,ruumis,cos
49,Haut::N,iho,pell
50,Blut::N,veri,sang
51,Ader::N,suoni,vena
52,Sehne::N,jänne,tendó
53,Knochen::N,luu,os
54,Gehirn::N,aivot,cervell
55,Herz::N,sydän,cor
56,Magen::N,maha,estómac
57,Magen::N,vatsa,estómac
