,Concept_ID,el,os
0,Auge::N,μάτι,цӕст
1,Auge::N,οφθαλμός,цӕст
2,Ohr::N,αυτί,хъус
3,Nase::N,μύτη,фындз
4,Mund::N,στόμα,дзых
5,Zahn::N,δόντι,дӕндаг
6,Zunge::N,γλώσσα,ӕвзаг
7,Lippe::N,χείλος,был
8,Wange::N,παρειά,рус
9,Wange::N,παρειά,уадул
10,Wange::N,παρειά,ӕхсӕрфарс
11,Wange::N,μάγουλο,рус
12,Wange::N,μάγουλο,уадул
13,Wange::N,μάγουλο,ӕхсӕрфарс
14,Gesicht::N,πρόσωπο,цӕсгом
15,Stirn::N,μέτωπο,ных
16,Haar::N,μαλλιά,хил
17,Schnurrbart::N,μουστάκι,рихи
18,Bart::N,γένια,зачъе
19,Kinn::N,πιγούνι,роцъо
20,Kiefer[Anatomie]::N,σαγόνι,ӕфсӕр
21,Kehle::N,λαρύγγι,хъуыр
22,Hals::N,λαιμός,къубал
23,Genick::N,σβέρκος,къӕбут
24,Kopf::N,κεφάλι,сӕр
25,Rücken::N,ράχη,фӕсонтӕ
26,Bauch::N,κοιλιά,гуыбын
27,Nabel::N,αφαλός,бикъ
28,Busen::N,στήθος,дзидзи
29,Brust::N,στήθος,риу
30,Schulter::N,ώμος,уӕхск
31,Arm::N,χέρι,цонг
32,Arm::N,μπράτςο,цонг
33,Ellenbogen::N,αγκώνας,рæмбын
34,Hand::N,χέρι,къух
35,Handfläche::N,παλάμη,армытъӕпӕн
36,Finger::N,δάχτυλο,ӕнруылдз
37,Fingernagel::N,νύχι,ных
38,Nagel[Anatomie]::N,νύχι,ных
39,Zeh::N,δάχτυλο του ποδιού,къух
40,Fuß::N,πόδι,фад
41,Ferse::N,φτέρνα,зӕвӕт
42,Knie::N,γόνατο,уӕраг
43,Oberschenkel::N,μηρός,агъд
44,Bein::N,πόδι,зӕнг
45,Körper::N,σώμα,буар
46,Körper::N,κορμί,буар
47,Haut::N,πετσί,царм
48,Blut::N,αίμα,туг
49,Ader::N,φλέβα,дадзин
50,Ader::N,φλέβα,тугдадзин
51,Sehne::N,νεύρο,хъиутæ
52,Sehne::N,νεύρο,нуар
53,Sehne::N,τένοντας,хъиутæ
54,Sehne::N,τένοντας,нуар
55,Knochen::N,οστό,стӕг
56,Knochen::N,κόκκαλο,стӕг
57,Gehirn::N,μυαλό,магъз
58,Gehirn::N,εγκέφαλος,магъз
59,Herz::N,καρδιά,зӕрдӕ
60,Magen::N,στομάχι,ахсӕн
61,Leber::N,ήπαρ,игæр
62,Leber::N,συκωτί,игæр
63,Atem::N,αναπνοή,улӕфт
64,Hunger::N,πείνα,стонг
65,Träne::N,δάκρυ,цæссыг
66,Geschmack::N,γεύση,ад
67,Geruch::N,οσμή,смаг
68,Geruch::N,μυρωδία,смаг
69,Schlaf::N,ύπνος,хуыссӕг
70,Traum::N,όνειρο,фын
71,Himmel::N,ουρανός,арв
72,Himmel::N,ουρανός,уӕларв
73,Sonne::N,ήλιος,хур
74,Mond::N,σελήνη,мӕй
75,Mond::N,φεγγάρι,мӕй
76,Stern::N,άστρο,стъалы
77,Stern::N,αστέρι,стъалы
78,Luft::N,αέρας,уӕлдӕф
79,Wind::N,αέρας,дымгӕ
80,Wind::N,άνεμος,дымгӕ
81,Welle::N,κύμα,уылӕн
82,Wasser::N,νερό,дон
83,Stein::N,πέτρα,дур
84,Boden::N,χώμα,зӕхх
85,Erde::N,γη,сыджыт
86,Staub::N,σκόνη,рыг
87,Rauch::N,καπνός,фӕздӕг
88,Funke::N,σπίθα,цӕхӕр
89,Funke::N,σπινθήρας,цӕхӕр
90,Feuer::N,φωτιά,зынг
91,Licht::N,φως,рухс
92,Schatten::N,σκιά,аууон
93,Schatten::N,ίσκιος,аууон
94,Wetter::N,καιρός,боныхъӕд
95,Nebel::N,ομίχλη,мигъ
96,Wolke::N,σύννεφο,ӕврагъ
97,Regen::N,βροχή,уарын
98,Schnee::N,χιόνι,мит
99,Eis::N,πάγος,их
100,Frost::N,παγωνία,ихæн
101,Kälte::N,κρύο,уазал
102,Kälte::N,ψύχος,уазал
103,Hitze::N,ζέστη,ӕнтӕф
104,Raureif::N,πάχνη,халас
105,Regenbogen::N,ουράνιο τόξο,арвырон
106,Regenbogen::N,ουράνιο τόξο,арвырдын
107,Donner::N,βροντή,æрвнæрын
108,Strömung::N,ρεύμα,цыд
109,Tropfen::N,στάλα,æртах
110,Schaum::N,αφρός,фынк
111,Schmutz::N,βρωμιά,цъыф
112,See::N,λίμνη,цад
113,Sumpf::N,βάλτος,цъыфдзаст
114,Moor::N,έλος,цъыфдзаст
115,Wiese::N,λιβάδι,уыгӕрдӕн
116,Wald::N,δάσος,хъӕд
117,Hügel::N,λόφος,обау
118,Hügel::N,λόφος,къуыбыр
119,Anhöhe::N,ύψωμα,уæлвæз
120,Anhöhe::N,ύψωμα,уæлхох
121,Berg::N,όρος,хох
122,Berg::N,βουνό,хох
123,Gipfel::N,κορυφή,цъупп
124,Höhle::N,σπηλιά,лӕгӕт
125,Abhang::N,πλαγιά,къул
126,Quelle::N,πηγή,суадон
127,Quelle::N,βρύση,суадон
128,Bach::N,ρυάκι,мӕсчъыдон
129,Fluss::N,ποτάμι,дон
130,Fluss::N,ποτάμι,цӕугӕдон
131,Fluss::N,ποταμός,дон
132,Fluss::N,ποταμός,цӕугӕдон
133,Ufer::N,όχθη,был
134,Küste::N,ακτή,донбыл
135,Küste::N,ακρογιαλιά,донбыл
136,Festland::N,στεριά,сурзæхх
137,Meer::N,θάλασσα,денджыз
138,Bucht::N,κόλπος,донбакæлæн
139,Insel::N,νησί,сакъадах
140,Insel::N,νήσος,сакъадах
141,Blume::N,άνθος,дидинӕг
142,Blume::N,λουλούδι,дидинӕг
143,Gras::N,χόρτο,кӕрдӕг
144,Gras::N,χορτάρι,кӕрдӕг
145,Wurzel::N,ρίζα,уидаг
146,Baum::N,δέντρο,бӕлас
147,Stamm::N,κορμός,хӕтӕл
148,Rinde::N,φλούδα,цъар
149,Ast::N,κλαδί,арх
150,Zweig::N,κλαδί,къалиу
151,Zweig::N,κλάδος,къалиу
152,Blatt::N,φύλλο,сыф
153,Birke::N,σημύδα,бæрз
