,Concept_ID,fa,av
0,Auge::N,چشم,
1,Ohr::N,گوش,гӏин
2,Nase::N,بینی,мегӏер
3,Mund::N,دهان,кӏал
4,Zahn::N,دندان,гӏус
5,Zunge::N,زبان,мацӏ
6,Lippe::N,لب,кӏветӏ
7,Wange::N,لپ,гӏоно
8,Gesicht::N,رو,гьумер
9,Gesicht::N,چهره,гьумер
10,Stirn::N,پیشانی,нодо
11,Haar::N,مو,рас
12,Schnurrbart::N,سبیل,михъ
13,Bart::N,ریش,мегеж
14,Kinn::N,چانه,нилъу
15,Kiefer[Anatomie]::N,فک,чанагъ
16,Kiefer[Anatomie]::N,آرواره,чанагъ
17,Kehle::N,حلق,щекъер
18,Hals::N,گردن,габур
19,Genick::N,پشت گردن,гъванща
20,Kopf::N,سر,бетӏер
21,Kopf::N,کله,бетӏер
22,Rücken::N,پشت,мугъ
23,Bauch::N,شکم,чехь
24,Nabel::N,ناف,цӏину
25,Busen::N,پستان,керен
26,Brust::N,سینه,керен
27,Schulter::N,دوش,гъажазубетӏер
28,Schulter::N,شانه,гъажазубетӏер
29,Arm::N,بازو,гъеж
30,Ellenbogen::N,آرنج,гӏункӏрукь
31,Hand::N,دست,квер
32,Handfläche::N,کف دست,огъохъат
33,Handfläche::N,کف دست,жанисахъат
34,Finger::N,انگشت,килищ
35,Fingernagel::N,ناخن دست,малъ
36,Nagel[Anatomie]::N,ناخن,малъ
37,Zeh::N,انگشت پا,килищ
38,Fuß::N,پا,хӏетӏ
39,Fuß::N,پا,хӏетӏе
40,Ferse::N,پاشنه,эгъе
41,Knie::N,زانو,наку
42,Oberschenkel::N,ران,мачӏ
43,Bein::N,پا,бох
44,Bein::N,لنگ,бох
45,Körper::N,تن,къаркъала
46,Körper::N,بدن,къаркъала
47,Haut::N,پوست,тӏом
48,Blut::N,خون,би
49,Ader::N,رگ,бидурихь
50,Sehne::N,زردپی,
51,Knochen::N,استخوان,ракьа
52,Gehirn::N,مخ,гӏадалнах
53,Gehirn::N,مغز,гӏадалнах
54,Herz::N,دل,ракӏ
55,Herz::N,قلب,ракӏ
56,Magen::N,معده,кванирукъ
57,Leber::N,کبد,тӏул
58,Atem::N,نفس,хӏухь
59,Hunger::N,گرسنگی,ракъи
60,Träne::N,اشک,магӏу
61,Geschmack::N,مزه,тату
62,Geruch::N,بو,махӏ
63,Schlaf::N,خواب,макьу
64,Traum::N,رؤیا,макьу
65,Himmel::N,فلک,зоб
66,Himmel::N,آسمان,зоб
67,Sonne::N,آفتاب,бакъ
68,Sonne::N,خورشید,бакъ
69,Mond::N,ماه,моцӏ
70,Stern::N,ستاره,цӏва
71,Luft::N,هوا,гьава
72,Wind::N,باد,гьури
73,Welle::N,موج,карачел
74,Wasser::N,آب,лъим
75,Stein::N,سنگ,гьецӏо
76,Boden::N,زمین,ракь
77,Erde::N,خاک,ракь
