,Concept_ID,pl,myv
0,Auge::N,oko,сельме
1,Ohr::N,ucho,пиле
2,Nase::N,nos,судо
3,Mund::N,usta,курго
4,Zahn::N,ząb,пей
5,Zunge::N,język,кель
6,Lippe::N,warga,турва
7,Wange::N,policzek,чамабока
8,Wange::N,policzek,чамаумарь
9,Gesicht::N,twarz,чама
10,Stirn::N,czoło,коня
11,Haar::N,włos,черь
12,Haar::N,włosy,черь
13,Schnurrbart::N,wąsy,ус
14,Schnurrbart::N,wąsy,муюк
15,Bart::N,broda,сакал
16,Kinn::N,podbródek,уло
17,Kiefer[Anatomie]::N,czeluść,пейпакар
18,Kiefer[Anatomie]::N,czeluść,пейловажа
19,Kehle::N,gardło,кирьгапарь
20,Hals::N,szyja,кирьга
21,Genick::N,kark,човонь
22,Kopf::N,głowa,пря
23,Rücken::N,plecy,копорь
24,Rücken::N,grzbiet,копорь
25,Bauch::N,brzuch,пеке
26,Nabel::N,pępek,почо
27,Busen::N,biust,поте
28,Brust::N,pierś,меште
29,Schulter::N,bark,лавтов
30,Schulter::N,ramię,лавтов
31,Arm::N,ręka,кедь
32,Arm::N,ramię,кедь
33,Ellenbogen::N,łokieć,кенерепакарь
34,Hand::N,dłoń,кедь
35,Handfläche::N,dłoń,кедькуншка
36,Handfläche::N,dłoń,кедьлапушка
37,Finger::N,palec,сур
38,Fingernagel::N,paznokieć,кенже
39,Nagel[Anatomie]::N,paznokieć,кенже
40,Zeh::N,palec,пильге сур
41,Fuß::N,stopa,пильге
42,Ferse::N,pięta,кочкаря
43,Knie::N,kolano,эле
44,Knie::N,kolano,эзне
45,Knie::N,kolano,кумажа
46,Oberschenkel::N,udo,качо
47,Bein::N,noga,пильге
48,Körper::N,ciało,рунго
49,Haut::N,skóra,киське
50,Blut::N,krew,верь
51,Ader::N,żyła,сан
52,Sehne::N,ścięgno,коське сан
53,Knochen::N,kość,пакарь
54,Gehirn::N,mózg,удем
55,Herz::N,serce,седей
56,Magen::N,żołądek,пеке
57,Leber::N,wątroba,максо
58,Atem::N,dech,лексема
59,Atem::N,dech,оймень таргсема
60,Atem::N,oddech,лексема
61,Atem::N,oddech,оймень таргсема
62,Hunger::N,głód,вачочи
63,Träne::N,łza,селведь
64,Geschmack::N,smak,тансть
65,Geruch::N,woń,чине
66,Geruch::N,zapach,чине
67,Schlaf::N,sen,удома
68,Traum::N,sen,он
69,Himmel::N,niebo,менель
70,Sonne::N,słońce,чи
71,Mond::N,księżyc,ков
72,Stern::N,gwiazda,теште
73,Luft::N,powietrze,кошт
74,Wind::N,wiatr,варма
75,Welle::N,fala,толкун
76,Wasser::N,woda,ведь
77,Stein::N,kamień,кев
78,Boden::N,grunt,мода
79,Erde::N,ziemia,мастор
80,Staub::N,pył,пуль
81,Staub::N,kurz,пуль
82,Rauch::N,dym,качамо
83,Funke::N,iskra,сятко
84,Feuer::N,ogień,тол
85,Licht::N,światło,валдо
86,Schatten::N,cień,сулей
87,Schatten::N,cień,сулейкс
88,Wetter::N,pogoda,ушо
89,Nebel::N,mgła,сув
90,Wolke::N,obłok,пель
91,Wolke::N,chmura,пель
92,Regen::N,deszcz,пиземс
93,Schnee::N,śnieg,лов
94,Eis::N,lód,эй
95,Frost::N,mróz,кельме
96,Kälte::N,chłód,якшамо
97,Hitze::N,gorąco,пси
98,Raureif::N,szron,лекш
99,Regenbogen::N,tęcza,пурьгинечирьке
100,Regenbogen::N,tęcza,пурьгинеёнкс
101,Donner::N,grzmot,пурьгине
102,Strömung::N,nurt,чудема
103,Strömung::N,nurt,чудевкс
104,Tropfen::N,kropla,петнявкс
105,Schaum::N,piana,чов
106,Schmutz::N,brud,рудаз
107,See::N,jezioro,эрьке
108,Sumpf::N,bagno,чей
109,Moor::N,bagno,чей
110,Wiese::N,łąka,луга
111,Wald::N,las,вирь
112,Hügel::N,pagórek,губорь
113,Hügel::N,pagórek,пандыне
114,Anhöhe::N,wzgórze,губорь
115,Anhöhe::N,wzgórze,пандыне
116,Berg::N,góra,пандо
117,Gipfel::N,szczyt,пря
118,Gipfel::N,wierzchołek,пря
119,Höhle::N,pieczara,пещера
120,Abhang::N,stok,пандочама
121,Abhang::N,zbocze,пандочама
122,Quelle::N,zdrój,ушодкс
123,Quelle::N,źródło,ушодкс
124,Bach::N,potok,чудикерькс
125,Bach::N,strumień,чудикерькс
126,Fluss::N,rzeka,лей
127,Ufer::N,brzeg,чире
128,Küste::N,wybrzeże,лейчире
129,Festland::N,ląd,мода
130,Meer::N,morze,моря
131,Bucht::N,zatoka,усия
132,Insel::N,wyspa,усия
133,Blume::N,kwiat,цеця
134,Gras::N,trawa,тикше
135,Wurzel::N,korzeń,юр
136,Wurzel::N,korzeń,ундокс
137,Baum::N,drzewo,чувто
138,Stamm::N,pień,рунго
139,Rinde::N,kora,суд
140,Rinde::N,kora,керь
141,Ast::N,gałąź,морго
142,Zweig::N,gałąź,тарад
143,Blatt::N,liść,лопа
144,Birke::N,brzoza,килей
145,Kiefer[Baum]::N,sosna,пиче
146,Weide[Baum]::N,wierzba,каль
147,Tanne::N,jodła,куз
148,Horn::N,róg,сюро
149,Feder::N,pióro,толга
150,Fell::N,futro,пона
151,Flügel::N,skrzydło,сёлмо
152,Klaue::N,szpon,кенже
153,Kralle::N,pazur,кенже
154,Schwanz::N,ogon,пуло
155,Ei::N,jajko,ал
156,Nest::N,gniazdo,пизэ
157,Bau::N,nora,варя
158,Bau::N,nora,пизе
159,Tier::N,zwierzę,ракша
160,Herde::N,stado,стада
161,Herde::N,trzoda,стада
162,Kuh::N,krowa,скал
163,Bulle::N,byk,бука
164,Pferd::N,koń,лишме
165,Schaf::N,owca,реве
166,Schwein::N,świnia,туво
167,Hund::N,pies,пине
168,Hund::N,pies,киска
169,Katze::N,kot,псака
170,Katze::N,kotka,псака
171,Bär::N,niedźwiedż,овто
172,Eichhörnchen::N,wiewiórka,ур
173,Elch::N,łóś,сярдо
174,Fuchs::N,lis,ривезь
175,Hase::N,zając,нумоло
176,Maus::N,mysz,чеерь
177,Wolf::N,wilk,верьгиз
178,Vogel::N,ptak,нармунь
179,Schwarm::N,stado,полк
180,Schwarm::N,stado,стада
181,Huhn::N,kura,сараз
182,Hahn::N,kogut,атякш
183,Gans::N,gęś,гала
184,Gans::N,gęś,мацей
185,Adler::N,orzeł,куцькан
186,Adler::N,orzeł,тумоатякш
187,Ente::N,kaczka,яксярго
188,Eule::N,sowa,корж
189,Kranich::N,żuraw,карго
190,Krähe::N,wrona,варака
191,Kuckuck::N,kukułka,куко
192,Schwan::N,łabędż,локсей
193,Fisch::N,ryba,кал
194,Barsch::N,okoń,окунь
195,Hecht::N,szczupak,щука
196,Schlange[Tier]::N,wąż,гуй
