,Concept_ID,udm,tt
0,Auge::N,син,күз
1,Ohr::N,пель,колак
2,Nase::N,ныр,борын
3,Mund::N,ым,авыз
4,Mund::N,ым,тамак
5,Zahn::N,пинь,теш
6,Zunge::N,кыл,тел
7,Lippe::N,ымдур,ирен
8,Wange::N,бам,яңак
9,Gesicht::N,ымныр,йөз
10,Stirn::N,кымес,маңгай
11,Haar::N,йырси,чәч
12,Schnurrbart::N,мыйык,мыек
13,Bart::N,туш,сакал
14,Kinn::N,ангес,ияк
15,Kiefer[Anatomie]::N,ан,казналык
16,Kiefer[Anatomie]::N,анлы,казналык
17,Kehle::N,гульым,тамак
18,Hals::N,чырты,бугаз
19,Genick::N,йырбер,җилкә
20,Kopf::N,йыр,баш
21,Rücken::N,мыш,сырт
22,Bauch::N,кӧт,корсак
23,Nabel::N,гогы,кендек
24,Busen::N,ноны,түш
25,Brust::N,мӧля,имчәк
26,Brust::N,мӧля,күкрәк
27,Schulter::N,пельпум,иңбаш
28,Schulter::N,пельпум,кулбаш
29,Arm::N,суй,кул
30,Ellenbogen::N,гырпум,терсәк
31,Hand::N,ки,кул
32,Handfläche::N,ки пыдэс,уч
33,Handfläche::N,кырым пыдэс,уч
34,Finger::N,чиньы,бармак
35,Fingernagel::N,гижы,тырнак
36,Fingernagel::N,гиждӥнь,тырнак
37,Nagel[Anatomie]::N,гижы,тырнак
38,Zeh::N,пыдчиньы,бармак
39,Fuß::N,пыд,табан
40,Ferse::N,пыдбер,үкчә
41,Knie::N,пыдес,тез
42,Oberschenkel::N,макес,бот
43,Bein::N,пыд,аяк
44,Körper::N,мугор,тән
45,Körper::N,мугор,җисем
46,Körper::N,вылтыр,тән
47,Körper::N,вылтыр,җисем
48,Haut::N,ку,тире
49,Blut::N,вир,кан
50,Ader::N,вирсэр,тамыр
51,Sehne::N,вуж,сеңер
52,Knochen::N,лы,сөяк
53,Gehirn::N,вим,ми
54,Herz::N,сюлэм,йөрәк
55,Magen::N,ӝуш,ашказаны
56,Leber::N,мус,бавыр
57,Atem::N,лул,сулыш
58,Atem::N,шокан,сулыш
59,Hunger::N,кӧтсюман,ачлык
60,Träne::N,синкыли,яшь
61,Geschmack::N,шӧм,тәм
62,Geschmack::N,шӧм,зәвык
63,Geruch::N,зын,ис
64,Schlaf::N,вӧт,йокы
65,Traum::N,уйвӧт,төш
66,Himmel::N,ин,күк
67,Sonne::N,шунды,кояш
68,Mond::N,толэзь,ай
69,Stern::N,кизили,йолдыз
70,Luft::N,омыр,һава
71,Wind::N,тӧл,җил
72,Welle::N,тулкым,дулкын
73,Wasser::N,ву,су
74,Stein::N,из,таш
75,Boden::N,музъем,туфрак
76,Erde::N,му,җир
77,Staub::N,пыль,тузан
78,Rauch::N,ӵын,төтен
79,Funke::N,гизьы,очкын
80,Feuer::N,тыл,ут
81,Licht::N,тыл,якты
82,Schatten::N,вужер,күләгә
83,Wetter::N,куазь,һава
84,Nebel::N,бус,томан
85,Wolke::N,пилем,болыт
86,Regen::N,зор,яңгыр
87,Schnee::N,лымы,кар
88,Eis::N,йӧ,боз
89,Frost::N,кезьыт,суык
90,Frost::N,кезьыт,салкын
91,Kälte::N,кезьыт,суык
92,Kälte::N,кезьыт,салкын
93,Hitze::N,пӧсь,эсселек
94,Raureif::N,гӧр,бәс
95,Raureif::N,гӧр,сыкы
96,Regenbogen::N,вуюись,салават күпере
97,Donner::N,гудыри,күкрәү
98,Strömung::N,бызён,агыш'агым
99,Tropfen::N,шапык,тамчы
100,Schaum::N,шукы,күбек
101,Schmutz::N,нӧд,пычрак
102,Schmutz::N,дэри,пычрак
103,See::N,ты,күл
104,Sumpf::N,нюр,саз
105,Moor::N,нюр,торфлык
106,Wiese::N,возь,болын
107,Wiese::N,возьвыл,болын
108,Wald::N,сик,урман
109,Wald::N,нюлэс,урман
110,Hügel::N,выр,калку
111,Hügel::N,вырйыл,калку
112,Anhöhe::N,выр,үр
113,Anhöhe::N,вырйыл,үр
114,Berg::N,гурезь,тау
115,Gipfel::N,йыл,оч
116,Höhle::N,гу,мәгарә
117,Abhang::N,бам,кабырга
118,Quelle::N,ошмес,чишмә
119,Bach::N,пичи шур,елга
120,Fluss::N,шур,дәрья
121,Ufer::N,ярдур,су кырые
122,Küste::N,вудур,яр буе
123,Festland::N,мувыр,коры җир
124,Meer::N,зарезь,диңгез
125,Bucht::N,вукож,бухта
126,Bucht::N,вукож,култык
127,Insel::N,вумуӵ,атау
128,Insel::N,вумуӵ,утрау
129,Insel::N,шормуӵ,атау
130,Insel::N,шормуӵ,утрау
131,Blume::N,сяська,чәчкә
132,Gras::N,турын,үлән
133,Wurzel::N,выжы,тамыр
134,Baum::N,пу,агач
135,Stamm::N,модос,кәүсә
136,Rinde::N,сул,кабык
137,Ast::N,ул,ботак
138,Zweig::N,вай,ботак
139,Zweig::N,вай,тармак
140,Blatt::N,куар,яфрак
141,Birke::N,кызьпу,каен
142,Kiefer[Baum]::N,пужым,нарат
143,Weide[Baum]::N,бадьпу,тал
144,Tanne::N,кыз,чыршы
145,Horn::N,сюр,мөгез
146,Feder::N,тылы,йон
147,Fell::N,ку,тире
148,Flügel::N,бурд,канат
149,Klaue::N,гижы,тырнак
150,Kralle::N,пыд,тырнак
151,Schwanz::N,быж,койрык
152,Ei::N,пуз,күкәй
153,Ei::N,пуз,йомырка
154,Ei::N,кукей,күкәй
155,Ei::N,кукей,йомырка
156,Nest::N,кар,оя
157,Nest::N,пузкар,оя
158,Bau::N,кар,өн
159,Bau::N,гу,өн
160,Tier::N,пӧйшур,хайван
161,Herde::N,уллё,көтү
162,Kuh::N,скал,сыер
163,Bulle::N,ош,үгез
164,Bulle::N,пороз,үгез
165,Pferd::N,вал,ат
166,Schaf::N,ыж,сарык
167,Schwein::N,парсь,дуңгыз
168,Hund::N,пуны,эт
169,Katze::N,коӵыш,песи
170,Bär::N,гондыр,аю
171,Eichhörnchen::N,коньы,тиен
172,Elch::N,койык,поши
173,Fuchs::N,ӟичы,төлке
174,Hase::N,кеч,куян
175,Maus::N,шыр,тычкан
176,Wolf::N,кион,бүре
177,Vogel::N,тылобурдо,кош
178,Schwarm::N,уллё,көтү
179,Huhn::N,курег,тавык
180,Hahn::N,атас,әтәч
181,Gans::N,ӟазег,каз
182,Adler::N,ӧрзи,каракош
183,Ente::N,ӵӧж,үрдәк
184,Eule::N,кучыран,ябалак
185,Kranich::N,тури,торна
186,Krähe::N,куака,карга
187,Kuckuck::N,кикы,күке
188,Kuckuck::N,кикы,кәккүк
189,Schwan::N,юсь,аккош
