,Concept_ID,ml,udm
0,Auge::N,കണ്ണ്,син
1,Ohr::N,ചെവി,пель
2,Nase::N,മൂക്ക്,ныр
3,Mund::N,വായ,ым
4,Zahn::N,പല്ല്,пинь
5,Zunge::N,നാക്ക്,кыл
6,Lippe::N,ചുണ്ട്,ымдур
7,Wange::N,കവിൾത്തടം,бам
8,Gesicht::N,മുഖം,ымныр
9,Stirn::N,നെറ്റി,кымес
10,Haar::N,തലമുടി,йырси
11,Schnurrbart::N,മീശ,мыйык
12,Bart::N,താടിരോമം,туш
13,Kinn::N,താടി,ангес
14,Kiefer[Anatomie]::N,താടിയെല്ല്,ан
15,Kiefer[Anatomie]::N,താടിയെല്ല്,анлы
16,Kehle::N,കണ്ഠനാളം,гульым
17,Hals::N,കഴുത്ത്,чырты
18,Genick::N,പിടലി,йырбер
19,Kopf::N,തല,йыр
20,Rücken::N,മുതുക്,мыш
21,Bauch::N,നയറ്,кӧт
22,Nabel::N,നാഭി,гогы
23,Busen::N,സ്തനം,ноны
24,Brust::N,സ്തനം,мӧля
25,Schulter::N,തോൾ,пельпум
26,Arm::N,കൈ,суй
27,Ellenbogen::N,കൈമുട്ട്,гырпум
28,Hand::N,കൈ,ки
29,Handfläche::N,ഉള്ളം കൈ,ки пыдэс
30,Handfläche::N,ഉള്ളം കൈ,кырым пыдэс
31,Finger::N,വിരൽ,чиньы
32,Fingernagel::N,നഖം,гижы
33,Fingernagel::N,നഖം,гиждӥнь
34,Nagel[Anatomie]::N,നഖം,гижы
35,Zeh::N,കാൽവിരൽ,пыдчиньы
36,Fuß::N,കാൽപ്പാദം,пыд
37,Ferse::N,ഉപ്പൂറ്റി,пыдбер
38,Knie::N,കാൽമുട്ട്,пыдес
39,Oberschenkel::N,തുട,макес
40,Bein::N,കാൽ,пыд
41,Körper::N,ശരീരം,мугор
42,Körper::N,ശരീരം,вылтыр
43,Haut::N,ചർമ്മം,ку
44,Blut::N,രക്തം,вир
45,Ader::N,ഞരമ്പ്,вирсэр
46,Sehne::N,സ്നായു,вуж
47,Knochen::N,അസ്ഥി,лы
48,Gehirn::N,തലച്ചോറ്,вим
49,Herz::N,ഹൃദയം,сюлэм
50,Magen::N,വയർ,ӝуш
51,Leber::N,കരൾ,мус
52,Atem::N,ശ്വാസം,лул
53,Atem::N,ശ്വാസം,шокан
54,Hunger::N,വിശപ്പ്,кӧтсюман
55,Träne::N,കണ്ണീർ,синкыли
56,Geschmack::N,രുചി,шӧм
57,Geruch::N,ഗന്ധം,зын
58,Schlaf::N,ഉറകും,вӧт
59,Traum::N,സ്വപ്നം,уйвӧт
60,Himmel::N,ആകാശം,ин
61,Sonne::N,സൂര്യൻ,шунды
62,Mond::N,ചന്ദ്രൻ,толэзь
63,Stern::N,നക്ഷത്രം,кизили
64,Luft::N,കാറ്റ്,омыр
65,Wind::N,കാറ്റ്,тӧл
66,Welle::N,തിരമാല,тулкым
67,Wasser::N,വെള്ളം,ву
68,Stein::N,ശില,из
69,Stein::N,കല്ല്,из
70,Boden::N,തറ,музъем
71,Boden::N,നിലം,музъем
72,Erde::N,മണ്ണ്,му
73,Staub::N,പൊടി,пыль
74,Rauch::N,പുക,ӵын
75,Funke::N,തീപ്പൊരി,гизьы
76,Feuer::N,തീ,тыл
77,Licht::N,വിളക്ക്,тыл
78,Licht::N,സൂര്യപ്രകാശം,тыл
79,Schatten::N,തണൽ,вужер
80,Wetter::N,കാലാവസ്ഥ,куазь
81,Nebel::N,മൂടൽമഞ്ഞ്,бус
82,Wolke::N,മേഘം,пилем
83,Regen::N,മഴ,зор
84,Schnee::N,മഞ്ഞ്,лымы
85,Eis::N,ഐസ്,йӧ
86,Frost::N,മൂടൽമഞ്ഞ്,кезьыт
87,Kälte::N,തണുപ്പ്,кезьыт
88,Hitze::N,ചൂട്,пӧсь
89,Raureif::N,കോടമഞ്ഞ്,гӧр
90,Regenbogen::N,മഴവില്ല്,вуюись
91,Donner::N,ഇടി,гудыри
92,Strömung::N,പ്രവാഹം,бызён
93,Tropfen::N,തുള്ളി,шапык
94,Schaum::N,നുര,шукы
95,Schmutz::N,അഴുക്ക്,нӧд
96,Schmutz::N,അഴുക്ക്,дэри
97,See::N,തടാകം,ты
98,Sumpf::N,ചതുപ്പുനിലം,нюр
99,Moor::N,പാഴ്നിലം,нюр
100,Wiese::N,പുൽത്തകിടി,возь
101,Wiese::N,പുൽത്തകിടി,возьвыл
102,Wald::N,വനം,сик
103,Wald::N,വനം,нюлэс
104,Wald::N,കാട്,сик
105,Wald::N,കാട്,нюлэс
106,Hügel::N,കുന്ന്,выр
107,Hügel::N,കുന്ന്,вырйыл
108,Anhöhe::N,ഉയർന്ന ഭൂമി,выр
109,Anhöhe::N,ഉയർന്ന ഭൂമി,вырйыл
110,Berg::N,പർവ്വതം,гурезь
111,Gipfel::N,ഉച്ചകോടി,йыл
112,Höhle::N,ഗുഹ,гу
113,Abhang::N,ചരിവ്,бам
114,Quelle::N,ഉറവിടം,ошмес
115,Bach::N,അരുവി,пичи шур
116,Fluss::N,നദി,шур
117,Ufer::N,തീരം,ярдур
118,Küste::N,കടൽത്തീരം,вудур
119,Festland::N,കര,мувыр
120,Meer::N,കടൽ,зарезь
121,Bucht::N,ഉൾക്കടല്,вукож
122,Insel::N,ദ്വീപ്,вумуӵ
123,Insel::N,ദ്വീപ്,шормуӵ
