,Concept_ID,cs,be
0,Auge::N,oko,вока
1,Ohr::N,ucho,вуха
2,Nase::N,nos,нос
3,Mund::N,pusa,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jazyk,язык
6,Lippe::N,ret,губа
7,Wange::N,tvář,шчака
8,Gesicht::N,obličej,твар
9,Stirn::N,čelo,лоб
10,Haar::N,vlas,волас
11,Haar::N,vlas,валасы
12,Haar::N,vlasy,волас
13,Haar::N,vlasy,валасы
14,Schnurrbart::N,kníry,вус
15,Schnurrbart::N,kníry,вусы
16,Bart::N,vousy,барада
17,Kinn::N,brada,падбародак
18,Kiefer[Anatomie]::N,čelist,сківіца
19,Kehle::N,hrdlo,горла
20,Hals::N,krk,шыя
21,Genick::N,týl,патыліца
22,Kopf::N,hlava,галава
23,Rücken::N,záda,спіна
24,Rücken::N,hřbet,спіна
25,Bauch::N,břicho,жывот
26,Nabel::N,pupek,пупок
27,Busen::N,ňadra,грудзі
28,Brust::N,prsa,грудзі
29,Schulter::N,plece,плячо
30,Schulter::N,rameno,плячо
31,Arm::N,ruka,рука
32,Ellenbogen::N,loket,локаць
33,Hand::N,ruka,кісць
34,Handfläche::N,dlaň,далонь
35,Finger::N,prst,палец
36,Fingernagel::N,nehet,ногаць
37,Nagel[Anatomie]::N,nehet,ногаць
38,Zeh::N,prst u nohy,палец
39,Fuß::N,noha,нага
40,Ferse::N,pata,пята
41,Ferse::N,pata,пятка
42,Knie::N,koleno,калена
43,Oberschenkel::N,stehno,бядро
44,Oberschenkel::N,stehno,сцягно
45,Bein::N,noha,нага
46,Körper::N,tělo,цела
47,Haut::N,kůže,скура
48,Blut::N,krev,кроў
49,Ader::N,céva,вена
50,Ader::N,céva,сасуд
51,Sehne::N,šlacha,жыла
52,Sehne::N,šlacha,цеціва
53,Sehne::N,šlacha,сухажылле
54,Knochen::N,kost,косць
55,Gehirn::N,mozek,мозг
56,Herz::N,srdce,сэрца
57,Magen::N,žaludek,страўнік
58,Leber::N,játra,печань
59,Atem::N,dech,дыханне
60,Hunger::N,hlad,голад
61,Träne::N,slza,сляза
62,Geschmack::N,vkus,смак
63,Geruch::N,vůně,пах
64,Geruch::N,zápach,пах
65,Schlaf::N,spánek,сон
66,Traum::N,sen,сон
67,Himmel::N,nebe,неба
68,Sonne::N,slunce,сонца
69,Mond::N,měsíc,месяц
70,Stern::N,hvězda,зорка
71,Luft::N,vzduch,паветра
72,Wind::N,vítr,вецер
73,Welle::N,vlna,хваля
74,Wasser::N,voda,вада
75,Stein::N,kámen,камень
76,Boden::N,půda,глеба
77,Erde::N,země,зямля
78,Staub::N,prach,пыл
79,Rauch::N,dým,дым
80,Rauch::N,kouř,дым
81,Funke::N,jiskra,іскра
82,Feuer::N,oheň,агонь
83,Licht::N,světlo,святло
84,Schatten::N,stín,цень
85,Wetter::N,počasí,пагода
86,Wetter::N,počasí,надворʼе
87,Nebel::N,mlha,туман
88,Wolke::N,mrak,воблака
89,Wolke::N,oblak,воблака
90,Regen::N,déšť,дождж
91,Schnee::N,sníh,снег
92,Eis::N,led,лёд
93,Frost::N,mráz,мароз
94,Kälte::N,chlad,холад
95,Hitze::N,horko,спёка
96,Raureif::N,jinovatka,іней
97,Regenbogen::N,duha,вясёлка
98,Donner::N,hrom,гром
99,Strömung::N,proudění,цячэнне
100,Tropfen::N,kapka,кропля
101,Schaum::N,pěna,пена
102,Schmutz::N,špína,гразь
103,See::N,jezero,возера
104,Sumpf::N,močál,багна
105,Sumpf::N,bažina,багна
106,Moor::N,bažina,балота
107,Moor::N,slatina,балота
108,Wiese::N,louka,луг
109,Wald::N,les,лес
110,Hügel::N,kopec,узгорак
111,Anhöhe::N,pahorek,узвышша
112,Berg::N,hora,гара
113,Gipfel::N,vrchol,вяршыня
114,Höhle::N,jeskyně,пячора
115,Abhang::N,svah,схіл
116,Abhang::N,stráň,схіл
117,Quelle::N,pramen,крыніца
118,Bach::N,potok,ручай
119,Fluss::N,řeka,рака
120,Ufer::N,břeh,бераг
121,Küste::N,pobřeží,узбярэжжа
122,Festland::N,souš,суша
123,Festland::N,pevnina,суша
124,Meer::N,moře,мора
125,Bucht::N,záliv,бухта
126,Bucht::N,zátoka,бухта
127,Insel::N,ostrov,востраў
128,Blume::N,květina,кветка
129,Gras::N,tráva,трава
130,Wurzel::N,kořen,корань
131,Baum::N,strom,дрэва
132,Stamm::N,kmen,ствол
133,Rinde::N,kůra,кара
134,Ast::N,větev,сук
135,Zweig::N,větev,галіна
136,Blatt::N,lupen,ліст
137,Birke::N,bříza,бяроза
138,Kiefer[Baum]::N,sosna,хвоя
139,Kiefer[Baum]::N,sosna,сасна
140,Kiefer[Baum]::N,borovice,хвоя
