,Concept_ID,uk,av
0,Auge::N,око,
1,Ohr::N,вухо,гӏин
2,Nase::N,ніс,мегӏер
3,Mund::N,рот,кӏал
4,Zahn::N,зуб,гӏус
5,Zunge::N,язик,мацӏ
6,Lippe::N,губа,кӏветӏ
7,Wange::N,щока,гӏоно
8,Gesicht::N,обличчя,гьумер
9,Stirn::N,лоб,нодо
10,Haar::N,волосся,рас
11,Schnurrbart::N,вуса,михъ
12,Bart::N,борода,мегеж
13,Kinn::N,підборіддя,нилъу
14,Kiefer[Anatomie]::N,щелепа,чанагъ
15,Kehle::N,горло,щекъер
16,Hals::N,шия,габур
17,Genick::N,потилиця,гъванща
18,Kopf::N,голова,бетӏер
19,Rücken::N,спина,мугъ
20,Bauch::N,живіт,чехь
21,Nabel::N,пупок,цӏину
22,Busen::N,груди,керен
23,Brust::N,груди,керен
24,Schulter::N,плече,гъажазубетӏер
25,Arm::N,рука,гъеж
26,Ellenbogen::N,лікоть,гӏункӏрукь
27,Hand::N,рука,квер
28,Handfläche::N,долоня,огъохъат
29,Handfläche::N,долоня,жанисахъат
30,Finger::N,палець,килищ
31,Fingernagel::N,ніготь,малъ
32,Nagel[Anatomie]::N,ніготь,малъ
33,Zeh::N,палець на нозі,килищ
34,Fuß::N,нога,хӏетӏ
35,Fuß::N,нога,хӏетӏе
36,Ferse::N,п’ятка,эгъе
37,Knie::N,коліно,наку
38,Oberschenkel::N,стегно,мачӏ
39,Bein::N,нога,бох
40,Körper::N,тіло,къаркъала
41,Haut::N,шкіра,тӏом
42,Blut::N,кров,би
43,Ader::N,вена,бидурихь
44,Sehne::N,сухожилля,
45,Knochen::N,кістка,ракьа
46,Gehirn::N,мозок,гӏадалнах
47,Herz::N,серце,ракӏ
48,Magen::N,шлунок,кванирукъ
49,Leber::N,печінка,тӏул
50,Atem::N,дихання,хӏухь
51,Hunger::N,голод,ракъи
52,Träne::N,сльоза,магӏу
53,Geschmack::N,смак,тату
54,Geruch::N,запах,махӏ
55,Schlaf::N,сон,макьу
56,Schlaf::N,сплячка,макьу
57,Traum::N,сон,макьу
58,Himmel::N,небо,зоб
59,Sonne::N,сонце,бакъ
60,Mond::N,місяць,моцӏ
61,Stern::N,зірка,цӏва
62,Luft::N,повітря,гьава
63,Wind::N,вітер,гьури
64,Welle::N,хвиля,карачел
65,Wasser::N,вода,лъим
66,Stein::N,камінь,гьецӏо
67,Boden::N,ґрунт,ракь
68,Erde::N,земля,ракь
69,Erde::N,земля,дуниял
70,Staub::N,пил,хӏур
71,Rauch::N,дим,кӏкӏуй
72,Funke::N,іскра,
73,Feuer::N,вогонь,цӏа
74,Licht::N,світло,канлъи
75,Schatten::N,тінь,рагӏад
76,Wetter::N,погода,гьава-бакъ
77,Nebel::N,туман,гӏодобнакӏкӏ
78,Wolke::N,хмара,накӏкӏ
79,Regen::N,дощ,цӏад
80,Schnee::N,сніг,гӏазу
81,Eis::N,лід,цӏер
82,Frost::N,мороз,замгьари
83,Kälte::N,холод,квач
84,Hitze::N,жар,багӏари
85,Raureif::N,іній,мартӏ
86,Regenbogen::N,райдуга,нур
87,Regenbogen::N,райдуга,чамбара
88,Donner::N,грім,гъугъай
89,Donner::N,грім,гъугъади
90,Strömung::N,струмина,чвахи
91,Tropfen::N,крапля,резел
92,Tropfen::N,крапля,тӏинкӏ
93,Tropfen::N,крапля,къатӏра
94,Tropfen::N,крапля,тӏенкӏел
95,Schaum::N,піна,полоп
96,Schmutz::N,бруд,чороклъи
97,See::N,озеро,хӏор
98,Sumpf::N,драговина,хьуцӏ
99,Moor::N,болото,
100,Wiese::N,луг,мегъ
101,Wiese::N,луг,гӏурдаллъи
102,Wiese::N,лука,мегъ
103,Wiese::N,лука,гӏурдаллъи
104,Wald::N,ліс,рохь
105,Hügel::N,горб,гохӏ
106,Anhöhe::N,височина,сийитма
107,Berg::N,гора,мегӏер
108,Gipfel::N,вершина,тӏогь
109,Höhle::N,печера,нохъо
110,Abhang::N,схил,лабаллъи
111,Quelle::N,джерело,ицц
