,Concept_ID,ro,zh
0,Auge::N,ochi,眼睛
1,Ohr::N,ureche,耳朵
2,Nase::N,nas,鼻子
3,Mund::N,gură,嘴
4,Zahn::N,dinte,牙齿
5,Zunge::N,limbă,舌头
6,Lippe::N,buză,嘴唇
7,Wange::N,bucă,面颊
8,Wange::N,obraz,面颊
9,Gesicht::N,față,脸
10,Gesicht::N,figură,脸
11,Stirn::N,frunte,额
12,Haar::N,păr,头发
13,Schnurrbart::N,mustață,髭须
14,Bart::N,barbă,胡子
15,Kinn::N,bărbie,下巴
16,Kiefer[Anatomie]::N,falcă,颌
17,Kehle::N,beregată,嗓子
18,Hals::N,gât,颈
19,Genick::N,ceafă,后颈
20,Kopf::N,cap,头
21,Rücken::N,dos,背
22,Rücken::N,spate,背
23,Rücken::N,spinare,背
24,Bauch::N,burtă,肚子
25,Bauch::N,pântece,肚子
26,Nabel::N,buric,肚脐
27,Busen::N,sân,胸脯
28,Brust::N,piept,胸
29,Schulter::N,umăr,肩膀
30,Schulter::N,spate,肩膀
31,Arm::N,braț,臂膀
32,Ellenbogen::N,cot,肘
33,Hand::N,mână,手
34,Handfläche::N,palmă,手掌
35,Finger::N,deget,手指
36,Fingernagel::N,unghie,指甲
37,Nagel[Anatomie]::N,unghie,指甲
38,Zeh::N,deget de la picior,脚趾
39,Fuß::N,picior,脚
40,Ferse::N,călcâi,后跟
41,Knie::N,genunchi,膝
42,Oberschenkel::N,coapsă,大腿
43,Bein::N,picior,腿
44,Körper::N,corp,身体
45,Haut::N,piele,皮肤
46,Blut::N,sânge,血
47,Ader::N,vână,血管
48,Ader::N,arteră,血管
49,Sehne::N,tendon,腱
50,Knochen::N,os,骨
51,Gehirn::N,creier,脑
52,Herz::N,inimă,心
53,Magen::N,stomac,胃
54,Leber::N,ficat,肝
55,Atem::N,răsuflare,呼吸
56,Atem::N,respirație,呼吸
57,Hunger::N,foame,饿
58,Träne::N,lacrimă,眼泪
59,Geschmack::N,gust,味道
60,Geruch::N,miros,气味
61,Schlaf::N,somn,睡眠
62,Traum::N,vis,梦
63,Himmel::N,cer,天空
64,Sonne::N,soare,太阳
65,Mond::N,lună,月亮
66,Stern::N,stea,星
67,Luft::N,aer,空气
68,Wind::N,vânt,风
69,Welle::N,val,波
70,Welle::N,undă,波
71,Wasser::N,apă,水
72,Stein::N,piatră,石头
73,Boden::N,sol,地面
74,Boden::N,pământ,地面
75,Erde::N,pământ,地
76,Staub::N,praf,灰尘
77,Rauch::N,fum,烟
78,Funke::N,scânteie,火花
79,Feuer::N,foc,火
80,Licht::N,lumină,光
81,Schatten::N,umbră,影子
82,Wetter::N,timp,天气
83,Wetter::N,vreme,天气
84,Nebel::N,ceață,雾
85,Nebel::N,negură,雾
86,Wolke::N,nor,云
87,Regen::N,ploaie,雨
88,Schnee::N,zăpadă,雪
89,Eis::N,gheață,冰
90,Frost::N,ger,霜冻
91,Kälte::N,frig,寒冷
92,Hitze::N,arșiță,炎热
93,Hitze::N,căldură,炎热
94,Raureif::N,chiciură,霜
95,Regenbogen::N,curcubeu,虹
96,Donner::N,tunet,雷
97,Strömung::N,curent,水流
98,Tropfen::N,picătură,滴
99,Schaum::N,spumă,泡沫
100,Schmutz::N,murdărie,赃物
101,See::N,lac,湖
102,Sumpf::N,mlaștină,沼泽
103,Moor::N,bărăgan,沼泽
104,Wiese::N,fânaț,草地
105,Wiese::N,livadă,草地
106,Wald::N,codru,森林
107,Wald::N,pădure,森林
108,Hügel::N,deal,丘陵
109,Hügel::N,movilă,丘陵
110,Anhöhe::N,deal,山丘
111,Anhöhe::N,ridicătură,山丘
112,Berg::N,munte,山
113,Gipfel::N,pisc,峰
114,Höhle::N,peșteră,洞穴
115,Abhang::N,pantă,斜坡
116,Abhang::N,versant,斜坡
117,Quelle::N,izvor,泉
118,Bach::N,gârlă,溪
119,Fluss::N,râu,河流
120,Fluss::N,fluviu,河流
121,Ufer::N,mal,岸
122,Ufer::N,țărm,岸
123,Küste::N,coastă,海岸
124,Festland::N,uscat,大陆
125,Meer::N,mare,海
126,Bucht::N,golf,海湾
127,Insel::N,insulă,岛
