,Concept_ID,se,kv
0,Auge::N,tjelmie,син
1,Auge::N,tjalmme,син
2,Auge::N,čalbmi,син
3,Auge::N,čalme,син
4,Auge::N,čâ´lmm,син
5,Auge::N,ча̄лльм,син
6,Ohr::N,bieljie,пель
7,Ohr::N,biellje,пель
8,Ohr::N,beallji,пель
9,Ohr::N,pelji,пель
10,Ohr::N,pe´llj,пель
11,Ohr::N,пе̄лльй,пель
12,Nase::N,njuenie,ныр
13,Nase::N,njunnje,ныр
14,Nase::N,njunni,ныр
15,Nase::N,njuṇe,ныр
16,Nase::N,njuu´nn,ныр
17,Nase::N,нюннҍ,ныр
18,Mund::N,njaelmie,ӧм
19,Mund::N,njálmme,ӧм
20,Mund::N,njálbmi,ӧм
21,Mund::N,njälmi,ӧм
22,Mund::N,njä´lmm,ӧм
23,Mund::N,ня̄лльм,ӧм
24,Zahn::N,baenie,пинь
25,Zahn::N,bádne,пинь
26,Zahn::N,bátni,пинь
27,Zahn::N,pääṇi,пинь
28,Zahn::N,pää´nn,пинь
29,Zahn::N,па̄ннҍ,пинь
30,Zunge::N,njoektjeme,кыв
31,Zunge::N,njuovtjav,кыв
32,Zunge::N,njuovčča,кыв
33,Zunge::N,njuovčâ,кыв
34,Zunge::N,njuhččâm,кыв
35,Zunge::N,нюхчем,кыв
36,Lippe::N,bangseme,тырп
37,Lippe::N,njálmmerabdda,тырп
38,Lippe::N,bavssa,тырп
39,Lippe::N,poovsâ,тырп
40,Lippe::N,põõus,тырп
41,Lippe::N,пэ̄кс,тырп
42,Wange::N,skiehrie,рожабан
43,Wange::N,nierra,рожабан
44,Wange::N,muohtu,рожабан
45,Wange::N,nieṛâ,рожабан
46,Wange::N,njiõrr,рожабан
47,Wange::N,нӣрр,рожабан
48,Gesicht::N,ååredæjja,бан
49,Gesicht::N,muohto,бан
50,Gesicht::N,muođut,бан
51,Gesicht::N,ámadadju,бан
52,Gesicht::N,muáđuh,бан
53,Gesicht::N,muâđ,бан
54,Gesicht::N,ка̄ссв,бан
55,Stirn::N,gaalloe,кымӧс
56,Stirn::N,gállo,кымӧс
57,Stirn::N,gállu,кымӧс
58,Stirn::N,kállu,кымӧс
59,Stirn::N,käll,кымӧс
60,Stirn::N,вуэххьц,кымӧс
61,Haar::N,voepte,юрси
62,Haar::N,vuoppta,юрси
63,Haar::N,vuokta,юрси
64,Haar::N,vuop'tâ,юрси
65,Haar::N,vuõpt,юрси
66,Haar::N,вӯппт,юрси
67,Schnurrbart::N,bijjie-skaavtjoe,уссэз
68,Schnurrbart::N,njunjevuolskávttjá,уссэз
69,Schnurrbart::N,seamu,уссэз
70,Schnurrbart::N,siämu,уссэз
71,Schnurrbart::N,ää´bben,уссэз
72,Schnurrbart::N,о̄а̄бпан,уссэз
73,Bart::N,skaavtja,тош
74,Bart::N,skaavtjoe,тош
75,Bart::N,skávttjá,тош
76,Bart::N,seamu,тош
77,Bart::N,siämu,тош
78,Bart::N,seäm,тош
79,Bart::N,ся̄м,тош
80,Kinn::N,gaejpie,тшӧка
81,Kinn::N,gájbbe,тшӧка
82,Kinn::N,gáibi,тшӧка
83,Kinn::N,käibi,тшӧка
84,Kinn::N,käi´bb,тшӧка
85,Kinn::N,ка̄ййп,тшӧка
86,Kiefer[Anatomie]::N,gaejpie,ан
87,Kiefer[Anatomie]::N,oalol,ан
88,Kiefer[Anatomie]::N,oaloldákte,ан
89,Kiefer[Anatomie]::N,gáibi,ан
90,Kiefer[Anatomie]::N,uá'lultähti,ан
91,Kiefer[Anatomie]::N,vuâl'lõš,ан
92,Kiefer[Anatomie]::N,вуаллнешш,ан
93,Kehle::N,gealoe,юан
94,Kehle::N,tjåttå,юан
95,Kehle::N,njiello,юан
96,Kehle::N,čotta,юан
97,Kehle::N,čuudâ,юан
98,Kehle::N,čoodd,юан
99,Kehle::N,чонт,юан
100,Kehle::N,кэ̄ҏс,юан
101,Hals::N,tjeapohke,юан
102,Hals::N,tjiebet,юан
103,Hals::N,čeabet,юан
104,Hals::N,čiäppát,юан
105,Hals::N,čeäppat,юан
106,Hals::N,ча̄пэх,юан
107,Genick::N,tjovrese,юр бӧр
108,Genick::N,nisske,юр бӧр
109,Genick::N,niehkki,юр бӧр
110,Genick::N,niski,юр бӧр
111,Genick::N,niek'ki,юр бӧр
112,Genick::N,nji´šǩǩmaadd,юр бӧр
113,Genick::N,нышшькмоант,юр бӧр
114,Kopf::N,åejjie,юр
115,Kopf::N,oajvve,юр
116,Kopf::N,oaivi,юр
117,Kopf::N,uái'vi,юр
118,Kopf::N,vuei´vv,юр
119,Kopf::N,вуэййв,юр
120,Rücken::N,rudtje,мышк
121,Rücken::N,hárddo,мышк
122,Rücken::N,tjavelk,мышк
123,Rücken::N,sealgi,мышк
124,Rücken::N,selgi,мышк
125,Rücken::N,čielgi,мышк
126,Rücken::N,seä´lǧǧ,мышк
127,Rücken::N,се̄лльк,мышк
128,Bauch::N,tjåejjie,кынӧм
129,Bauch::N,tjoajvve,кынӧм
130,Bauch::N,čoavji,кынӧм
131,Bauch::N,čuáv'ji,кынӧм
132,Bauch::N,čåu´jj,кынӧм
133,Bauch::N,чо̄ввьй,кынӧм
134,Nabel::N,naepie,гӧг
135,Nabel::N,náhpe,гӧг
136,Nabel::N,náhpi,гӧг
137,Nabel::N,nääpi,гӧг
138,Nabel::N,nää´pp,гӧг
139,Nabel::N,на̄бпь,гӧг
140,Busen::N,boenge,морос
141,Busen::N,bållå,морос
142,Busen::N,čižži,морос
143,Busen::N,njamma,морос
144,Busen::N,njižže,морос
145,Busen::N,nje´ǯǯ,морос
146,Busen::N,раннҍт,морос
147,Brust::N,mïelke,морос
148,Brust::N,radde,морос
149,Brust::N,mielgga,морос
150,Brust::N,raddi,морос
151,Brust::N,radde,морос
152,Brust::N,râ´dd,морос
153,Brust::N,раннҍт,морос
154,Schulter::N,åelkie,пельпон
155,Schulter::N,oalgge,пельпон
156,Schulter::N,hárdu,пельпон
157,Schulter::N,ärdee,пельпон
158,Schulter::N,uál'gi,пельпон
159,Schulter::N,a´rddi,пельпон
160,Schulter::N,vuä´lǧǧ,пельпон
161,Schulter::N,вуэллык,пельпон
162,Arm::N,gïete,ки
163,Arm::N,giehta,ки
164,Arm::N,giehta,ки
165,Arm::N,kietâ,ки
166,Arm::N,kie'tâkaaṿâ,ки
167,Arm::N,ǩiõtt,ки
168,Arm::N,кӣдт,ки
169,Ellenbogen::N,gernjere,гырдзза
170,Ellenbogen::N,garŋŋel,гырдзза
171,Ellenbogen::N,gargŋil,гырдзза
172,Ellenbogen::N,käŋŋir,гырдзза
