,Concept_ID,he,fr
0,Auge::N,עין,œil
1,Ohr::N,אזן,oreille
2,Nase::N,אף,nez
3,Nase::N,חטם,nez
4,Mund::N,פה,bouche
5,Zahn::N,שן,dent
6,Zunge::N,לשון,langue
7,Lippe::N,שפה,lèvre
8,Wange::N,לחי,joue
9,Gesicht::N,פנים,face
10,Gesicht::N,פנים,visage
11,Stirn::N,מצח,front
12,Haar::N,שערה,cheveu
13,Schnurrbart::N,שפם,moustache
14,Bart::N,זקן,barbe
15,Kinn::N,סנטר,menton
16,Kiefer[Anatomie]::N,לסת,mâchoire
17,Kehle::N,גרון,gorge
18,Hals::N,צואר,cou
19,Genick::N,ערף,nuque
20,Kopf::N,ראש,tête
21,Rücken::N,גב,dos
22,Bauch::N,בטן,ventre
23,Nabel::N,טבור,nombril
24,Busen::N,שד,sein
25,Brust::N,חזה,poitrine
26,Schulter::N,כתף,épaule
27,Arm::N,זרוע,bras
28,Ellenbogen::N,מרפק,coude
29,Hand::N,יד,main
30,Handfläche::N,כף יד,paume
31,Finger::N,אצבע,doigt
32,Fingernagel::N,צפרן,ongle
33,Nagel[Anatomie]::N,צפרן,ongle
34,Zeh::N,אצבע,orteil
35,Zeh::N,אצבע,doigt de pied
36,Fuß::N,רגל,pied
37,Ferse::N,עקב,talon
38,Knie::N,ברך,genou
39,Oberschenkel::N,ירך,cuisse
40,Bein::N,רגל,jambe
41,Körper::N,גוף,corps
42,Haut::N,עור,peau
43,Blut::N,דם,sang
44,Ader::N,וריד,veine
45,Sehne::N,גיד,tendon
46,Knochen::N,עצם,os
47,Gehirn::N,מוח,cerveau
48,Herz::N,לב,cœur
49,Magen::N,קבה,estomac
50,Leber::N,כבד,foie
51,Atem::N,נשימה,haleine
52,Hunger::N,רעב,faim
53,Träne::N,דמעה,larme
54,Geschmack::N,טעם,goût
55,Geschmack::N,טעם,saveur
56,Geruch::N,ריח,odeur
57,Schlaf::N,שנה,sommeil
58,Traum::N,חלום,songe
59,Himmel::N,שמים,ciel
60,Sonne::N,שמש,soleil
61,Mond::N,ירח,lune
62,Stern::N,כוכב,étoile
63,Luft::N,אויר,air
64,Wind::N,רוח,vent
65,Welle::N,גל,vague
66,Wasser::N,מים,eau
67,Stein::N,אבן,pierre
68,Boden::N,קרקע,sol
69,Boden::N,קרקע,terrain
70,Erde::N,אדמה,terre
71,Staub::N,אבק,poussière
72,Rauch::N,עשן,fumée
73,Funke::N,ניצוץ,étincelle
74,Feuer::N,אש,feu
75,Licht::N,אור,lumière
76,Schatten::N,צל,ombre
77,Wetter::N,מזג אויר,temps
78,Nebel::N,ערפל,brume
79,Nebel::N,ערפל,brouillard
80,Wolke::N,ענן,nuage
81,Regen::N,גשם,pluie
82,Schnee::N,שלג,neige
83,Eis::N,קרח,glace
84,Frost::N,צנה,gel
85,Frost::N,צנה,gelée
86,Kälte::N,קר,froid
87,Hitze::N,חם,chaleur
88,Raureif::N,כפור,givre
89,Regenbogen::N,קשת,arc-en-ciel
90,Donner::N,רעם,tonnerre
91,Strömung::N,זרימה,courant
92,Tropfen::N,טפה,goutte
93,Schaum::N,קצף,écume
94,Schaum::N,קצף,mousse
95,Schmutz::N,לכלוך,boue
96,Schmutz::N,לכלוך,saleté
97,See::N,אגם,lac
98,Sumpf::N,בצה,marais
99,Sumpf::N,בצה,marécage
100,Moor::N,בצה,tourbière
101,Wiese::N,מרעה,pré
102,Wald::N,יער,bois
103,Wald::N,יער,forêt
104,Hügel::N,תל,coteau
105,Hügel::N,תל,colline
106,Anhöhe::N,מעלה,éminence
107,Anhöhe::N,מעלה,élévation
108,Berg::N,הר,mont
109,Berg::N,הר,montagne
110,Gipfel::N,פסגה,cime
111,Gipfel::N,פסגה,sommet
112,Höhle::N,מערה,caverne
113,Abhang::N,מדרון,pente
114,Abhang::N,מדרון,versant
115,Abhang::N,שפוע,pente
116,Abhang::N,שפוע,versant
117,Quelle::N,מעין,source
118,Quelle::N,מעין,fontaine
119,Bach::N,נחל,ruisseau
120,Fluss::N,נהר,fleuve
121,Fluss::N,נהר,rivière
122,Ufer::N,גדה,bord
123,Ufer::N,גדה,rivage
124,Küste::N,חוף,côte
125,Festland::N,יבשה,terre ferme
126,Meer::N,ים,mer
127,Bucht::N,מפרץ,baie
128,Insel::N,אי,île
129,Blume::N,פרח,fleur
130,Gras::N,דשא,herbe
131,Wurzel::N,שרש,racine
132,Baum::N,עץ,arbre
133,Stamm::N,גזע,tronc
134,Rinde::N,קלפת עץ,écorce
135,Ast::N,ענף,branche
136,Zweig::N,ענף,rameau
137,Blatt::N,עלה,feuille
138,Birke::N,שדר,bouleau
139,Kiefer[Baum]::N,ארן,pin
140,Weide[Baum]::N,ערבה,saule
141,Tanne::N,אשוח,sapin
142,Horn::N,קרן,corne
143,Feder::N,נוצה,plume
144,Fell::N,פרוה,peau
145,Flügel::N,כנף,aile
146,Klaue::N,טלף,serre
147,Kralle::N,טפר,ongle
148,Kralle::N,טפר,griffe
149,Schwanz::N,זנב,queue
150,Ei::N,ביצה,œuf
151,Nest::N,קן,nid
152,Bau::N,מחלה,terrier
153,Tier::N,חיה,animal
154,Herde::N,עדר,troupeau
155,Kuh::N,פרה,vache
156,Bulle::N,פר,taureau
157,Pferd::N,סוס,cheval
158,Schaf::N,כבשה,mouton
159,Schwein::N,חזיר,porc
160,Schwein::N,חזיר,cochon
161,Hund::N,כלב,chien
162,Katze::N,חתול,chat
163,Bär::N,דב,ours
164,Eichhörnchen::N,סנאי,écureuil
165,Elch::N,דישון,élan
166,Fuchs::N,שועל,renard
167,Hase::N,ארנב,lièvre
168,Maus::N,עכבר,souris
