,Concept_ID,mrj,da
0,Auge::N,сӹнзӓ,øje
1,Ohr::N,пӹлӹш,øre
2,Nase::N,нер,næse
3,Mund::N,ышма,mund
4,Zahn::N,пӱ,tand
5,Zunge::N,йӹлмӹ,tunge
6,Lippe::N,тӹрвӹ,læbe
7,Wange::N,шӹргӹ,kind
8,Gesicht::N,лицӓ,ansigt
9,Stirn::N,лепкӓ,pande
10,Haar::N,ӱп,hår
11,Schnurrbart::N,öрш,overskæg
12,Bart::N,пандаш,skæg
13,Kinn::N,онгылаш,hage
14,Kiefer[Anatomie]::N,пӱ арата,kæbe
15,Kehle::N,логер,strube
16,Hals::N,шӱ,hals
17,Genick::N,ланга,nakke
18,Kopf::N,вуй,hoved
19,Rücken::N,туп,ryg
20,Bauch::N,мӹшкӹр,mave
21,Nabel::N,кӹлӹмдӹ,navle
22,Busen::N,цӹзӹ,barm
23,Brust::N,мел,bryst
24,Schulter::N,ӹнгӹжӓ,skulder
25,Arm::N,кид,arm
26,Ellenbogen::N,кӹнервуй,albue
27,Hand::N,лапа,hånd
28,Handfläche::N,кид лапа,håndflade
29,Finger::N,парня,finger
30,Fingernagel::N,кӹч,fingernegl
31,Nagel[Anatomie]::N,кӹч,negl
32,Zeh::N,парня,tå
33,Fuß::N,ял лапа,fod
34,Ferse::N,ялгавал,hæl
35,Ferse::N,ял кавал,hæl
36,Knie::N,пылвуй,knæ
37,Oberschenkel::N,ӓрдӹ,lår
38,Bein::N,ял,ben
39,Körper::N,монгыр,krop
40,Körper::N,монгыр,legeme
41,Haut::N,кавашты,hud
42,Blut::N,вӹр,blod
43,Ader::N,вӹршӓр,åre
44,Sehne::N,кукшышӱн,sene
45,Knochen::N,лу,ben
46,Gehirn::N,вим,hjerne
47,Herz::N,шӱм,hjerte
48,Magen::N,шӱм,mave
49,Leber::N,мокш,lever
50,Atem::N,шӱлӹш,ånde
51,Hunger::N,шужымаш,sult
52,Träne::N,сӹнзӓвӹд,tåre
53,Geschmack::N,тот,smag
54,Geruch::N,пыш,lugt
55,Schlaf::N,ом,søvn
56,Traum::N,ом,drøm
57,Himmel::N,пӹлгом,himmel
58,Sonne::N,кечӹ,sol
59,Mond::N,тӹлзӹ,måne
60,Stern::N,шӹдӹр,stjerne
61,Luft::N,юж,luft
62,Luft::N,воздух,luft
63,Wind::N,мардеж,vind
64,Welle::N,ко,bølge
65,Welle::N,коэ,bølge
66,Wasser::N,вӹд,vand
67,Stein::N,кӱ,sten
68,Boden::N,рок,jord
69,Erde::N,свет,jord
70,Staub::N,пырак,støv
71,Rauch::N,шӹкш,røg
72,Funke::N,ип,gnist
73,Funke::N,тылип,gnist
74,Feuer::N,тыл,ild
75,Licht::N,соты,lys
76,Licht::N,валгыды,lys
77,Schatten::N,ӹмӹл,skygge
78,Wetter::N,игечӹ,vejr
79,Nebel::N,тӹтӹрӓ,tåge
80,Wolke::N,пӹл,sky
81,Regen::N,юр,regn
82,Schnee::N,лым,sne
83,Eis::N,и,is
84,Frost::N,ӱштӹ,frost
85,Kälte::N,ӱштӹ,kulde
86,Hitze::N,шокшы,hede
87,Raureif::N,пöрш,rimfrost
88,Regenbogen::N,шанавӹл,regnbue
89,Donner::N,хӹдӹртӹш,torden
90,Strömung::N,йогы,strømning
91,Tropfen::N,капльы,dråbe
92,Tropfen::N,капльык,dråbe
93,Schaum::N,шонг,skum
94,Schmutz::N,лявӹрӓ,snavs
95,See::N,йӓр,sø
96,Sumpf::N,лӱкӹ,sump
97,Moor::N,куп,mose
98,Wiese::N,алык,eng
99,Wald::N,шӹргӹ,skov
100,Hügel::N,пӱгӹрикӓ,høj
101,Hügel::N,пӱгӹрикӓ,bakke
102,Anhöhe::N,кӱкшикӓ,høj
103,Anhöhe::N,кӱкшикӓ,bakke
104,Berg::N,кырык,bjerg
105,Gipfel::N,неркӓ,top
106,Höhle::N,ы́раж,hule
107,Abhang::N,полом,skrænt
108,Abhang::N,полом,skråning
109,Quelle::N,вӹдсӹнзӓ,kilde
110,Bach::N,ӓнгӹр,bæk
111,Fluss::N,вӹд,flod
112,Ufer::N,сир,bred
113,Küste::N,сир,kyst
114,Festland::N,мӱлӓндӹ,fastland
115,Meer::N,тангыж,hav
116,Bucht::N,вӹдъял,bugt
117,Insel::N,острок,ø
118,Blume::N,пеледӹш,blomst
119,Gras::N,шуды,græs
120,Wurzel::N,важ,rod
121,Baum::N,пушӓнгӹ,træ
122,Stamm::N,пушӓнгӹ тӹнг,stamme
123,Rinde::N,каргыж,bark
124,Ast::N,укш,gren
125,Zweig::N,укш,kvist
126,Blatt::N,листӹ,blad
127,Birke::N,куги,birk
128,Kiefer[Baum]::N,йӓктӹ,fyrretræ
129,Weide[Baum]::N,уа,piletræ
130,Tanne::N,кож,gran
131,Horn::N,шур,horn
132,Feder::N,пын,fjer
133,Fell::N,кавашты,skind
134,Flügel::N,шылдыр,vinge
135,Klaue::N,кӹч,klov
136,Kralle::N,лапа,klo
137,Schwanz::N,пач,hale
138,Ei::N,мыны,æg
139,Nest::N,пӹжӓш,rede
140,Bau::N,ыраж,bo
141,Tier::N,во́льык,dyr
142,Herde::N,кӹтö,flok
143,Kuh::N,ышкал,ko
