,Concept_ID,ar,kv
0,Auge::N,عين,син
1,Ohr::N,أذن,пель
2,Nase::N,أنف,ныр
3,Mund::N,فم,ӧм
4,Zahn::N,سن,пинь
5,Zunge::N,لسان,кыв
6,Lippe::N,شفة,тырп
7,Wange::N,خد,рожабан
8,Wange::N,وجنة,рожабан
9,Gesicht::N,وجه,бан
10,Stirn::N,جبين,кымӧс
11,Haar::N,شعر,юрси
12,Schnurrbart::N,شارب,уссэз
13,Bart::N,لحية,тош
14,Kinn::N,ذقن,тшӧка
15,Kiefer[Anatomie]::N,فك,ан
16,Kehle::N,حلق,юан
17,Hals::N,عنق,юан
18,Hals::N,رقبة,юан
19,Genick::N,قفا,юр бӧр
20,Kopf::N,رأس,юр
21,Rücken::N,ظهر,мышк
22,Bauch::N,بطن,кынӧм
23,Nabel::N,سرة,гӧг
24,Busen::N,ثدي,морос
25,Brust::N,صدر,морос
26,Schulter::N,كتف,пельпон
27,Arm::N,ذراع,ки
28,Ellenbogen::N,كوع,гырдзза
29,Hand::N,يد,кикар
30,Handfläche::N,كف,ки пыдӧс
31,Finger::N,إصبع,чунь
32,Fingernagel::N,ظفر,гыж
33,Nagel[Anatomie]::N,ظفر,гыж
34,Zeh::N,إصبع القدم,чунь
35,Fuß::N,قدم,кокпыдӧс
36,Ferse::N,كعب,кокдзир
37,Knie::N,ركبة,пидзӧс
38,Oberschenkel::N,فخذ,лядьбей
39,Bein::N,ساق,кок
40,Körper::N,جسم,вывтыр
41,Haut::N,بشرة,кучик
42,Blut::N,دم,вир
43,Ader::N,عرق,сӧн
44,Sehne::N,طنب,жила
45,Knochen::N,عظم,коска
46,Gehirn::N,دماغ,вем
47,Herz::N,قلب,сьӧлӧм
48,Magen::N,معدة,жӧвдӧк
49,Leber::N,كبد,мус
50,Atem::N,نفس,лолалӧм
51,Hunger::N,جوع,тшыг
52,Träne::N,دمعة,синва
53,Geschmack::N,طعم,кӧр
54,Geschmack::N,مذاق,кӧр
55,Geruch::N,رائحة,дук
56,Schlaf::N,نوم,он
57,Schlaf::N,منام,он
58,Traum::N,حلم,вӧт
59,Himmel::N,سماء,небо
60,Sonne::N,شمس,шондi
61,Mond::N,قمر,тӧлiсь
62,Stern::N,نجم,кӧдзыв
63,Stern::N,كوكب,кӧдзыв
