,Concept_ID,no,ta
0,Auge::N,øye,கண்
1,Ohr::N,øre,காது
2,Nase::N,nese,மூக்கு
3,Mund::N,munn,வாய்
4,Zahn::N,tann,பல்
5,Zunge::N,tunge,நாக்கு
6,Lippe::N,leppe,உதடு
7,Wange::N,kinn,கன்னம்
8,Gesicht::N,fjes,முகம்
9,Gesicht::N,ansikt,முகம்
10,Stirn::N,panne,முன்னெற்றி
11,Haar::N,hår,முடி
12,Schnurrbart::N,bart,மீசை
13,Bart::N,skjegg,தாடி
14,Kinn::N,hake,கீழதாடை
15,Kiefer[Anatomie]::N,kjeve,தாடை
16,Kehle::N,strupe,தொண்டை
17,Hals::N,hals,கழுத்து
18,Genick::N,nakke,கழுத்து
19,Kopf::N,hode,தலை
20,Rücken::N,rygg,முதுகு
21,Bauch::N,buk,வயிறு
22,Bauch::N,mage,வயிறு
23,Nabel::N,navle,தொப்புள்
24,Busen::N,barm,மார்பகம்
25,Brust::N,bryst, மார்பு
26,Schulter::N,skulder,தோள்பட்டை
27,Arm::N,arm,கரம்
28,Ellenbogen::N,albue,முழங்கை
29,Hand::N,hånd,கை
30,Handfläche::N,håndflate,உள்ளங்கை
31,Finger::N,finger,விரல்
32,Fingernagel::N,fingernegl,விரல் நகம்
33,Nagel[Anatomie]::N,negl,நகம்
34,Zeh::N,tå,கால்விரல்
35,Fuß::N,fot,கால்
36,Ferse::N,hæl,குதிகால்
37,Knie::N,kne,முழங்கால்
38,Oberschenkel::N,lår,தொடை
39,Bein::N,bein,கால்
40,Körper::N,kropp,உடல்
41,Körper::N,legeme,உடல்
42,Haut::N,hud,சருமம்
43,Haut::N,skinn,சருமம்
44,Blut::N,blod,இரத்தம்
45,Ader::N,åre,நாளம்
46,Sehne::N,sene,தசைநார்
47,Knochen::N,bein,எலுமபு
48,Knochen::N,knokkel,எலுமபு
49,Gehirn::N,hjerne,மூனை
50,Herz::N,hjerte,இதயம
51,Magen::N,mage,வயிறு
52,Leber::N,lever,கல்லீரல்
53,Atem::N,pust,மூச்சு
54,Hunger::N,sult,பசி
55,Träne::N,tåre,கண்ணீர்
56,Geschmack::N,smak,நறுமணம்
57,Geruch::N,lukt,துர்நாற்றம்
58,Schlaf::N,søvn,தூக்கம்
59,Traum::N,drøm,கனவு
60,Himmel::N,himmel,வானம்
61,Sonne::N,sol,சூரியன்
62,Mond::N,måne,சந்திரன்
63,Stern::N,stjerne,நட்சத்திரம்
64,Luft::N,luft,காறறு
65,Wind::N,vind,காற்று
66,Welle::N,bølge,அலை
67,Wasser::N,vann,நீர்
68,Stein::N,stein,கல்
69,Boden::N,bakke,தரை
70,Erde::N,jord,மண்
71,Staub::N,støv,தூசி
72,Rauch::N,røyk,புகை
73,Funke::N,gnist,தீப்பொறி
74,Feuer::N,ild,தீ
75,Licht::N,lys,வெளிச்சம்
76,Schatten::N,skygge,நிழல்
77,Wetter::N,vær,வானிலை
78,Nebel::N,tåke,பனிமூட்டம்
79,Wolke::N,sky,மேகம்
80,Regen::N,regn,மழை
81,Schnee::N,snø,உறைபனி
82,Eis::N,is,பனிக்கட்டி
83,Frost::N,frost,உறைபனி
84,Kälte::N,kulde,குளிர்ந்த
85,Hitze::N,hete,சூடு
86,Raureif::N,rimfrost,உறைபனி வெண்திரை
87,Regenbogen::N,regnbue,வானவில்
88,Donner::N,torden,இடி
89,Strömung::N,strømning,நீரோட்டம்
90,Tropfen::N,dråpe,துளி
91,Schaum::N,skum,நுரை
92,Schmutz::N,søl,அழுக்கு
93,Schmutz::N,skitt,அழுக்கு
94,See::N,sjø,ஏரி
95,Sumpf::N,sump,சதுப்பு நிலம்
96,Sumpf::N,myrlende,சதுப்பு நிலம்
97,Moor::N,myr,முட்புதற்காடு
98,Moor::N,myrhei,முட்புதற்காடு
99,Wiese::N,eng,பசும் புல்தரை
100,Wald::N,skog,காடு
101,Hügel::N,haug,குன்று
102,Hügel::N,bakke,குன்று
103,Anhöhe::N,haug,பதுக்கை
104,Anhöhe::N,bakke,பதுக்கை
105,Berg::N,berg,மலை
106,Berg::N,fjell,மலை
107,Gipfel::N,topp,உச்சி மாநாடு
108,Höhle::N,hule,குகை
