,Concept_ID,ro,vep
0,Auge::N,ochi,sil'm
1,Ohr::N,ureche,korv
2,Nase::N,nas,nena
3,Mund::N,gură,su
4,Zahn::N,dinte,pi
5,Zahn::N,dinte,hambaz
6,Zunge::N,limbă,kel'
7,Lippe::N,buză,hul'
8,Wange::N,bucă,modpolišk
9,Wange::N,obraz,modpolišk
10,Gesicht::N,față,mod
11,Gesicht::N,figură,mod
12,Stirn::N,frunte,oc
13,Haar::N,păr,tuk
14,Haar::N,păr,hibuz
15,Schnurrbart::N,mustață,habinod
16,Bart::N,barbă,bard
17,Kinn::N,bărbie,löug
18,Kiefer[Anatomie]::N,falcă,hambazlu
19,Kehle::N,beregată,kurk
20,Hals::N,gât,kagl
21,Genick::N,ceafă,tagarai
22,Kopf::N,cap,pä
23,Rücken::N,dos,sel'g
24,Rücken::N,spate,sel'g
25,Rücken::N,spinare,sel'g
26,Bauch::N,burtă,vac
27,Bauch::N,burtă,koht
28,Bauch::N,pântece,vac
29,Bauch::N,pântece,koht
30,Nabel::N,buric,naba
31,Busen::N,sân,niža
32,Brust::N,piept,rind
33,Schulter::N,umăr,oug
34,Schulter::N,spate,oug
35,Arm::N,braț,käzi
36,Ellenbogen::N,cot,künambruz
37,Hand::N,mână,käzi
38,Hand::N,mână,käzitera
39,Handfläche::N,palmă,kämen
40,Finger::N,deget,sor'm
41,Fingernagel::N,unghie,künz'
42,Nagel[Anatomie]::N,unghie,künz'
43,Zeh::N,deget de la picior,barbaz
44,Fuß::N,picior,jaug
45,Ferse::N,călcâi,kand
46,Knie::N,genunchi,komb
47,Knie::N,genunchi,pol'v
48,Oberschenkel::N,coapsă,riiže
49,Bein::N,picior,jaug
50,Körper::N,corp,hibj
51,Haut::N,piele,nahk
52,Blut::N,sânge,čak
53,Blut::N,sânge,veri
54,Ader::N,vână,son'
55,Ader::N,arteră,son'
56,Sehne::N,tendon,jände
57,Knochen::N,os,lu
58,Gehirn::N,creier,aivod
59,Herz::N,inimă,südäin
60,Magen::N,stomac,südäikoht
61,Leber::N,ficat,maks
62,Atem::N,răsuflare,hengaiduz
63,Atem::N,respirație,hengaiduz
64,Hunger::N,foame,näl'g
65,Träne::N,lacrimă,kündal'
66,Geschmack::N,gust,magu
67,Geruch::N,miros,haju
68,Schlaf::N,somn,uni
69,Traum::N,vis,unikuva
70,Himmel::N,cer,taivaz
71,Sonne::N,soare,päiväine
72,Mond::N,lună,kudmaine
73,Stern::N,stea,tähtaz
74,Luft::N,aer,il'm
75,Wind::N,vânt,döl
76,Wind::N,vânt,tullei
77,Welle::N,val,ald
78,Welle::N,val,laineh
79,Welle::N,undă,ald
80,Welle::N,undă,laineh
81,Wasser::N,apă,vezi
82,Stein::N,piatră,kivi
83,Boden::N,sol,ma
84,Boden::N,sol,pohj
85,Boden::N,pământ,ma
86,Boden::N,pământ,pohj
87,Erde::N,pământ,ma
88,Staub::N,praf,pölü
89,Rauch::N,fum,savu
90,Funke::N,scânteie,kibin
91,Feuer::N,foc,lämoi
