,Concept_ID,ba,ba
0,Auge::N,күҙ,күҙ
1,Ohr::N,ҡолаҡ,ҡолаҡ
2,Nase::N,танау,танау
3,Mund::N,ауыҙ,ауыҙ
4,Zahn::N,теш,теш
5,Zunge::N,тел,тел
6,Lippe::N,ирен,ирен
7,Wange::N,яцаҡтар,яцаҡтар
8,Gesicht::N,бит,бит
9,Stirn::N,маңлай,маңлай
10,Haar::N,сәс,сәс
11,Schnurrbart::N,мылтыҡ,мылтыҡ
12,Bart::N,һаҡал,һаҡал
13,Kinn::N,эйэк,эйэк
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,яңаҡ һөйәге
15,Kehle::N,тамаҡ,тамаҡ
16,Hals::N,муйын,муйын
17,Genick::N,соңҡа,соңҡа
18,Kopf::N,баш,баш
19,Rücken::N,арҡа,арҡа
20,Bauch::N,ҡорһаҡ,ҡорһаҡ
21,Nabel::N,кендек,кендек
22,Busen::N,күкрәк,күкрәк
23,Brust::N,түш,түш
24,Schulter::N,яурын,яурын
25,Arm::N,ҡул,ҡул
26,Ellenbogen::N,терһәк,терһәк
27,Hand::N,ҡул,ҡул
28,Hand::N,ҡул,ҡул суғы
29,Hand::N,ҡул суғы,ҡул
30,Hand::N,ҡул суғы,ҡул суғы
31,Handfläche::N,ус төбө,ус төбө
32,Finger::N,бармаҡ,бармаҡ
33,Fingernagel::N,тырнаҡ,тырнаҡ
34,Nagel[Anatomie]::N,тырнаҡ,тырнаҡ
35,Zeh::N,бармаҡ,бармаҡ
36,Fuß::N,табан,табан
37,Ferse::N,үксә,үксә
38,Knie::N,тубыҡ,тубыҡ
39,Oberschenkel::N,сандыр,сандыр
40,Bein::N,аяҡ,аяҡ
41,Körper::N,тән,тән
42,Haut::N,тире,тире
43,Blut::N,ҡан,ҡан
44,Ader::N,тамыр,тамыр
45,Sehne::N,һеңер,һеңер
46,Sehne::N,һеңер,тарамыш
47,Sehne::N,тарамыш,һеңер
48,Sehne::N,тарамыш,тарамыш
49,Knochen::N,һойәк,һойәк
50,Gehirn::N,мейе,мейе
51,Herz::N,йорәк,йорәк
52,Magen::N,ашҡаҙан,ашҡаҙан
53,Leber::N,бауыр,бауыр
54,Atem::N,һулыш,һулыш
55,Hunger::N,аслыҡ,аслыҡ
56,Träne::N,күҙ иәше,күҙ иәше
57,Geschmack::N,тәм,тәм
58,Geruch::N,еҫ,еҫ
59,Schlaf::N,йоҡлау,йоҡлау
60,Traum::N,төш,төш
61,Himmel::N,күк,күк
62,Sonne::N,ҡояш,ҡояш
63,Mond::N,ай,ай
64,Stern::N,йондоҙ,йондоҙ
65,Luft::N,һауа,һауа
66,Wind::N,ел,ел
67,Welle::N,тулҡын,тулҡын
68,Wasser::N,һыу,һыу
69,Stein::N,таш,таш
70,Boden::N,тупраҡ,тупраҡ
71,Erde::N,балсҡ,балсҡ
72,Staub::N,туҙан,туҙан
73,Rauch::N,төтөн,төтөн
74,Funke::N,осҡон,осҡон
75,Feuer::N,ут,ут
76,Licht::N,яҡтылыҡ,яҡтылыҡ
77,Schatten::N,күләгә,күләгә
78,Wetter::N,һауа торошо,һауа торошо
79,Nebel::N,төман,төман
80,Wolke::N,болот,болот
81,Regen::N,ямғыр,ямғыр
82,Schnee::N,ҡар,ҡар
