,Concept_ID,ar,pl
0,Auge::N,عين,oko
1,Ohr::N,أذن,ucho
2,Nase::N,أنف,nos
3,Mund::N,فم,usta
4,Zahn::N,سن,ząb
5,Zunge::N,لسان,język
6,Lippe::N,شفة,warga
7,Wange::N,خد,policzek
8,Wange::N,وجنة,policzek
9,Gesicht::N,وجه,twarz
10,Stirn::N,جبين,czoło
11,Haar::N,شعر,włos
12,Haar::N,شعر,włosy
13,Schnurrbart::N,شارب,wąsy
14,Bart::N,لحية,broda
15,Kinn::N,ذقن,podbródek
16,Kiefer[Anatomie]::N,فك,czeluść
17,Kehle::N,حلق,gardło
18,Hals::N,عنق,szyja
19,Hals::N,رقبة,szyja
20,Genick::N,قفا,kark
21,Kopf::N,رأس,głowa
22,Rücken::N,ظهر,plecy
23,Rücken::N,ظهر,grzbiet
24,Bauch::N,بطن,brzuch
25,Nabel::N,سرة,pępek
26,Busen::N,ثدي,biust
27,Brust::N,صدر,pierś
28,Schulter::N,كتف,bark
29,Schulter::N,كتف,ramię
30,Arm::N,ذراع,ręka
31,Arm::N,ذراع,ramię
32,Ellenbogen::N,كوع,łokieć
33,Hand::N,يد,dłoń
34,Handfläche::N,كف,dłoń
35,Finger::N,إصبع,palec
36,Fingernagel::N,ظفر,paznokieć
37,Nagel[Anatomie]::N,ظفر,paznokieć
38,Zeh::N,إصبع القدم,palec
39,Fuß::N,قدم,stopa
40,Ferse::N,كعب,pięta
41,Knie::N,ركبة,kolano
42,Oberschenkel::N,فخذ,udo
43,Bein::N,ساق,noga
44,Körper::N,جسم,ciało
45,Haut::N,بشرة,skóra
46,Blut::N,دم,krew
47,Ader::N,عرق,żyła
48,Sehne::N,طنب,ścięgno
49,Knochen::N,عظم,kość
50,Gehirn::N,دماغ,mózg
51,Herz::N,قلب,serce
52,Magen::N,معدة,żołądek
53,Leber::N,كبد,wątroba
54,Atem::N,نفس,dech
55,Atem::N,نفس,oddech
56,Hunger::N,جوع,głód
57,Träne::N,دمعة,łza
58,Geschmack::N,طعم,smak
59,Geschmack::N,مذاق,smak
60,Geruch::N,رائحة,woń
61,Geruch::N,رائحة,zapach
62,Schlaf::N,نوم,sen
63,Schlaf::N,منام,sen
64,Traum::N,حلم,sen
65,Himmel::N,سماء,niebo
66,Sonne::N,شمس,słońce
67,Mond::N,قمر,księżyc
68,Stern::N,نجم,gwiazda
69,Stern::N,كوكب,gwiazda
70,Luft::N,هواء,powietrze
71,Wind::N,ريح,wiatr
72,Welle::N,موجة,fala
73,Wasser::N,ماء,woda
74,Stein::N,حجر,kamień
75,Boden::N,تراب,grunt
76,Erde::N,أرض,ziemia
77,Staub::N,غبار,pył
78,Staub::N,غبار,kurz
79,Rauch::N,دخان,dym
80,Funke::N,شرارة,iskra
81,Feuer::N,نار,ogień
82,Licht::N,نور,światło
83,Licht::N,ضوء,światło
84,Schatten::N,ظل,cień
85,Schatten::N,فيء,cień
86,Wetter::N,جو,pogoda
87,Wetter::N,طقس,pogoda
88,Nebel::N,ضباب,mgła
89,Wolke::N,غيمة,obłok
90,Wolke::N,غيمة,chmura
91,Wolke::N,سحابة,obłok
92,Wolke::N,سحابة,chmura
93,Regen::N,مطر,deszcz
94,Schnee::N,ثلج,śnieg
95,Eis::N,جليد,lód
96,Frost::N,صقيع,mróz
97,Kälte::N,برد,chłód
98,Hitze::N,حر,gorąco
99,Hitze::N,حرارة,gorąco
100,Raureif::N,صقيع,szron
101,Regenbogen::N,قوس قزح,tęcza
102,Donner::N,رعد,grzmot
103,Strömung::N,تيار,nurt
104,Tropfen::N,قطرة,kropla
105,Schaum::N,زبد,piana
106,Schaum::N,رغوة,piana
107,Schmutz::N,وسخ,brud
108,See::N,بحيرة,jezioro
109,Sumpf::N,مستنقع,bagno
110,Moor::N,مستنقع,bagno
111,Wiese::N,مرج,łąka
112,Wald::N,غابة,las
113,Hügel::N,تل,pagórek
114,Anhöhe::N,تل,wzgórze
115,Berg::N,جبل,góra
116,Gipfel::N,قمة,szczyt
117,Gipfel::N,قمة,wierzchołek
118,Höhle::N,كهف,pieczara
119,Abhang::N,منحدر,stok
120,Abhang::N,منحدر,zbocze
121,Quelle::N,منبع,zdrój
122,Quelle::N,منبع,źródło
123,Bach::N,مجرى,potok
124,Bach::N,مجرى,strumień
125,Fluss::N,نهر,rzeka
126,Ufer::N,ضفة,brzeg
127,Küste::N,ساحل,wybrzeże
128,Festland::N,بر,ląd
129,Meer::N,بحر,morze
130,Bucht::N,خليج,zatoka
131,Insel::N,جزيرة,wyspa
132,Blume::N,زهرة,kwiat
133,Gras::N,حشيش,trawa
134,Wurzel::N,أصل,korzeń
135,Baum::N,شجرة,drzewo
136,Stamm::N,جذع,pień
137,Rinde::N,قشرة,kora
138,Ast::N,فرع,gałąź
139,Zweig::N,غصن,gałąź
140,Blatt::N,ورقة,liść
141,Birke::N,قضبان,brzoza
142,Kiefer[Baum]::N,صنوبرة,sosna
143,Weide[Baum]::N,صفصاف,wierzba
144,Tanne::N,شوح,jodła
145,Tanne::N,تبوب,jodła
146,Horn::N,قرن,róg
147,Feder::N,ريشة,pióro
148,Fell::N,فرو,futro
149,Flügel::N,جناح,skrzydło
150,Klaue::N,مخلب,szpon
151,Kralle::N,مخلب,pazur
152,Schwanz::N,ذيل,ogon
153,Ei::N,بيض,jajko
154,Nest::N,عش,gniazdo
155,Bau::N,جحر,nora
156,Tier::N,حيوان,zwierzę
157,Herde::N,قطيع,stado
158,Herde::N,قطيع,trzoda
159,Kuh::N,بقرة,krowa
160,Bulle::N,ثور,byk
161,Pferd::N,خيل,koń
162,Schaf::N,شاة,owca
163,Schwein::N,خنزير,świnia
164,Hund::N,كلب,pies
165,Katze::N,قطة,kot
166,Katze::N,قطة,kotka
167,Bär::N,دب,niedźwiedż
168,Eichhörnchen::N,سنجاب,wiewiórka
169,Elch::N,موظ,łóś
170,Fuchs::N,ثعلب,lis
171,Hase::N,أرنب,zając
