,Concept_ID,la,ko
0,Auge::N,oculus,눈
1,Ohr::N,auris,귀
2,Nase::N,nasus,코
3,Mund::N,os,입
4,Zahn::N,dens,이
5,Zunge::N,lingua,혀
6,Lippe::N,labrum,입술
7,Wange::N,gena,뺨
8,Gesicht::N,vultus,얼굴
9,Stirn::N,frons,이마
10,Haar::N,capillus,털
11,Schnurrbart::N,barba labri superioris,윗수몀
12,Schnurrbart::N,barba labri superioris,코밑수염
13,Bart::N,barba,수엄
14,Kinn::N,mentum,아래턱
15,Kiefer[Anatomie]::N,mala,턱
16,Kehle::N,iugulums,인후
17,Hals::N,collum,목
18,Genick::N,cervices,먹덜이
19,Kopf::N,caput,머리
20,Rücken::N,tergum,든
21,Bauch::N,venter,배
22,Nabel::N,umbilicus,배꼽
23,Busen::N,sinus,가슴속
24,Brust::N,pectus,가슴
25,Schulter::N,umerus,어깨
26,Arm::N,bracchium,팔
27,Ellenbogen::N,cubitum,팔쿰치
28,Hand::N,manus,손
29,Handfläche::N,palma,손바닥
30,Finger::N,digitus,속가락
31,Fingernagel::N,unguiculus,손톱
32,Nagel[Anatomie]::N,unguis,손톱
33,Zeh::N,digitus,발가락
34,Fuß::N,pes,발
35,Ferse::N,calx,발꿈치
36,Knie::N,genu,무릎
37,Oberschenkel::N,femur,허벅다리
38,Bein::N,crus,다리
39,Körper::N,corpus,구간
40,Haut::N,cutis,살갗
41,Haut::N,pellis,살갗
42,Blut::N,sanguis,피
43,Ader::N,vena,정맥
44,Sehne::N,nervus,현
45,Knochen::N,os,뼈
46,Gehirn::N,cerebrum,뇌
47,Gehirn::N,cerebrum,뇌수
48,Herz::N,cor,염통
49,Herz::N,animus,염통
50,Magen::N,stomachus,위
51,Leber::N,iecur,간
52,Atem::N,spiritus,기식
53,Hunger::N,fames,공복
54,Träne::N,lacrima,눈물
55,Geschmack::N,sapor,기호
56,Geschmack::N,gustus,기호
57,Geruch::N,odor,냄새
58,Schlaf::N,somnus,수면
59,Traum::N,somnium,쿰
60,Himmel::N,caelum,하늘
61,Sonne::N,sol,해
62,Mond::N,luna,달
63,Stern::N,sidus,별
64,Stern::N,stella,별
65,Luft::N,aer,동준
66,Luft::N,aer,가스채
67,Wind::N,ventus,바람
68,Welle::N,unda,물결
69,Wasser::N,aqua,물
70,Stein::N,lapis,돌
71,Boden::N,solum,바닥
72,Erde::N,terra,흙
73,Staub::N,pulvis,먼지
74,Rauch::N,fumus,연기
75,Funke::N,scintilla,불티
76,Feuer::N,ignis,불
77,Licht::N,lux,불
