,Concept_ID,fr,sv
126,Berg::N,mont,fjäll
127,Berg::N,montagne,berg
128,Berg::N,montagne,fjäll
129,Gipfel::N,cime,topp
130,Gipfel::N,sommet,topp
131,Höhle::N,caverne,håla
132,Höhle::N,caverne,grotta
133,Abhang::N,pente,slänt
134,Abhang::N,pente,sluttning
135,Abhang::N,versant,slänt
136,Abhang::N,versant,sluttning
137,Quelle::N,source,källa
138,Quelle::N,fontaine,källa
139,Bach::N,ruisseau,bäck
140,Fluss::N,fleuve,älv
141,Fluss::N,fleuve,flod
142,Fluss::N,rivière,älv
143,Fluss::N,rivière,flod
144,Ufer::N,bord,strand
145,Ufer::N,rivage,strand
146,Küste::N,côte,kust
147,Festland::N,terre ferme,fastland
148,Meer::N,mer,hav
149,Bucht::N,baie,vik
150,Bucht::N,baie,bukt
151,Insel::N,île,ö
152,Blume::N,fleur,blomma
153,Blume::N,fleur,blomster
154,Gras::N,herbe,gräs
155,Wurzel::N,racine,rot
156,Baum::N,arbre,träd
157,Stamm::N,tronc,stam
158,Rinde::N,écorce,bark
159,Ast::N,branche,gren
160,Zweig::N,rameau,kvist
161,Blatt::N,feuille,löv
162,Blatt::N,feuille,blad
163,Birke::N,bouleau,björk
164,Kiefer[Baum]::N,pin,tall
165,Weide[Baum]::N,saule,pil
166,Weide[Baum]::N,saule,vide
167,Tanne::N,sapin,gran
168,Horn::N,corne,horn
169,Feder::N,plume,fjäder
170,Fell::N,peau,fäll
171,Fell::N,peau,skinn
172,Flügel::N,aile,vinge
173,Klaue::N,serre,klöv
174,Kralle::N,ongle,klo
175,Kralle::N,griffe,klo
176,Schwanz::N,queue,svans
177,Schwanz::N,queue,stjärt
178,Ei::N,œuf,ägg
179,Nest::N,nid,rede
180,Nest::N,nid,näste
181,Bau::N,terrier,bo
182,Tier::N,animal,djur
183,Herde::N,troupeau,flock
184,Kuh::N,vache,ko
185,Bulle::N,taureau,tjur
186,Pferd::N,cheval,häst
187,Schaf::N,mouton,får
188,Schwein::N,porc,svin
189,Schwein::N,cochon,svin
190,Hund::N,chien,hund
191,Katze::N,chat,katt
192,Bär::N,ours,björn
193,Eichhörnchen::N,écureuil,ekorre
194,Elch::N,élan,älg
195,Fuchs::N,renard,räv
196,Hase::N,lièvre,hare
197,Maus::N,souris,mus
198,Wolf::N,loup,varg
199,Vogel::N,oiseau,fågel
200,Schwarm::N,nuée,svärm
201,Schwarm::N,volée,svärm
202,Huhn::N,poule,höns
203,Hahn::N,coq,tupp
204,Gans::N,oie,gås
205,Adler::N,aigle,örn
206,Ente::N,canard,anka
207,Eule::N,hibou,uggla
208,Kranich::N,grue,trana
209,Krähe::N,corneille,kråka
210,Kuckuck::N,coucou,gök
