,Concept_ID,de,os
0,Auge::N,Auge,цӕст
1,Ohr::N,Ohr,хъус
2,Nase::N,Nase,фындз
3,Mund::N,Mund,дзых
4,Zahn::N,Zahn,дӕндаг
5,Zunge::N,Zunge,ӕвзаг
6,Lippe::N,Lippe,был
7,Wange::N,Wange,рус
8,Wange::N,Wange,уадул
9,Wange::N,Wange,ӕхсӕрфарс
10,Gesicht::N,Gesicht,цӕсгом
11,Stirn::N,Stirn,ных
12,Haar::N,Haar,хил
13,Schnurrbart::N,Schnurrbart,рихи
14,Bart::N,Bart,зачъе
15,Kinn::N,Kinn,роцъо
16,Kiefer[Anatomie]::N,Kiefer,ӕфсӕр
17,Kehle::N,Kehle,хъуыр
18,Hals::N,Hals,къубал
19,Genick::N,Genick,къӕбут
20,Kopf::N,Kopf,сӕр
21,Rücken::N,Rücken,фӕсонтӕ
22,Bauch::N,Bauch,гуыбын
23,Nabel::N,Nabel,бикъ
24,Busen::N,Busen,дзидзи
25,Brust::N,Brust,риу
26,Schulter::N,Schulter,уӕхск
27,Arm::N,Arm,цонг
28,Ellenbogen::N,Ellenbogen,рæмбын
29,Hand::N,Hand,къух
30,Handfläche::N,Handfläche,армытъӕпӕн
31,Finger::N,Finger,ӕнруылдз
32,Fingernagel::N,Fingernagel,ных
33,Nagel[Anatomie]::N,Nagel,ных
34,Zeh::N,Zeh,къух
35,Fuß::N,Fuß,фад
36,Ferse::N,Ferse,зӕвӕт
37,Knie::N,Knie,уӕраг
38,Oberschenkel::N,Oberschenkel,агъд
39,Bein::N,Bein,зӕнг
40,Körper::N,Körper,буар
41,Haut::N,Haut,царм
42,Blut::N,Blut,туг
43,Ader::N,Ader,дадзин
44,Ader::N,Ader,тугдадзин
45,Sehne::N,Sehne,хъиутæ
46,Sehne::N,Sehne,нуар
47,Knochen::N,Knochen,стӕг
48,Gehirn::N,Gehirn,магъз
49,Herz::N,Herz,зӕрдӕ
50,Magen::N,Magen,ахсӕн
51,Leber::N,Leber,игæр
52,Atem::N,Atem,улӕфт
53,Hunger::N,Hunger,стонг
54,Träne::N,Träne,цæссыг
55,Geschmack::N,Geschmack,ад
56,Geruch::N,Geruch,смаг
57,Schlaf::N,Schlaf,хуыссӕг
58,Traum::N,Traum,фын
59,Himmel::N,Himmel,арв
60,Himmel::N,Himmel,уӕларв
61,Sonne::N,Sonne,хур
62,Mond::N,Mond,мӕй
63,Stern::N,Stern,стъалы
64,Luft::N,Luft,уӕлдӕф
65,Wind::N,Wind,дымгӕ
66,Welle::N,Welle,уылӕн
67,Wasser::N,Wasser,дон
68,Stein::N,Stein,дур
69,Boden::N,Boden,зӕхх
70,Erde::N,Erde,сыджыт
71,Staub::N,Staub,рыг
72,Rauch::N,Rauch,фӕздӕг
73,Funke::N,Funke,цӕхӕр
74,Feuer::N,Feuer,зынг
75,Licht::N,Licht,рухс
76,Schatten::N,Schatten,аууон
77,Wetter::N,Wetter,боныхъӕд
78,Nebel::N,Nebel,мигъ
79,Wolke::N,Wolke,ӕврагъ
80,Regen::N,Regen,уарын
81,Schnee::N,Schnee,мит
82,Eis::N,Eis,их
83,Frost::N,Frost,ихæн
84,Kälte::N,Kälte,уазал
85,Hitze::N,Hitze,ӕнтӕф
86,Raureif::N,Raureif,халас
87,Regenbogen::N,Regenbogen,арвырон
88,Regenbogen::N,Regenbogen,арвырдын
89,Donner::N,Donner,æрвнæрын
90,Strömung::N,Strömung,цыд
91,Tropfen::N,Tropfen,æртах
92,Schaum::N,Schaum,фынк
93,Schmutz::N,Schmutz,цъыф
94,See::N,See,цад
95,Sumpf::N,Sumpf,цъыфдзаст
96,Moor::N,Moor,цъыфдзаст
97,Wiese::N,Wiese,уыгӕрдӕн
98,Wald::N,Wald,хъӕд
99,Hügel::N,Hügel,обау
100,Hügel::N,Hügel,къуыбыр
101,Anhöhe::N,Anhöhe,уæлвæз
102,Anhöhe::N,Anhöhe,уæлхох
103,Berg::N,Berg,хох
104,Gipfel::N,Gipfel,цъупп
105,Höhle::N,Höhle,лӕгӕт
106,Abhang::N,Abhang,къул
107,Quelle::N,Quelle,суадон
108,Bach::N,Bach,мӕсчъыдон
109,Fluss::N,Fluss,дон
110,Fluss::N,Fluss,цӕугӕдон
111,Ufer::N,Ufer,был
112,Küste::N,Küste,донбыл
113,Festland::N,Festland,сурзæхх
114,Meer::N,Meer,денджыз
115,Bucht::N,Bucht,донбакæлæн
116,Insel::N,Insel,сакъадах
117,Blume::N,Blume,дидинӕг
118,Gras::N,Gras,кӕрдӕг
119,Wurzel::N,Wurzel,уидаг
120,Baum::N,Baum,бӕлас
121,Stamm::N,Stamm,хӕтӕл
122,Rinde::N,Rinde,цъар
123,Ast::N,Ast,арх
124,Zweig::N,Zweig,къалиу
125,Blatt::N,Blatt,сыф
126,Birke::N,Birke,бæрз
127,Kiefer[Baum]::N,Kiefer,нӕзы
128,Weide[Baum]::N,Weide,хӕрис
129,Tanne::N,Tanne,наз
130,Horn::N,Horn,сыкъа
131,Feder::N,Feder,сис
132,Fell::N,Fell,царм
133,Flügel::N,Flügel,базыр
134,Klaue::N,Klaue,ных
135,Kralle::N,Kralle,дзӕмбы
136,Schwanz::N,Schwanz,къӕдзил
137,Ei::N,Ei,айк
138,Nest::N,Nest,ахстон
139,Bau::N,Bau,хуынкъ
140,Tier::N,Tier,сырд
141,Tier::N,Tier,цӕрӕгой
142,Herde::N,Herde,дзуг
143,Herde::N,Herde,рӕгъау
144,Kuh::N,Kuh,хъуг
145,Bulle::N,Bulle,гал
146,Pferd::N,Pferd,бӕх
147,Schaf::N,Schaf,фыс
148,Schwein::N,Schwein,хуы
149,Hund::N,Hund,куыдз
150,Katze::N,Katze,гӕды
151,Bär::N,Bär,арс
152,Eichhörnchen::N,Eichhörnchen,æхсæрæг
153,Elch::N,Elch,цæгатаг саг
154,Fuchs::N,Fuchs,рувас
155,Hase::N,Hase,тæрхъус
156,Maus::N,Maus,мыст
157,Wolf::N,Wolf,бирӕгъ
158,Vogel::N,Vogel,цъиу
159,Vogel::N,Vogel,маргъ
160,Schwarm::N,Schwarm,бал
161,Huhn::N,Huhn,карк
162,Hahn::N,Hahn,уасӕг
163,Gans::N,Gans,хъаз
164,Adler::N,Adler,цӕргӕс
165,Ente::N,Ente,ацц
166,Eule::N,Eule, уыг
167,Eule::N,Eule,сидахъ
168,Kranich::N,Kranich,зырнæг
169,Kranich::N,Kranich,хърихъупп
170,Krähe::N,Krähe,халон
171,Kuckuck::N,Kuckuck,гаккук
172,Schwan::N,Schwan,доныхъаз
173,Fisch::N,Fisch,кӕсаг
174,Barsch::N,Barsch,окунь
175,Hecht::N,Hecht,хихор кӕсаг
176,Schlange[Tier]::N,Schlange,калм
177,Wurm::N,Wurm,зулкъ
178,Wurm::N,Wurm,къуыдыргалм
179,Spinne::N,Spinne,хӕлуарӕг
180,Ameise::N,Ameise,мæлдзыг
181,Laus::N,Laus,сыст
182,Mücke::N,Mücke,къогъо
183,Fliege::N,Fliege,бындз
184,Schmetterling::N,Schmetterling,гæлæбу
185,Beere::N,Beere,гагадыргъ
186,Apfel::N,Apfel,фӕткъуы
187,Pilz::N,Pilz,зокъо
188,Pilz::N,Pilz,къозо
189,Zwiebel::N,Zwiebel,хъӕдындз
190,Saat::N,Saat,тауинаг
