,Concept_ID,uk,kn
0,Auge::N,око,ಕಣ್ಣು
1,Ohr::N,вухо,ಕಿವಿ
2,Nase::N,ніс,ಮೂಗು
3,Mund::N,рот,ಬಾಯಿ
4,Zahn::N,зуб,ಹಲ್ಲು
5,Zunge::N,язик,ನಾಲಿಗೆ
6,Lippe::N,губа,ತುಟಿ
7,Wange::N,щока,ಗಲ್ಲ
8,Gesicht::N,обличчя,ಮುಖ
9,Stirn::N,лоб,ಹಣೆ
10,Haar::N,волосся,ಕೂದಲು
11,Schnurrbart::N,вуса,ಮೀಸೆ
12,Bart::N,борода,ಗಡ್ಡ
13,Kinn::N,підборіддя,ಗದ್ದ
14,Kiefer[Anatomie]::N,щелепа,ದವಡೆ
15,Kehle::N,горло,ಗಂಟಲು
16,Hals::N,шия,ಕೊರಳು
17,Genick::N,потилиця,ಹಿಂಗತ್ತು
18,Kopf::N,голова,ತಲೆ
19,Rücken::N,спина,ಬೆನ್ನು
20,Bauch::N,живіт,ಹೊಟ್ಟೆ
21,Nabel::N,пупок,ಹೊಕ್ಕುಳು
22,Busen::N,груди,ಸ್ತನ
23,Brust::N,груди,ಎದೆ
24,Schulter::N,плече,ಭುಜ
25,Arm::N,рука,ತೋಳು
26,Ellenbogen::N,лікоть,ಮೊಣಕೈ
27,Hand::N,рука,ಕೈ
28,Handfläche::N,долоня,ಅಂಗೈ
29,Finger::N,палець,ಕೈಬೆರಳು
30,Fingernagel::N,ніготь,ಉಗುರು
31,Nagel[Anatomie]::N,ніготь,ಉಗುರು
32,Zeh::N,палець на нозі,ಕಾಲ್ಬೆರಳು
33,Fuß::N,нога,ಪಾದ
34,Ferse::N,п’ятка,ಹಿಮ್ಮಡಿ
35,Knie::N,коліно,ಮಂಡಿ
36,Oberschenkel::N,стегно,ತೊಡೆ
37,Bein::N,нога,ಕಾಲು
38,Körper::N,тіло,ದೇಹ
39,Haut::N,шкіра,ಚರ್ಮ
40,Blut::N,кров,ರಕ್ತ
41,Ader::N,вена,ನರ
42,Sehne::N,сухожилля,ನರ
43,Knochen::N,кістка,ಮೂಳೆ
44,Gehirn::N,мозок,ಮಿದುಳು
45,Herz::N,серце,ಹೃದಯ
46,Magen::N,шлунок,ಉದರ
47,Leber::N,печінка,ಯಕೃತ್ತು
48,Atem::N,дихання,ಉಸಿರು
49,Hunger::N,голод,ಹಸಿವು
50,Träne::N,сльоза,ಕಣ್ಣೀರು
51,Geschmack::N,смак,ರುಚಿ
52,Geruch::N,запах,ವಾಸನೆ
53,Schlaf::N,сон,ನಿದ್ರೆ
54,Schlaf::N,сплячка,ನಿದ್ರೆ
55,Traum::N,сон,ಕನಸು
56,Himmel::N,небо,ಬಾನು
57,Sonne::N,сонце,ಸೂರ್ಯ
58,Mond::N,місяць,ಚಂದ್ರ
59,Stern::N,зірка,ಚುಕ್ಕಿ
60,Luft::N,повітря,ವಾಯು
61,Wind::N,вітер,ಗಾಳಿ
62,Welle::N,хвиля,ಅಲೆ
63,Wasser::N,вода,ನೀರು
64,Stein::N,камінь,ಕಲ್ಲು
65,Boden::N,ґрунт,ನೆಲ
66,Erde::N,земля,ಭೂಮಿ
67,Staub::N,пил,ದೂಳು
68,Rauch::N,дим,ಹೊಗೆ
69,Funke::N,іскра,ಕಿಡಿ
70,Feuer::N,вогонь,ಬೆಂಕಿ
71,Licht::N,світло,ಬೆಳಕು
72,Schatten::N,тінь,ನೆರಳು
73,Wetter::N,погода,ಹವ
74,Nebel::N,туман,ಮಂಜು
75,Wolke::N,хмара,ಮೋಡ
76,Regen::N,дощ,ಮಳೆ
77,Schnee::N,сніг,ಹಿಮ
78,Eis::N,лід,ಮಂಜುಗಡ್ಡೆ
79,Frost::N,мороз,ಮಂಜು
80,Kälte::N,холод,ಹಿಮ
81,Hitze::N,жар,ಉಷ್ಣ
82,Raureif::N,іній,ಇಬ್ಬನಿ
83,Regenbogen::N,райдуга,ಇಂದ್ರಚಾಪ
84,Donner::N,грім,ಗುಡುಗು
85,Strömung::N,струмина,ಪ್ರವಾಹ
86,Tropfen::N,крапля,ತೊಟ್ಟು
87,Schaum::N,піна,ನೊರೆ
88,Schmutz::N,бруд,ಕಸ
89,See::N,озеро,ಸರೋವರ
90,Sumpf::N,драговина,ಜೌಗುಸ್ಥಳ
91,Moor::N,болото,ಬಂಜರು ಭೂಮಿ
