,Concept_ID,mdf,fi
0,Auge::N,сельме,silmä
1,Ohr::N,пиле,korva
2,Nase::N,шалхка,nenä
3,Mund::N,курга,suu
4,Zahn::N,пей,hammas
5,Zunge::N,кяль,kieli
6,Lippe::N,търва́,huuli
7,Wange::N,щёка,poski
8,Gesicht::N,шама,naama
9,Gesicht::N,шама,kasvot
10,Stirn::N,коня,otsa
11,Haar::N,шя́ярь,hius
12,Haar::N,шя́ярь,tukka
13,Schnurrbart::N,уса́,viikset
14,Bart::N,сакал,parta
15,Kinn::N,ула,leuka
16,Kiefer[Anatomie]::N,саласка,leukaluu
17,Kehle::N,кълдома,kurkku
18,Kehle::N,кърга́парь,kurkku
19,Hals::N,сялдаз,kaula
20,Genick::N,шовонь,niska
21,Kopf::N,пря,pää
22,Rücken::N,копорь,selkä
23,Bauch::N,пеке,maha
24,Bauch::N,пеке,vatsa
25,Nabel::N,по́кон,napa
26,Busen::N,потя,rinta
27,Brust::N,мяште,rinta
28,Schulter::N,лафту,olka
29,Schulter::N,лафту,hartia
30,Schulter::N,лафту,olkapää
31,Arm::N,кядь,käsivarsi
32,Ellenbogen::N,кенерьба́карь,kyynärpää
33,Hand::N,кядь,käsi
34,Handfläche::N,кядьлапш,kämmen
35,Finger::N,сур,sormi
36,Fingernagel::N,кенже,kynsi
37,Nagel[Anatomie]::N,кенже,kynsi
38,Zeh::N,пильгосу́р,varvas
39,Fuß::N,пильге,jalka
40,Fuß::N,пильгелапа,jalka
41,Ferse::N,кочкяря,kantapää
42,Knie::N,эль,polvi
43,Knie::N,пълма́нжа,polvi
44,Oberschenkel::N,пильгепукша,reisi
45,Bein::N,пильге,jalka
46,Körper::N,ро́нга,keho
47,Körper::N,ро́нга,ruumis
48,Körper::N,по́нда,keho
49,Körper::N,по́нда,ruumis
50,Haut::N,киське,iho
51,Blut::N,вер,veri
52,Ader::N,сан,suoni
53,Ader::N,верза́н,suoni
54,Sehne::N,коське сан,jänne
55,Knochen::N,пакарь,luu
56,Gehirn::N,уй,aivot
57,Herz::N,седи,sydän
58,Magen::N,коткърдазь,maha
59,Magen::N,коткърдазь,vatsa
60,Leber::N,макса,maksa
61,Atem::N,лекома,henki
62,Atem::N,лекома,hengitys
63,Atem::N,ваймонь тарксема,henki
64,Atem::N,ваймонь тарксема,hengitys
65,Hunger::N,вачеши,nälkä
66,Träne::N,сельмове́дь,kyynel
67,Geschmack::N,таньф,maku
68,Geruch::N,шине,haju
69,Schlaf::N,удома́,uni
70,Traum::N,он,uni
71,Himmel::N,менель,taivas
72,Sonne::N,ши,aurinko
73,Mond::N,ков,kuu
74,Stern::N,тяште,tähti
75,Luft::N,кожф,ilma
76,Wind::N,варма,tuuli
77,Welle::N,тавла,aalto
78,Wasser::N,ведь,vesi
79,Stein::N,кев,kivi
80,Boden::N,мода,maa
81,Boden::N,мода,maaperä
82,Boden::N,потмакс,maa
83,Boden::N,потмакс,maaperä
84,Erde::N,мода,maa
85,Erde::N,мастор,maa
86,Staub::N,пуль,pöly
87,Rauch::N,качам,savu
88,Funke::N,ця́тка,kipinä
89,Feuer::N,тол,tuli
90,Licht::N,ва́лда,valo
91,Schatten::N,цильф,varjo
92,Wetter::N,уша,sää
93,Nebel::N,тума́н,sumu
94,Wolke::N,ковол,pilvi
95,Regen::N,пизем,sade
96,Schnee::N,лов,lumi
97,Eis::N,эй,jää
98,Frost::N,ке́льме,halla
99,Frost::N,ке́льме,pakkanen
100,Kälte::N,якшама,vilu
101,Kälte::N,якшама,kylmyys
102,Hitze::N,пси,helle
103,Hitze::N,пси,kuumuus
104,Raureif::N,леш,huurre
105,Regenbogen::N,а́тямъёнга,sateenkaari
106,Donner::N,атям,jyrinä
107,Strömung::N,шудема́,virtaus
108,Tropfen::N,путькс,tippa
109,Tropfen::N,путькс,pisara
110,Tropfen::N,пътняфкс,tippa
111,Tropfen::N,пътняфкс,pisara
112,Schaum::N,шов,vaahto
113,Schmutz::N,ърда́з,loka
114,See::N,эрьхке,järvi
115,Sumpf::N,шяй,suo
116,Moor::N,шяй,räme
117,Wiese::N,луга,niitty
118,Wald::N,вирь,metsä
119,Hügel::N,губо́р,mäki
120,Hügel::N,губо́р,kumpu
121,Hügel::N,губо́р,kukkula
122,Hügel::N,пандоня,mäki
123,Hügel::N,пандоня,kumpu
124,Hügel::N,пандоня,kukkula
125,Anhöhe::N,губо́р,mäki
126,Anhöhe::N,губо́р,kumpare
127,Berg::N,панда,mäki
128,Berg::N,панда,vuori
129,Gipfel::N,пря,laki
130,Gipfel::N,пря,huippu
131,Höhle::N,у́нда,luola
132,Abhang::N,па́нда ша́ма,rinne
133,Quelle::N,эшиня,lähde
134,Bach::N,шудерькс,puro
135,Fluss::N,ляй,joki
136,Ufer::N,търва́,ranta
137,Küste::N,ляйтърва́,rannikko
138,Festland::N,мода,manner
139,Meer::N,моря,meri
140,Bucht::N,ведьуське,lahti
141,Insel::N,цёнга,saari
142,Blume::N,панчф,kukka
143,Gras::N,тише,ruoho
144,Wurzel::N,юр,juuri
145,Wurzel::N,ункс,juuri
146,Baum::N,шуфта,puu
147,Stamm::N,ро́нга,runko
148,Rinde::N,кер,kuori
149,Rinde::N,кер,parkki
150,Ast::N,морга,oksa
151,Zweig::N,тарад,haara
152,Blatt::N,лопа,lehti
153,Birke::N,ке́лу,koivu
154,Kiefer[Baum]::N,пиче,mänty
155,Kiefer[Baum]::N,пиче,petäjä
156,Weide[Baum]::N,каль,paju
157,Tanne::N,куз,kuusi
158,Horn::N,сюра,sarvi
159,Feder::N,толга,sulka
160,Feder::N,толга,höyhen
161,Fell::N,кедь,talja
162,Flügel::N,паця,siipi
163,Klaue::N,кенже,kynsi
164,Kralle::N,кенже,kynsi
165,Schwanz::N,пула,häntä
