,Concept_ID,lbe,fr
0,Auge::N,я,œil
1,Ohr::N,вичӏи,oreille
2,Nase::N,май,nez
3,Mund::N,кьацӏ,bouche
4,Zahn::N,ккарччи,dent
5,Zunge::N,маз,langue
6,Lippe::N,мурччи,lèvre
7,Wange::N,чӏав,joue
8,Gesicht::N,лажин,face
9,Gesicht::N,лажин,visage
10,Stirn::N,ненттабакӏ,front
11,Haar::N,чӏара,cheveu
12,Schnurrbart::N,ссирссилтту,moustache
13,Bart::N,чӏири,barbe
14,Kinn::N,лунттубакӏ,menton
15,Kiefer[Anatomie]::N,ххинчулул,mâchoire
16,Kehle::N,кьакьари,gorge
17,Hals::N,ссурссу,cou
18,Genick::N,махъабакӏ,nuque
19,Kopf::N,бакӏ,tête
20,Rücken::N,ттиликӏ,dos
21,Bauch::N,лякьа,ventre
22,Nabel::N,цӏумуккутӏ,nombril
23,Busen::N,ккукку,sein
24,Brust::N,хъазам,poitrine
25,Schulter::N,хъачӏ,épaule
26,Arm::N,ка,bras
27,Ellenbogen::N,ссюрхъ,coude
28,Hand::N,бартка,main
29,Handfläche::N,хъат,paume
30,Handfläche::N,битӏянхъ,paume
31,Finger::N,кӏисса,doigt
32,Fingernagel::N,михь,ongle
33,Nagel[Anatomie]::N,михь,ongle
34,Zeh::N,кӏисса,orteil
35,Zeh::N,кӏисса,doigt de pied
36,Fuß::N,чӏанччан,pied
37,Ferse::N,никъа,talon
38,Knie::N,ник,genou
39,Oberschenkel::N,жира,cuisse
40,Bein::N,ччан,jambe
41,Körper::N,чурх,corps
42,Haut::N,бурчу,peau
43,Blut::N,оь,sang
44,Ader::N,тунну,veine
45,Sehne::N,хьхьа,tendon
46,Knochen::N,ттаркӏ,os
47,Gehirn::N,ня,cerveau
48,Herz::N,дакӏ,cœur
49,Herz::N,къюкӏ,cœur
50,Magen::N,лякьа,estomac
51,Atem::N,ссихӏ ласаву,haleine
52,Atem::N,ссихӏ бигьаву,haleine
53,Hunger::N,ккаши,faim
54,Träne::N,макь,larme
55,Geschmack::N,тӏин,goût
56,Geschmack::N,тӏин,saveur
57,Geschmack::N,тӏааьн,goût
58,Geschmack::N,тӏааьн,saveur
59,Geruch::N,кьанкь,odeur
60,Schlaf::N,шану,sommeil
61,Traum::N,макӏру,songe
62,Himmel::N,ссав,ciel
63,Sonne::N,баргъ,soleil
64,Mond::N,барз,lune
65,Stern::N,цӏуку,étoile
66,Luft::N,гьава,air
67,Wind::N,марч,vent
68,Welle::N,щатӏи,vague
69,Wasser::N,щин,eau
70,Stein::N,чару,pierre
71,Boden::N,аьрщи,sol
72,Boden::N,аьрщи,terrain
73,Erde::N,аьрщи,terre
74,Staub::N,ххит,poussière
75,Rauch::N,пуркӏу,fumée
76,Funke::N,пиягь,étincelle
77,Feuer::N,цӏу,feu
78,Licht::N,чани,lumière
79,Schatten::N,ххют,ombre
80,Wetter::N,гьава,temps
81,Nebel::N,шархь ттурлу,brume
82,Nebel::N,шархь ттурлу,brouillard
83,Wolke::N,ттурлу,nuage
84,Regen::N,гъарал,pluie
85,Schnee::N,марххала,neige
