,Concept_ID,et,lez
0,Auge::N,silm,вил
1,Ohr::N,kõrv,яб
2,Nase::N,nina,нер
3,Mund::N,suu,сив
4,Zahn::N,hammas,сас
5,Zahn::N,hammas,свах
6,Zunge::N,keel,мез
7,Lippe::N,huul,пӏуз
8,Wange::N,põsk,хъвехъ
9,Gesicht::N,nägu,ччин
10,Stirn::N,otsmik,пел
11,Haar::N,juus,чӏар
12,Schnurrbart::N,vurrud,спел
13,Schnurrbart::N,vurrud,спелар
14,Schnurrbart::N,vuntsid,спел
15,Schnurrbart::N,vuntsid,спелар
16,Bart::N,habe,ччуру
17,Kinn::N,lõug,чене
18,Kiefer[Anatomie]::N,lõualuu,чене
19,Kehle::N,kõri,туьд
20,Hals::N,kael,гардан
21,Genick::N,kukal,кьам
22,Kopf::N,pea,кьил
23,Rücken::N,selg,далу
24,Bauch::N,kõht,руфун
25,Nabel::N,naba,пицӏ
26,Busen::N,rind,мам
27,Brust::N,rind,хур
28,Schulter::N,õlg,къуьн
29,Arm::N,käsivars,гъил
30,Ellenbogen::N,küünarnukk,кьуьнт
31,Hand::N,käsi,капаш
32,Handfläche::N,pihk,капан юкь
33,Finger::N,sõrm,тӏуб
34,Fingernagel::N,küüs,кек
35,Nagel[Anatomie]::N,küüs,кек
36,Zeh::N,varvas,кул
37,Fuß::N,jalg,кӏвач
38,Ferse::N,kand,дабан
39,Knie::N,põlv,мет
40,Oberschenkel::N,reis,
41,Bein::N,jalg,кӏвач
42,Körper::N,ihu,беден
43,Körper::N,keha,беден
44,Haut::N,nahk,хам
45,Blut::N,veri,иви
46,Ader::N,veen,дамар
47,Sehne::N,kõõlus,кьуру дамар
48,Knochen::N,luu,кӏараб
49,Gehirn::N,aju,мефт
50,Herz::N,süda,рикӏ
51,Magen::N,magu,хук
52,Leber::N,maks,лекь
53,Atem::N,hingeõhk,ял
54,Atem::N,hingeõhk,нефес
55,Atem::N,hingamine,ял
56,Atem::N,hingamine,нефес
57,Hunger::N,nälg,каш
58,Träne::N,pisar,вилин нагъв
59,Geschmack::N,maitse,дад
60,Geschmack::N,maitse,тӏям
61,Geruch::N,lõhn,ни
62,Schlaf::N,uni,ахвар
63,Traum::N,unenägu,ахвар
64,Himmel::N,taevas,цав
65,Sonne::N,päike,рагъ
66,Mond::N,kuu,варз
67,Stern::N,täht,гъед
68,Luft::N,õhk,гьава
69,Wind::N,tuul,гар
70,Welle::N,laine,лепе
71,Wasser::N,vesi,яд
