,Concept_ID,lv,eu
0,Auge::N,син,begi
1,Auge::N,acs,begi
2,Ohr::N,пель,belarri
3,Ohr::N,auss,belarri
4,Nase::N,ныр,sudur
5,Nase::N,deguns,sudur
6,Mund::N,вом,aho
7,Mund::N,mute,aho
8,Zahn::N,пинь,hortz
9,Zahn::N,zobs,hortz
10,Zunge::N,кыв,mihi
11,Zunge::N,mēle,mihi
12,Lippe::N,вом дор,ezpain
13,Lippe::N,lūpa,ezpain
14,Wange::N,бан,masail
15,Wange::N,vaigs,masail
16,Gesicht::N,чужӧм,aurpegi
17,Gesicht::N,seja,aurpegi
18,Gesicht::N,ģīmis,aurpegi
19,Stirn::N,плеш,bekoki
20,Stirn::N,кымӧс,bekoki
21,Stirn::N,piere,bekoki
22,Haar::N,си,ile
23,Haar::N,си,bilo
24,Haar::N,юрси,ile
25,Haar::N,юрси,bilo
26,Haar::N,mats,ile
27,Haar::N,mats,bilo
28,Schnurrbart::N,ус,bibote
29,Schnurrbart::N,ус,sudurpeko
30,Schnurrbart::N,пыртсим,bibote
31,Schnurrbart::N,пыртсим,sudurpeko
32,Schnurrbart::N,ūsas,bibote
33,Schnurrbart::N,ūsas,sudurpeko
34,Bart::N,тош,bizar
35,Bart::N,bārda,bizar
36,Kinn::N,тшӧка,kokots
37,Kinn::N,zods,kokots
38,Kinn::N,smakrs,kokots
39,Kiefer[Anatomie]::N,черлы,masailezur
40,Kiefer[Anatomie]::N,алака лы,masailezur
41,Kiefer[Anatomie]::N,вомкӧтш лы,masailezur
42,Kiefer[Anatomie]::N,žoklis,masailezur
43,Kehle::N,голя,eztarri
44,Kehle::N,rīkle,eztarri
45,Hals::N,сьылі,sama
46,Hals::N,kakls,sama
47,Genick::N,юрбӧр,garondo
48,Genick::N,балябӧж,garondo
49,Genick::N,sprands,garondo
50,Kopf::N,юр,buru
51,Kopf::N,galva,buru
52,Rücken::N,мыш,bizkar
53,Rücken::N,mugura,bizkar
54,Bauch::N,рушку,sabel
55,Bauch::N,vēders,sabel
56,Nabel::N,гӧг,zilbor
57,Nabel::N,naba,zilbor
58,Busen::N,морӧс,titi
59,Busen::N,морӧс,ugatz
60,Busen::N,krūts,titi
61,Busen::N,krūts,ugatz
62,Brust::N,морӧс,bular
63,Brust::N,krūts,bular
64,Schulter::N,пельпом,besaburu
65,Schulter::N,plecs,besaburu
66,Arm::N,ки,beso
67,Arm::N,roka,beso
68,Arm::N,delms,beso
69,Ellenbogen::N,гырддза,ukondo
70,Ellenbogen::N,elkonis,ukondo
71,Hand::N,ки,esku
72,Hand::N,roka,esku
73,Hand::N,plauksta,esku
74,Handfläche::N,ки пыдӧс,ahur
75,Handfläche::N,delna,ahur
76,Handfläche::N,plauksta,ahur
77,Finger::N,чунь,hatz
78,Finger::N,pirksts,hatz
79,Fingernagel::N,гыж,azazkal
80,Fingernagel::N,nags,azazkal
81,Nagel[Anatomie]::N,гыж,azazkal
82,Nagel[Anatomie]::N,nags,azazkal
83,Zeh::N,кок чунь,behatz
84,Zeh::N,pirksts,behatz
85,Fuß::N,кок,oin
86,Fuß::N,kāja,oin
87,Ferse::N,кокбӧр,orpo
88,Ferse::N,кокбӧр,oinburu
89,Ferse::N,papēdis,orpo
90,Ferse::N,papēdis,oinburu
91,Knie::N,пидзӧс,belaun
92,Knie::N,celis,belaun
93,Oberschenkel::N,лядьвей,izter
94,Oberschenkel::N,бек,izter
95,Oberschenkel::N,ciska,izter
96,Oberschenkel::N,augšstilbs,izter
97,Bein::N,кок,zango
98,Bein::N,kāja,zango
99,Körper::N,туша,soin
100,Körper::N,вывтыр,soin
101,Körper::N,miesa,soin
102,Körper::N,ķermenis,soin
103,Haut::N,ку,azal
104,Haut::N,āda,azal
105,Blut::N,вир,odol
106,Blut::N,asins,odol
107,Ader::N,сӧн,zain
108,Ader::N,asinsvads,zain
109,Sehne::N,вез,gihar-zain
110,Sehne::N,dzīsla,gihar-zain
111,Knochen::N,лы,hezur
112,Knochen::N,kauls,hezur
113,Gehirn::N,вем,garun
114,Gehirn::N,вем,burmuin
115,Gehirn::N,smadzenes,garun
116,Gehirn::N,smadzenes,burmuin
117,Herz::N,сьӧлӧм,bihotz
118,Herz::N,sirds,bihotz
119,Magen::N,кынӧм,urdail
120,Magen::N,kuņģis,urdail
121,Leber::N,мус,gibel
122,Leber::N,aknas,gibel
123,Atem::N,лов,hats
124,Atem::N,лов,arnasa
125,Atem::N,elpa,hats
126,Atem::N,elpa,arnasa
127,Hunger::N,тшыг,gose
128,Hunger::N,bads,gose
129,Hunger::N,izsalkums,gose
130,Träne::N,синва,malko
131,Träne::N,asara,malko
132,Geschmack::N,кӧр,dasta
133,Geschmack::N,чӧсмӧс,dasta
134,Geschmack::N,garša,dasta
135,Geruch::N,зын,usain
136,Geruch::N,дук,usain
137,Geruch::N,smaka,usain
138,Schlaf::N,узьӧм,lo
139,Schlaf::N,miegs,lo
140,Traum::N,вӧт,amets
141,Traum::N,вӧтасьӧм,amets
142,Traum::N,sapnis,amets
143,Himmel::N,енэж,zeru
144,Himmel::N,debess,zeru
145,Sonne::N,шонді,eguzki
146,Sonne::N,saule,eguzki
147,Mond::N,тӧлысь,ilargi
148,Mond::N,mēness,ilargi
149,Stern::N,кодзув,izar
150,Stern::N,zvaigzne,izar
151,Luft::N,сынӧд,aire
152,Luft::N,gaiss,aire
153,Wind::N,тӧв,haize
154,Wind::N,vējš,haize
155,Welle::N,гы,uhin
156,Welle::N,гы,olatu
157,Welle::N,vilnis,uhin
158,Welle::N,vilnis,olatu
159,Wasser::N,ва,ur
160,Wasser::N,ūdens,ur
161,Stein::N,из,harri
162,Stein::N,akmens,harri
163,Boden::N,му,lur
164,Boden::N,му,zoru
165,Boden::N,augsne,lur
166,Boden::N,augsne,zoru
167,Erde::N,му,lur
168,Erde::N,му-ва,lur
169,Erde::N,zeme,lur
170,Staub::N,бус,hauts
171,Staub::N,putekļi,hauts
172,Rauch::N,тшын,ke
173,Rauch::N,dūmi,ke
174,Funke::N,кинь,zirta
175,Funke::N,кинь,txinparta
176,Funke::N,би кинь,zirta
177,Funke::N,би кинь,txinparta
178,Funke::N,dzirkstele,zirta
179,Funke::N,dzirkstele,txinparta
180,Feuer::N,би,su
181,Feuer::N,uguns,su
182,Licht::N,югӧр,argi
183,Licht::N,gaisma,argi
184,Schatten::N,вуджӧр,itzal
185,Schatten::N,вуджӧр,geriza
186,Schatten::N,ēna,itzal
187,Schatten::N,ēna,geriza
188,Wetter::N,поводдя,eguraldi
189,Wetter::N,laiks,eguraldi
190,Nebel::N,ру,laino
191,Nebel::N,онь,laino
192,Nebel::N,migla,laino
193,Wolke::N,кымӧр,hodei
194,Wolke::N,mākonis,hodei
195,Regen::N,зэр,euri
196,Regen::N,lietus,euri
197,Schnee::N,лым,elur
198,Schnee::N,sniegs,elur
199,Eis::N,йи,horma
200,Eis::N,ledus,horma
201,Frost::N,кӧдзыд,izotzaldi
202,Frost::N,sals,izotzaldi
203,Kälte::N,кӧдзыд,hotz
204,Kälte::N,saltums,hotz
205,Kälte::N,aukstums,hotz
206,Hitze::N,пӧсь,bero
207,Hitze::N,гожӧд,bero
208,Hitze::N,karstums,bero
209,Raureif::N,пуж,antzigar
210,Raureif::N,гыӧр,antzigar
211,Raureif::N,sarma,antzigar
212,Regenbogen::N,ӧшкамӧшка,ostadar
213,Regenbogen::N,ӧшкамӧшка,ortzadar
214,Regenbogen::N,varavīksne,ostadar
215,Regenbogen::N,varavīksne,ortzadar
216,Donner::N,гым,ostots
217,Donner::N,гым,ihurtzuri
218,Donner::N,pērkons,ostots
219,Donner::N,pērkons,ihurtzuri
220,Strömung::N,ва ныр,laster
221,Strömung::N,визувтӧм,laster
222,Strömung::N,straume,laster
223,Strömung::N,strāvojums,laster
224,Tropfen::N,войт,xorta
225,Tropfen::N,lāse,xorta
226,Schaum::N,быг,bits
227,Schaum::N,быгзьӧм,bits
228,Schaum::N,putas,bits
229,Schmutz::N,няйт,lohi
230,Schmutz::N,няйт,zikin
231,Schmutz::N,dubļi,lohi
232,Schmutz::N,dubļi,zikin
233,See::N,ты,laku
234,See::N,ты,aintzira
235,See::N,ezers,laku
236,See::N,ezers,aintzira
237,Sumpf::N,гыбад,zingira
238,Sumpf::N,кад,zingira
239,Sumpf::N,dumbrājs,zingira
240,Sumpf::N,staignājs,zingira
241,Moor::N,нюр,zohikaztegi
242,Moor::N,purvs,zohikaztegi
243,Moor::N,muklājs,zohikaztegi
244,Wiese::N,видз,larre
245,Wiese::N,видз,belardi
246,Wiese::N,pļava,larre
247,Wiese::N,pļava,belardi
248,Wald::N,вӧр,baso
249,Wald::N,вӧр,oihan
250,Wald::N,mežs,baso
251,Wald::N,mežs,oihan
252,Hügel::N,дзиб,muino
253,Hügel::N,дзиб,pentoka
254,Hügel::N,мыльк,muino
255,Hügel::N,мыльк,pentoka
256,Hügel::N,нӧрыс,muino
257,Hügel::N,нӧрыс,pentoka
258,Hügel::N,paugurs,muino
259,Hügel::N,paugurs,pentoka
260,Anhöhe::N,мыльк,garai
261,Anhöhe::N,мыльк,goragune
262,Anhöhe::N,нӧрыс,garai
263,Anhöhe::N,нӧрыс,goragune
264,Anhöhe::N,paugurs,garai
265,Anhöhe::N,paugurs,goragune
266,Berg::N,чой,mendi
267,Berg::N,керӧс,mendi
268,Berg::N,kalns,mendi
269,Gipfel::N,чук,gain
270,Gipfel::N,чук,tontor
271,Gipfel::N,virsotne,gain
272,Gipfel::N,virsotne,tontor
273,Höhle::N,рудӧг,kobazulo
274,Höhle::N,ala,kobazulo
275,Abhang::N,ньывк,aldapa
276,Abhang::N,бокша,aldapa
277,Abhang::N,nogāze,aldapa
278,Quelle::N,ӧшмӧс,iturri
279,Quelle::N,ӧшмӧс,iturbegi
280,Quelle::N,avots,iturri
281,Quelle::N,avots,iturbegi
