,Concept_ID,hy,ab
0,Auge::N,աչք,ала
1,Ohr::N,ականջ,алымҳа
2,Nase::N,քիթ,аҧынҵа
3,Mund::N,բերան,аҧышə
4,Zahn::N,ատամ,ахаҧыц
5,Zunge::N,լեզու,абз
6,Lippe::N,շրթունք,ақьышə
7,Wange::N,այտ,аӡамҩа
8,Wange::N,թուշ,аӡамҩа
9,Gesicht::N,դեմք,аҿы
10,Stirn::N,ճակատ,алахь
11,Haar::N,մազ,ахəыц
12,Schnurrbart::N,բեղ,аҧаҵа
13,Bart::N,մորուք,ажакьа
14,Kinn::N,կզակ,ацламкəыгə
15,Kiefer[Anatomie]::N,ծնոտ,ацламҳəа
16,Kehle::N,կոկորդ,ахəда
17,Hals::N,վիզ,ахəда
18,Hals::N,պարանոց,ахəда
19,Genick::N,ծոծրակ,ахəдаџьал
20,Kopf::N,գլուխ,ахы
21,Rücken::N,մեջք,азқəа
22,Bauch::N,փոր,амгəа
23,Bauch::N,որովայն,амгəа
24,Nabel::N,պորտ,аҷапан
25,Busen::N,ծոց,агəыҧҳəы
26,Brust::N,կուրծք,агəышҧы
27,Schulter::N,ուս,ажəҩахыр
28,Arm::N,թեւ,амахəар
29,Arm::N,բազուկ,амахəар
30,Ellenbogen::N,արմունկ,амашьхəылҵ
31,Hand::N,ձեռք,анапы
32,Handfläche::N,ափ,анапсаргəыҵа
33,Finger::N,մատ,анацəа
34,Fingernagel::N,եղունգ,анапхыц
35,Nagel[Anatomie]::N,եղունգ,ашьапхыц
36,Zeh::N,ոտքի մատ,ашьацəа
37,Fuß::N,ոտք,ашьапсыргəыҵа
38,Ferse::N,գարշապար,ашьхəа
39,Knie::N,ծունկ,ашьамхы
40,Oberschenkel::N,ազդր,ауаҭəа
41,Bein::N,ոտք,ашьапы
42,Körper::N,մարմին,ацəеижь
43,Haut::N,մաշկ,ацəа
44,Blut::N,արյուն,ашьа
45,Ader::N,երակ,ада
46,Sehne::N,ջիղ,адаш
47,Sehne::N,ձգտան,адаш
48,Knochen::N,ոսկոր,абаҩ
49,Gehirn::N,խելք,ахшлыбаҩ
50,Gehirn::N,խելք,ахшыбаҩ
51,Herz::N,սիրտ,агəы
52,Magen::N,ստամոքս,аца
53,Magen::N,ստամոքս,ацар
54,Leber::N,լյարդ,агəаҵəа
55,Atem::N,շունչ,аҧсыҧлагаҩгара
56,Hunger::N,քաղց,амла
57,Träne::N,արտասուք,алабжыш
58,Geschmack::N,համ,агьама
59,Geschmack::N,բուրմունք,агьама
60,Geruch::N,հոտ,афҩы
61,Geruch::N,բուրում,афҩы
62,Schlaf::N,քուն,ацəа
63,Traum::N,երազ,аҧхыӡ
64,Himmel::N,երկինք,ажəҩан
65,Sonne::N,արեւ,амра
66,Mond::N,լուսին,амза
67,Stern::N,աստղ,аеҵəа
68,Luft::N,օդ,аҳаир
69,Wind::N,քամի,аҧша
70,Welle::N,ալիք,ацəқəырҧа
71,Wasser::N,ջուր,аӡы
72,Stein::N,քար,ахаҳə
73,Boden::N,գետին,адгьыл
74,Erde::N,հող,адгьыл
75,Staub::N,փոշի,асаба
76,Rauch::N,ծուխ,алҩа
77,Funke::N,կայծ,акəиц
78,Funke::N,կայծ,ацҧхь
79,Feuer::N,կրակ,амца
80,Feuer::N,հրդեհ,амца
81,Licht::N,լույս,алашара
82,Schatten::N,ստվեր,ашəшьыра
83,Wetter::N,եղանակ,амш
84,Nebel::N,մեգ,анаҟəа
85,Nebel::N,մառախուղ,анаҟəа
86,Wolke::N,ամպ,аҧсҭҳəа
87,Regen::N,անձրև,ақəа
88,Schnee::N,ձյուն,асы
89,Eis::N,սառույց,аҵаа
90,Frost::N,սառնամանիք,аҵаа
91,Kälte::N,դող,ахьҭа
92,Hitze::N,շոգ,ашоура
93,Raureif::N,ցօղեղեամ,аҵааҧшқа
94,Regenbogen::N,ծիածան,ацəаҟəа
95,Donner::N,որոտ,адыд
96,Strömung::N,հոսանք,аиасра
97,Strömung::N,հոսանք,амҩасра
98,Tropfen::N,կաթիլ,ацəыкəбар
99,Schaum::N,փրփուր,ашəах
100,Schmutz::N,կեղտ,алымт
101,See::N,լիճ,аӡиа
102,Sumpf::N,ճահիճ,аӡмах
103,Moor::N,ճահիճ,
104,Wiese::N,մարգագետին,адəы
105,Wald::N,անտառ,абна
106,Hügel::N,բլուր,ахəы
107,Anhöhe::N,բարձունք,аҳаракыра
108,Berg::N,լեռ,ашьха
109,Gipfel::N,գագաթ,ацəқəа
110,Gipfel::N,կատար,ацəқəа
111,Höhle::N,քարայր,аҳаҧы
112,Abhang::N,լանջ,анаара
113,Abhang::N,զառիվայր,анаара
114,Quelle::N,աղբյուր,аҵҵырҭа
115,Bach::N,վտակ,акəараҷҷа
116,Fluss::N,գետ,аӡиас
117,Ufer::N,ծովափ,ахықə
118,Küste::N,ափ,ахықə
119,Küste::N,ծովափ,ахықə
120,Festland::N,ցամաք,абарра
121,Meer::N,ծով,амшын
122,Bucht::N,հաչիւն,аӡбжьахала
123,Insel::N,վղզի,адгьылбжьаха
124,Blume::N,ծաղիկ,ашəҭ
125,Gras::N,խոտ,аҳасакьын
126,Wurzel::N,արմատ,адац
127,Baum::N,ծառ,аҵла
128,Stamm::N,իրան,ашьапы
129,Rinde::N,կեղեւ,ацəа
130,Rinde::N,հաչոց,ацəа
131,Ast::N,ճյուղ,амахə
132,Ast::N,ճյուղ,амахəҭа
133,Zweig::N,ճյուղ,амахə
134,Zweig::N,ճյուղ,амахəҭа
135,Blatt::N,տերեւ,абҕьы
136,Birke::N,ցարասի,аҵааҵла
137,Kiefer[Baum]::N,սոճի,амза
138,Weide[Baum]::N,ուռենի,аҧслыш
139,Tanne::N,եղեւին,аҧсаӡ
140,Feder::N,փետուր,ахӡы
141,Fell::N,մորթի,ацəа
142,Flügel::N,թեւ,амҵəыжəа
143,Klaue::N,չանչ,ашьапхыц
144,Kralle::N,ճանկ,
145,Schwanz::N,պոչ,аҵыхəа
146,Ei::N,ձու,акəтаӷь
147,Nest::N,բույն,аҭра
148,Nest::N,բույն,аҵысҭра
149,Bau::N,որջ,аҭыҩра
150,Bau::N,բայոց,аҭыҩра
151,Tier::N,կենդանի,аҧстəы
152,Tier::N,կենդանի,агыгшəыг
153,Herde::N,հոտ,агəарҭа
154,Kuh::N,կով,ажə
155,Bulle::N,ցուլ,ацə
156,Pferd::N,ձի,аҽы
157,Schaf::N,ոչխար,ауаса
158,Schwein::N,խոզ,аҳəа
159,Hund::N,շուն,ала
160,Katze::N,կատու,ацгəы
161,Bär::N,արջ,амшə
162,Eichhörnchen::N,սկյուռ,аеш
163,Elch::N,հիւսիսային եղջերու,аҽаҩа
164,Fuchs::N,աղվես,абгахəыҷы
165,Hase::N,նապաստակ,ажьа
166,Maus::N,մուկ,аҳəынаҧ
167,Wolf::N,գայլ,абгаду
168,Vogel::N,թռչուն,аҧсаатə
169,Schwarm::N,երամ,
170,Huhn::N,հավ,акəты
171,Hahn::N,աքաղաղ,арбаҕь
172,Gans::N,սագ,аҟыз
173,Adler::N,արծիվ,ауарба
174,Ente::N,բադ,акəата
175,Eule::N,բու,аты
176,Kranich::N,կռունկ,апҟа
177,Krähe::N,ագռավ,аҟəараан
178,Kuckuck::N,կուկու,акəыкəу
179,Schwan::N,կարապ,агьад
180,Fisch::N,ձուկ,аҧсыӡ
181,Barsch::N,պերկես,ацəыбла
182,Hecht::N,գայլաձուկ,ахиаала
183,Schlange[Tier]::N,օձ,амаҭ
184,Wurm::N,որդ,ахəа
185,Wurm::N,որդ,ахəац
186,Wurm::N,ճիճու,ахəа
187,Wurm::N,ճիճու,ахəац
188,Spinne::N,սարդ,абызкаҭаҳа
189,Ameise::N,միջյուն,ашышкамс
190,Laus::N,ոջիլ,аҵа
191,Mücke::N,մժղուկ,акəыбры
192,Fliege::N,ճանճ,амҵ
193,Schmetterling::N,թիթեռ,аҧарҧалыкь
194,Beere::N,հատապտուղ,аргуц
195,Apfel::N,խնձոր,аҵəа
196,Pilz::N,սունկ,акəкəбаа
197,Zwiebel::N,սոխ,аџьымшьы
198,Zwiebel::N,սոխ,аџьымшьхы
199,Saat::N,սերմ,ажəла
200,Korn::N,հատիկ,арыц
201,Heu::N,խոտ,аҭəа
202,Schale::N,կեղեւ,ацəа
203,Grube::N,փոս,ажра
204,Grube::N,փոս,атыша
205,Falle::N,ծուղակ,арыҧҟьа
206,Schlinge::N,խեղդան,аҟəараҟəантə
207,Spur::N,հետք,ашьҭа
208,Asche::N,մոխիր,ахəа
209,Dreck::N,աղտ,аҳəынҵəа
210,Dreck::N,աղտ,аҟьамсар
