,Concept_ID,it,xal
0,Auge::N,occhio,нүдн
1,Ohr::N,orecchio,чикн
2,Nase::N,naso,хамр
3,Mund::N,bocca,амн
4,Zahn::N,dente,шүдн
5,Zunge::N,lingua,келн
6,Lippe::N,labbro,урл
7,Wange::N,guancia,халх
8,Gesicht::N,viso,нүр
9,Gesicht::N,faccia,нүр
10,Stirn::N,fronte,маңна
11,Haar::N,capello,үсн
12,Schnurrbart::N,baffi,сахл
13,Schnurrbart::N,mustacchi,сахл
14,Bart::N,barba,сахл
15,Bart::N,barba,өргнә сахл
16,Kinn::N,mento,өргн
17,Kiefer[Anatomie]::N,mascella,өргн
18,Kehle::N,gola,хол
19,Hals::N,collo,күзүн
20,Genick::N,nuca,гиҗг
21,Kopf::N,capo,толһа
22,Kopf::N,testa,толһа
23,Rücken::N,dorso,нурһн
24,Rücken::N,schiena,нурһн
25,Bauch::N,ventre,гесн
26,Nabel::N,ombelico,киисн
27,Busen::N,seno,көкн
28,Brust::N,petto,чееҗ
29,Schulter::N,spalla,ээм
30,Arm::N,braccio,һар
31,Ellenbogen::N,gomito,тоха
32,Hand::N,mano,баһлцг
33,Handfläche::N,palma,альхн
34,Finger::N,dito,хурһн
35,Finger::N,dito,һарин хурһн
36,Fingernagel::N,unghia,хумсн
37,Nagel[Anatomie]::N,unghia,хумсн
38,Zeh::N,dito del piede,хурһн
39,Zeh::N,dito del piede,көлин хурһн
40,Fuß::N,piede,тавг
41,Ferse::N,tallone,өскә
42,Ferse::N,calcagno,өскә
43,Knie::N,ginocchio,өвдг
44,Oberschenkel::N,fèmore,һуй
45,Bein::N,gamba,көл
46,Körper::N,corpo,махмуд
47,Haut::N,pelle,арсн
48,Blut::N,sangue,цусн
49,Ader::N,vena,судцн
50,Sehne::N,tèndine,шүрүсн
51,Knochen::N,osso,ясн
52,Gehirn::N,cervello,экн
53,Herz::N,cuore,зүркн
54,Magen::N,stòmaco,гесн
55,Leber::N,fegato,элкн
56,Atem::N,fiato,әмсхл
57,Atem::N,respiro,әмсхл
58,Hunger::N,fame,харһнлһн
59,Träne::N,làcrima,нульмсн
60,Geschmack::N,gusto,амтн
61,Geschmack::N,sapore,амтн
62,Geruch::N,odore,үнр
63,Schlaf::N,sonno,нөр
64,Traum::N,sogno,зүүдн
65,Himmel::N,cielo,теңгр
66,Sonne::N,sole,нарн
67,Mond::N,luna,сар
68,Stern::N,stella,одн
69,Luft::N,aria,аһар
70,Wind::N,vento,салькн
71,Welle::N,onda,дольган
72,Wasser::N,acqua,усн
73,Stein::N,sasso,чолун
74,Stein::N,pietra,чолун
75,Boden::N,suolo,Һазр
76,Boden::N,terreno,Һазр
77,Erde::N,terra,Һазр
78,Staub::N,polvere,тоосн
79,Rauch::N,fumo,утан
80,Funke::N,scintilla,очн
81,Feuer::N,fuoco,һал
