,Concept_ID,nl,az
0,Auge::N,oog,göz
1,Ohr::N,oor,qulaq
2,Nase::N,neus,burun
3,Mund::N,mond,ağız
4,Zahn::N,tand,diş
5,Zunge::N,tong,dil
6,Lippe::N,lip,dodaq
7,Wange::N,wang,yanaq
8,Gesicht::N,gelaat,üz
9,Gesicht::N,gezicht,üz
10,Stirn::N,voorhoofd,alın
11,Haar::N,haar,saç
12,Schnurrbart::N,snor,bığ
13,Bart::N,baard,saqqal
14,Kinn::N,kin,çənə
15,Kiefer[Anatomie]::N,kaak,çənə
16,Kehle::N,keel,boğaz
17,Kehle::N,strot,boğaz
18,Hals::N,hals,boyun
19,Genick::N,nek,ənsə
20,Kopf::N,hoofd,baş
21,Rücken::N,rug,bel
22,Bauch::N,buik,qarın
23,Nabel::N,navel,göbək
24,Busen::N,boezem,məmə
25,Brust::N,borst,döş
26,Schulter::N,schouder,çiyin
27,Arm::N,arm,qol
28,Ellenbogen::N,elleboog,dirsək
29,Hand::N,hand,əl
30,Handfläche::N,handpalm,ovuc
31,Finger::N,vinger,barmaq
32,Fingernagel::N,nagel,barmaq dırnağı
33,Nagel[Anatomie]::N,nagel,dırnak
34,Zeh::N,teen,ayaq barmağı
35,Fuß::N,voet,ayaq
36,Ferse::N,hak,daban
37,Ferse::N,hiel,daban
38,Knie::N,knie,diz
39,Oberschenkel::N,dij,bud
40,Bein::N,been,qıç
41,Körper::N,lichaam,əndam
42,Haut::N,huid,dəri
43,Blut::N,bloed,qan
44,Ader::N,ader,damar
45,Sehne::N,pees,vətər
46,Knochen::N,bot,sümük
47,Knochen::N,been,sümük
48,Knochen::N,knook,sümük
49,Gehirn::N,hersenen,beyin
50,Herz::N,hart,ürək
51,Magen::N,maag,mədə
52,Leber::N,lever,qara ciyər
53,Atem::N,adem,nəfəs
54,Hunger::N,honger,aclıq
55,Träne::N,traan,göz yaşı
56,Geschmack::N,smaak,tam
57,Geschmack::N,smaak,ləzzət
58,Geruch::N,geur,qoxu
59,Schlaf::N,slaap,yuxu
60,Traum::N,droom,röya
61,Himmel::N,hemel,göy
62,Himmel::N,hemel,səma
63,Sonne::N,zon,günəş
64,Mond::N,maan,ay
65,Stern::N,ster,ulduz
66,Luft::N,lucht,hava
67,Wind::N,wind,yel
