,Concept_ID,ab,la
0,Auge::N,ала,oculus
1,Ohr::N,алымҳа,auris
2,Nase::N,аҧынҵа,nasus
3,Mund::N,аҧышə,os
4,Zahn::N,ахаҧыц,dens
5,Zunge::N,абз,lingua
6,Lippe::N,ақьышə,labrum
7,Wange::N,аӡамҩа,gena
8,Gesicht::N,аҿы,vultus
9,Stirn::N,алахь,frons
10,Haar::N,ахəыц,capillus
11,Schnurrbart::N,аҧаҵа,barba labri superioris
12,Bart::N,ажакьа,barba
13,Kinn::N,ацламкəыгə,mentum
14,Kiefer[Anatomie]::N,ацламҳəа,mala
15,Kehle::N,ахəда,iugulums
16,Hals::N,ахəда,collum
17,Genick::N,ахəдаџьал,cervices
18,Kopf::N,ахы,caput
19,Rücken::N,азқəа,tergum
20,Bauch::N,амгəа,venter
21,Nabel::N,аҷапан,umbilicus
22,Busen::N,агəыҧҳəы,sinus
23,Brust::N,агəышҧы,pectus
24,Schulter::N,ажəҩахыр,umerus
25,Arm::N,амахəар,bracchium
26,Ellenbogen::N,амашьхəылҵ,cubitum
27,Hand::N,анапы,manus
28,Handfläche::N,анапсаргəыҵа,palma
29,Finger::N,анацəа,digitus
30,Fingernagel::N,анапхыц,unguiculus
31,Nagel[Anatomie]::N,ашьапхыц,unguis
32,Zeh::N,ашьацəа,digitus
33,Fuß::N,ашьапсыргəыҵа,pes
34,Ferse::N,ашьхəа,calx
35,Knie::N,ашьамхы,genu
36,Oberschenkel::N,ауаҭəа,femur
37,Bein::N,ашьапы,crus
38,Körper::N,ацəеижь,corpus
39,Haut::N,ацəа,cutis
40,Haut::N,ацəа,pellis
41,Blut::N,ашьа,sanguis
42,Ader::N,ада,vena
43,Sehne::N,адаш,nervus
44,Knochen::N,абаҩ,os
45,Gehirn::N,ахшлыбаҩ,cerebrum
46,Gehirn::N,ахшыбаҩ,cerebrum
47,Herz::N,агəы,cor
48,Herz::N,агəы,animus
49,Magen::N,аца,stomachus
50,Magen::N,ацар,stomachus
51,Leber::N,агəаҵəа,iecur
52,Atem::N,аҧсыҧлагаҩгара,spiritus
53,Hunger::N,амла,fames
54,Träne::N,алабжыш,lacrima
55,Geschmack::N,агьама,sapor
56,Geschmack::N,агьама,gustus
57,Geruch::N,афҩы,odor
58,Schlaf::N,ацəа,somnus
59,Traum::N,аҧхыӡ,somnium
60,Himmel::N,ажəҩан,caelum
61,Sonne::N,амра,sol
62,Mond::N,амза,luna
63,Stern::N,аеҵəа,sidus
64,Stern::N,аеҵəа,stella
65,Luft::N,аҳаир,aer
66,Wind::N,аҧша,ventus
67,Welle::N,ацəқəырҧа,unda
68,Wasser::N,аӡы,aqua
69,Stein::N,ахаҳə,lapis
70,Boden::N,адгьыл,solum
71,Erde::N,адгьыл,terra
72,Staub::N,асаба,pulvis
73,Rauch::N,алҩа,fumus
74,Funke::N,акəиц,scintilla
75,Funke::N,ацҧхь,scintilla
76,Feuer::N,амца,ignis
77,Licht::N,алашара,lux
78,Licht::N,алашара,lumen
79,Schatten::N,ашəшьыра,umbra
80,Wetter::N,амш,caelum
81,Wetter::N,амш,tempestas
82,Nebel::N,анаҟəа,nebula
83,Wolke::N,аҧсҭҳəа,nubes
84,Regen::N,ақəа,imber
85,Regen::N,ақəа,pluvia
86,Schnee::N,асы,nix
87,Eis::N,аҵаа,glacies
88,Frost::N,аҵаа,gelu
89,Kälte::N,ахьҭа,frigus
90,Hitze::N,ашоура,calor
91,Hitze::N,ашоура,aestus
92,Raureif::N,аҵааҧшқа,pruina
93,Regenbogen::N,ацəаҟəа,arcus
94,Donner::N,адыд,tonitrus
95,Strömung::N,аиасра,fluctus
96,Strömung::N,амҩасра,fluctus
97,Tropfen::N,ацəыкəбар,gutta
98,Schaum::N,ашəах,spuma
99,Schmutz::N,алымт,sordes
100,Schmutz::N,алымт,squalor
101,See::N,аӡиа,lacus
102,Sumpf::N,аӡмах,palus
103,Wiese::N,адəы,pratum
104,Wald::N,абна,silva
105,Hügel::N,ахəы,collis
106,Anhöhe::N,аҳаракыра,specula
107,Berg::N,ашьха,mons
108,Gipfel::N,ацəқəа,vertex
109,Höhle::N,аҳаҧы,caverna
110,Höhle::N,аҳаҧы,spelunca
111,Abhang::N,анаара,declivum
112,Quelle::N,аҵҵырҭа,fons
113,Bach::N,акəараҷҷа,rivus
114,Fluss::N,аӡиас,flumen
115,Ufer::N,ахықə,ripa
116,Küste::N,ахықə,litus
117,Festland::N,абарра,continens
118,Meer::N,амшын,mare
119,Bucht::N,аӡбжьахала,sinus
120,Insel::N,адгьылбжьаха,insula
121,Blume::N,ашəҭ,flos
122,Gras::N,аҳасакьын,herba
123,Gras::N,аҳасакьын,gramen
124,Wurzel::N,адац,radix
125,Baum::N,аҵла,arbor
126,Stamm::N,ашьапы,truncus
127,Rinde::N,ацəа,cortex
128,Ast::N,амахə,ramus
129,Ast::N,амахəҭа,ramus
130,Zweig::N,амахə,ramus
131,Zweig::N,амахəҭа,ramus
132,Blatt::N,абҕьы,folium
133,Birke::N,аҵааҵла,betulla
134,Kiefer[Baum]::N,амза,pinus
135,Weide[Baum]::N,аҧслыш,salix
136,Tanne::N,аҧсаӡ,abies
137,Horn::N,атəыҩа,cornu
138,Feder::N,ахӡы,penna
139,Fell::N,ацəа,pellis
140,Flügel::N,амҵəыжəа,ala
141,Klaue::N,ашьапхыц,unguis
142,Schwanz::N,аҵыхəа,cauda
143,Ei::N,акəтаӷь,ovum
144,Nest::N,аҭра,nidus
145,Nest::N,аҵысҭра,nidus
146,Bau::N,аҭыҩра,cavum
147,Bau::N,аҭыҩра,latibulum
148,Tier::N,аҧстəы,bestia
149,Tier::N,агыгшəыг,bestia
150,Herde::N,агəарҭа,grex
151,Kuh::N,ажə,vacca
152,Bulle::N,ацə,taurus
153,Pferd::N,аҽы,equus
154,Schaf::N,ауаса,ovis
155,Schwein::N,аҳəа,sus
156,Schwein::N,аҳəа,porcus
157,Hund::N,ала,canis
158,Katze::N,ацгəы,felis
159,Bär::N,амшə,ursus
160,Eichhörnchen::N,аеш,sciurus
161,Elch::N,аҽаҩа,alces
162,Fuchs::N,абгахəыҷы,vulpes
163,Hase::N,ажьа,lepus
164,Maus::N,аҳəынаҧ,mus
165,Wolf::N,абгаду,lupus
166,Vogel::N,аҧсаатə,avis
167,Huhn::N,акəты,gallina
168,Hahn::N,арбаҕь,gallus
169,Gans::N,аҟыз,anser
170,Adler::N,ауарба,aquila
171,Ente::N,акəата,anas
172,Eule::N,аты,ulula
173,Eule::N,аты,noctua
174,Kranich::N,апҟа,grus
175,Krähe::N,аҟəараан,cornix
176,Kuckuck::N,акəыкəу,cuculus
177,Schwan::N,агьад,olor
178,Schwan::N,агьад,cycnus
179,Fisch::N,аҧсыӡ,piscis
180,Barsch::N,ацəыбла,perca
181,Hecht::N,ахиаала,esox
182,Schlange[Tier]::N,амаҭ,serpens
183,Wurm::N,ахəа,vermis
184,Wurm::N,ахəац,vermis
185,Spinne::N,абызкаҭаҳа,aranea
186,Ameise::N,ашышкамс,formica
187,Laus::N,аҵа,pediculus
188,Mücke::N,акəыбры,culex
189,Fliege::N,амҵ,musca
190,Schmetterling::N,аҧарҧалыкь,papilio
191,Beere::N,аргуц,baca
192,Apfel::N,аҵəа,malum
193,Pilz::N,акəкəбаа,fungus
194,Zwiebel::N,аџьымшьы,cepa
195,Zwiebel::N,аџьымшьхы,cepa
196,Saat::N,ажəла,seges
197,Korn::N,арыц,granum
198,Heu::N,аҭəа,faenum
199,Schale::N,ацəа,putamen
200,Grube::N,ажра,fovea
201,Grube::N,атыша,fovea
202,Falle::N,арыҧҟьа,pedica
203,Schlinge::N,аҟəараҟəантə,laqueus
204,Spur::N,ашьҭа,vestigium
205,Asche::N,ахəа,cinis
206,Dreck::N,аҳəынҵəа,lutum
207,Dreck::N,аҟьамсар,lutum
208,Eisen::N,аиха,ferrum
209,Gold::N,ахьы,aurum
210,Silber::N,аразны,argentum
211,Kohle::N,арацəа,carbo
212,Glas::N,асаркьа,vitrum
213,Lehm::N,анышəаҧшь,lutum
214,Sand::N,аҧслымӡ,arena
215,Mensch::N,ауаҩы,homo
216,Mann::N,ахаҵа,vir
217,Frau::N,аҧҳəыс,mulier
218,Kind::N,ахəыҷы,puer
219,Kind::N,ахəыҷы,infans
220,Junge::N,аҷкəын,puer
221,Junge::N,ахаҵарҧыс,puer
222,Mädchen::N,аӡӷаб,puella
223,Familie::N,аҭаацəа,familia
224,Großvater::N,абду,avus
225,Großmutter::N,анду,avia
226,Eltern::N,ани аби,parentes
227,Vater::N,аб,pater
228,Mutter::N,ан,mater
229,Sohn::N,аҧа,filius
230,Tochter::N,аҧҳа,filia
231,Bruder::N,аиашьа,frater
232,Schwester::N,Аҳəшьа,soror
233,Onkel::N,абиашьа,patruus
234,Onkel::N,абиашьа,avunculus
235,Onkel::N,аншьа,patruus
236,Onkel::N,аншьа,avunculus
237,Tante::N,абиаҳəшьа,amita
238,Ehemann::N,ахаҵа,maritus
239,Ehemann::N,аҧшəма,maritus
