,Concept_ID,hr,mn
0,Auge::N,oko,нүд
1,Ohr::N,uho,чих
2,Nase::N,nos,хамар
3,Mund::N,usta,ам
4,Zahn::N,zub,шүд
5,Zunge::N,jezik,хэл
6,Lippe::N,usna,уруул
7,Wange::N,obraz,хацар
8,Gesicht::N,lice,царай
9,Gesicht::N,lice,нүүр
10,Stirn::N,čelo,дух
11,Haar::N,kosa,үс
12,Schnurrbart::N,brkovi,дээд сахал
13,Schnurrbart::N,brkovi,живэр сахал
14,Bart::N,brada,сахал
15,Kinn::N,brada,эрүү
16,Kinn::N,podbradak,эрүү
17,Kiefer[Anatomie]::N,čeljust,эрүү
18,Kehle::N,grlo,хоолой
19,Hals::N,vrat,хүзүү
20,Genick::N,zatiljak,шил
21,Genick::N,zatiljak,хүзүү
22,Kopf::N,glava,толгой
23,Rücken::N,leđa,ар
24,Rücken::N,leđa,нуруу
25,Rücken::N,hrbat,ар
26,Rücken::N,hrbat,нуруу
27,Bauch::N,trbuh,хэвлий
28,Bauch::N,trbuh,гэдэс
29,Nabel::N,pupak,хүйс
30,Busen::N,sisa,хөх
31,Busen::N,njedra,хөх
32,Brust::N,prsa,цээж
33,Schulter::N,rame,мөр
34,Schulter::N,rame,бугалга
35,Schulter::N,pleći,мөр
36,Schulter::N,pleći,бугалга
37,Arm::N,ruka,гар
38,Ellenbogen::N,lakat,тохой
39,Hand::N,ruka,гар
40,Hand::N,ruka,алга
41,Handfläche::N,dlan,алга
42,Finger::N,prst,хуруу
43,Fingernagel::N,nokat,хурууны хумс
44,Nagel[Anatomie]::N,nokat,хумс
45,Zeh::N,nozni prst,хуруу
46,Fuß::N,noga,хөл
47,Fuß::N,stopalo,хөл
48,Ferse::N,peta,өсгий
49,Knie::N,koljeno,өвдөг
50,Oberschenkel::N,bedro,гуя
51,Bein::N,noga,хөл
52,Körper::N,tijelo,бие
53,Haut::N,put,арьс
54,Haut::N,koža,арьс
55,Blut::N,krv,цус
56,Ader::N,žila,судас
57,Sehne::N,tetiva,бүлх
58,Sehne::N,tetiva,шандас
59,Knochen::N,kost,яс
60,Herz::N,srce,зүрх
61,Magen::N,stomak,ходоод
62,Magen::N,želudac,ходоод
63,Leber::N,jetra,элэг
64,Atem::N,dah,амьсгаа
65,Hunger::N,glad,өлсгөлөн
66,Träne::N,suza,нулимс
67,Geschmack::N,ukus,амт
68,Geruch::N,njuh,үнэр
69,Geruch::N,miris,үнэр
70,Schlaf::N,san,нойр
71,Traum::N,san,зүүд
72,Himmel::N,nebo,тэнгэр
73,Himmel::N,nebo,огторгуй
74,Sonne::N,sunce,нар
75,Mond::N,mjesec,сар
76,Stern::N,zvijezda,од
77,Luft::N,zrak,агаар
78,Wind::N,vjetar,салхи
79,Welle::N,val,долгио
80,Welle::N,val,давалгаа
81,Welle::N,talas,долгио
82,Welle::N,talas,давалгаа
83,Wasser::N,voda,ус
84,Stein::N,kamen,чулуу
85,Boden::N,tlo,хөрс
86,Boden::N,zemlja,хөрс
87,Erde::N,zemlja,газар
88,Erde::N,zemlja,шороо
89,Staub::N,prah,тоос
90,Staub::N,prašina,тоос
91,Rauch::N,dim,утаа
92,Funke::N,iskra,оч
93,Funke::N,varnica,оч
94,Feuer::N,vatra,гал
95,Licht::N,svjetlo,гэрэл
96,Licht::N,svjetlo,гэгээ
97,Schatten::N,hlad,сүүдэр
98,Schatten::N,sjena,сүүдэр
99,Wetter::N,vrijeme,тэнгэр
100,Wetter::N,vrijeme,цаг уур
101,Nebel::N,magla,будан
102,Wolke::N,oblak,үүл
103,Regen::N,kiša,бороо
104,Schnee::N,snijeg,цас
105,Eis::N,led,мөс
106,Frost::N,mraz,хүйт
107,Kälte::N,studen,хүйт
108,Kälte::N,hladnoća,хүйт
109,Hitze::N,vrućina,халуун
110,Raureif::N,inje,цан
111,Raureif::N,inje,хяруу
112,Regenbogen::N,duga,солонго
113,Donner::N,grom,тэнгэрийн дуу
114,Donner::N,grmljavina,тэнгэрийн дуу
115,Strömung::N,struja,урсгал
116,Strömung::N,strujanje,урсгал
117,Tropfen::N,kap,дусал
118,Tropfen::N,kaplja,дусал
119,Schaum::N,pjena,хөөс
120,Schmutz::N,nečistoća,хир
121,Schmutz::N,nečistoća,шавхай
