,Concept_ID,lt,ps
0,Auge::N,akis,سترګه
1,Ohr::N,ausis,غوږ
2,Nase::N,nosis,پوزه
3,Mund::N,burna,خوله
4,Zahn::N,dantis,غاښ
5,Zunge::N,liežuvis,جبه
6,Lippe::N,lūpa,شونډه
7,Wange::N,žandas,باړخو
8,Wange::N,skruostas,باړخو
9,Gesicht::N,veidas,مخ
10,Stirn::N,kakta,تندی
11,Stirn::N,kakta,وچولی
12,Haar::N,plaukai,وېښته
13,Schnurrbart::N,ūsai,برېت
14,Bart::N,barzda,ږیره
15,Kinn::N,smakras,زنه
16,Kiefer[Anatomie]::N,žandikaulis,جامه
17,Kehle::N,gerklė,غاړه
18,Hals::N,kaklas,غاړه
19,Genick::N,sprandas,ورمېږ
20,Kopf::N,galva,سر
21,Rücken::N,nugara,شا
22,Bauch::N,pilvas,نس
23,Bauch::N,pilvas,ګېډه
24,Nabel::N,bamba,نوم
25,Busen::N,krūtinė,تی
26,Brust::N,krūtis,سینه
27,Schulter::N,petys,اوږه
28,Arm::N,ranka,لاس
29,Ellenbogen::N,alkūnė,څنګل
30,Hand::N,ranka,لاس
31,Hand::N,plaštaka,لاس
32,Handfläche::N,delnas,ورغوی
33,Handfläche::N,plaštaka,ورغوی
34,Finger::N,pirštas,ګوته
35,Fingernagel::N,nagas,نوک
36,Nagel[Anatomie]::N,nagas,نوک
37,Zeh::N,pirštas,ګوته
38,Fuß::N,pėda,پښه
39,Ferse::N,kulnas,پونده
40,Knie::N,kelis,زنګون
41,Oberschenkel::N,kulšis,پتون
42,Oberschenkel::N,šlaunis,پتون
43,Bein::N,koja,پښه
44,Körper::N,kūnas,ځان
45,Haut::N,oda,پوټکی
46,Blut::N,kraujas,وینه
47,Ader::N,kraujagyslė,رګ
48,Sehne::N,sausgyslė,پله
49,Knochen::N,kaulas,هډوکی
50,Gehirn::N,smegenys,ماغزه
51,Herz::N,širdis,زړه
52,Magen::N,skrandis,معده
53,Leber::N,kepenys,ينه
54,Leber::N,kepenys,ځیګر
55,Atem::N,kvapas,نفس
56,Hunger::N,badas,ولږه
57,Hunger::N,alkis,ولږه
58,Träne::N,ašara,اوښکه
59,Geschmack::N,skonis,مزه
60,Geschmack::N,skonis,خوند
61,Geruch::N,kvapas,بوی
62,Schlaf::N,miegas,خوب
63,Traum::N,sapnas,خوب
64,Himmel::N,dangus,اسمان
65,Sonne::N,saulė,لمر
66,Mond::N,mėnulis,سپوږمۍ
67,Stern::N,žvaigždė,ستوری
68,Luft::N,oras,هوا
69,Wind::N,vėjas,ورښ
70,Welle::N,banga,موج
71,Welle::N,vilnis,موج
72,Wasser::N,vanduo,اوبه
73,Stein::N,akmuo,ډبره
74,Boden::N,žemė,مځکه
75,Boden::N,dugnas,مځکه
76,Erde::N,žemė,خاوره
77,Staub::N,dulkės,ګرد
78,Staub::N,dulkės,خاوره
79,Rauch::N,dūmai,دود
80,Rauch::N,dūmai,لوګی
81,Funke::N,kibirkštis,سپرغۍ
82,Feuer::N,ugnis,اور
83,Licht::N,šviesa,رڼا
84,Schatten::N,paūksmė,سیوری
85,Wetter::N,oras,هوا
86,Nebel::N,migla,لړه
87,Nebel::N,rūkas,لړه
88,Wolke::N,debesis,ورېځ
89,Regen::N,lietus,وریا
90,Regen::N,lietus,باران
91,Schnee::N,sniegas,واوره
92,Eis::N,ledas,یخ
93,Eis::N,ledas,کنګل
94,Frost::N,šalna,یخ
95,Kälte::N,šaltis,ساړه
96,Hitze::N,karštis,تودوخي
97,Raureif::N,šerkšnas,سپینه پرخه
98,Regenbogen::N,vaivorykštė,بوډۍ ټال
99,Regenbogen::N,vaivorykštė,سره زرغونه
100,Donner::N,perkūnas,تالنده
101,Donner::N,griaustinis,تالنده
102,Strömung::N,tėkmė,بهېدنه
103,Tropfen::N,lašas,قطره
104,Tropfen::N,lašas,څاڅکی
105,Schaum::N,putos,ځګ
106,Schmutz::N,purvas,ناپاکي
107,See::N,ežeras,جهیل
108,Sumpf::N,klampynė,جبه
109,Sumpf::N,liūnas,جبه
110,Moor::N,pelkė,جبه
