,Concept_ID,ba,ru
0,Auge::N,күҙ,глаз
1,Ohr::N,ҡолаҡ,ухо
2,Nase::N,танау,нос
3,Mund::N,ауыҙ,рот
4,Zahn::N,теш,зуб
5,Zunge::N,тел,язык
6,Lippe::N,ирен,губа
7,Wange::N,яцаҡтар,щека
8,Gesicht::N,бит,лицо
9,Stirn::N,маңлай,лоб
10,Haar::N,сәс,волос
11,Haar::N,сәс,волосы
12,Schnurrbart::N,мылтыҡ,ус
13,Schnurrbart::N,мылтыҡ,усы
14,Bart::N,һаҡал,борода
15,Kinn::N,эйэк,подбородок
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,челюсть
17,Kehle::N,тамаҡ,горло
18,Hals::N,муйын,шея
19,Genick::N,соңҡа,затылок
20,Kopf::N,баш,голова
21,Rücken::N,арҡа,спина
22,Bauch::N,ҡорһаҡ,живот
23,Nabel::N,кендек,пупок
24,Busen::N,күкрәк,женская грудь
25,Brust::N,түш,грудь
26,Schulter::N,яурын,плечо
27,Arm::N,ҡул,рука
28,Ellenbogen::N,терһәк,локоть
29,Hand::N,ҡул,кисть
30,Hand::N,ҡул суғы,кисть
31,Handfläche::N,ус төбө,ладонь
32,Finger::N,бармаҡ,палец
33,Fingernagel::N,тырнаҡ,ноготь
34,Nagel[Anatomie]::N,тырнаҡ,ноготь
35,Zeh::N,бармаҡ,палец
36,Fuß::N,табан,ступня
37,Ferse::N,үксә,пята
38,Ferse::N,үксә,пятка
39,Knie::N,тубыҡ,колено
40,Oberschenkel::N,сандыр,бедро
41,Bein::N,аяҡ,нога
42,Körper::N,тән,тело
43,Haut::N,тире,кожа
44,Blut::N,ҡан,кровь
45,Ader::N,тамыр,вена
46,Ader::N,тамыр,сосуд
47,Sehne::N,һеңер,жила
48,Sehne::N,һеңер,тетива
49,Sehne::N,һеңер,сухожилие
50,Sehne::N,тарамыш,жила
51,Sehne::N,тарамыш,тетива
52,Sehne::N,тарамыш,сухожилие
53,Knochen::N,һойәк,кость
54,Gehirn::N,мейе,мозг
55,Herz::N,йорәк,сердце
56,Magen::N,ашҡаҙан,желудок
57,Leber::N,бауыр,печень
58,Atem::N,һулыш,дух
59,Atem::N,һулыш,дыхание
60,Hunger::N,аслыҡ,голод
61,Träne::N,күҙ иәше,слеза
62,Geschmack::N,тәм,вкус
63,Geruch::N,еҫ,запах
64,Schlaf::N,йоҡлау,сон
65,Traum::N,төш,сновидение
66,Himmel::N,күк,небо
67,Sonne::N,ҡояш,солнце
68,Mond::N,ай,луна
69,Stern::N,йондоҙ,звезда
70,Luft::N,һауа,воздух
71,Wind::N,ел,ветер
72,Welle::N,тулҡын,волна
73,Wasser::N,һыу,вода
74,Stein::N,таш,камень
75,Boden::N,тупраҡ,почва
76,Erde::N,балсҡ,земля
77,Staub::N,туҙан,пыль
78,Rauch::N,төтөн,дым
79,Funke::N,осҡон,искра
80,Feuer::N,ут,огонь
81,Licht::N,яҡтылыҡ,свет
82,Schatten::N,күләгә,тень
83,Wetter::N,һауа торошо,погода
84,Nebel::N,төман,туман
85,Wolke::N,болот,облако
86,Regen::N,ямғыр,дождь
87,Schnee::N,ҡар,снег
88,Eis::N,боҙ,лед
89,Frost::N,һалҡын,мороз
90,Kälte::N,һыуыҡ,холод
91,Hitze::N,томра,жара
92,Hitze::N,эҫелек,жара
93,Raureif::N,ҡырау,иней
94,Regenbogen::N,йәйғор,радуга
95,Donner::N,күк күкрәү,гром
96,Strömung::N,ағым,течение
97,Tropfen::N,тамсы,капля
98,Schaum::N,күбек,пена
99,Schmutz::N,батҡаҡ,грязь
100,See::N,күл,озеро
101,Sumpf::N,һаҙлык,топь
102,Moor::N,һаҙ,болото
103,Wiese::N,болон,луг
104,Wald::N,урман,лес
105,Hügel::N,түбә,холм
